ID_kit_api_20E,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,cupule_21,cupule_22,cupule_23,cupule_24,cupule_25,cupule_26,cupule_27,ID_strains,ID_reference,manual_annotation,created_20E,modify_in_pgsql_20E,ID_tbl_api_20E,last_change
37,+,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,7531,18447,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
38,-,-,-,-,-,-,-,-,-,+,-,,,,,,,,,,,,,,,,,2378,18449,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
39,-,-,-,-,+,-,+,-,-,+,+,,,,,,,,,,,,,,,,,11099,18452,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
40,-,-,-,-,+,-,+,-,-,-,,,,,,,,,,,,,,,,,,7568,18453,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
41,-,-,-,-,-,-,-,-,-,+,-,+,-,-,-,-,+,-,-,-,,,,,,,,3105,18454,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
42,-,-,-,-,+,-,-,-,-,+,+,,,,,,,,,,,,,,,,,1834,18455,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
43,-,-,-,-,-,-,-,-,-,+,-,+,-,-,-,-,+,-,-,-,,,,,,,,3123,18456,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
44,-,-,-,-,-,-,+,-,-,+,+,,,,,,,,,,,,,,,,,3131,18458,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
45,-,-,+,-,-,+,-,+,+,+,-,-,-,-,-,+,+,-,-,-,,,,,,,,3101,18459,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
46,,-,-,-,-,-,-,-,-,,-,,,,,,,,,,,,,,,,,2385,18460,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
47,+,+,+,+,+,-,-,-,-,-,+,,,,,,,,,,,,,,,,,15257,18462,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
48,+,+,+,+,+,-,+,-,-,+,+,,,,,,,,,,,,,,,,,15092,18463,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
