ID_kit_api_20E,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,cupule_21,cupule_22,cupule_23,cupule_24,cupule_25,cupule_26,cupule_27,ID_strains,ID_reference,manual_annotation,created_20E,modify_in_pgsql_20E,ID_tbl_api_20E,last_change
468,+,+,+,+,+,-,+,-,-,+,+,,,,,,,,,,,,,,,,,13309,19626,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
469,-,+,+,+,+,-,+,-,-,-,-,,,,,,,,,,,,,,,,,13368,19627,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
470,-,+,+,+,+,-,+,-,-,-,+,,,,,,,,,,,,,,,,,13430,19628,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
471,+,+,+,+,+,-,+,-,-,+,+,,,,,,,,,,,,,,,,,16975,19632,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
472,+,+,+,+,+,-,+,-,-,-,+,,,,,,,,,,,,,,,,,13213,19633,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
473,+,+,+,+,-,-,+,-,-,+,+,,,,,,,,,,,,,,,,,11194,19634,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
474,-,-,-,-,+,-,-,-,-,-,+,,,,,,,,,,,,,,,,,7981,19635,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
475,+,+,+,+,+,-,+,-,-,+,+,,,,,,,,,,,,,,,,,13231,19636,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
476,-,+,+,+,+,-,+,-,-,-,+,,,,,,,,,,,,,,,,,13229,19637,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
477,+,-,-,-,-,-,+,-,-,+,+,,,,,,,,,,,,,,,,,13292,19638,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
478,-,+,+,+,+,-,+,-,-,+,+,,,,,,,,,,,,,,,,,13199,19639,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
479,-,+,+,+,+,-,+,-,-,-,+,,,,,,,,,,,,,,,,,13200,19640,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
480,-,+,+,+,+,-,+,-,-,+,+,,,,,,,,,,,,,,,,,13202,19641,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
481,-,-,-,-,-,-,+,-,-,+,+,,,,,,,,,,,,,,,,,10726,19646,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
482,+,+,+,+,+,-,+,-,-,-,-,,,,,,,,,,,,,,,,,17371,19650,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
483,+,+,+,+,+,-,+,-,-,-,+,,,,,,,,,,,,,,,,,13456,19652,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
484,-,-,-,-,+,-,+,-,-,-,+,,,,,,,,,,,,,,,,,16912,19653,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
485,-,+,+,+,+,-,+,-,-,-,+,,,,,,,,,,,,,,,,,16913,19654,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
486,-,+,+,+,+,-,+,-,-,-,-,,,,,,,,,,,,,,,,,10585,19655,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
487,-,+,+,+,+,-,+,-,-,+,-,,,,,,,,,,,,,,,,,11195,19656,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
488,+,+,+,+,+,-,-,-,-,-,+,,,,,,,,,,,,,,,,,6322,19659,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
489,+,+,+,+,+,-,+,-,-,+,+,,,,,,,,,,,,,,,,,6324,19660,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
490,-,+,+,+,+,-,-,-,-,-,+,,,,,,,,,,,,,,,,,13431,19661,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
491,-,+,+,+,+,-,-,-,-,-,-,,,,,,,,,,,,,,,,,10760,19668,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
492,-,-,-,-,+,-,-,-,-,-,-,,,,,,,,,,,,,,,,,10601,19669,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
493,+,+,+,+,+,-,+,-,-,+,+,,,,,,,,,,,,,,,,,13235,19670,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
494,-,+,+,+,+,-,-,-,-,-,+,,,,,,,,,,,,,,,,,13492,19673,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
495,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,10762,19674,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
496,+,+,+,+,+,-,+,-,-,-,-,,,,,,,,,,,,,,,,,13289,19676,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
497,+,+,+,+,+,-,+,-,-,-,+,,,,,,,,,,,,,,,,,13256,19679,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
498,+,-,-,-,-,-,+,-,-,+,+,,,,,,,,,,,,,,,,,13252,19680,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
499,-,+,+,+,+,-,+,-,-,-,-,,,,,,,,,,,,,,,,,10881,19681,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
500,+,+,+,+,+,-,+,-,-,+,+,,,,,,,,,,,,,,,,,7863,19692,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
501,-,-,-,-,-,-,+,-,-,+,+,,,,,,,,,,,,,,,,,7866,19693,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
502,-,+,+,+,+,-,+,-,-,+,+,,,,,,,,,,,,,,,,,16560,19709,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
503,-,-,-,-,-,-,-,-,-,+,-,,,,,,,,,,,,,,,,,13529,19721,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
504,-,-,-,-,-,-,-,-,-,+,+,,,,,,,,,,,,,,,,,18105,19722,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
505,-,-,-,-,-,-,-,-,-,+,-,,,,,,,,,,,,,,,,,3918,19723,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
506,-,+,+,+,+,-,+,-,-,-,-,,,,,,,,,,,,,,,,,7484,19725,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
507,-,+,+,+,+,-,+,-,-,-,-,,,,,,,,,,,,,,,,,7482,19726,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
508,-,-,-,-,+,-,+,-,-,+,-,,,,,,,,,,,,,,,,,7485,19727,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
509,-,-,-,-,-,-,-,-,-,+,-,,,,,,,,,,,,,,,,,6316,19728,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
510,-,+,+,+,+,-,+,-,-,-,+,,,,,,,,,,,,,,,,,11055,19730,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
511,+,-,-,-,-,-,-,-,-,+,+,,,,,,,,,,,,,,,,,7250,19735,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
512,-,-,-,-,-,-,+,-,-,+,-,,,,,,,,,,,,,,,,,1678,19736,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
513,+,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,2357,19788,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
514,-,-,-,-,+,-,-,-,-,+,-,,,,,,,,,,,,,,,,,7790,19789,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
515,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,,,,,,,,10842,19790,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
516,-,-,-,-,+,-,+,-,+,-,+,,,,,,,,,,,,,,,,,3078,19791,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
517,+,+,+,-,-,-,+,+,-,+,+,+,,,,,,,,,,,,,,,,15492,19804,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
518,-,-,-,-,-,-,-,-,-,+,+,,,,,,,,,,,,,,,,,16031,19805,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
519,+,-,-,-,-,-,+,-,-,-,-,,,,,,,,,,,,,,,,,14890,19806,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
520,-,-,-,-,+,-,-,-,+,-,+,,,,,,,,,,,,,,,,,14891,19807,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
521,+,+,+,+,+,-,+,-,-,+,+,,,,,,,,,,,,,,,,,15144,19808,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
522,+,+,+,+,+,-,+,-,-,-,+,,,,,,,,,,,,,,,,,15145,19810,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
523,+,+,+,+,+,-,+,-,-,+,+,,,,,,,,,,,,,,,,,15165,19811,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
524,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,14893,19812,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
525,-,-,-,-,-,-,+,-,-,+,-,,,,,,,,,,,,,,,,,16220,19813,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
526,-,-,-,-,+,-,+,+,-,-,-,,,,,,,,,,,,,,,,,15284,19814,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
527,-,-,-,-,-,-,-,-,-,+,-,,,,,,,,,,,,,,,,,15148,19817,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
528,+,+,+,+,+,-,+,-,-,+,+,,,,,,,,,,,,,,,,,11165,19819,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
529,-,+,-,-,+,-,+,-,-,+,+,,,,,,,,,,,,,,,,,14850,19821,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
530,-,-,-,-,-,-,-,-,-,+,+,,,,,,,,,,,,,,,,,16621,19837,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
531,+,+,+,+,+,-,+,+,-,+,+,,,,,,,,,,,,,,,,,16344,19838,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
532,+,+,+,+,+,-,+,-,-,+,+,,,,,,,,,,,,,,,,,13508,19839,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
533,-,-,-,-,+,-,-,-,-,-,+,,,,,,,,,,,,,,,,,16969,19840,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
534,-,+,+,+,-,-,+,-,-,-,-,,,,,,,,,,,,,,,,,16552,19846,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
535,-,+,+,+,+,-,+,-,-,-,+,,,,,,,,,,,,,,,,,3942,19847,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
536,-,+,+,+,+,-,+,-,-,-,-,,,,,,,,,,,,,,,,,13204,19857,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
537,+,+,+,+,+,+,+,-,-,-,-,,,,,,,,,,,,,,,,,11202,19859,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
538,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,16916,19928,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
539,+,-,-,-,-,-,-,-,-,+,+,,,,,,,,,,,,,,,,,15488,19929,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
540,+,-,-,-,-,-,-,-,-,-,+,,,,,,,,,,,,,,,,,16574,19931,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
541,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,7260,19933,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
542,+,+,+,+,+,-,-,-,-,+,+,,,,,,,,,,,,,,,,,16526,19934,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
543,-,+,+,+,+,-,+,-,-,-,-,,,,,,,,,,,,,,,,,10866,19935,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
544,-,-,-,-,-,-,-,-,-,-,+,,,,,,,,,,,,,,,,,16933,19936,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
545,-,-,-,-,-,-,+,-,-,+,+,,,,,,,,,,,,,,,,,13360,19937,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
546,-,+,+,+,-,-,+,-,-,-,+,,,,,,,,,,,,,,,,,12591,19938,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
547,+,-,-,-,+,-,+,-,-,+,+,,,,,,,,,,,,,,,,,7807,19939,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
548,-,+,+,+,-,-,+,-,-,+,-,,,,,,,,,,,,,,,,,7801,19940,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
549,-,+,+,+,+,-,+,-,-,+,+,,,,,,,,,,,,,,,,,15209,19941,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
550,-,-,-,-,-,-,-,-,-,-,+,,,,,,,,,,,,,,,,,7870,19942,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
551,-,+,+,+,+,-,+,-,-,+,-,,,,,,,,,,,,,,,,,5815,19943,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
552,-,+,+,+,-,-,+,-,-,-,+,,,,,,,,,,,,,,,,,16547,19944,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
553,-,+,+,+,+,-,+,-,+,+,+,,,,,,,,,,,,,,,,,16576,19945,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
554,-,+,-,-,+,-,+,-,-,+,+,,,,,,,,,,,,,,,,,16609,19946,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
555,-,-,-,-,-,-,-,-,-,-,+,,,,,,,,,,,,,,,,,16587,19947,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
556,-,+,-,-,+,-,-,-,-,-,-,,,,,,,,,,,,,,,,,16630,19948,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
557,-,-,-,-,-,-,-,-,-,+,-,,,,,,,,,,,,,,,,,7779,19951,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
558,+,+,+,+,+,-,+,-,-,+,+,,,,,,,,,,,,,,,,,16541,19952,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
559,+,+,+,+,+,-,+,-,-,+,+,,,,,,,,,,,,,,,,,16544,19953,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
560,-,+,+,+,+,-,+,-,-,+,-,,,,,,,,,,,,,,,,,13424,19954,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
561,+,+,+,+,+,-,+,-,-,+,+,,,,,,,,,,,,,,,,,13479,19956,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
562,-,-,-,-,-,-,-,-,-,-,+,,,,,,,,,,,,,,,,,16599,19957,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
563,-,-,-,-,-,-,-,-,-,+,+,,,,,,,,,,,,,,,,,7871,19958,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
564,-,-,-,-,-,-,-,-,-,+,+,,,,,,,,,,,,,,,,,7972,19959,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
565,-,-,-,-,-,-,-,-,-,-,+,,,,,,,,,,,,,,,,,7874,19960,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
566,+,+,+,+,-,-,+,-,-,+,+,,,,,,,,,,,,,,,,,16301,19962,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
567,+,+,-,-,+,-,+,+,+,-,+,,,,,,,,,,,,,,,,,16211,19963,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
568,+,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,16519,19964,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
569,+,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,16533,19965,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
570,+,-,-,-,+,-,-,-,-,+,+,,,,,,,,,,,,,,,,,11185,19966,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
571,+,-,-,-,-,-,-,-,-,+,+,,,,,,,,,,,,,,,,,16602,19967,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
572,+,+,+,+,+,-,+,-,-,+,+,,,,,,,,,,,,,,,,,13478,19968,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
573,+,+,+,+,+,-,+,-,-,+,+,,,,,,,,,,,,,,,,,14855,19970,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
574,+,-,-,-,+,-,-,-,-,-,+,,,,,,,,,,,,,,,,,16345,19971,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
575,-,+,+,+,+,-,+,-,-,+,+,,,,,,,,,,,,,,,,,16932,19972,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
576,-,+,+,-,-,-,+,-,-,+,+,,,,,,,,,,,,,,,,,13293,19973,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
577,+,+,+,+,+,-,+,-,+,+,+,,,,,,,,,,,,,,,,,13480,19974,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
578,+,+,-,-,+,-,-,-,-,+,+,,,,,,,,,,,,,,,,,7872,19980,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
579,-,-,-,-,-,-,+,-,-,+,+,,,,,,,,,,,,,,,,,16924,19981,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
580,-,+,+,+,-,-,-,-,-,+,+,,,,,,,,,,,,,,,,,16549,19982,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
581,+,+,+,-,+,-,+,-,-,+,+,,,,,,,,,,,,,,,,,16550,19983,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
582,-,+,+,+,+,-,+,-,-,+,-,,,,,,,,,,,,,,,,,16973,19984,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
583,-,-,-,-,-,-,+,-,-,+,-,,,,,,,,,,,,,,,,,16551,19985,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
584,+,+,+,+,+,-,-,-,-,+,+,,,,,,,,,,,,,,,,,7833,19986,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
585,-,-,-,-,-,-,-,-,-,+,+,,,,,,,,,,,,,,,,,7832,19987,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
586,-,-,-,-,-,-,-,-,-,+,+,,,,,,,,,,,,,,,,,7834,19988,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
587,+,+,+,+,+,-,+,-,-,+,+,,,,,,,,,,,,,,,,,7831,19989,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
588,-,-,-,-,-,-,+,-,-,+,-,,,,,,,,,,,,,,,,,10578,19990,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
589,-,+,+,+,+,-,+,-,-,-,+,,,,,,,,,,,,,,,,,16966,19991,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
590,-,+,+,+,+,-,-,-,-,+,-,,,,,,,,,,,,,,,,,10579,19992,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
591,+,+,+,+,+,-,+,-,-,+,+,,,,,,,,,,,,,,,,,13454,19993,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
592,+,-,-,-,-,-,-,-,-,+,-,,,,,,,,,,,,,,,,,7848,19996,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
593,+,+,-,-,-,-,-,-,-,+,-,,,,,,,,,,,,,,,,,8044,19997,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
594,-,+,-,-,+,-,+,-,-,-,-,,,,,,,,,,,,,,,,,11023,19998,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
595,+,+,+,-,+,-,+,-,-,-,-,,,,,,,,,,,,,,,,,11024,19999,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
596,-,-,-,+,-,-,+,-,-,+,+,,,,,,,,,,,,,,,,,7861,20001,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
597,-,+,+,+,+,-,+,-,-,-,-,,,,,,,,,,,,,,,,,10725,20002,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
598,-,+,-,-,+,-,-,-,-,+,-,,,,,,,,,,,,,,,,,16976,20003,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
599,-,-,-,-,+,-,-,-,-,+,-,,,,,,,,,,,,,,,,,10580,20004,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
600,-,+,+,+,-,-,+,-,-,-,-,,,,,,,,,,,,,,,,,17100,20005,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
601,-,+,+,+,+,-,-,-,-,-,+,,,,,,,,,,,,,,,,,16979,20006,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
602,+,+,+,+,+,-,+,-,-,+,+,,,,,,,,,,,,,,,,,13509,20007,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
603,+,+,-,-,+,-,+,-,-,+,+,,,,,,,,,,,,,,,,,13291,20008,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
604,-,+,+,+,-,-,+,-,-,-,+,,,,,,,,,,,,,,,,,3940,20013,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
605,+,+,-,-,+,-,+,-,-,+,+,,,,,,,,,,,,,,,,,16986,20016,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
606,-,-,-,-,-,-,+,-,-,+,+,,,,,,,,,,,,,,,,,16980,20021,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
607,+,+,+,+,+,-,+,-,-,+,+,,,,,,,,,,,,,,,,,16579,20022,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
608,+,+,-,+,+,-,+,-,-,+,+,,,,,,,,,,,,,,,,,13455,20023,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
609,+,+,+,+,+,-,+,-,-,+,+,,,,,,,,,,,,,,,,,13288,20024,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
610,+,+,+,+,+,-,+,-,-,-,+,,,,,,,,,,,,,,,,,13484,20025,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
611,+,+,+,+,+,-,+,-,-,+,+,,,,,,,,,,,,,,,,,13308,20026,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
612,+,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,10173,20027,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
613,-,+,+,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,17101,20028,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
614,-,+,+,+,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,13370,20031,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
616,-,+,+,+,+,-,+,-,-,+,+,,,,,,,,,,,,,,,,,13203,20033,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
617,+,+,+,+,+,-,+,-,-,-,+,,,,,,,,,,,,,,,,,13230,20035,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
618,+,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,,,,,,,,6291,20037,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
619,+,+,-,+,+,-,+,-,-,+,+,,,,,,,,,,,,,,,,,16558,20044,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
620,-,-,-,-,-,-,-,-,-,+,-,,,,,,,,,,,,,,,,,8028,20045,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
621,-,-,-,-,+,-,-,-,-,+,-,,,,,,,,,,,,,,,,,16581,20051,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
622,-,+,+,+,+,-,+,-,-,-,-,,,,,,,,,,,,,,,,,10596,20052,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
623,+,+,+,+,+,-,+,-,-,+,+,,,,,,,,,,,,,,,,,6323,20054,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
624,+,+,+,+,+,-,+,-,-,+,+,,,,,,,,,,,,,,,,,6325,20055,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
