ID_met_antibiogram,FK_tbl_antibio_mcro,P_res,P_antibiogram,P_rgStart,P_rgEnd,OX_res,OX_antibiogram,OX_rgStart,OX_rgEnd,AMP_res,AMP_antibiogram,AMP_rgStart,AMP_rgEnd,TIC_res,TIC_antibiogram,TIC_rgStart,TIC_rgEnd,MEZ_res,MEZ_antibiogram,MEZ_rgStart,MEZ_rgEnd,KF_res,KF_antibiogram,KF_rgStart,KF_rgEnd,KZ_res,KZ_antibiogram,KZ_rgStart,KZ_rgEnd,CTX_res,CTX_antibiogram,CTX_rgStart,CTX_rgEnd,ATM_res,ATM_antibiogram,ATM_rgStart,ATM_rgEnd,IPM_res,IPM_antibiogram,IPM_rgStart,IPM_rgEnd,TE_res,TE_antibiogram,TE_rgStart,TE_rgEnd,C_res,C_antibiogram,C_rgStart,C_rgEnd,CN_res,CN_antibiogram,CN_rgStart,CN_rgEnd,AK_res,AK_antibiogram,AK_rgStart,AK_rgEnd,VA_res,VA_antibiogram,VA_rgStart,VA_rgEnd,E_res,E_antibiogram,E_rgStart,E_rgEnd,MY_res,MY_antibiogram,MY_rgStart,MY_rgEnd,OFX_res,OFX_antibiogram,OFX_rgStart,OFX_rgEnd,NOR_res,NOR_antibiogram,NOR_rgStart,NOR_rgEnd,CT_res,CT_antibiogram,CT_rgStart,CT_rgEnd,PIP_res,PIP_antibiogram,PIP_rgStart,PIP_rgEnd,F_res,F_antibiogram,F_rgStart,F_rgEnd,B_res,B_antibiogram,B_rgStart,B_rgEnd,PB_res,PB_antibiogram,PB_rgStart,PB_rgEnd,K_res,K_antibiogram,K_rgStart,K_rgEnd,N_res,N_antibiogram,N_rgStart,N_rgEnd,DO_res,DO_antibiogram,DO_rgStart,DO_rgEnd,CRO_res,CRO_antibiogram,CRO_rgStart,CRO_rgEnd,DA_res,DA_antibiogram,DA_rgStart,DA_rgEnd,FOS_res,FOS_antibiogram,FOS_rgStart,FOS_rgEnd,MXF_res,MXF_antibiogram,MXF_rgStart,MXF_rgEnd,LZD_res,LZD_antibiogram,LZD_rgStart,LZD_rgEnd,NS_res,NS_antibiogram,NS_rgStart,NS_rgEnd,QD_res,QD_antibiogram,QD_rgStart,QD_rgEnd,TEC_res,TEC_antibiogram,TEC_rgStart,TEC_rgEnd,TZP_res,TZP_antibiogram,TZP_rgStart,TZP_rgEnd,Medium_antibiogram,Inc_temp_antibiogram,Inc_time_antibiogram,Inc_ox_antibiogram,ID_strains,ID_reference,manual_annotation,last_change
386,403,0,20,20,20,0,10,10,10,0,30,30,30,0,40,40,40,0,40,40,40,0,10,10,10,0,10,10,10,0.0,50,50.0,50.0,0.0,50,50.0,50.0,0,28-30,28,30,0,32,32,32,0.0,32,32.0,32.0,0,24-26,24,26,0.0,26,26.0,26.0,0,0,0,0,0,0,0,0,0,8-10,8,10,0,36-38,36,38,0,38-40,38,40,0.0,0,0.0,0.0,0,30,30,30,0,14-16,14,16,0,0,0,0,0,0,0,0,0.0,38,38.0,38.0,0,22,22,22,0,30,30,30,0.0,48,48.0,48.0,0.0,10-12,10.0,12.0,0.0,20,20.0,20.0,0.0,32,32.0,32.0,0.0,14,14.0,14.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,42,42.0,42.0,Mueller-Hinton Agar,,,,4986,9174,1,2019-11-27 10:57:22
387,404,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,0,28,28,28,0,10,10,10,0,14,14,14,0.0,40,40.0,40.0,0.0,42,42.0,42.0,0,38,38,38,0,32-34,32,34,0.0,40,40.0,40.0,0,22,22,22,0.0,24,24.0,24.0,0,0,0,0,0,20-22,20,22,0,0,0,0,0,38,38,38,0,38,38,38,0.0,16,16.0,16.0,0,32,32,32,0,32,32,32,0,0,0,0,0,16,16,16,0.0,34-36,34.0,36.0,0,18-20,18,20,0,30,30,30,0.0,36,36.0,36.0,0.0,0,0.0,0.0,0.0,38,38.0,38.0,0.0,34,34.0,34.0,0.0,10,10.0,10.0,0.0,0,0.0,0.0,0.0,10,10.0,10.0,0.0,0,0.0,0.0,0.0,32,32.0,32.0,Mueller-Hinton Agar,,,,237,9191,1,2019-11-27 10:57:22
388,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24,24.0,24.0,0.0,32,32.0,32.0,0,28,28,28,0,22-24,22,24,0.0,20-22,20.0,22.0,0,22-24,22,24,0.0,28,28.0,28.0,0,0,0,0,0,8,8,8,0,0,0,0,0,28-30,28,30,0,36,36,36,0.0,18,18.0,18.0,0,24,24,24,0,0,0,0,0,0,0,0,0,18,18,18,0.0,14,14.0,14.0,0,18,18,18,0,20-22,20,22,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,Mueller-Hinton Agar,28.0,,,12797,12520,1,2019-11-27 10:57:22
389,406,0,8,8,8,0,0,0,0,0,10,10,10,0,10,10,10,0,10,10,10,0,10,10,10,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,12,12,12,0,0,0,0,0.0,28,28.0,28.0,0,24,24,24,0.0,24,24.0,24.0,0,20,20,20,0,10,10,10,0,26-28,26,28,0,26,26,26,0,22,22,22,0.0,0,0.0,0.0,0,10,10,10,0,22,22,22,0,26-28,26,28,0,8,8,8,0.0,36,36.0,36.0,0,22,22,22,0,10,10,10,0.0,0,0.0,0.0,0.0,34,34.0,34.0,0.0,32-34,32.0,34.0,0.0,30,30.0,30.0,0.0,26-28,26.0,28.0,0.0,0,0.0,0.0,0.0,26-28,26.0,28.0,0.0,16-18,16.0,18.0,0.0,10-12,10.0,12.0,Mueller-Hinton Agar,,,,14492,12521,1,2019-11-27 10:57:22
390,407,0,0,0,0,0,0,0,0,0,6,6,6,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,14,14.0,14.0,0,16,16,16,0.0,12-14,12.0,14.0,0,12,12,12,0,6-8,6,8,0,20-22,20,22,0,16,16,16,0,18-20,18,20,0.0,0,0.0,0.0,0,0,0,0,0,14-16,14,16,0,18,18,18,0,0,0,0,0.0,14-16,14.0,16.0,0,18,18,18,0,8,8,8,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,Mueller-Hinton Agar,37.0,,,14492,12521,1,2019-11-27 10:57:22
391,408,0,6,6,6,0,0,0,0,0,10,10,10,0,10,10,10,0,10,10,10,0,8-10,8,10,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,10,10,10,0,6,6,6,0.0,30,30.0,30.0,0,26,26,26,0.0,26,26.0,26.0,0,20,20,20,0,12,12,12,0,30,30,30,0,26,26,26,0,24-26,24,26,0.0,0,0.0,0.0,0,6,6,6,0,22,22,22,0,28,28,28,0,6-8,6,8,0.0,26,26.0,26.0,0,24,24,24,0,12,12,12,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,Mueller-Hinton Agar,37.0,,,14492,12521,1,2019-11-27 10:57:22
392,409,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,0,8,8,8,0,0,0,0,0,0,0,0,0.0,8,8.0,8.0,0.0,12,12.0,12.0,0,28,28,28,0,24,24,24,0.0,26-28,26.0,28.0,0,22-24,22,24,0.0,26,26.0,26.0,0,0,0,0,0,8-10,8,10,0,0,0,0,0,32-34,32,34,0,30,30,30,0.0,12-14,12.0,14.0,0,26-28,26,28,0,16,16,16,0,0,0,0,0,14,14,14,0.0,24-26,24.0,26.0,0,20,20,20,0,20,20,20,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,20-22,20.0,22.0,0.0,30,30.0,30.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,14,14.0,14.0,Mueller-Hinton Agar,37.0,1.0,aerob,4362,12534,1,2019-11-27 10:57:22
393,410,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,28,0,20,20,20,0,0,0,0,0,0,0,0,0.0,22,22.0,22.0,0.0,30,30.0,30.0,0,20,20,20,0,10-12,10,12,0.0,10-12,10.0,12.0,0,20,20,20,0.0,24,24.0,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,0,30,30,30,0.0,12,12.0,12.0,0,14-16,14,16,0,0,0,0,0,0,0,0,0,14-16,14,16,0.0,12-14,12.0,14.0,0,16,16,16,0,10,10,10,0.0,24,24.0,24.0,0.0,0,0.0,0.0,0.0,18-20,18.0,20.0,0.0,18-20,18.0,20.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,26,26.0,26.0,Mueller-Hinton Agar,37.0,1.0,aerob,12799,12536,1,2019-11-27 10:57:22
394,411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16,0,0,0,0,0,0,0,0,0.0,12-14,12.0,14.0,0.0,12,12.0,12.0,0,22,22,22,0,26-28,26,28,0.0,18-20,18.0,20.0,0,24,24,24,0.0,30,30.0,30.0,0,0,0,0,0,10,10,10,0,0,0,0,0,30,30,30,0,36,36,36,0.0,0,0.0,0.0,0,22-24,22,24,0,0,0,0,0,0,0,0,0,12-14,12,14,0.0,22,22.0,22.0,0,22,22,22,0,24-26,24,26,0.0,10,10.0,10.0,0.0,0,0.0,0.0,0.0,36,36.0,36.0,0.0,28,28.0,28.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,30,30.0,30.0,Mueller-Hinton Agar,37.0,1.0,aerob,12851,12634,1,2019-11-27 10:57:22
395,412,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,0,20-22,20,22,0,0,0,0,0,0,0,0,0.0,16,16.0,16.0,0.0,0,0.0,0.0,0,10,10,10,0,28,28,28,0.0,34,34.0,34.0,0,24,24,24,0.0,26,26.0,26.0,0,6,6,6,0,14,14,14,0,0,0,0,0,32-34,32,34,0,26,26,26,0.0,12,12.0,12.0,0,22,22,22,0,0,0,0,0,12,12,12,0,14,14,14,0.0,40-42,40.0,42.0,0,22,22,22,0,30,30,30,0.0,12,12.0,12.0,0.0,0,0.0,0.0,0.0,18,18.0,18.0,0.0,40,40.0,40.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,10,10.0,10.0,0.0,8,8.0,8.0,0.0,22-24,22.0,24.0,Mueller-Hinton Agar,,,,17532,12669,1,2019-11-27 10:57:22
