ID_met_antibiogram,FK_tbl_antibio_mcro,P_res,P_antibiogram,P_rgStart,P_rgEnd,OX_res,OX_antibiogram,OX_rgStart,OX_rgEnd,AMP_res,AMP_antibiogram,AMP_rgStart,AMP_rgEnd,TIC_res,TIC_antibiogram,TIC_rgStart,TIC_rgEnd,MEZ_res,MEZ_antibiogram,MEZ_rgStart,MEZ_rgEnd,KF_res,KF_antibiogram,KF_rgStart,KF_rgEnd,KZ_res,KZ_antibiogram,KZ_rgStart,KZ_rgEnd,CTX_res,CTX_antibiogram,CTX_rgStart,CTX_rgEnd,ATM_res,ATM_antibiogram,ATM_rgStart,ATM_rgEnd,IPM_res,IPM_antibiogram,IPM_rgStart,IPM_rgEnd,TE_res,TE_antibiogram,TE_rgStart,TE_rgEnd,C_res,C_antibiogram,C_rgStart,C_rgEnd,CN_res,CN_antibiogram,CN_rgStart,CN_rgEnd,AK_res,AK_antibiogram,AK_rgStart,AK_rgEnd,VA_res,VA_antibiogram,VA_rgStart,VA_rgEnd,E_res,E_antibiogram,E_rgStart,E_rgEnd,MY_res,MY_antibiogram,MY_rgStart,MY_rgEnd,OFX_res,OFX_antibiogram,OFX_rgStart,OFX_rgEnd,NOR_res,NOR_antibiogram,NOR_rgStart,NOR_rgEnd,CT_res,CT_antibiogram,CT_rgStart,CT_rgEnd,PIP_res,PIP_antibiogram,PIP_rgStart,PIP_rgEnd,F_res,F_antibiogram,F_rgStart,F_rgEnd,B_res,B_antibiogram,B_rgStart,B_rgEnd,PB_res,PB_antibiogram,PB_rgStart,PB_rgEnd,K_res,K_antibiogram,K_rgStart,K_rgEnd,N_res,N_antibiogram,N_rgStart,N_rgEnd,DO_res,DO_antibiogram,DO_rgStart,DO_rgEnd,CRO_res,CRO_antibiogram,CRO_rgStart,CRO_rgEnd,DA_res,DA_antibiogram,DA_rgStart,DA_rgEnd,FOS_res,FOS_antibiogram,FOS_rgStart,FOS_rgEnd,MXF_res,MXF_antibiogram,MXF_rgStart,MXF_rgEnd,LZD_res,LZD_antibiogram,LZD_rgStart,LZD_rgEnd,NS_res,NS_antibiogram,NS_rgStart,NS_rgEnd,QD_res,QD_antibiogram,QD_rgStart,QD_rgEnd,TEC_res,TEC_antibiogram,TEC_rgStart,TEC_rgEnd,TZP_res,TZP_antibiogram,TZP_rgStart,TZP_rgEnd,Medium_antibiogram,Inc_temp_antibiogram,Inc_time_antibiogram,Inc_ox_antibiogram,ID_strains,ID_reference,manual_annotation,last_change
1,3,0,38-40,38,40,0,32-34,32,34,0,38,38,38,0,40,40,40,0,34,34,34,0,50,50,50,0,42,42,42,0.0,38-40,38.0,40.0,0.0,20,20.0,20.0,0,48,48,48,0,24,24,24,0.0,34,34.0,34.0,0,28,28,28,0.0,30,30.0,30.0,0,24,24,24,0,36,36,36,0,20,20,20,0,34,34,34,0,34,34,34,0.0,10,10.0,10.0,0,22,22,22,0,24,24,24,0,6,6,6,0,14,14,14,0.0,32,32.0,32.0,0,24,24,24,0,32,32,32,0.0,36-38,36.0,38.0,0.0,34,34.0,34.0,0.0,12,12.0,12.0,0.0,38,38.0,38.0,0.0,40,40.0,40.0,0.0,0,0.0,0.0,0.0,22,22.0,22.0,0.0,22,22.0,22.0,0.0,36,36.0,36.0,Mueller-Hinton Agar,30.0,1.0,aerob,1172,2017,1,2019-11-27 10:57:22
2,4,0,22,22,22,0,26-28,26,28,0,24-26,24,26,0,24-26,24,26,0,20,20,20,0,38,38,38,0,32,32,32,0.0,26,26.0,26.0,0.0,8,8.0,8.0,0,44,44,44,0,16,16,16,0.0,22-24,22.0,24.0,0,22,22,22,0.0,24-26,24.0,26.0,0,16,16,16,0,22,22,22,0,12,12,12,0,24,24,24,0,24,24,24,0.0,8,8.0,8.0,0,14,14,14,0,16-18,16,18,0,8,8,8,0,10,10,10,0.0,24,24.0,24.0,0,18-20,18,20,0,24,24,24,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,Mueller-Hinton Agar,37.0,,,1172,2017,1,2019-11-27 10:57:22
3,5,0,46,46,46,0,36-38,36,38,0,46,46,46,0,50,50,50,0,40-42,40,42,0,>50,50,100,0,42,42,42,0.0,34,34.0,34.0,0.0,24,24.0,24.0,0,50,50,50,0,28-30,28,30,0.0,36-38,36.0,38.0,0,32,32,32,0.0,34,34.0,34.0,0,30,30,30,0,38,38,38,0,18-20,18,20,0,32-34,32,34,0,32,32,32,0.0,12,12.0,12.0,0,20,20,20,0,28,28,28,0,10,10,10,0,16,16,16,0.0,34-36,34.0,36.0,0,30,30,30,0,38,38,38,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,Mueller-Hinton Agar,28.0,,,1172,2017,1,2019-11-27 10:57:22
4,6,0,10,10,10,0,0,0,0,0,10,10,10,0,14,14,14,0,26,26,26,0,14,14,14,0,12,12,12,0.0,14-16,14.0,16.0,0.0,0,0.0,0.0,0,40,40,40,0,40,40,40,0.0,30,30.0,30.0,0,28,28,28,0.0,32,32.0,32.0,0,22,22,22,0,34-36,34,36,0,18-20,18,20,0,28-30,28,30,0,28,28,28,0.0,0,0.0,0.0,0,18,18,18,0,26,26,26,0,12-14,12,14,0,10,10,10,0.0,24,24.0,24.0,0,28,28,28,0,40,40,40,0.0,18-20,18.0,20.0,0.0,28-30,28.0,30.0,0.0,20,20.0,20.0,0.0,30,30.0,30.0,0.0,38-40,38.0,40.0,0.0,0,0.0,0.0,0.0,20,20.0,20.0,0.0,20-22,20.0,22.0,0.0,28,28.0,28.0,Mueller-Hinton Agar,30.0,,aerob,605,138,1,2019-11-27 10:57:22
5,7,0,12,12,12,0,0,0,0,0,12,12,12,0,14,14,14,0,24-26,24,26,0,14,14,14,0,14,14,14,0.0,16,16.0,16.0,0.0,0,0.0,0.0,0,42,42,42,0,40,40,40,0.0,30,30.0,30.0,0,26,26,26,0.0,28-30,28.0,30.0,0,22,22,22,0,36,36,36,0,18,18,18,0,28,28,28,0,26,26,26,0.0,0,0.0,0.0,0,16-18,16,18,0,26,26,26,0,12,12,12,0,10,10,10,0.0,22,22.0,22.0,0,24,24,24,0,40,40,40,0.0,20,20.0,20.0,0.0,30,30.0,30.0,0.0,24,24.0,24.0,0.0,30,30.0,30.0,0.0,40,40.0,40.0,0.0,0,0.0,0.0,0.0,22,22.0,22.0,0.0,20,20.0,20.0,0.0,28,28.0,28.0,Mueller-Hinton Agar,30.0,1.0,aerob,605,138,1,2019-11-27 10:57:22
6,8,0,12,12,12,0,0,0,0,0,10,10,10,0,16-18,16,18,0,26-28,26,28,0,16,16,16,0,12,12,12,0.0,20,20.0,20.0,0.0,0,0.0,0.0,0,44,44,44,0,40,40,40,0.0,32-34,32.0,34.0,0,26,26,26,0.0,30,30.0,30.0,0,24-26,24,26,0,36,36,36,0,16-18,16,18,0,30,30,30,0,28-30,28,30,0.0,10,10.0,10.0,0,18,18,18,0,30,30,30,0,18-20,18,20,0,12-14,12,14,0.0,38-40,38.0,40.0,0,22-24,22,24,0,40,40,40,0.0,20-22,20.0,22.0,0.0,30,30.0,30.0,0.0,24-26,24.0,26.0,0.0,30-32,30.0,32.0,0.0,36-38,36.0,38.0,0.0,0,0.0,0.0,0.0,24,24.0,24.0,0.0,22,22.0,22.0,0.0,30,30.0,30.0,Mueller-Hinton Agar,,,,605,138,1,2019-11-27 10:57:22
7,9,0,40,40,40,0,32-34,32,34,0,36-38,36,38,0,42-44,42,44,0,34,34,34,0,40,40,40,0,40,40,40,0.0,28,28.0,28.0,0.0,0,0.0,0.0,0,50,50,50,0,32-34,32,34,0.0,30,30.0,30.0,0,22,22,22,0.0,24,24.0,24.0,0,20,20,20,0,30,30,30,0,30,30,30,0,28,28,28,0,22-24,22,24,0.0,0,0.0,0.0,0,8,8,8,0,24,24,24,0,18,18,18,0,8,8,8,0.0,26,26.0,26.0,0,20,20,20,0,34,34,34,0.0,28,28.0,28.0,0.0,38,38.0,38.0,0.0,36-38,36.0,38.0,0.0,32,32.0,32.0,0.0,30,30.0,30.0,0.0,0,0.0,0.0,0.0,30,30.0,30.0,0.0,20,20.0,20.0,0.0,32-34,32.0,34.0,Mueller-Hinton Agar,,,,14445,139,1,2019-11-27 10:57:22
8,10,0,40-42,40,42,0,34,34,34,0,38-40,38,40,0,42-44,42,44,0,32-34,32,34,0,40-42,40,42,0,40,40,40,0.0,30,30.0,30.0,0.0,0,0.0,0.0,0,50,50,50,0,34,34,34,0.0,30,30.0,30.0,0,26,26,26,0.0,28,28.0,28.0,0,20,20,20,0,32,32,32,0,30,30,30,0,30,30,30,0,24-26,24,26,0.0,0,0.0,0.0,0,10,10,10,0,24-26,24,26,0,18-20,18,20,0,8,8,8,0.0,28-30,28.0,30.0,0,24,24,24,0,36,36,36,0.0,28-30,28.0,30.0,0.0,38-40,38.0,40.0,0.0,30-32,30.0,32.0,0.0,32,32.0,32.0,0.0,32,32.0,32.0,0.0,0,0.0,0.0,0.0,28-30,28.0,30.0,0.0,20,20.0,20.0,0.0,32-34,32.0,34.0,Mueller-Hinton Agar,,,,14445,139,1,2019-11-27 10:57:22
9,11,0,44,44,44,0,34-36,34,36,0,40,40,40,0,46,46,46,0,36,36,36,0,44,44,44,0,42-44,42,44,0.0,34,34.0,34.0,0.0,0,0.0,0.0,0,50,50,50,0,36-38,36,38,0.0,30,30.0,30.0,0,26-28,26,28,0.0,28,28.0,28.0,0,20,20,20,0,32-34,32,34,0,30,30,30,0,30,30,30,0,26,26,26,0.0,0,0.0,0.0,0,10,10,10,0,26,26,26,0,18,18,18,0,10,10,10,0.0,30,30.0,30.0,0,24,24,24,0,38,38,38,0.0,30,30.0,30.0,0.0,40,40.0,40.0,0.0,38-40,38.0,40.0,0.0,34-36,34.0,36.0,0.0,40,40.0,40.0,0.0,0,0.0,0.0,0.0,32,32.0,32.0,0.0,20,20.0,20.0,0.0,36,36.0,36.0,Mueller-Hinton Agar,37.0,1.0,aerob,14445,139,1,2019-11-27 10:57:22
10,12,0,42-44,42,44,0,36,36,36,0,40,40,40,0,48,48,48,0,36,36,36,0,44,44,44,0,42,42,42,0.0,30,30.0,30.0,0.0,0,0.0,0.0,0,50,50,50,0,38,38,38,0.0,32,32.0,32.0,0,26,26,26,0.0,26-28,26.0,28.0,0,20,20,20,0,32,32,32,0,30-32,30,32,0,30,30,30,0,24-26,24,26,0.0,0,0.0,0.0,0,10,10,10,0,26,26,26,0,20,20,20,0,8,8,8,0.0,28-30,28.0,30.0,0,22,22,22,0,38-40,38,40,0.0,30,30.0,30.0,0.0,40,40.0,40.0,0.0,38-40,38.0,40.0,0.0,34,34.0,34.0,0.0,40,40.0,40.0,0.0,0,0.0,0.0,0.0,30,30.0,30.0,0.0,20,20.0,20.0,0.0,38,38.0,38.0,Mueller-Hinton Agar,37.0,1.0,aerob,14445,139,1,2019-11-27 10:57:22
11,13,0,28,28,28,0,24,24,24,0,24,24,24,0,32,32,32,0,22,22,22,0,28,28,28,0,26-28,26,28,0.0,18-20,18.0,20.0,0.0,0,0.0,0.0,0,38,38,38,0,18,18,18,0.0,16-18,16.0,18.0,0,16,16,16,0.0,20,20.0,20.0,0,14,14,14,0,18,18,18,0,18,18,18,0,18,18,18,0,18,18,18,0.0,0,0.0,0.0,0,0,0,0,0,18,18,18,0,12,12,12,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,18,18,18,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,Mueller-Hinton Agar,37.0,,,14445,139,1,2019-11-27 10:57:22
12,14,0,40-42,40,42,0,34,34,34,0,36-38,36,38,0,42-44,42,44,0,32,32,32,0,40,40,40,0,40,40,40,0.0,28,28.0,28.0,0.0,0,0.0,0.0,0,50,50,50,0,32-34,32,34,0.0,30-32,30.0,32.0,0,26,26,26,0.0,26,26.0,26.0,0,20,20,20,0,30-32,30,32,0,28-30,28,30,0,28,28,28,0,24,24,24,0.0,0,0.0,0.0,0,12,12,12,0,24,24,24,0,18-20,18,20,0,10,10,10,0.0,34,34.0,34.0,0,22,22,22,0,36,36,36,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,Mueller-Hinton Agar,37.0,,,14445,139,1,2019-11-27 10:57:22
13,15,0,42,42,42,0,34,34,34,0,38-40,38,40,0,42-44,42,44,0,32-34,32,34,0,40-42,40,42,0,38-40,38,40,0.0,28,28.0,28.0,0.0,0,0.0,0.0,0,46,46,46,0,32,32,32,0.0,30-32,30.0,32.0,0,24,24,24,0.0,24,24.0,24.0,0,20-22,20,22,0,30-32,30,32,0,28-30,28,30,0,28-30,28,30,0,24-26,24,26,0.0,0,0.0,0.0,0,10,10,10,0,24,24,24,0,16-18,16,18,0,10,10,10,0.0,28,28.0,28.0,0,22,22,22,0,34-36,34,36,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,Mueller-Hinton Agar,37.0,,,14445,139,1,2019-11-27 10:57:22
14,16,0,38,38,38,0,32,32,32,0,36,36,36,0,42,42,42,0,32-34,32,34,0,48,48,48,0,42,42,42,0.0,38-40,38.0,40.0,0.0,12,12.0,12.0,0,48,48,48,0,36-38,36,38,0.0,34,34.0,34.0,0,28,28,28,0.0,30,30.0,30.0,0,26,26,26,0,34,34,34,0,20,20,20,0,36,36,36,0,34,34,34,0.0,10,10.0,10.0,0,24,24,24,0,24,24,24,0,14-16,14,16,0,14,14,14,0.0,30,30.0,30.0,0,24,24,24,0,36,36,36,0.0,34,34.0,34.0,0.0,32,32.0,32.0,0.0,10,10.0,10.0,0.0,40,40.0,40.0,0.0,36,36.0,36.0,0.0,0,0.0,0.0,0.0,20,20.0,20.0,0.0,20,20.0,20.0,0.0,34,34.0,34.0,Mueller-Hinton Agar,,,,1187,140,1,2019-11-27 10:57:22
15,17,0,38,38,38,0,32,32,32,0,36-38,36,38,0,42,42,42,0,32,32,32,0,46,46,46,0,42,42,42,0.0,40,40.0,40.0,0.0,14-16,14.0,16.0,0,50,50,50,0,36,36,36,0.0,34-36,34.0,36.0,0,26,26,26,0.0,30,30.0,30.0,0,26,26,26,0,32-34,32,34,0,20,20,20,0,34,34,34,0,34,34,34,0.0,10,10.0,10.0,0,24,24,24,0,22,22,22,0,8,8,8,0,12,12,12,0.0,30,30.0,30.0,0,22-24,22,24,0,38-40,38,40,0.0,34-36,34.0,36.0,0.0,32,32.0,32.0,0.0,14,14.0,14.0,0.0,38,38.0,38.0,0.0,36,36.0,36.0,0.0,0,0.0,0.0,0.0,22,22.0,22.0,0.0,22,22.0,22.0,0.0,34,34.0,34.0,Mueller-Hinton Agar,,,,1187,140,1,2019-11-27 10:57:22
16,18,0,40,40,40,0,32-34,32,34,0,40,40,40,0,42,42,42,0,32-34,32,34,0,50,50,50,0,42,42,42,0.0,38-40,38.0,40.0,0.0,10-12,10.0,12.0,0,50,50,50,0,38-40,38,40,0.0,36,36.0,36.0,0,28-30,28,30,0.0,30-32,30.0,32.0,0,26,26,26,0,36,36,36,0,22,22,22,0,36,36,36,0,36,36,36,0.0,12,12.0,12.0,0,26,26,26,0,22,22,22,0,10,10,10,0,16,16,16,0.0,32,32.0,32.0,0,26,26,26,0,38-40,38,40,0.0,36,36.0,36.0,0.0,32-34,32.0,34.0,0.0,6-8,6.0,8.0,0.0,40,40.0,40.0,0.0,40,40.0,40.0,0.0,0,0.0,0.0,0.0,22,22.0,22.0,0.0,22,22.0,22.0,0.0,34,34.0,34.0,Mueller-Hinton Agar,30.0,,aerob,1187,140,1,2019-11-27 10:57:22
17,19,0,40,40,40,0,34,34,34,0,40,40,40,0,44,44,44,0,36,36,36,0,50,50,50,0,42,42,42,0.0,40,40.0,40.0,0.0,12,12.0,12.0,0,50,50,50,0,38,38,38,0.0,38,38.0,38.0,0,30,30,30,0.0,30,30.0,30.0,0,26-28,26,28,0,36-38,36,38,0,22,22,22,0,36,36,36,0,38,38,38,0.0,10,10.0,10.0,0,28,28,28,0,24,24,24,0,10,10,10,0,14,14,14,0.0,32,32.0,32.0,0,24,24,24,0,40,40,40,0.0,36-38,36.0,38.0,0.0,32,32.0,32.0,0.0,8,8.0,8.0,0.0,40,40.0,40.0,0.0,40,40.0,40.0,0.0,0,0.0,0.0,0.0,22-24,22.0,24.0,0.0,22,22.0,22.0,0.0,36,36.0,36.0,Mueller-Hinton Agar,30.0,1.0,aerob,1187,140,1,2019-11-27 10:57:22
18,20,0,38,38,38,0,32,32,32,0,38,38,38,0,40,40,40,0,32,32,32,0,44,44,44,0,40,40,40,0.0,36,36.0,36.0,0.0,12,12.0,12.0,0,46,46,46,0,34,34,34,0.0,32,32.0,32.0,0,30,30,30,0.0,30,30.0,30.0,0,24,24,24,0,32,32,32,0,16,16,16,0,34,34,34,0,34,34,34,0.0,10,10.0,10.0,0,24,24,24,0,22,22,22,0,8,8,8,0,12,12,12,0.0,30,30.0,30.0,0,22,22,22,0,36,36,36,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,Mueller-Hinton Agar,37.0,,,1187,140,1,2019-11-27 10:57:22
19,21,0,>50,50,100,0,>50,50,100,0,>50,50,100,0,>50,50,100,0,>50,50,100,0,>50,50,100,0,44,44,44,0.0,>50,50.0,100.0,0.0,24-26,24.0,26.0,0,>50,50,100,0,44-46,44,46,0.0,46-48,46.0,48.0,0,26,26,26,0.0,26,26.0,26.0,0,30,30,30,0,>50,50,100,0,50,50,50,0,26,26,26,0,14-16,14,16,0.0,6,6.0,6.0,0,6,6,6,0,6,6,6,0,42,42,42,0,8,8,8,0.0,20,20.0,20.0,0,26,26,26,0,44,44,44,0.0,>50,50.0,100.0,0.0,>50,50.0,100.0,0.0,>50,50.0,100.0,0.0,34,34.0,34.0,0.0,48,48.0,48.0,0.0,0,0.0,0.0,0.0,48,48.0,48.0,0.0,24-26,24.0,26.0,0.0,>50,50.0,100.0,Mueller-Hinton Agar,30.0,2.0,aerob,7646,141,1,2019-11-27 10:57:22
20,22,0,>50,50,100,0,>50,50,100,0,>50,50,100,0,>50,50,100,0,>50,50,100,0,50,50,50,0,40,40,40,0.0,>50,50.0,100.0,0.0,24,24.0,24.0,0,>50,50,100,0,40,40,40,0.0,42,42.0,42.0,0,28,28,28,0.0,30,30.0,30.0,0,30,30,30,0,44-46,44,46,0,40,40,40,0,24-26,24,26,0,20,20,20,0.0,0,0.0,0.0,0,18-20,18,20,0,10,10,10,0,38,38,38,0,12,12,12,0.0,24,24.0,24.0,0,28,28,28,0,40-42,40,42,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,Mueller-Hinton Agar,37.0,,,7646,141,1,2019-11-27 10:57:22
21,23,0,40,40,40,0,30,30,30,0,38,38,38,0,44,44,44,0,36,36,36,0,46,46,46,0,40,40,40,0.0,18-20,18.0,20.0,0.0,0,0.0,0.0,0,46,46,46,0,36,36,36,0.0,26,26.0,26.0,0,28,28,28,0.0,28-30,28.0,30.0,0,26,26,26,0,32,32,32,0,0,0,0,0,34,34,34,0,28,28,28,0.0,10,10.0,10.0,0,16,16,16,0,26,26,26,0,6,6,6,0,14,14,14,0.0,30,30.0,30.0,0,26,26,26,0,40,40,40,0.0,28-30,28.0,30.0,0.0,24-26,24.0,26.0,0.0,18-20,18.0,20.0,0.0,40,40.0,40.0,0.0,40,40.0,40.0,0.0,0,0.0,0.0,0.0,26,26.0,26.0,0.0,22,22.0,22.0,0.0,34,34.0,34.0,Mueller-Hinton Agar,30.0,1.0,aerob,751,151,1,2019-11-27 10:57:22
22,24,0,40,40,40,0,28-30,28,30,0,38,38,38,0,44,44,44,0,32-34,32,34,0,40-42,40,42,0,38,38,38,0.0,14,14.0,14.0,0.0,8-10,8.0,10.0,0,44,44,44,0,32,32,32,0.0,24,24.0,24.0,0,28,28,28,0.0,30,30.0,30.0,0,22-24,22,24,0,30,30,30,0,10,10,10,0,32,32,32,0,28-30,28,30,0.0,10,10.0,10.0,0,18,18,18,0,24,24,24,0,6,6,6,0,14,14,14,0.0,30,30.0,30.0,0,24-26,24,26,0,34-36,34,36,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,Mueller-Hinton Agar,37.0,,,751,151,1,2019-11-27 10:57:22
23,25,0,0,0,0,0,0,0,0,0,20,20,20,0,32,32,32,0,28,28,28,0,22,22,22,0,28-30,28,30,0.0,40,40.0,40.0,0.0,36,36.0,36.0,0,34,34,34,0,30,30,30,0.0,28-30,28.0,30.0,0,24,24,24,0.0,26,26.0,26.0,0,8,8,8,0,12,12,12,0,0,0,0,0,34,34,34,0,32-34,32,34,0.0,14,14.0,14.0,0,26,26,26,0,26-28,26,28,0,0,0,0,0,16,16,16,0.0,24-26,24.0,26.0,0,20,20,20,0,22,22,22,0.0,36,36.0,36.0,0.0,0,0.0,0.0,0.0,40,40.0,40.0,0.0,32,32.0,32.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,28,28.0,28.0,Mueller-Hinton Agar,,,,4414,237,1,2019-11-27 10:57:22
24,26,0,0,0,0,0,0,0,0,0,22,22,22,0,32,32,32,0,30,30,30,0,24,24,24,0,30,30,30,0.0,40-42,40.0,42.0,0.0,40-42,40.0,42.0,0,36,36,36,0,30,30,30,0.0,30,30.0,30.0,0,24-26,24,26,0.0,28,28.0,28.0,0,0,0,0,0,14,14,14,0,0,0,0,0,34-36,34,36,0,36,36,36,0.0,16,16.0,16.0,0,28,28,28,0,26-28,26,28,0,0,0,0,0,16,16,16,0.0,38,38.0,38.0,0,20-22,20,22,0,24,24,24,0.0,40-42,40.0,42.0,0.0,0,0.0,0.0,0.0,40,40.0,40.0,0.0,34,34.0,34.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,32,32.0,32.0,Mueller-Hinton Agar,,,,4414,237,1,2019-11-27 10:57:22
25,27,0,12,12,12,0,0,0,0,0,28-30,28,30,0,36,36,36,0,28,28,28,0,26-28,26,28,0,30-32,30,32,0.0,44,44.0,44.0,0.0,48,48.0,48.0,0,36,36,36,0,30,30,30,0.0,36,36.0,36.0,0,26-28,26,28,0.0,28-30,28.0,30.0,0,8,8,8,0,10,10,10,0,0,0,0,0,42-44,42,44,0,42,42,42,0.0,16,16.0,16.0,0,36,36,36,0,40,40,40,0,0,0,0,0,16,16,16,0.0,38,38.0,38.0,0,24,24,24,0,26,26,26,0.0,44,44.0,44.0,0.0,0,0.0,0.0,0.0,42,42.0,42.0,0.0,40,40.0,40.0,0.0,0,0.0,0.0,0.0,8,8.0,8.0,0.0,0,0.0,0.0,0.0,10,10.0,10.0,0.0,30-32,30.0,32.0,Mueller-Hinton Agar,,,,4419,321,1,2019-11-27 10:57:22
26,28,0,40,40,40,0,34,34,34,0,40,40,40,0,44,44,44,0,34,34,34,0,50,50,50,0,44,44,44,0.0,36-38,36.0,38.0,0.0,12-14,12.0,14.0,0,50,50,50,0,38,38,38,0.0,38,38.0,38.0,0,30,30,30,0.0,30,30.0,30.0,0,28,28,28,0,36,36,36,0,22-24,22,24,0,38,38,38,0,34,34,34,0.0,10,10.0,10.0,0,24,24,24,0,24,24,24,0,8,8,8,0,14-16,14,16,0.0,32,32.0,32.0,0,26,26,26,0,40,40,40,0.0,36,36.0,36.0,0.0,34-36,34.0,36.0,0.0,20,20.0,20.0,0.0,40,40.0,40.0,0.0,40,40.0,40.0,0.0,0,0.0,0.0,0.0,22,22.0,22.0,0.0,24,24.0,24.0,0.0,36,36.0,36.0,Mueller-Hinton Agar,30.0,1.0,aerob,1188,323,1,2019-11-27 10:57:22
27,29,0,40,40,40,0,34,34,34,0,40,40,40,0,44,44,44,0,34,34,34,0,50,50,50,0,42-44,42,44,0.0,40,40.0,40.0,0.0,10,10.0,10.0,0,50,50,50,0,38,38,38,0.0,36,36.0,36.0,0,30,30,30,0.0,32,32.0,32.0,0,26,26,26,0,34-36,34,36,0,24,24,24,0,36,36,36,0,34-36,34,36,0.0,10,10.0,10.0,0,24-26,24,26,0,24-26,24,26,0,10-12,10,12,0,16,16,16,0.0,32,32.0,32.0,0,26,26,26,0,40,40,40,0.0,36,36.0,36.0,0.0,34-36,34.0,36.0,0.0,12-14,12.0,14.0,0.0,40,40.0,40.0,0.0,40,40.0,40.0,0.0,0,0.0,0.0,0.0,20-22,20.0,22.0,0.0,22-24,22.0,24.0,0.0,36,36.0,36.0,Mueller-Hinton Agar,30.0,,aerob,1188,323,1,2019-11-27 10:57:22
28,30,0,28-30,28,30,0,28,28,28,0,28-30,28,30,0,30-32,30,32,0,26,26,26,0,48,48,48,0,42,42,42,0.0,30,30.0,30.0,0.0,8,8.0,8.0,0,46,46,46,0,30,30,30,0.0,28,28.0,28.0,0,22,22,22,0.0,24,24.0,24.0,0,22,22,22,0,28,28,28,0,14,14,14,0,0,0,0,0,30,30,30,0.0,8,8.0,8.0,0,20,20,20,0,20,20,20,0,6,6,6,0,12,12,12,0.0,26,26.0,26.0,0,24,24,24,0,30,30,30,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,Mueller-Hinton Agar,37.0,,,1188,323,1,2019-11-27 10:57:22
29,31,0,10,10,10,0,12,12,12,0,14,14,14,0,14,14,14,0,24-26,24,26,0,32,32,32,0,28-30,28,30,0.0,42,42.0,42.0,0.0,40-42,40.0,42.0,0,30,30,30,0,28-30,28,30,0.0,36,36.0,36.0,0,22,22,22,0.0,24,24.0,24.0,0,8,8,8,0,20,20,20,0,8-10,8,10,0,38,38,38,0,36,36,36,0.0,14,14.0,14.0,0,26,26,26,0,24,24,24,0,0,0,0,0,14,14,14,0.0,24-26,24.0,26.0,0,20,20,20,0,28-30,28,30,0.0,38-40,38.0,40.0,0.0,20-22,20.0,22.0,0.0,24-26,24.0,26.0,0.0,36-38,36.0,38.0,0.0,20,20.0,20.0,0.0,0,0.0,0.0,0.0,10,10.0,10.0,0.0,0,0.0,0.0,0.0,30,30.0,30.0,Mueller-Hinton Agar,37.0,1.0,aerob,4968,357,1,2019-11-27 10:57:22
30,32,0,8,8,8,0,0,0,0,0,24,24,24,0,32-34,32,34,0,28,28,28,0,20-22,20,22,0,28,28,28,0.0,38,38.0,38.0,0.0,38,38.0,38.0,0,34,34,34,0,28-30,28,30,0.0,32-34,32.0,34.0,0,24,24,24,0.0,24-26,24.0,26.0,0,0,0,0,0,10,10,10,0,0,0,0,0,36,36,36,0,38,38,38,0.0,14,14.0,14.0,0,28,28,28,0,24,24,24,0,0,0,0,0,16,16,16,0.0,24,24.0,24.0,0,20,20,20,0,26,26,26,0.0,36,36.0,36.0,0.0,10,10.0,10.0,0.0,36,36.0,36.0,0.0,34,34.0,34.0,0.0,10,10.0,10.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,26,26.0,26.0,Mueller-Hinton Agar,37.0,1.0,aerob,4420,358,1,2019-11-27 10:57:22
