ID_metabolites,metabolite,ID_strains,last_change
219,Lincomycin,138,
220,Neomycin,138,
221,Streptomycin,138,
222,Novobiocin,138,
223,Ampicillin,139,
224,Chloramphenicol,139,
225,Gentamicin,139,
226,Kanamycin,139,
227,Neomycin,139,
228,Streptomycin,139,
229,Lincomycin,139,
230,Novobiocin,139,
231,Gentamicin,140,
232,Kanamycin,140,
233,Neomycin,140,
234,Streptomycin,140,
235,Ampicillin,140,
236,Chloramphenicol,140,
237,Lincomycin,140,
238,Novobiocin,140,
239,Ampicillin,141,
240,Chloramphenicol,141,
241,Gentamicin,141,
242,Neomycin,141,
243,Streptomycin,141,
244,Kanamycin,141,
245,Lincomycin,141,
246,Novobiocin,141,
247,Ampicillin,142,
248,Neomycin,142,
249,Streptomycin,142,
250,Chloramphenicol,142,
251,Gentamicin,142,
252,Lincomycin,142,
253,Kanamycin,142,
254,Novobiocin,142,
255,Ampicillin,143,
256,Gentamicin,143,
257,Lincomycin,143,
258,Neomycin,143,
259,Streptomycin,143,
260,Chloramphenicol,143,
261,Kanamycin,143,
262,Novobiocin,143,
263,Cephalothin,160,
264,Penicillin G,160,
265,Chloramphenicol,160,
266,Trimethoprim,160,
267,Chloramphenicol,161,
268,Clindamycin,161,
269,Erythromycin,161,
270,Penicillin G,161,
271,Tetracycline,161,
272,Vancomycin,229,
273,Clindamycin,234,
274,Erythromycin,234,
275,Lincomycin,234,
276,Neomycin,234,
277,Ampicillin,242,
278,Cloxacillin,242,
279,Novobiocin,242,
280,Penicillin G,242,
281,Sulfisoxazole,242,
282,Vibriostat,242,
283,Chloramphenicol,242,
284,Chlortetracyclin,242,
285,Colistin,242,
286,Erythromycin,242,
287,Furazolidone,242,
288,Gentamicin,242,
289,Kanamycin,242,
290,Neomycin,242,
291,Nitrofurantoin,242,
292,Oxytetracycline,242,
293,Streptomycin,242,
294,Tetracycline,242,
295,Amoxicillin,258,
296,Ampicillin,258,
297,Carbenicillin,258,
298,Fosfomycin,258,
299,Novobiocin,258,
300,Phenoxymethylpenicillin,258,
301,Sulfadimethoxine,258,
302,Sulfanilamide,258,
303,Trimethoprim,258,
304,Vibriostat,258,
305,Amikacin,258,
306,Chloramphenicol,258,
307,Erythromycin,258,
308,Gentamicin,258,
309,Kanamycin,258,
310,Nalidixic acid,258,
311,Nitrofurantoin,258,
312,Oxolinic acid,258,
313,Polymyxin B,258,
314,Rifampicin,258,
315,Streptomycin,258,
316,Tetracycline,258,
317,Tobramycin,258,
318,Vibriostat,261,
319,Ampicillin,261,
320,Cephalothin,261,
321,Ampicillin,262,
322,Penicillin G,262,
323,Erythromycin,262,
324,Vibriostat,262,
325,Streptomycin,262,
326,Polymyxin B,262,
327,Gentamicin,262,
328,Imipenem,262,
329,Tobramycin,262,
330,Amikacin,262,
331,Amoxicillin,262,
332,Cefoxitin,262,
333,Ceftriaxone,262,
334,Cefuroxime,262,
335,Tetracycline,262,
336,Ciprofloxacin,262,
337,Colistin,262,
338,Lincomycin,271,
339,Methicillin,271,
340,Vibriostat,271,
341,Penicillin G,271,
342,Polymyxin B,271,
343,Bacitracin,271,
344,Ampicillin,271,
345,Colistin,271,
346,Gentamicin,271,
347,Streptomycin,271,
348,Erythromycin,271,
349,Rifampicin,271,
350,Tetracycline,271,
351,Cephalothin,271,
352,Chloramphenicol,271,
353,Kanamycin,271,
354,Neomycin,271,
355,Novobiocin,271,
356,Nitrofurantoin,271,
357,Sulfisomidine,271,
358,Amoxicillin,279,
359,Ampicillin,279,
360,Clarithromycin,279,
361,Oxacillin,279,
362,Penicillin G,279,
363,Teicoplanin,279,
364,Vancomycin,279,
365,Vibriostat,279,
366,Amikacin,279,
367,Ceftazidime,279,
368,Cephotaxime,279,
369,Chloramphenicol,279,
370,Gentamicin,279,
371,Kanamycin,279,
372,Mezlocillin,279,
373,Netilmycin,279,
374,Piperacillin,279,
375,Spectinomycin,279,
376,Tetracycline,279,
377,Tobramycin,279,
378,Trimethoprim,279,
379,Ampicillin,280,
380,Penicillin G,280,
381,Erythromycin,280,
382,Vibriostat,280,
383,Amoxicillin,280,
384,Cefuroxime,280,
385,Streptomycin,280,
386,Polymyxin B,280,
387,Gentamicin,280,
388,Imipenem,280,
389,Tobramycin,280,
390,Amikacin,280,
391,Cefoxitin,280,
392,Ceftriaxone,280,
393,Tetracycline,280,
394,Ciprofloxacin,280,
395,Colistin,280,
396,Ticarcillin,280,
397,Amoxicillin,283,
398,Ticarcillin,283,
399,Vibriostat,283,
400,Amikacin,283,
401,Aztreonam,283,
402,Cefepime,283,
403,Cefoperazone,283,
404,Cefoxitin,283,
405,Ceftazidime,283,
406,Ceftriaxone,283,
407,Cephalothin,283,
408,Cephotaxime,283,
409,Chloramphenicol,283,
410,Ciprofloxacin,283,
411,Erythromycin,283,
412,Fosfomycin,283,
413,Gentamicin,283,
414,Imipenem,283,
415,Kanamycin,283,
416,Nalidixic acid,283,
417,Streptomycin,283,
418,Tetracycline,283,
419,Tobramycin,283,
420,Trimethoprim,283,
421,Amoxicillin,285,
422,Cephalothin,285,
423,Erythromycin,285,
424,Ticarcillin,285,
425,Vibriostat,285,
426,Streptomycin,285,
