ID_kit_api_CAM,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,cupule_21,ID_strains,ID_reference,manual_annotation,created_CAM,modify_in_pgsql_CAM,ID_tbl_api_CAM,last_change
1939,+,-,-,-,-,-,-,-,+/-,-,+,-,-,-,-,-,-,-,-,-,-,2102,8781,1,2013-09-23 00:00:00,2016-01-18 09:02:53,146.0,2019-11-20 07:22:48
1938,-,+,-,-,-,+,-,-,+,-,+,-,-,-,-,-,-,-,-,-,+,2133,8151,1,2012-04-17 00:00:00,2016-01-18 09:02:53,145.0,2019-11-20 07:22:48
1937,-,-,-,-,-,-,-,+/-,+,-,-,-,-,-,-,-,-,-,-,-,,2133,8151,1,2007-10-23 00:00:00,2016-01-18 09:02:53,144.0,2019-11-20 07:22:48
1936,-,-,,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,-,+,2136,8100,1,2007-07-25 00:00:00,2016-01-18 09:02:53,143.0,2019-11-20 07:22:48
1935,-,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,-,+,2136,8100,1,2013-09-18 00:00:00,2016-01-18 09:02:53,142.0,2019-11-20 07:22:48
1934,-,+,-,-,+/-,+,-,+/-,-,+/-,+,-,+,+/-,-,+,-,+,-,-,+,2137,7784,1,2010-02-24 00:00:00,2016-01-18 09:02:53,141.0,2019-11-20 07:22:48
1933,-,+,-,-,-,-,-,-,-,-,+,-,+,+,-,+,-,-,-,-,+,2137,7784,1,2007-03-05 00:00:00,2016-01-18 09:02:53,140.0,2019-11-20 07:22:48
1932,-,+,-,-,-,,-,-,-,+,+,-,+,+,-,+,+,+,+,+,,2137,7784,1,2012-12-11 00:00:00,2016-01-18 09:02:53,139.0,2019-11-20 07:22:48
1931,-,+,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,2134,7718,1,2009-04-30 00:00:00,2016-01-18 09:02:53,138.0,2019-11-20 07:22:48
1930,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,2134,7718,1,2009-03-30 00:00:00,2016-01-18 09:02:53,137.0,2019-11-20 07:22:48
1929,-,+,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,2134,7718,1,2009-03-11 00:00:00,2016-01-18 09:02:53,136.0,2019-11-20 07:22:48
1928,-,+,-,+,-,+/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,2134,7718,1,2014-06-22 00:00:00,2016-01-18 09:02:53,135.0,2019-11-20 07:22:48
1927,-,-,+/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,2134,7718,1,2014-02-04 00:00:00,2016-01-18 09:02:53,134.0,2019-11-20 07:22:48
1926,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,2134,7718,1,2011-06-30 00:00:00,2016-01-18 09:02:53,133.0,2019-11-20 07:22:48
1925,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,2097,7326,1,2006-03-08 00:00:00,2016-01-18 09:02:53,132.0,2019-11-20 07:22:48
1924,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2097,7326,1,2011-09-30 00:00:00,2016-01-18 09:02:53,131.0,2019-11-20 07:22:48
1923,-,+,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,2132,7162,1,2005-12-07 00:00:00,2016-01-18 09:02:53,130.0,2019-11-20 07:22:48
1922,-,-,-,+/-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,2132,7162,1,2008-01-17 00:00:00,2016-01-18 09:02:53,129.0,2019-11-20 07:22:48
1921,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,+,2096,7122,1,2005-11-09 00:00:00,2016-01-18 09:02:53,128.0,2019-11-20 07:22:48
1920,-,-,+,-,-,+,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,2234,6817,1,2005-04-27 00:00:00,2016-01-18 09:02:53,127.0,2019-11-20 07:22:48
1919,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,2131,4316,1,2000-12-21 00:00:00,2016-01-18 09:02:53,125.0,2019-11-20 07:22:48
1918,-,+,-,-,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,,2131,4316,1,2003-08-08 00:00:00,2016-01-18 09:02:53,124.0,2019-11-20 07:22:48
1917,-,+,-,-,+,+,-,+,-,+,,,,,,,,,,,,2131,4316,1,2003-08-13 00:00:00,2016-01-18 09:02:53,123.0,2019-11-20 07:22:48
1916,-,+,+/-,-,+,+/-,-,+/-,-,+/-,,,,,,,,,,,,2131,4316,1,2003-08-13 00:00:00,2016-01-18 09:02:53,122.0,2019-11-20 07:22:48
1915,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,2131,4316,1,2005-02-15 00:00:00,2016-01-18 09:02:53,121.0,2019-11-20 07:22:48
1914,-,+,-,-,+,+/-,-,+/-,-,+/-,-,-,-,-,-,-,-,-,-,-,,2131,4316,1,2013-04-03 00:00:00,2016-01-18 09:02:53,120.0,2019-11-20 07:22:48
1913,-,+,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,2131,4316,1,2010-09-01 00:00:00,2016-01-18 09:02:53,119.0,2019-11-20 07:22:48
1912,-,+,-,-,+/-,-,-,-,-,+,,,,,,,,,,,+,2131,4316,1,2015-02-05 00:00:00,2016-01-18 09:02:53,118.0,2019-11-20 07:22:48
1911,+,-,-,+,-,+/-,-,-,+,-,+,-,-,-,-,-,-,-,-,-,+,2130,3970,1,2007-10-07 00:00:00,2016-01-18 09:02:53,117.0,2019-11-20 07:22:48
1910,+,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,6101,3863,1,2010-01-19 00:00:00,2016-01-18 09:02:53,116.0,2019-11-20 07:22:48
1909,+,-,-,-,+,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,6101,3863,1,2014-05-14 00:00:00,2016-01-18 09:02:53,115.0,2019-11-20 07:22:48
1908,+,-,-,-,+,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,6101,3863,1,2007-09-13 00:00:00,2016-01-18 09:02:53,114.0,2019-11-20 07:22:48
1907,+,-,-,-,+,+,-,-,-,+,-,-,-,-,-,-,-,-,+/-,-,,6101,3863,1,2009-11-12 00:00:00,2016-01-18 09:02:53,113.0,2019-11-20 07:22:48
