ID_kit_api_CAM,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,cupule_21,ID_strains,ID_reference,manual_annotation,created_CAM,modify_in_pgsql_CAM,ID_tbl_api_CAM,last_change
1833,-,+,+,-,-,+,-,+/-,-,+/-,-,-,-,-,+/-,-,-,-,-,-,-,2103,1684,1,2013-11-28 00:00:00,2016-01-18 09:02:53,37.0,2019-11-20 07:22:48
1832,-,+,+,-,-,+,-,+,-,+,-,-,+,-,-,-,+,-,-,-,+,2103,1684,1,2011-02-17 00:00:00,2016-01-18 09:02:53,36.0,2019-11-20 07:22:48
1831,-,+,+,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,2103,1684,1,2008-07-08 00:00:00,2016-01-18 09:02:53,35.0,2019-11-20 07:22:48
1830,-,+,+,-,-,+,-,+,-,+,-,-,+,-,+,-,+,-,+,-,+,2103,1684,1,2013-02-15 00:00:00,2016-01-18 09:02:53,34.0,2019-11-20 07:22:48
1829,-,+,+/-,+,-,-,-,-,-,+,-,-,+,-,+,-,-,+,-,-,+,2121,1683,1,1998-02-11 00:00:00,2016-01-18 09:02:53,33.0,2019-11-20 07:22:48
1828,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,2121,1683,1,1998-01-28 00:00:00,2016-01-18 09:02:53,32.0,2019-11-20 07:22:48
1827,-,-,-,-,-,-,-,-,-,+,-,-,+/-,-,-,-,-,-,-,-,+,2121,1683,1,1998-01-27 00:00:00,2016-01-18 09:02:53,31.0,2019-11-20 07:22:48
1826,-,+,+,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,2121,1683,1,1998-01-19 00:00:00,2016-01-18 09:02:53,30.0,2019-11-20 07:22:48
1825,-,+,-,+,-,-,-,-,-,+,-,-,+,-,-,-,-,+,-,-,+,2121,1683,1,1995-05-17 00:00:00,2016-01-18 09:02:53,29.0,2019-11-20 07:22:48
1824,-,+,+,+,+/-,+,-,+,-,+/-,-,-,-,-,-,-,-,+,-,-,,2121,1683,1,1995-04-24 00:00:00,2016-01-18 09:02:53,28.0,2019-11-20 07:22:48
1823,-,+,-,+,-,+,-,-,-,+,-,-,+,-,+,-,-,+,-,-,+,2121,1683,1,1998-12-14 00:00:00,2016-01-18 09:02:53,27.0,2019-11-20 07:22:48
1822,-,+,-,-,-,+/-,-,-,-,+,-,-,+,-,+,-,-,+,-,-,+,2121,1683,1,2000-05-29 00:00:00,2016-01-18 09:02:53,26.0,2019-11-20 07:22:48
1821,-,+,+/-,+,-,+,-,-,-,+,-,-,+,+,+,-,-,+,-,-,+,2121,1683,1,2001-05-02 00:00:00,2016-01-18 09:02:53,25.0,2019-11-20 07:22:48
1820,-,+,+/-,+,-,+,-,-,-,+,-,-,+,-,-,-,-,+,-,-,+,2121,1683,1,2004-02-20 00:00:00,2016-01-18 09:02:53,24.0,2019-11-20 07:22:48
1819,-,+,+/-,-,-,+/-,-,-,-,-,-,-,+,-,+,-,-,+,-,-,+,2121,1683,1,2003-11-19 00:00:00,2016-01-18 09:02:53,23.0,2019-11-20 07:22:48
1818,-,+,+,+,-,+,-,-,-,+,-,-,+,-,+/-,-,-,+/-,-,-,+,2121,1683,1,2004-06-16 00:00:00,2016-01-18 09:02:53,22.0,2019-11-20 07:22:48
1817,-,+,+/-,-,-,+,-,-,-,+,-,-,+,-,+,-,-,+,-,-,+,2121,1683,1,2004-11-24 00:00:00,2016-01-18 09:02:53,21.0,2019-11-20 07:22:48
1816,-,+,-,+,-,+,-,-,-,+,-,-,+,+/-,+,-,-,+,-,-,+,2121,1683,1,2005-03-22 00:00:00,2016-01-18 09:02:53,20.0,2019-11-20 07:22:48
1815,-,+,-,+,-,+,-,-,-,-,-,-,+,+/-,+,-,+/-,+,-,-,+,2121,1683,1,2005-03-09 00:00:00,2016-01-18 09:02:53,19.0,2019-11-20 07:22:48
1814,-,+,-,+,-,+,-,+/-,-,+,-,-,+,-,+,-,-,+,-,-,+,2121,1683,1,2005-04-25 00:00:00,2016-01-18 09:02:53,18.0,2019-11-20 07:22:48
1813,-,+,-,+,-,+,-,-,-,+,-,-,+,-,-,-,-,+,-,-,+,2121,1683,1,2005-11-22 00:00:00,2016-01-18 09:02:53,17.0,2019-11-20 07:22:48
1812,-,+,+,+,-,+,-,-,-,+,-,-,+,-,+,-,-,+,-,-,+,2121,1683,1,2006-07-26 00:00:00,2016-01-18 09:02:53,16.0,2019-11-20 07:22:48
1811,-,+,-,+,-,+,-,-,-,+,-,-,+,-,-,-,-,+,-,-,+,2121,1683,1,2007-03-27 00:00:00,2016-01-18 09:02:53,15.0,2019-11-20 07:22:48
1810,-,+,-,+,-,+,-,-,-,+,-,-,+,-,+,-,-,+,-,-,+,2121,1683,1,2007-10-10 00:00:00,2016-01-18 09:02:53,14.0,2019-11-20 07:22:48
1809,-,+,-,+,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,2121,1683,1,2010-02-24 00:00:00,2016-01-18 09:02:53,13.0,2019-11-20 07:22:48
1808,-,+,+,+,-,+,-,-,-,+,-,-,+/-,-,-,-,-,-,-,-,+,2121,1683,1,2012-01-19 00:00:00,2016-01-18 09:02:53,12.0,2019-11-20 07:22:48
1807,-,+,+,+,-,+,-,-,-,+,-,-,+,-,+,-,-,+,-,-,+,2121,1683,1,2009-10-21 00:00:00,2016-01-18 09:02:53,11.0,2019-11-20 07:22:48
1806,-,+,-,+,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,2121,1683,1,2008-07-08 00:00:00,2016-01-18 09:02:53,10.0,2019-11-20 07:22:48
1805,-,+,-,+,-,+,-,-,-,+,-,-,+,-,-,-,-,+/-,-,-,+,2121,1683,1,2011-02-16 00:00:00,2016-01-18 09:02:53,9.0,2019-11-20 07:22:48
1804,-,+,-,+,-,+,-,-,-,+,-,-,+,-,+,-,-,+/-,-,-,+,2121,1683,1,2009-03-23 00:00:00,2016-01-18 09:02:53,8.0,2019-11-20 07:22:48
1803,-,+,+,+,-,+,-,-,-,+,-,-,+,-,+,-,-,+,-,-,+,2121,1683,1,2014-11-27 00:00:00,2016-01-18 09:02:53,7.0,2019-11-20 07:22:48
1802,-,+,-,+,-,+,-,-,-,+,-,-,+/-,-,+/-,-,-,+,-,-,+,2121,1683,1,2013-03-06 00:00:00,2016-01-18 09:02:53,6.0,2019-11-20 07:22:48
1801,-,+,-,+,-,+,-,-,-,+,-,-,+,-,+,-,-,+,-,-,+,2121,1683,1,2014-01-30 00:00:00,2016-01-18 09:02:53,5.0,2019-11-20 07:22:48
1800,-,+,+,-,-,+,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,2127,1331,1,2011-05-11 00:00:00,2016-01-18 09:02:53,4.0,2019-11-20 07:22:48
1799,-,-,+,-,-,-,-,+/-,+,-,-,-,-,-,-,-,-,-,-,-,+,2127,1331,1,2008-01-28 00:00:00,2016-01-18 09:02:53,3.0,2019-11-20 07:22:48
1798,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,-,-,+,2127,1331,1,2014-11-11 00:00:00,2016-01-18 09:02:53,2.0,2019-11-20 07:22:48
1797,-,+,+,+,-,+,-,-,-,+,-,+,+,-,+,-,-,+,-,-,-,131231,22870,1,2016-01-12 00:00:00,2016-01-12 00:00:00,1.0,2019-11-20 07:22:48
1548,-,+,-,+,+,+,-,-,-,+,-,-,+,-,+,-,-,-,-,-,+,142067,45296,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1549,-,+,+,+,+,+,+,+,-,+,+,-,+,-,+,-,-,-,-,-,+,142072,45301,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1550,-,-,-,-,-,-,-,+,+,-,-,-,+,-,-,+,-,+,-,-,+,142073,45302,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1551,-,+,+,-,-,-,-,-,-,+,-,-,+,-,-,+,+,-,-,-,+,2093,45303,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1552,-,+,+,-,-,+,-,-,-,+,-,-,+,-,-,+,-,-,-,-,+,2095,45304,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1553,-,+,+,-,-,-,-,-,-,+,+,-,+,-,-,+,-,+,-,-,+,142074,45305,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1554,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,142075,45306,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1555,-,+,+,+,-,-,-,-,-,+,-,-,+,-,+,-,-,-,-,-,+,142104,45342,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1556,-,+,+,+,-,-,-,-,-,-,-,+,+,-,+,+,-,+,+,-,-,142105,45343,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1557,-,+,-,-,-,+,-,+,-,+,-,-,+,-,-,+,+,-,-,+,+,142108,45346,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1558,-,+,+,-,-,-,-,-,-,-,-,-,+,+,-,+,-,+,-,-,+,139590,45413,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1559,-,+,+,-,-,+,-,-,+,-,+,-,+,-,-,+,-,+,-,-,-,2125,45416,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1560,-,-,+,-,-,+,-,-,+,+,+,-,-,-,-,-,-,-,-,-,-,142317,45583,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1561,-,-,+,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,142317,45583,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1562,-,-,+,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,142318,45584,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1563,-,+,+,-,-,+,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,142321,45587,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1564,-,+,-,-,-,+,-,-,+,-,+,-,+,-,-,+,-,+,-,-,+,142353,45628,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1565,-,+,+,-,-,+,-,-,+,-,+,-,+,-,-,-,-,+,-,-,+,138216,45629,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1566,-,-,+,-,-,+,-,-,+,-,+,-,-,-,-,-,-,+,-,-,+,2129,45631,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1567,-,+,+,-,-,-,-,-,-,+,,,,,,,,,,,+,142355,45632,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1568,-,+,-,-,-,-,-,-,-,+,-,-,+,-,-,+,-,+,-,-,+,142357,45634,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1569,-,-,+,-,+,+,-,+,+,+,-,-,+,-,-,+,+,+,-,-,+,355,65625,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1570,-,-,-,-,-,-,-,-,+,-,+,-,+,-,-,+,-,+,-,-,-,142762,46116,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1571,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,142772,46135,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1572,-,-,-,-,+,+,-,+,-,-,+,-,+,-,-,+,-,-,-,-,+,142814,46186,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1573,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,138205,46255,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1574,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-,+,2092,46369,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1575,-,+,-,-,-,+,-,+,+,-,+,-,+,+,-,+,-,+,-,-,+,143194,46667,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1576,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,143202,46675,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1577,-,+,-,-,-,+,-,+,+,-,+,-,+,+,-,+,-,+,-,-,+,137690,46685,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1578,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-,-,-,+,143214,46692,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1579,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,,143214,46692,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1580,-,+,-,-,-,-,-,-,-,-,-,-,+,-,+,+,-,-,-,-,-,143217,46695,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1581,+,-,+,-,+,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,6101,46706,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1582,-,-,-,+,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,143287,46789,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1583,-,-,-,+,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,143288,46790,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1584,+,-,+,-,-,-,-,-,+,-,-,+,-,-,-,-,+,-,-,-,-,143289,46791,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1585,+,+,-,-,-,+,-,-,+,-,+,-,-,-,-,-,-,-,-,-,+,143297,46799,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1586,+,+,+,+,-,-,-,-,-,-,-,+,-,-,-,+,-,-,-,-,-,143298,46800,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1587,+,-,+,-,+,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,143328,46834,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1588,-,-,-,-,-,-,-,-,+,-,+,-,+,-,-,+,-,-,-,-,-,143350,46859,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1589,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,6098,46903,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1590,-,+,+,-,-,+,+,+,-,+,-,-,-,-,-,-,+,-,-,-,+,6098,46903,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1591,-,+,+,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,6098,46903,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1592,-,+,+,-,-,-,-,+,-,+,-,+,-,-,-,-,-,-,-,-,+,143385,46904,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1593,-,-,+,-,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,143446,46977,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1594,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,143450,46984,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1595,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,+,-,-,-,143462,46996,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1596,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-,+,138206,47010,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1597,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,143475,47011,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1598,-,-,+,-,-,-,-,-,+,+,-,-,+,-,-,-,-,-,-,-,,143500,47036,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1599,-,-,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,143501,47037,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1600,-,-,+,-,-,-,-,-,+,-,+,-,+,-,-,+,-,-,-,-,-,143544,47086,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1601,-,-,-,-,-,-,-,-,+,-,-,-,+,-,-,-,-,+,-,-,-,143545,47087,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1602,-,-,+,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,2127,47138,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1603,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,143642,47192,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1604,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,143642,47192,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1605,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,+,-,+,-,-,+,136482,47193,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1606,-,+,-,-,-,+,-,-,+,-,+,-,+,+,-,+,-,+,-,-,+,134440,47194,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1607,-,+,-,-,-,+,-,+,+,-,+,+,+,+,-,+,-,+,-,-,+,134440,47194,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1608,-,-,-,-,-,-,-,-,-,-,+,-,+,+,-,+,-,+,-,-,+,143643,47195,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1609,-,+,+,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-,-,-,-,143644,47196,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1610,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,143644,47196,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1611,-,+,+,-,-,-,-,-,+,-,+,-,+,-,-,+,-,+,-,-,+,143645,47197,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1612,-,+,-,-,-,-,-,-,-,-,+,+,+,-,-,+,-,+,-,-,+,143645,47197,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1613,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,+,143647,47199,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1614,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,,143649,47201,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1615,-,+,+,-,-,-,-,-,-,+,+,-,+,+,-,+,-,+,-,-,+,143651,47203,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1616,-,-,-,-,-,-,-,-,+,+,+,-,+,-,-,+,-,+,-,-,+,143850,47428,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1617,+,+,+,-,-,+,-,+,-,+,-,+,-,-,-,-,-,-,-,-,+,144024,47627,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1618,+,-,+,-,-,-,-,-,-,-,,,,,,,,,,,+,144025,47628,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1619,-,+,-,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,144025,47628,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1620,+,+,+,-,-,-,-,-,-,-,,,,,,,,,,,+,144026,47629,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1621,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,144026,47629,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1622,-,+,+,-,-,+,-,-,-,-,+,-,+,+,-,+,-,+,-,-,+,144032,47638,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1623,-,+,-,-,-,-,-,-,-,-,+,-,+,+,-,+,-,+,-,-,+,144033,47639,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1624,-,-,-,-,-,+,-,-,-,-,+,-,+,+,-,+,-,-,-,-,+,144034,47640,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1625,-,-,-,-,-,-,-,-,-,-,+,-,+,+,-,+,-,+,-,-,+,144035,47641,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1626,-,-,-,+,-,-,-,-,-,-,+,-,+,+,-,+,-,-,-,-,+,144036,47642,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1627,-,+,+,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,+,144038,47644,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1628,-,+,-,+,-,-,-,-,-,-,+,-,-,-,-,+,-,-,-,-,+,144039,47645,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1629,-,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,-,-,-,-,+,144040,47646,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1630,-,-,-,+,-,-,-,-,-,+,+,-,+,+,-,+,-,-,-,-,+,144041,47647,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1631,-,+,+,-,-,+,-,+,+,+,+,-,+,-,-,+,-,+,-,-,+,144047,47654,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1632,-,+,-,-,-,+,-,+,+,+,+,-,+,-,-,+,-,+,-,-,-,144048,47655,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1633,-,+,+,-,-,+,-,+,+,+,+,-,+,-,-,+,-,+,-,-,+,144049,47656,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1634,-,+,-,-,-,+,-,+,+,-,+,-,+,-,-,+,-,+,-,-,+,144050,47657,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1635,-,+,-,-,-,-,-,-,+,-,+,-,+,-,-,+,-,+,-,-,+,144051,47658,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1636,+,+,+,-,-,+,-,-,+,-,+,+,+,+,-,-,-,+,+,-,+,144052,47659,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1637,-,+,+,-,-,+,-,+,+,-,+,-,+,+,-,+,-,+,-,-,+,144053,47660,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1638,-,+,-,-,-,+,-,-,+,-,+,-,+,+,-,+,-,+,-,-,+,144054,47661,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1639,-,+,+,-,-,+,-,-,+,-,+,-,+,-,-,+,-,+,-,-,+,144055,47662,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1640,-,+,+,-,-,+,-,+,+,+,+,-,+,+,-,+,-,+,-,-,+,134442,47663,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1641,-,+,-,-,-,+,-,-,+,-,+,-,+,-,-,+,-,-,-,-,+,144056,47664,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1642,-,+,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,144100,47709,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1643,-,+,+,-,-,+,-,-,-,+,,,,,,,,,,,,144152,47763,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1644,-,+,-,-,-,+,-,-,-,+,+,-,+,+,-,+,+,+,+,-,+,144152,47763,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1645,-,-,-,-,-,-,-,-,+,+,+,-,+,+,-,-,-,+,-,-,-,144153,47764,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1646,-,-,-,-,-,-,-,-,+,+,+,-,+,+,-,-,-,+,-,-,-,144154,47765,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1647,-,-,-,-,-,-,-,-,+,+,+,-,+,-,-,+,-,+,-,-,-,144155,47766,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1648,-,+,+,+,-,+,-,-,-,+,-,-,+,+,+,-,-,+,-,-,+,144205,47825,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1649,+,+,+,+,+,+,-,+,-,+,-,-,-,-,-,-,-,-,-,-,+,138207,65631,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1650,-,+,+,-,-,+,-,+,-,+,-,-,-,-,-,-,-,-,-,-,+,2131,65632,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1651,-,-,+,-,-,+,-,-,+,+,+,-,+,-,-,+,-,+,-,-,-,144292,47946,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1652,-,-,+,-,-,+,-,-,-,+,+,-,+,-,-,-,-,+,-,-,-,144293,47947,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1653,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,144294,47948,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1654,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,144301,47955,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1655,-,+,+,-,-,-,-,-,+,-,+,+,+,+,-,+,+,-,+,-,-,144303,47957,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1656,-,+,+,-,-,+,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,207,48016,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1657,-,+,+,-,+,+,-,+,-,+,+,-,+,+,-,+,-,+,-,-,+,144675,48377,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
