ID_met_production,metabolite_prod,production,excreted,chebi_ID,ID_strains
10471,"Elemental sulfur",0,NULL,33403,208
10472,Indole,0,NULL,35581,209
10473,"Elemental sulfur",0,NULL,33403,209
10474,Acetoin,0,NULL,15688,212
10475,Acetoin,0,NULL,15688,214
10476,Acetoin,0,NULL,15688,216
10477,Acetoin,0,NULL,15688,217
10478,Acetoin,1,NULL,15688,218
10479,Acetoin,1,NULL,15688,223
10480,Acetoin,0,NULL,15688,224
10481,Nitrite,0,NULL,16301,225
10482,Acetoin,0,NULL,15688,225
10483,Acetoin,0,NULL,15688,226
10484,Acetoin,0,NULL,15688,227
10485,Dextran,0,NULL,52071,229
10486,Acetoin,0,NULL,15688,229
10487,Acetoin,0,NULL,15688,230
10488,"Hydrogen sulfide",1,NULL,16136,234
10489,Acetoin,0,NULL,15688,235
10490,"Hydrogen sulfide",0,NULL,16136,242
10491,Acetoin,0,NULL,15688,242
10492,Indole,1,NULL,35581,242
10493,"Hydrogen sulfide",0,NULL,16136,258
10494,Acetoin,0,NULL,15688,258
10495,Indole,1,NULL,35581,258
10496,Acetoin,0,NULL,15688,261
10497,"Hydrogen sulfide",0,NULL,16136,262
10498,Acetoin,0,NULL,15688,262
10499,Indole,0,NULL,35581,271
10500,"Hydrogen sulfide",0,NULL,16136,271
10501,Indole,0,NULL,35581,279
10502,Acetoin,1,NULL,15688,279
10503,"Hydrogen sulfide",0,NULL,16136,280
10504,Acetoin,0,NULL,15688,280
10505,Indole,1,NULL,35581,280
10506,"Hydrogen sulfide",0,NULL,16136,283
10507,Acetoin,0,NULL,15688,283
10508,Indole,1,NULL,35581,283
10509,"Hydrogen sulfide",0,NULL,16136,285
10510,Acetoin,0,NULL,15688,285
10511,Indole,1,NULL,35581,285
10512,"Hydrogen sulfide",0,NULL,16136,286
10513,Acetoin,0,NULL,15688,286
10514,Indole,1,NULL,35581,286
10515,Indole,0,NULL,35581,288
10516,"Hydrogen sulfide",0,NULL,16136,288
10517,Acetoin,0,NULL,15688,288
10518,Toluene,0,NULL,17578,295
10519,Indole,0,NULL,35581,295
10520,Indole,0,NULL,35581,322
10521,"Hydrogen sulfide",0,NULL,16136,322
10522,Indole,0,NULL,35581,323
10523,"Hydrogen sulfide",0,NULL,16136,323
10524,Indole,0,NULL,35581,343
10525,"Hydrogen sulfide",0,NULL,16136,343
10526,Acetoin,0,NULL,15688,343
10527,Indole,0,NULL,35581,349
10528,"Hydrogen sulfide",0,NULL,16136,349
10529,Acetoin,1,NULL,15688,349
10530,Indole,0,NULL,35581,355
10531,"Hydrogen sulfide",0,NULL,16136,355
10532,Indole,0,NULL,35581,361
10533,"Hydrogen sulfide",0,NULL,16136,361
10534,Acetoin,1,NULL,15688,361
10535,Indole,0,NULL,35581,365
10536,Indole,0,NULL,35581,377
10537,Indole,0,NULL,35581,378
10538,Indole,0,NULL,35581,379
10539,Acetoin,0,NULL,15688,379
10540,Nitrite,0,NULL,16301,382
10541,Indole,0,NULL,35581,382
10542,Acetoin,0,NULL,15688,382
10543,Indole,0,NULL,35581,385
10544,"Hydrogen sulfide",0,NULL,16136,385
10545,Indole,0,NULL,35581,414
10546,Acetoin,1,NULL,15688,414
10547,Polyhydroxybutyrate,0,NULL,53388,437
10548,Indole,0,NULL,35581,437
10549,"Hydrogen sulfide",0,NULL,16136,437
10550,Fluorescein,0,NULL,31624,437
10551,Polyhydroxybutyrate,0,NULL,53388,438
10552,Indole,0,NULL,35581,438
10553,"Hydrogen sulfide",0,NULL,16136,438
10554,Fluorescein,0,NULL,31624,438
10555,Indole,0,NULL,35581,440
10556,Polyhydroxybutyrate,0,NULL,53388,447
10557,Indole,0,NULL,35581,447
10558,"Hydrogen sulfide",0,NULL,16136,447
10560,Acetoin,0,NULL,15688,447
10561,Polyhydroxybutyrate,0,NULL,53388,449
10562,Indole,0,NULL,35581,450
10563,Polyhydroxybutyrate,0,NULL,53388,459
10564,Polyhydroxybutyrate,0,NULL,53388,465
10565,Polyhydroxybutyrate,0,NULL,53388,473
10566,Indole,0,NULL,35581,478
10567,Acetoin,0,NULL,15688,478
10568,Indole,0,NULL,35581,479
10569,Indole,0,NULL,35581,480
10570,Indole,0,NULL,35581,492
10571,Indole,0,NULL,35581,493
10572,Indole,0,NULL,35581,526
10573,Acetoin,0,NULL,15688,526
10574,Indole,0,NULL,35581,528
10575,Indole,0,NULL,35581,531
10576,Acetoin,1,NULL,15688,531
10577,Indole,0,NULL,35581,532
10578,Acetoin,0,NULL,15688,532
10579,Indole,0,NULL,35581,533
10580,Acetoin,0,NULL,15688,534
10581,Indole,0,NULL,35581,569
10582,Indole,0,NULL,35581,570
10583,Acetoin,0,NULL,15688,570
10584,Acetoin,0,NULL,15688,571
10585,Acetoin,0,NULL,15688,572
10586,Indole,1,NULL,35581,572
10587,Indole,0,NULL,35581,599
10588,Acetoin,0,NULL,15688,599
10589,Indole,0,NULL,35581,1077
10590,"Hydrogen sulfide",0,NULL,16136,1077
10591,Dihydroxyacetone,0,NULL,16016,1077
10592,Acetoin,1,NULL,15688,1077
10593,Indole,0,NULL,35581,1093
10594,"Hydrogen sulfide",0,NULL,16136,1093
10595,Dihydroxyacetone,0,NULL,16016,1093
10596,Acetoin,1,NULL,15688,1093
10597,Indole,0,NULL,35581,1150
10598,"Hydrogen sulfide",0,NULL,16136,1150
10599,Dihydroxyacetone,0,NULL,16016,1150
10600,Acetoin,1,NULL,15688,1150
10601,Indole,0,NULL,35581,1151
10602,"Hydrogen sulfide",0,NULL,16136,1151
10603,Dihydroxyacetone,0,NULL,16016,1151
10604,Acetoin,1,NULL,15688,1151
10605,Indole,0,NULL,35581,1154
10606,Acetoin,1,NULL,15688,1201
10607,Indole,0,NULL,35581,1203
10608,Acetoin,0,NULL,15688,1203
10609,Indole,0,NULL,35581,1208
10610,"Hydrogen sulfide",0,NULL,16136,1208
10611,Acetoin,0,NULL,15688,1208
10612,"Hydrogen sulfide",0,NULL,16136,1209
10613,Acetoin,0,NULL,15688,1209
10614,Indole,0,NULL,35581,1210
10615,Acetoin,1,NULL,15688,1210
10616,Indole,0,NULL,35581,1212
10617,"Hydrogen sulfide",0,NULL,16136,1212
10618,Acetoin,0,NULL,15688,1212
10619,Indole,0,NULL,35581,1213
10620,"Hydrogen sulfide",0,NULL,16136,1213
10621,Indole,0,NULL,35581,1214
10622,"Hydrogen sulfide",0,NULL,16136,1214
10623,Acetoin,0,NULL,15688,1214
10624,Indole,0,NULL,35581,1215
10625,"Hydrogen sulfide",0,NULL,16136,1215
10626,Acetoin,0,NULL,15688,1215
10627,Indole,0,NULL,35581,1216
10628,"Hydrogen sulfide",0,NULL,16136,1216
10629,Acetoin,0,NULL,15688,1216
10630,Indole,0,NULL,35581,1217
10631,"Hydrogen sulfide",0,NULL,16136,1217
10632,Acetoin,0,NULL,15688,1217
10633,Indole,0,NULL,35581,1233
10634,Acetoin,0,NULL,15688,1233
10635,Acetoin,0,NULL,15688,1239
10636,Indole,0,NULL,35581,1251
10637,"Hydrogen sulfide",0,NULL,16136,1251
10638,Acetoin,1,NULL,15688,1251
10639,Indole,0,NULL,35581,1256
10640,"Hydrogen sulfide",0,NULL,16136,1256
10641,Acetoin,1,NULL,15688,1256
10642,Acetoin,0,NULL,15688,1263
10643,Indole,0,NULL,35581,1323
10644,Acetoin,1,NULL,15688,1323
10645,Acetoin,0,NULL,15688,1327
10646,Acetoin,0,NULL,15688,1342
10647,Acetoin,0,NULL,15688,1343
10648,Indole,0,NULL,35581,1344
10649,"Hydrogen sulfide",0,NULL,16136,1344
10650,Acetoin,0,NULL,15688,1344
10651,Indole,0,NULL,35581,1346
10652,"Hydrogen sulfide",0,NULL,16136,1346
10653,Acetoin,0,NULL,15688,1346
10654,Acetoin,0,NULL,15688,1347
10655,Acetoin,0,NULL,15688,1348
10656,Indole,0,NULL,35581,1352
10657,"Hydrogen sulfide",0,NULL,16136,1352
10658,Acetoin,0,NULL,15688,1352
10659,Indole,0,NULL,35581,1353
10660,"Hydrogen sulfide",0,NULL,16136,1353
10661,Esculin,0,NULL,4853,1353
10662,Acetoin,0,NULL,15688,1353
10663,Indole,0,NULL,35581,1356
10664,"Hydrogen sulfide",0,NULL,16136,1356
10665,Acetoin,0,NULL,15688,1356
10666,Indole,0,NULL,35581,1368
10667,"Hydrogen sulfide",0,NULL,16136,1368
10668,Acetoin,0,NULL,15688,1368
10669,Melanin,0,NULL,89634,1370
10670,"Hydrogen sulfide",0,NULL,16136,1370
10671,Ammonium,0,NULL,28938,1370
10672,Acetoin,0,NULL,15688,1370
10673,Melanin,0,NULL,89634,1371
10674,Indole,0,NULL,35581,1371
10675,"Hydrogen sulfide",0,NULL,16136,1371
10676,Acetoin,0,NULL,15688,1371
10677,Indole,0,NULL,35581,1374
10678,Indole,0,NULL,35581,1375
10679,Indole,0,NULL,35581,1376
10680,Indole,0,NULL,35581,1377
10681,"Hydrogen sulfide",0,NULL,16136,1377
10682,Acetoin,1,NULL,15688,1377
10683,Indole,0,NULL,35581,1380
10684,Indole,0,NULL,35581,1381
10685,"Hydrogen sulfide",0,NULL,16136,1381
10686,Acetoin,0,NULL,15688,1381
10687,Indole,0,NULL,35581,1382
10688,"Hydrogen sulfide",0,NULL,16136,1382
10689,Acetoin,0,NULL,15688,1382
10690,Indole,0,NULL,35581,1385
10691,"Hydrogen sulfide",0,NULL,16136,1385
10692,Acetoin,0,NULL,15688,1385
10693,Indole,0,NULL,35581,1388
10694,"Hydrogen sulfide",0,NULL,16136,1388
10695,Acetoin,0,NULL,15688,1388
10696,Indole,0,NULL,35581,1389
10697,"Hydrogen sulfide",0,NULL,16136,1389
10698,Acetoin,0,NULL,15688,1389
10699,Indole,0,NULL,35581,1391
10700,Acetoin,0,NULL,15688,1391
10701,Indole,0,NULL,35581,1392
10702,"Hydrogen sulfide",0,NULL,16136,1392
10703,Acetoin,0,NULL,15688,1392
10704,Indole,0,NULL,35581,1393
10705,"Hydrogen sulfide",0,NULL,16136,1393
10706,Acetoin,0,NULL,15688,1393
10707,Indole,0,NULL,35581,1394
10708,Acetoin,0,NULL,15688,1394
10709,Indole,0,NULL,35581,1396
10710,Acetoin,0,NULL,15688,1396
10711,Indole,0,NULL,35581,1398
10712,Acetoin,0,NULL,15688,1398
10713,Indole,0,NULL,35581,1400
10714,Acetoin,0,NULL,15688,1400
10715,Indole,0,NULL,35581,1401
10716,Acetoin,0,NULL,15688,1401
10717,Indole,0,NULL,35581,1403
10718,"Hydrogen sulfide",0,NULL,16136,1403
10719,Indole,0,NULL,35581,1404
10720,"Hydrogen sulfide",1,NULL,16136,1404
10721,Indole,0,NULL,35581,1406
10722,"Hydrogen sulfide",0,NULL,16136,1406
10723,Acetoin,1,NULL,15688,1406
10724,Indole,0,NULL,35581,1407
10725,"Hydrogen sulfide",0,NULL,16136,1407
10726,Acetoin,0,NULL,15688,1407
10727,Acetoin,0,NULL,15688,1408
10728,Indole,0,NULL,35581,1409
10729,"Hydrogen sulfide",0,NULL,16136,1409
10730,Acetoin,1,NULL,15688,1409
10731,Indole,0,NULL,35581,1419
10732,"Hydrogen sulfide",0,NULL,16136,1419
10733,Acetoin,1,NULL,15688,1419
10734,Indole,0,NULL,35581,1422
10735,"Hydrogen sulfide",0,NULL,16136,1422
10736,Acetoin,1,NULL,15688,1422
10737,Indole,0,NULL,35581,1430
10738,"Hydrogen sulfide",0,NULL,16136,1430
10739,Acetoin,0,NULL,15688,1430
10740,Indole,0,NULL,35581,1433
10741,"Hydrogen sulfide",0,NULL,16136,1433
10742,Acetoin,1,NULL,15688,1433
10743,Indole,0,NULL,35581,1437
10744,Acetoin,0,NULL,15688,1437
10745,Indole,0,NULL,35581,1438
10746,"Hydrogen sulfide",0,NULL,16136,1438
10747,Acetoin,1,NULL,15688,1438
10748,Indole,0,NULL,35581,1439
10749,"Hydrogen sulfide",0,NULL,16136,1439
10750,Acetoin,0,NULL,15688,1439
10751,Acetoin,1,NULL,15688,1439
10752,Indole,0,NULL,35581,1440
10753,Acetoin,0,NULL,15688,1440
10754,Indole,0,NULL,35581,1446
10755,"Hydrogen sulfide",0,NULL,16136,1446
10756,Dihydroxyacetone,0,NULL,16016,1446
10757,Acetoin,0,NULL,15688,1446
10758,Acetoin,1,NULL,15688,1449
10759,Indole,0,NULL,35581,1452
10760,"Hydrogen sulfide",0,NULL,16136,1452
10761,Acetoin,0,NULL,15688,1452
10762,Dihydroxyacetone,1,NULL,16016,1452
10763,Indole,0,NULL,35581,1459
10764,Acetoin,0,NULL,15688,1459
10765,Indole,0,NULL,35581,1460
10766,Acetoin,0,NULL,15688,1460
10767,"Hydrogen sulfide",1,NULL,16136,1460
10768,Indole,0,NULL,35581,1461
10769,"Hydrogen sulfide",0,NULL,16136,1461
10770,Acetoin,1,NULL,15688,1461
10771,Indole,0,NULL,35581,1463
10772,"Hydrogen sulfide",0,NULL,16136,1463
10773,Acetoin,0,NULL,15688,1463
10774,Indole,0,NULL,35581,1465
10775,"Hydrogen sulfide",0,NULL,16136,1465
10776,Acetoin,1,NULL,15688,1465
10777,Indole,0,NULL,35581,1466
10778,"Hydrogen sulfide",0,NULL,16136,1466
10779,Acetoin,0,NULL,15688,1466
10780,Indole,0,NULL,35581,1467
10781,"Hydrogen sulfide",0,NULL,16136,1467
10782,Acetoin,1,NULL,15688,1467
10783,Indole,0,NULL,35581,1468
10784,Acetoin,0,NULL,15688,1468
10785,"Hydrogen sulfide",1,NULL,16136,1468
10786,Indole,0,NULL,35581,1469
10787,"Hydrogen sulfide",0,NULL,16136,1469
10788,Acetoin,0,NULL,15688,1469
10789,Acetoin,0,NULL,15688,1474
10790,"Hydrogen sulfide",1,NULL,16136,1474
10791,Indole,0,NULL,35581,1476
10792,Acetoin,0,NULL,15688,1476
10793,"Hydrogen sulfide",1,NULL,16136,1476
10794,Indole,0,NULL,35581,1477
10795,"Hydrogen sulfide",0,NULL,16136,1477
10796,Acetoin,0,NULL,15688,1477
10797,Indole,0,NULL,35581,1480
10798,"Hydrogen sulfide",0,NULL,16136,1480
10799,Acetoin,0,NULL,15688,1480
10800,Indole,0,NULL,35581,1481
10801,"Hydrogen sulfide",0,NULL,16136,1481
10802,Acetoin,0,NULL,15688,1481
10803,Indole,0,NULL,35581,1482
10804,"Hydrogen sulfide",0,NULL,16136,1482
10805,Acetoin,0,NULL,15688,1482
10806,Indole,0,NULL,35581,1483
10807,"Hydrogen sulfide",0,NULL,16136,1483
10808,Acetoin,1,NULL,15688,1483
10809,Indole,0,NULL,35581,1484
10810,Acetoin,0,NULL,15688,1484
10811,Indole,0,NULL,35581,1485
10812,Acetoin,0,NULL,15688,1485
10813,Indole,0,NULL,35581,1486
10814,"Hydrogen sulfide",0,NULL,16136,1486
10815,Indole,0,NULL,35581,1487
10816,"Hydrogen sulfide",0,NULL,16136,1487
10817,Acetoin,0,NULL,15688,1487
10818,Indole,0,NULL,35581,1488
10819,"Hydrogen sulfide",0,NULL,16136,1488
10820,Acetoin,0,NULL,15688,1488
10821,Indole,0,NULL,35581,1489
10823,"Hydrogen sulfide",0,NULL,16136,1489
10824,Acetoin,0,NULL,15688,1489
10825,Indole,0,NULL,35581,1494
10826,"Hydrogen sulfide",0,NULL,16136,1494
10827,Acetoin,0,NULL,15688,1494
10828,Indole,0,NULL,35581,1521
10829,"Hydrogen sulfide",0,NULL,16136,1521
10830,Indole,0,NULL,35581,1538
10831,"Hydrogen sulfide",0,NULL,16136,1538
10832,Acetoin,1,NULL,15688,1538
10833,Acetoin,0,NULL,15688,1634
10834,Acetoin,0,NULL,15688,1636
10835,Acetoin,0,NULL,15688,1637
10836,Acetoin,0,NULL,15688,1638
10837,Acetoin,0,NULL,15688,1639
10838,Acetoin,0,NULL,15688,1653
10839,Indole,1,NULL,35581,1653
10840,Indole,0,NULL,35581,1672
10841,Indole,0,NULL,35581,1740
10842,Indole,0,NULL,35581,1770
10843,Acetoin,0,NULL,15688,1770
10844,Indole,1,NULL,35581,1771
10845,Indole,1,NULL,35581,1773
10846,"Hydrogen sulfide",0,NULL,16136,1781
10847,"Hydrogen sulfide",0,NULL,16136,1782
10848,Indole,0,NULL,35581,1787
10849,Indole,0,NULL,35581,1829
10850,"Hydrogen sulfide",0,NULL,16136,1829
10851,beta-Hydroxybutyrate,0,NULL,8295,1829
10852,"Bacteriochlorophyll alpha",0,NULL,30033,1829
10853,Acetoin,0,NULL,15688,1830
10854,beta-Hydroxybutyrate,1,NULL,8295,1830
10855,Polyhydroxybutyrate,0,NULL,53388,1878
10857,Indole,0,NULL,35581,1878
10858,"Hydrogen sulfide",0,NULL,16136,1878
10859,Indole,0,NULL,35581,1888
10860,"Hydrogen sulfide",1,NULL,16136,1888
10861,Indole,1,NULL,35581,1890
10862,Acetoin,1,NULL,15688,1890
10863,Indole,0,NULL,35581,1891
10864,"Hydrogen sulfide",0,NULL,16136,1891
10865,Acetoin,0,NULL,15688,1891
10866,Indole,0,NULL,35581,1904
10867,"Hydrogen sulfide",0,NULL,16136,1904
10868,Indole,0,NULL,35581,1974
10869,Indole,0,NULL,35581,1993
10870,Indole,0,NULL,35581,2053
10871,Indole,0,NULL,35581,2056
10872,Indole,0,NULL,35581,2057
10873,Indole,0,NULL,35581,2058
10874,Indole,0,NULL,35581,2059
10875,Indole,0,NULL,35581,2060
10876,Indole,0,NULL,35581,2061
10877,"Hydrogen sulfide",1,NULL,16136,2136
10878,"Hydrogen sulfide",0,NULL,16136,2138
10879,Indole,0,NULL,35581,2339
10880,Acetoin,0,NULL,15688,2339
10881,Indole,0,NULL,35581,2827
10882,Siderophore,1,NULL,26672,2905
10883,Indole,0,NULL,35581,2927
10884,"Hydrogen sulfide",0,NULL,16136,2927
10885,Indole,0,NULL,35581,2928
10886,"Hydrogen sulfide",0,NULL,16136,2928
10887,Indole,0,NULL,35581,2930
10888,"Hydrogen sulfide",0,NULL,16136,2930
10889,Indole,0,NULL,35581,2936
10890,"Hydrogen sulfide",0,NULL,16136,2936
10891,Acetoin,1,NULL,15688,2936
10892,Indole,0,NULL,35581,2937
10893,Indole,0,NULL,35581,2938
10894,Indole,0,NULL,35581,2982
10895,"Hydrogen sulfide",0,NULL,16136,2982
10896,Acetoin,0,NULL,15688,2982
10897,Indole,0,NULL,35581,2984
10898,Indole,0,NULL,35581,2985
10899,"Hydrogen sulfide",0,NULL,16136,2985
10900,Indole,0,NULL,35581,2986
10901,"Hydrogen sulfide",0,NULL,16136,2986
10902,Polyhydroxybutyrate,1,NULL,53388,2992
10903,Indole,0,NULL,35581,3016
10904,"Hydrogen sulfide",0,NULL,16136,3017
10905,Acetoin,1,NULL,15688,3017
10906,Indole,0,NULL,35581,3043
10907,Indole,0,NULL,35581,3053
10908,Indole,0,NULL,35581,3196
10909,Indole,0,NULL,35581,3198
10910,Indole,0,NULL,35581,3199
10911,Indole,0,NULL,35581,3202
10912,Acetoin,1,NULL,15688,3208
10913,Acetoin,0,NULL,15688,3213
10914,Acetoin,1,NULL,15688,3223
10915,Acetoin,1,NULL,15688,3224
10916,Indole,0,NULL,35581,3245
10917,Indole,0,NULL,35581,4167
10918,Indole,0,NULL,35581,4239
10919,Acetoin,1,NULL,15688,4239
10920,"Hydrogen sulfide",0,NULL,16136,12668
10921,Indole,0,NULL,35581,22931
10922,"Hydrogen sulfide",0,NULL,16136,22931
10923,Acetoin,1,NULL,15688,22931
10924,Polyhydroxybutyrate,0,NULL,53388,23735
10925,"Extracellular polymeric substance",0,NULL,72813,23735
10926,Acetoin,0,NULL,15688,23735
10927,Acetoin,0,NULL,15688,130201
10928,Indole,1,NULL,35581,130201
10929,Acetoin,0,NULL,15688,132631
10930,Acetoin,0,NULL,15688,133142
10931,Acetoin,0,NULL,15688,133003
10932,Acetoin,0,NULL,15688,133151
10933,Acetoin,0,NULL,15688,132640
10934,Acetoin,0,NULL,15688,133157
10935,Acetoin,0,NULL,15688,133159
10936,Acetoin,0,NULL,15688,133160
10937,Acetoin,0,NULL,15688,133161
10938,Acetoin,0,NULL,15688,132648
10939,Acetoin,0,NULL,15688,133167
10940,Acetoin,0,NULL,15688,133168
10941,Acetoin,0,NULL,15688,133171
10942,Acetoin,0,NULL,15688,133177
10943,Acetoin,0,NULL,15688,133183
10944,Acetoin,0,NULL,15688,132661
10945,Acetoin,0,NULL,15688,133006
10946,Acetoin,0,NULL,15688,133188
10947,Acetoin,0,NULL,15688,133190
10948,Acetoin,0,NULL,15688,133197
10949,Acetoin,0,NULL,15688,133199
10950,Acetoin,0,NULL,15688,133202
10951,Acetoin,0,NULL,15688,133203
10952,Acetoin,0,NULL,15688,133205
10953,Acetoin,0,NULL,15688,133207
10954,Acetoin,0,NULL,15688,133011
10955,Acetoin,0,NULL,15688,132682
10956,Acetoin,0,NULL,15688,132683
10957,Acetoin,0,NULL,15688,133219
10958,Acetoin,0,NULL,15688,133225
10959,Acetoin,0,NULL,15688,133230
10960,Acetoin,0,NULL,15688,133240
10961,Acetoin,0,NULL,15688,133241
10962,Acetoin,0,NULL,15688,133243
10963,Acetoin,0,NULL,15688,133246
10964,Acetoin,0,NULL,15688,133251
10965,Acetoin,0,NULL,15688,133254
10966,Acetoin,0,NULL,15688,133259
10967,Acetoin,0,NULL,15688,133264
10968,Acetoin,0,NULL,15688,133266
10969,Acetoin,0,NULL,15688,132033
10970,Acetoin,0,NULL,15688,133034
10971,Acetoin,0,NULL,15688,133270
10972,Acetoin,0,NULL,15688,133276
