ID_culture_pH,pH,test_type,ability,ID_strains
1453,7,optimum,positive,133417
1454,6-12,growth,positive,133101
1455,8,optimum,positive,133101
1456,5,growth,no,133101
1457,5.0-9.0,growth,positive,133102
1458,7,optimum,positive,133102
1459,4.0-8.0,growth,positive,133103
1460,6,optimum,positive,133103
1461,5.0-10.0,growth,positive,133104
1462,7,optimum,positive,133104
1463,4.0-9.0,growth,positive,133105
1464,7,optimum,positive,133105
1465,6.0-9.0,growth,positive,133106
1466,7,optimum,positive,133106
1467,7-7.5,optimum,positive,133107
1468,4-10,growth,positive,133107
1469,6.5-8.0,growth,positive,133108
1470,8,optimum,positive,133108
1471,5-9,growth,positive,133109
1472,7,optimum,positive,133109
1473,5-12,growth,positive,133110
1474,7.5,optimum,positive,133110
1475,4-10,growth,positive,133111
1476,7.0-9.5,growth,positive,133112
1477,9.5,optimum,positive,133112
1478,6.0-9.5,growth,positive,133099
1479,7.4-7.5,optimum,positive,133099
1480,6-10,growth,positive,133113
1481,6-8,growth,positive,133113
1482,9,growth,inconsistent,133113
1483,10,growth,no,133113
1484,6-9,growth,positive,133113
1485,10,growth,inconsistent,133113
1486,5,growth,no,133113
1487,11,growth,no,133113
1488,8,optimum,positive,133113
1489,7.0-8.0,optimum,positive,133117
1490,6,growth,positive,133117
1491,5.5,growth,no,133117
1492,5-9,growth,positive,133118
1493,7,optimum,positive,133118
1494,6.0-9.0,growth,positive,133119
1495,7,optimum,positive,133119
1496,5,growth,no,133120
1497,10,growth,no,133120
1498,5.5-8.5,growth,positive,133121
1499,6.5-7.0,optimum,positive,133121
1500,7.5-8.5,optimum,positive,133122
1501,7.0-9.0,growth,positive,133122
1502,6-8,optimum,positive,133123
1503,4,growth,positive,16469
1504,4,growth,positive,6695
1505,4,growth,positive,134061
1506,4,growth,positive,6678
1507,6,growth,positive,10511
1508,7,growth,positive,5578
1509,7,growth,positive,133543
1510,7,growth,positive,13207
1511,7,growth,positive,13208
1512,7,growth,positive,13209
1513,7,growth,positive,17414
1514,7,growth,positive,1628
1515,7,growth,positive,1629
1516,7,growth,positive,1630
1517,7,growth,positive,17473
1518,7,growth,positive,194
1519,7,growth,positive,17379
1520,7,growth,positive,14676
1521,7,growth,positive,8175
1522,7,growth,positive,23025
1523,7,growth,positive,24127
1524,7,growth,positive,16585
1525,7,growth,positive,16584
1526,7,growth,positive,12565
1527,7,growth,positive,17720
1528,7,growth,positive,3050
1529,7,growth,positive,3068
1530,7,growth,positive,13272
1531,7,growth,positive,13403
1532,7,growth,positive,133600
1533,7,growth,positive,5709
1534,7,growth,positive,3239
1535,7,growth,positive,130749
1536,7,growth,positive,12630
1537,7,growth,positive,133614
1538,7,growth,positive,7358
1539,7,growth,positive,133631
1540,7,growth,positive,7141
1541,7,growth,positive,11072
1542,7,growth,positive,11073
1543,7,growth,positive,130153
1544,7,growth,positive,7516
1545,7,growth,positive,24733
1546,7,growth,positive,5048
1547,7,growth,positive,5843
1548,7,growth,positive,3228
1549,7,growth,positive,17124
1550,7,growth,positive,12519
1551,7,growth,positive,16447
1552,7,growth,positive,7354
1553,7,growth,positive,8541
1554,7,growth,positive,7257
1555,7,growth,positive,13683
1556,7,growth,positive,6412
1557,7,growth,positive,17509
1558,7,growth,positive,17132
1559,7,growth,positive,17131
1560,7,growth,positive,17146
1561,7,growth,positive,13835
1562,7,growth,positive,13774
1563,7,growth,positive,134147
1564,7,growth,positive,14078
1565,7,growth,positive,134156
1566,7,growth,positive,134157
1567,7,growth,positive,134158
1568,7,growth,positive,10806
1569,7,growth,positive,17375
1570,7,growth,positive,134160
1571,7,growth,positive,4255
1572,7,growth,positive,5588
1573,7,growth,positive,13393
1574,7,growth,positive,13261
1575,7,growth,positive,12581
1576,7,growth,positive,5482
1577,7,growth,positive,6265
1578,7,growth,positive,13258
1579,7,growth,positive,1609
1580,7,growth,positive,216
1581,7,growth,positive,217
1582,7,growth,positive,134162
1583,7,growth,positive,134163
1584,7,growth,positive,5509
1585,7,growth,positive,11123
1586,7,growth,positive,134165
1587,7,growth,positive,134167
1588,7,growth,positive,1968
1589,7,growth,positive,23756
1590,7,growth,positive,11442
1591,7,growth,positive,348
1592,7,growth,positive,5235
1593,7,growth,positive,14830
1594,7,growth,positive,23024
1595,7,growth,positive,134168
1596,7,growth,positive,11847
1597,7,growth,positive,8025
1598,7,growth,positive,134172
1599,7,growth,positive,10611
1600,7,growth,positive,10613
1601,7,growth,positive,1610
1602,7,growth,positive,134180
1603,7,growth,positive,292
1604,7,growth,positive,134181
1605,7,growth,positive,17515
1606,7,growth,positive,17377
1607,7,growth,positive,3924
1608,7,growth,positive,134183
1609,7,growth,positive,10493
1610,7,growth,positive,10494
1611,7,growth,positive,6646
1612,7,growth,positive,13263
1613,7,growth,positive,17719
1614,7,growth,positive,14077
1615,7,growth,positive,14076
1616,7,growth,positive,14075
1617,7,growth,positive,8536
1618,7,growth,positive,13395
1619,7,growth,positive,13131
1620,7,growth,positive,13130
1621,7,growth,positive,134192
1622,7,growth,positive,1612
1623,7,growth,positive,134195
1624,7,growth,positive,14031
1625,7,growth,positive,14032
1626,7,growth,positive,1972
1627,7,growth,positive,1973
1628,7,growth,positive,11231
1629,7,growth,positive,3919
1630,7,growth,positive,10813
1631,7,growth,positive,130802
1632,7,growth,positive,18153
1633,7,growth,positive,14709
1634,7,growth,positive,5376
1635,7,growth,positive,5714
1636,7,growth,positive,14283
1637,7,growth,positive,14282
1638,7,growth,positive,7479
1639,7,growth,positive,12560
1640,7,growth,positive,17407
1641,7,growth,positive,7344
1642,7,growth,positive,17274
1643,7,growth,positive,5738
1644,7,growth,positive,13399
1645,7,growth,positive,134364
1646,7,growth,positive,134365
1647,7,growth,positive,1988
1648,7,growth,positive,134371
1649,7,growth,positive,8572
1650,8,growth,positive,6235
1651,9,growth,positive,6279
1652,9,growth,positive,6310
1653,<4.3,growth,positive,16417
1654,<4.3,growth,positive,16459
1655,>4.5,growth,positive,1739
1656,>5.5,growth,positive,133496
1657,>5.5,growth,positive,24490
1658,0-6,growth,positive,24117
1659,02-06,growth,positive,435
1660,02-08,growth,positive,133596
1661,02-09,growth,positive,133683
1662,02-10,growth,positive,23706
1663,03-06,growth,positive,17239
1664,03-06,growth,positive,14408
1665,03-07,growth,positive,133532
1666,03-08,growth,positive,133586
1667,03-08,growth,positive,134321
1668,03-08,growth,positive,134322
1669,03-10,growth,positive,134347
1670,03-11,growth,positive,7480
1671,03-11,growth,positive,133569
1672,04-06,growth,positive,5977
1673,04-06,growth,positive,7197
1674,04-06,growth,positive,23350
1675,04-06,growth,positive,17637
1676,04-07,growth,positive,133595
1677,04-07,growth,positive,6700
1678,04-07,growth,positive,24483
1679,04-07,growth,positive,130227
1680,04-07,growth,positive,134045
1681,04-07,growth,positive,14867
1682,04-07,growth,positive,134110
1683,04-07,growth,positive,17661
1684,04-08,growth,positive,17457
1685,04-08,growth,positive,5510
1686,04-08,growth,positive,13515
1687,04-08,growth,positive,6696
1688,04-08,growth,positive,6865
1689,04-08,growth,positive,16493
1690,04-08,growth,positive,6703
1691,04-08,growth,positive,17525
1692,04-08,growth,positive,6489
1693,04-08,growth,positive,130228
1694,04-08,growth,positive,133579
1695,04-08,growth,positive,13657
1696,04-08,growth,positive,23440
1697,04-08,growth,positive,134169
1698,04-08,growth,positive,1970
1699,04-08,growth,positive,13936
1700,04-08,growth,positive,10525
1701,04-08,growth,positive,17411
1702,04-08,growth,positive,6672
1703,04-08,growth,positive,5686
1704,04-08,growth,positive,6399
1705,04-08,growth,positive,6680
1706,04-09,growth,positive,17458
1707,04-09,growth,positive,10503
1708,04-09,growth,positive,10502
1709,04-09,growth,positive,11047
1710,04-09,growth,positive,11446
1711,04-09,growth,positive,13180
1712,04-09,growth,positive,17110
1713,04-09,growth,positive,6290
1714,04-09,growth,positive,7877
1715,04-09,growth,positive,133627
1716,04-09,growth,positive,133628
1717,04-09,growth,positive,133797
1718,04-09,growth,positive,24131
1719,04-09,growth,positive,22986
1720,04-09,growth,positive,133909
1721,04-09,growth,positive,133968
1722,04-09,growth,positive,134148
1723,04-09,growth,positive,6282
1724,04-09,growth,positive,134189
1725,04-09,growth,positive,17489
1726,04-09,growth,positive,6643
1727,04-09,growth,positive,14042
1728,04-09,growth,positive,8012
1729,04-09,growth,positive,14404
1730,04-09,growth,positive,2850
1731,04-09,growth,positive,134361
1732,04-10,growth,positive,17520
1733,04-10,growth,positive,16998
1734,04-10,growth,positive,133517
1735,04-10,growth,positive,16468
1736,04-10,growth,positive,130420
1737,04-10,growth,positive,4383
1738,04-10,growth,positive,13855
1739,04-10,growth,positive,133568
1740,04-10,growth,positive,7879
1741,04-10,growth,positive,13436
1742,04-10,growth,positive,13491
1743,04-10,growth,positive,133672
1744,04-10,growth,positive,133704
1745,04-10,growth,positive,133705
1746,04-10,growth,positive,16495
1747,04-10,growth,positive,23817
1748,04-10,growth,positive,23795
1749,04-10,growth,positive,7466
1750,04-10,growth,positive,133834
1751,04-10,growth,positive,130318
1752,04-10,growth,positive,24670
1753,04-10,growth,positive,7179
1754,04-10,growth,positive,11622
1755,04-10,growth,positive,11628
1756,04-10,growth,positive,5570
1757,04-11,growth,positive,8052
1758,04-11,growth,positive,133681
1759,04-11,growth,positive,133777
1760,04-11,growth,positive,16502
1761,04-11,growth,positive,132145
1762,04-11,growth,positive,24030
1763,04-11,growth,positive,23316
1764,04-11,growth,positive,24443
1765,04-12,growth,positive,24113
1766,04-12,growth,positive,10774
1767,04-12,growth,positive,23795
1768,04-12,growth,positive,23317
1769,04-12,growth,positive,13253
1770,04-12,growth,positive,13785
1771,05-06,growth,positive,17007
1772,05-06,growth,positive,17013
1773,05-06,growth,positive,17010
1774,05-06,growth,positive,7664
1775,05-07,growth,positive,14112
1776,05-07,growth,positive,17008
1777,05-07,growth,positive,17010
1778,05-07,growth,positive,17011
1779,05-07,growth,positive,17012
1780,05-07,growth,positive,8046
1781,05-07,growth,positive,133604
1782,05-07,growth,positive,17662
1783,05-07,growth,positive,1226
1784,05-07,growth,positive,17646
1785,05-07,growth,positive,17016
1786,05-07,growth,positive,133703
1787,05-07,growth,positive,23265
1788,05-07,growth,positive,23266
1789,05-07,growth,positive,24021
1790,05-07,growth,positive,130823
1791,05-07,growth,positive,24213
1792,05-07,growth,positive,7425
1793,05-07,growth,positive,5683
1794,05-07,growth,positive,134232
1795,05-07,growth,positive,134266
1796,05-07,growth,positive,17736
1797,05-08,growth,positive,133430
1798,05-08,growth,positive,133436
1799,05-08,growth,positive,3892
1800,05-08,growth,positive,17624
1801,05-08,growth,positive,14140
1802,05-08,growth,positive,133489
1803,05-08,growth,positive,11369
1804,05-08,growth,positive,13466
1805,05-08,growth,positive,14025
1806,05-08,growth,positive,14261
1807,05-08,growth,positive,13566
1808,05-08,growth,positive,133537
1809,05-08,growth,positive,11440
1810,05-08,growth,positive,5721
1811,05-08,growth,positive,10529
1812,05-08,growth,positive,133541
1813,05-08,growth,positive,13833
1814,05-08,growth,positive,23340
1815,05-08,growth,positive,133575
1816,05-08,growth,positive,23880
1817,05-08,growth,positive,14197
1818,05-08,growth,positive,133620
1819,05-08,growth,positive,133625
1820,05-08,growth,positive,24502
1821,05-08,growth,positive,7424
1822,05-08,growth,positive,14073
1823,05-08,growth,positive,23174
1824,05-08,growth,positive,23239
1825,05-08,growth,positive,23172
1826,05-08,growth,positive,133730
1827,05-08,growth,positive,24643
1828,05-08,growth,positive,17789
1829,05-08,growth,positive,6705
1830,05-08,growth,positive,133776
1831,05-08,growth,positive,16530
1832,05-08,growth,positive,11050
1833,05-08,growth,positive,133810
1834,05-08,growth,positive,133812
1835,05-08,growth,positive,132911
1836,05-08,growth,positive,133867
1837,05-08,growth,positive,133889
1838,05-08,growth,positive,23332
1839,05-08,growth,positive,24730
1840,05-08,growth,positive,133932
1841,05-08,growth,positive,24151
1842,05-08,growth,positive,23883
1843,05-08,growth,positive,24667
1844,05-08,growth,positive,134057
1845,05-08,growth,positive,134077
1846,05-08,growth,positive,13633
1847,05-08,growth,positive,14337
1848,05-08,growth,positive,14862
1849,05-08,growth,positive,14860
1850,05-08,growth,positive,134098
1851,05-08,growth,positive,134099
1852,05-08,growth,positive,5394
1853,05-08,growth,positive,11930
1854,05-08,growth,positive,8194
1855,05-08,growth,positive,17706
1856,05-08,growth,positive,7178
1857,05-08,growth,positive,5678
1858,05-08,growth,positive,11273
1859,05-08,growth,positive,2877
1860,05-08,growth,positive,134176
1861,05-08,growth,positive,17485
1862,05-08,growth,positive,1253
1863,05-08,growth,positive,17757
1864,05-08,growth,positive,17756
1865,05-08,growth,positive,17487
1866,05-08,growth,positive,14091
1867,05-08,growth,positive,11079
1868,05-08,growth,positive,17518
1869,05-08,growth,positive,18154
1870,05-08,growth,positive,17759
1871,05-08,growth,positive,134305
1872,05-08,growth,positive,13565
1873,05-08,growth,positive,17639
1874,05-08,growth,positive,134335
1875,05-08,growth,positive,134338
1876,05-08,growth,positive,134341
1877,05-08,growth,positive,134350
1878,05-09,growth,positive,17927
1879,05-09,growth,positive,2523
1880,05-09,growth,positive,11439
1881,05-09,growth,positive,7192
1882,05-09,growth,positive,17246
1883,05-09,growth,positive,496
1884,05-09,growth,positive,17763
1885,05-09,growth,positive,16698
1886,05-09,growth,positive,133462
1887,05-09,growth,positive,133463
1888,05-09,growth,positive,133482
1889,05-09,growth,positive,12616
1890,05-09,growth,positive,12618
1891,05-09,growth,positive,12619
1892,05-09,growth,positive,133503
1893,05-09,growth,positive,6086
1894,05-09,growth,positive,4069
1895,05-09,growth,positive,133521
1896,05-09,growth,positive,16466
1897,05-09,growth,positive,17839
1898,05-09,growth,positive,3020
1899,05-09,growth,positive,24203
1900,05-09,growth,positive,1540
1901,05-09,growth,positive,11445
1902,05-09,growth,positive,3931
1903,05-09,growth,positive,8016
1904,05-09,growth,positive,7346
1905,05-09,growth,positive,17887
1906,05-09,growth,positive,23861
1907,05-09,growth,positive,7455
1908,05-09,growth,positive,23755
1909,05-09,growth,positive,13474
1910,05-09,growth,positive,6859
1911,05-09,growth,positive,5747
1912,05-09,growth,positive,1872
1913,05-09,growth,positive,8017
1914,05-09,growth,positive,17461
1915,05-09,growth,positive,24458
1916,05-09,growth,positive,133626
1917,05-09,growth,positive,17015
1918,05-09,growth,positive,11151
1919,05-09,growth,positive,5623
1920,05-09,growth,positive,133639
1921,05-09,growth,positive,1149
1922,05-09,growth,positive,133647
1923,05-09,growth,positive,16491
1924,05-09,growth,positive,23307
1925,05-09,growth,positive,133692
1926,05-09,growth,positive,7791
1927,05-09,growth,positive,24683
1928,05-09,growth,positive,16733
1929,05-09,growth,positive,6272
1930,05-09,growth,positive,7512
1931,05-09,growth,positive,7847
1932,05-09,growth,positive,133722
1933,05-09,growth,positive,6841
1934,05-09,growth,positive,133736
1935,05-09,growth,positive,23759
1936,05-09,growth,positive,133738
1937,05-09,growth,positive,11341
1938,05-09,growth,positive,23344
1939,05-09,growth,positive,16571
1940,05-09,growth,positive,14270
1941,05-09,growth,positive,16498
1942,05-09,growth,positive,13412
1943,05-09,growth,positive,22975
1944,05-09,growth,positive,23074
1945,05-09,growth,positive,24437
1946,05-09,growth,positive,23439
1947,05-09,growth,positive,133828
1948,05-09,growth,positive,133832
1949,05-09,growth,positive,130670
1950,05-09,growth,positive,133839
1951,05-09,growth,positive,133849
1952,05-09,growth,positive,24438
1953,05-09,growth,positive,24654
1954,05-09,growth,positive,133868
1955,05-09,growth,positive,133870
1956,05-09,growth,positive,24762
1957,05-09,growth,positive,23443
1958,05-09,growth,positive,24346
1959,05-09,growth,positive,24460
1960,05-09,growth,positive,23992
1961,05-09,growth,positive,23318
1962,05-09,growth,positive,23306
1963,05-09,growth,positive,133919
1964,05-09,growth,positive,23033
1965,05-09,growth,positive,23034
1966,05-09,growth,positive,23809
1967,05-09,growth,positive,23898
1968,05-09,growth,positive,134040
1969,05-09,growth,positive,24196
1970,05-09,growth,positive,134059
1971,05-09,growth,positive,130631
1972,05-09,growth,positive,23712
1973,05-09,growth,positive,134078
1974,05-09,growth,positive,17127
1975,05-09,growth,positive,17057
1976,05-09,growth,positive,14864
1977,05-09,growth,positive,14863
1978,05-09,growth,positive,134103
1979,05-09,growth,positive,11587
1980,05-09,growth,positive,6329
1981,05-09,growth,positive,5726
1982,05-09,growth,positive,17450
1983,05-09,growth,positive,5669
1984,05-09,growth,positive,13736
1985,05-09,growth,positive,11074
1986,05-09,growth,positive,7180
1987,05-09,growth,positive,23743
1988,05-09,growth,positive,134188
1989,05-09,growth,positive,5682
1990,05-09,growth,positive,17629
1991,05-09,growth,positive,13797
1992,05-09,growth,positive,134197
1993,05-09,growth,positive,134199
1994,05-09,growth,positive,7756
1995,05-09,growth,positive,7212
1996,05-09,growth,positive,13946
1997,05-09,growth,positive,13947
1998,05-09,growth,positive,13259
1999,05-09,growth,positive,17956
2000,05-09,growth,positive,7351
2001,05-09,growth,positive,7434
2002,05-09,growth,positive,6083
2003,05-09,growth,positive,5831
2004,05-09,growth,positive,132891
2005,05-09,growth,positive,3887
2006,05-09,growth,positive,13264
2007,05-09,growth,positive,134251
2008,05-09,growth,positive,12627
2009,05-09,growth,positive,7182
2010,05-09,growth,positive,6303
2011,05-09,growth,positive,7429
2012,05-09,growth,positive,134285
2013,05-09,growth,positive,11080
2014,05-09,growth,positive,5703
2015,05-09,growth,positive,5702
2016,05-09,growth,positive,6069
2017,05-09,growth,positive,5654
2018,05-09,growth,positive,14043
2019,05-09,growth,positive,13164
2020,05-09,growth,positive,134315
2021,05-09,growth,positive,134316
2022,05-09,growth,positive,11331
2023,05-09,growth,positive,6070
2024,05-09,growth,positive,495
2025,05-09,growth,positive,16996
2026,05-09,growth,positive,16997
2027,05-09,growth,positive,6170
2028,05-09,growth,positive,24718
2029,05-09,growth,positive,134344
2030,05-09,growth,positive,8042
2031,05-09,growth,positive,13163
2032,05-09,growth,positive,3890
2033,05-09,growth,positive,7489
2034,05-09,growth,positive,134367
2035,05-09,growth,positive,13787
2036,05-10,growth,positive,14111
2037,05-10,growth,positive,14110
2038,05-10,growth,positive,3810
2039,05-10,growth,positive,11668
2040,05-10,growth,positive,17448
2041,05-10,growth,positive,13638
2042,05-10,growth,positive,11895
2043,05-10,growth,positive,13512
2044,05-10,growth,positive,14260
2045,05-10,growth,positive,133504
2046,05-10,growth,positive,16465
2047,05-10,growth,positive,23763
2048,05-10,growth,positive,13269
2049,05-10,growth,positive,13678
2050,05-10,growth,positive,133527
2051,05-10,growth,positive,1640
2052,05-10,growth,positive,16470
2053,05-10,growth,positive,11647
2054,05-10,growth,positive,2856
2055,05-10,growth,positive,17912
2056,05-10,growth,positive,133556
2057,05-10,growth,positive,7452
2058,05-10,growth,positive,10825
2059,05-10,growth,positive,7878
2060,05-10,growth,positive,11066
2061,05-10,growth,positive,17888
2062,05-10,growth,positive,133584
2063,05-10,growth,positive,7507
2064,05-10,growth,positive,14286
2065,05-10,growth,positive,17523
2066,05-10,growth,positive,6304
2067,05-10,growth,positive,17358
2068,05-10,growth,positive,16480
2069,05-10,growth,positive,6077
2070,05-10,growth,positive,131144
2071,05-10,growth,positive,133656
2072,05-10,growth,positive,6039
2073,05-10,growth,positive,1861
2074,05-10,growth,positive,133669
2075,05-10,growth,positive,5624
2076,05-10,growth,positive,133677
2077,05-10,growth,positive,133688
2078,05-10,growth,positive,6246
2079,05-10,growth,positive,10830
2080,05-10,growth,positive,14129
2081,05-10,growth,positive,17369
2082,05-10,growth,positive,23794
2083,05-10,growth,positive,23216
2084,05-10,growth,positive,1571
2085,05-10,growth,positive,133766
2086,05-10,growth,positive,3037
2087,05-10,growth,positive,16497
2088,05-10,growth,positive,23309
2089,05-10,growth,positive,8047
2090,05-10,growth,positive,133784
2091,05-10,growth,positive,133808
2092,05-10,growth,positive,16573
2093,05-10,growth,positive,133820
2094,05-10,growth,positive,23030
2095,05-10,growth,positive,23285
2096,05-10,growth,positive,23272
2097,05-10,growth,positive,23273
2098,05-10,growth,positive,23163
2099,05-10,growth,positive,133859
2100,05-10,growth,positive,130813
2101,05-10,growth,positive,7963
2102,05-10,growth,positive,133869
2103,05-10,growth,positive,24645
2104,05-10,growth,positive,24763
2105,05-10,growth,positive,24440
2106,05-10,growth,positive,24206
2107,05-10,growth,positive,8187
2108,05-10,growth,positive,6776
2109,05-10,growth,positive,6000
2110,05-10,growth,positive,16410
2111,05-10,growth,positive,6231
2112,05-10,growth,positive,6232
2113,05-10,growth,positive,13675
2114,05-10,growth,positive,23706
2115,05-10,growth,positive,5851
2116,05-10,growth,positive,482
2117,05-10,growth,positive,16409
2118,05-10,growth,positive,134120
2119,05-10,growth,positive,134137
2120,05-10,growth,positive,1095
2121,05-10,growth,positive,134140
2122,05-10,growth,positive,13630
2123,05-10,growth,positive,134146
2124,05-10,growth,positive,134153
2125,05-10,growth,positive,134154
2126,05-10,growth,positive,13826
2127,05-10,growth,positive,11044
2128,05-10,growth,positive,6001
2129,05-10,growth,positive,23231
2130,05-10,growth,positive,5640
2131,05-10,growth,positive,134177
2132,05-10,growth,positive,134178
2133,05-10,growth,positive,134193
2134,05-10,growth,positive,17738
2135,05-10,growth,positive,134196
2136,05-10,growth,positive,1518
2137,05-10,growth,positive,134200
2138,05-10,growth,positive,7181
2139,05-10,growth,positive,5183
2140,05-10,growth,positive,7302
2141,05-10,growth,positive,6080
2142,05-10,growth,positive,13304
2143,05-10,growth,positive,134231
2144,05-10,growth,positive,134235
2145,05-10,growth,positive,134241
2146,05-10,growth,positive,3915
2147,05-10,growth,positive,7280
2148,05-10,growth,positive,134259
2149,05-10,growth,positive,134260
2150,05-10,growth,positive,7783
2151,05-10,growth,positive,6224
2152,05-10,growth,positive,132093
2153,05-10,growth,positive,6067
2154,05-10,growth,positive,134310
2155,05-10,growth,positive,134313
2156,05-10,growth,positive,134314
2157,05-10,growth,positive,134317
2158,05-10,growth,positive,6068
2159,05-10,growth,positive,11064
2160,05-10,growth,positive,13968
2161,05-10,growth,positive,5613
2162,05-10,growth,positive,13635
2163,05-10,growth,positive,5242
2164,05-10,growth,positive,5237
2165,05-10,growth,positive,5238
2166,05-10,growth,positive,5239
2167,05-10,growth,positive,3804
2168,05-10,growth,positive,134336
2169,05-10,growth,positive,11081
2170,05-10,growth,positive,11082
2171,05-10,growth,positive,134346
2172,05-10,growth,positive,13733
2173,05-10,growth,positive,134351
2174,05-10,growth,positive,17346
2175,05-10,growth,positive,134354
2176,05-10,growth,positive,17496
2177,05-10,growth,positive,11143
2178,05-10,growth,positive,11998
2179,05-11,growth,positive,133418
2180,05-11,growth,positive,133439
2181,05-11,growth,positive,5168
2182,05-11,growth,positive,5707
2183,05-11,growth,positive,11146
2184,05-11,growth,positive,13306
2185,05-11,growth,positive,13307
2186,05-11,growth,positive,13305
2187,05-11,growth,positive,17914
2188,05-11,growth,positive,10518
2189,05-11,growth,positive,17498
2190,05-11,growth,positive,133608
2191,05-11,growth,positive,13639
2192,05-11,growth,positive,133615
2193,05-11,growth,positive,133617
2194,05-11,growth,positive,133618
2195,05-11,growth,positive,24283
2196,05-11,growth,positive,13273
2197,05-11,growth,positive,5589
2198,05-11,growth,positive,23310
2199,05-11,growth,positive,17003
2200,05-11,growth,positive,17005
2201,05-11,growth,positive,130135
2202,05-11,growth,positive,132905
2203,05-11,growth,positive,16024
2204,05-11,growth,positive,11192
2205,05-11,growth,positive,23126
2206,05-11,growth,positive,132918
2207,05-11,growth,positive,133957
2208,05-11,growth,positive,24258
2209,05-11,growth,positive,5166
2210,05-11,growth,positive,17233
2211,05-11,growth,positive,11041
2212,05-11,growth,positive,3783
2213,05-11,growth,positive,13786
2214,05-11,growth,positive,3779
2215,05-11,growth,positive,3916
2216,05-11,growth,positive,16434
2217,05-11,growth,positive,6309
2218,05-11,growth,positive,6245
2219,05-11,growth,positive,134289
2220,05-11,growth,positive,7515
2221,05-11,growth,positive,13904
2222,05-11,growth,positive,11626
2223,05-12,growth,positive,3780
2224,05-12,growth,positive,23887
2225,05-12,growth,positive,23888
2226,05-12,growth,positive,133567
2227,05-12,growth,positive,11238
2228,05-12,growth,positive,130500
2229,05-12,growth,positive,17570
2230,05-12,growth,positive,133609
2231,05-12,growth,positive,6038
2232,05-12,growth,positive,6040
2233,05-12,growth,positive,6041
2234,05-12,growth,positive,133758
2235,05-12,growth,positive,22937
2236,05-12,growth,positive,22987
2237,05-12,growth,positive,7767
2238,05-12,growth,positive,7660
2239,05-12,growth,positive,17650
2240,05-13,growth,positive,1285
2241,05-13,growth,positive,7423
2242,06-07,growth,positive,5727
2243,06-07,growth,positive,12566
2244,06-07,growth,positive,133577
2245,06-07,growth,positive,3862
2246,06-07,growth,positive,14271
2247,06-07,growth,positive,23271
2248,06-07,growth,positive,133843
2249,06-07,growth,positive,23199
2250,06-07,growth,positive,133974
2251,06-07,growth,positive,133975
2252,06-07,growth,positive,133976
2253,06-07,growth,positive,130139
2254,06-07,growth,positive,13778
2255,06-08,growth,positive,16012
2256,06-08,growth,positive,13471
2257,06-08,growth,positive,16626
2258,06-08,growth,positive,14193
2259,06-08,growth,positive,11335
2260,06-08,growth,positive,1513
2261,06-08,growth,positive,8030
2262,06-08,growth,positive,7623
2263,06-08,growth,positive,133508
2264,06-08,growth,positive,24327
2265,06-08,growth,positive,133514
2266,06-08,growth,positive,133515
2267,06-08,growth,positive,1491
2268,06-08,growth,positive,1551
2269,06-08,growth,positive,16509
2270,06-08,growth,positive,13511
2271,06-08,growth,positive,5807
2272,06-08,growth,positive,5579
2273,06-08,growth,positive,11161
2274,06-08,growth,positive,133531
2275,06-08,growth,positive,13825
2276,06-08,growth,positive,6328
2277,06-08,growth,positive,13270
2278,06-08,growth,positive,17795
2279,06-08,growth,positive,5972
2280,06-08,growth,positive,14137
2281,06-08,growth,positive,14136
2282,06-08,growth,positive,17073
2283,06-08,growth,positive,133551
2284,06-08,growth,positive,133561
2285,06-08,growth,positive,10516
2286,06-08,growth,positive,13473
2287,06-08,growth,positive,3898
2288,06-08,growth,positive,10448
2289,06-08,growth,positive,463
2290,06-08,growth,positive,11451
2291,06-08,growth,positive,3782
2292,06-08,growth,positive,5741
2293,06-08,growth,positive,11283
2294,06-08,growth,positive,14287
2295,06-08,growth,positive,133598
2296,06-08,growth,positive,17917
2297,06-08,growth,positive,133606
2298,06-08,growth,positive,17486
2299,06-08,growth,positive,5823
2300,06-08,growth,positive,5580
2301,06-08,growth,positive,13857
2302,06-08,growth,positive,11657
2303,06-08,growth,positive,1828
2304,06-08,growth,positive,13655
2305,06-08,growth,positive,11366
2306,06-08,growth,positive,7592
2307,06-08,growth,positive,6247
2308,06-08,growth,positive,133702
2309,06-08,growth,positive,7629
2310,06-08,growth,positive,11371
2311,06-08,growth,positive,11370
2312,06-08,growth,positive,11372
2313,06-08,growth,positive,133710
2314,06-08,growth,positive,133715
2315,06-08,growth,positive,133716
2316,06-08,growth,positive,133728
2317,06-08,growth,positive,11083
2318,06-08,growth,positive,7463
2319,06-08,growth,positive,133751
2320,06-08,growth,positive,23183
2321,06-08,growth,positive,16501
2322,06-08,growth,positive,16499
2323,06-08,growth,positive,23343
2324,06-08,growth,positive,7514
2325,06-08,growth,positive,390
2326,06-08,growth,positive,16632
2327,06-08,growth,positive,12674
2328,06-08,growth,positive,133785
2329,06-08,growth,positive,24674
2330,06-08,growth,positive,22962
2331,06-08,growth,positive,13286
2332,06-08,growth,positive,133799
2333,06-08,growth,positive,133801
2334,06-08,growth,positive,133803
2335,06-08,growth,positive,133804
2336,06-08,growth,positive,23117
2337,06-08,growth,positive,130607
2338,06-08,growth,positive,23274
2339,06-08,growth,positive,133825
2340,06-08,growth,positive,133833
2341,06-08,growth,positive,23182
2342,06-08,growth,positive,133838
