ID_culture_pH,pH,test_type,ability,ID_strains
202,6.0,optimum,positive,515
203,4.8,minimum,positive,525
204,7.8,maximum,positive,525
205,4.8-7.8,growth,positive,525
206,5.9,optimum,positive,525
207,5.5,minimum,positive,528
208,10.0,maximum,positive,528
209,7.0-8.0,optimum,positive,528
210,5.0,minimum,positive,531
211,8.5,maximum,positive,531
212,7.0,optimum,positive,531
213,4.0,minimum,positive,533
214,9.0,maximum,positive,533
215,7-8,optimum,positive,533
216,5.0,minimum,positive,534
217,11.0,maximum,positive,534
218,7.0,optimum,positive,534
219,5-7,growth,positive,569
220,5.0,growth,no,570
221,7-9,growth,positive,570
222,5.0,growth,no,571
223,7-9,growth,positive,571
224,5.6-5.7,growth,positive,1077
225,5.7,growth,positive,1093
226,5.7,growth,positive,1150
227,5.7,growth,positive,1151
228,7,growth,positive,1154
229,8-10,optimum,positive,1154
230,5.7,growth,positive,1201
231,6.0,growth,inconsistent,1208
232,6.5,growth,positive,1208
233,7.0,growth,positive,1208
234,7.5,growth,positive,1208
235,8.0,growth,positive,1208
236,9.0,growth,positive,1208
237,6-10,growth,positive,1209
238,7,optimum,positive,1209
239,6-10.5,growth,positive,1212
240,<5,growth,no,1212
241,5.5-6.0,minimum,positive,1213
242,7.0-8.0,optimum,positive,1213
243,9.5-10.0,maximum,positive,1213
244,4.0-6.0,minimum,positive,1214
245,7.0-8.0,optimum,positive,1214
246,9.5-10.0,maximum,positive,1214
247,4.0-5.0,minimum,positive,1215
248,7.0-7.5,optimum,positive,1215
249,7.0-7.5,maximum,positive,1215
250,4.0-5.0,minimum,positive,1216
251,7.0-9.0,optimum,positive,1216
252,9.5-10.0,maximum,positive,1216
253,4.0-5.0,minimum,positive,1217
254,7.0-8.0,optimum,positive,1217
255,9.0-9.5,maximum,positive,1217
256,9,growth,no,1219
257,5,growth,no,1219
258,9.0,growth,inconsistent,1220
259,5.0,growth,no,1220
260,9.0,growth,positive,1221
261,5.0,growth,inconsistent,1221
262,6.0-8.0,optimum,positive,1224
263,4.5,growth,positive,1224
264,4.0,growth,no,1224
265,6.0-7.0,optimum,positive,1225
266,9.0,growth,no,1225
267,4.5,growth,no,1225
268,6-7,growth,positive,1233
269,7.0-8.0,optimum,positive,1250
270,<5.0,growth,no,1250
271,4.0-5.0,minimum,positive,1251
272,5.5,optimum,positive,1251
273,6.0-6.5,maximum,positive,1251
274,5.5-6.0,minimum,positive,1256
275,7.0,optimum,positive,1256
276,8.0-8.5,maximum,positive,1256
277,5,minimum,positive,1263
278,8,maximum,positive,1263
279,7.0-8.0,optimum,positive,1280
280,4.5,growth,no,1280
281,9.0,growth,positive,1280
282,6.0-9.5,growth,positive,1342
283,7.5,optimum,positive,1342
284,6.0-9.5,growth,positive,1343
285,7.5,optimum,positive,1343
286,6.0-9.6,growth,positive,1344
287,7.5-8.5,optimum,positive,1344
288,7.0-8.0,optimum,positive,1346
289,6.0,growth,positive,1346
290,5.5,growth,no,1346
291,6.0-10.0,growth,positive,1347
292,7.5,optimum,positive,1347
293,5.0-11.0,growth,positive,1348
294,7.5,optimum,positive,1348
295,5.5-10.0,growth,positive,1349
296,7.5-8.0,optimum,positive,1349
297,5.5-10.0,growth,positive,1350
298,7.5-8.0,optimum,positive,1350
299,7.0,optimum,positive,1351
300,4.5,growth,no,1351
301,5.5-9.0,growth,positive,1352
302,6.0-9.0,growth,positive,1353
303,7.0,optimum,positive,1353
304,7.0-8.0,optimum,positive,1354
305,6.0,growth,positive,1354
306,5.5,growth,no,1354
307,6.0-10.0,growth,positive,1355
308,9.0,optimum,positive,1355
309,6.0-10.0,growth,positive,1356
310,7.5,optimum,positive,1356
311,8.0-9.0,optimum,positive,1357
312,6.5-9.5,growth,positive,1357
313,9.5,optimum,positive,1358
314,6.0-10.0,growth,positive,1358
315,6.0-8.0,optimum,positive,1359
316,5.0,growth,no,1359
317,6.0-8.5,growth,positive,1360
318,7.0-7.5,optimum,positive,1360
319,7.0-9.5,growth,positive,1361
320,8.0,optimum,positive,1361
321,6.0-8.0,growth,positive,1362
322,7.0-7.5,optimum,positive,1362
323,5.0,growth,no,1362
324,9.0,growth,no,1362
325,5.0-9.0,growth,positive,1363
326,7.0,optimum,positive,1363
327,6.0-9.0,growth,positive,1364
328,7.0-7.5,optimum,positive,1364
329,6.5-7.0,optimum,positive,1365
330,6.0,growth,positive,1365
331,5.5,growth,no,1365
332,7.0-9.2,growth,positive,1366
333,8.0,optimum,positive,1366
334,6.0-8.0,growth,positive,1367
335,8.0,optimum,positive,1367
336,6.0-9.5,growth,positive,1368
337,7.5,optimum,positive,1368
338,7.0-7.5,optimum,positive,1370
339,6.5-9.0,growth,positive,1370
340,6.0-8.0,growth,positive,1371
341,7.0,optimum,positive,1371
342,6.5-9.5,growth,positive,1374
343,9.0,optimum,positive,1374
344,8.5,optimum,positive,1375
345,6.5-9.5,growth,positive,1376
346,7.5-8.5,optimum,positive,1376
347,6.0-9.0,growth,positive,1377
348,7.0,optimum,positive,1377
349,6.0-9.0,growth,positive,1378
350,8.0,optimum,positive,1378
351,6.0-9.0,growth,positive,1380
352,7.0,optimum,positive,1380
353,<5.5,growth,no,1380
354,>9.5,growth,no,1380
355,7.0-10.0,growth,positive,1381
356,6.0,growth,no,1381
357,5.0-6.0,growth,no,1381
358,5.0-9.0,growth,positive,1382
359,6.5-9.5,growth,positive,1383
360,7.0-9.0,optimum,positive,1383
361,5.7,growth,no,1383
362,6.0-10.0,growth,positive,1385
363,8.0,optimum,positive,1385
364,6.5-9.5,growth,positive,1386
