ID_oxygen_tolerance,oxygen_tol,ID_strains
1566,anaerobe,5377
1568,anaerobe,5378
1569,anaerobe,5379
1570,anaerobe,5399
1571,anaerobe,5400
1572,anaerobe,5401
1573,anaerobe,5402
1574,anaerobe,5403
1575,anaerobe,5404
1576,anaerobe,5405
1577,anaerobe,5406
1578,anaerobe,5407
1579,anaerobe,5408
1580,anaerobe,5409
1581,anaerobe,5410
1582,anaerobe,5411
1583,anaerobe,5412
1584,anaerobe,5413
1586,anaerobe,5414
1587,anaerobe,5415
1588,anaerobe,5416
1589,anaerobe,5417
1590,anaerobe,5418
1591,anaerobe,5419
1592,anaerobe,5420
1593,anaerobe,5421
1594,anaerobe,5422
1595,anaerobe,5423
1596,anaerobe,5424
1597,anaerobe,5425
1598,anaerobe,5426
1599,anaerobe,5427
1601,anaerobe,5428
1602,anaerobe,5429
1605,anaerobe,5430
1608,anaerobe,5431
1609,anaerobe,5432
1610,anaerobe,5433
1611,anaerobe,5434
1612,anaerobe,5435
1613,anaerobe,5436
1614,anaerobe,5437
1615,anaerobe,5438
1616,anaerobe,5439
1617,anaerobe,5440
1618,anaerobe,5441
1619,anaerobe,5442
1620,anaerobe,5443
1621,anaerobe,5444
1622,anaerobe,5445
1624,anaerobe,5446
1625,anaerobe,5447
1626,anaerobe,5448
1627,anaerobe,5449
1628,anaerobe,5450
1629,anaerobe,5451
1630,anaerobe,5452
1631,anaerobe,5453
1632,aerobe,5455
1633,anaerobe,5487
1634,anaerobe,5488
1635,anaerobe,5489
1636,anaerobe,5490
1637,"facultative anaerobe",5491
1638,"facultative anaerobe",5492
1640,microaerophile,5493
1641,microaerophile,5494
1642,microaerophile,5495
1643,microaerophile,5496
1644,"facultative anaerobe",5525
1645,"facultative anaerobe",5526
1646,"facultative anaerobe",5527
1647,aerobe,5590
1648,aerobe,5608
1649,microaerophile,5625
1652,microaerophile,5632
1653,aerobe,5632
1654,microaerophile,5633
1655,microaerophile,5634
1656,microaerophile,5635
1657,aerobe,5675
1658,aerobe,5676
1660,microaerophile,5716
1661,anaerobe,5758
1662,anaerobe,5759
1664,anaerobe,5760
1666,anaerobe,5761
1668,anaerobe,5762
1670,anaerobe,5763
1671,anaerobe,5764
1672,anaerobe,5765
1674,anaerobe,5766
1676,anaerobe,5767
1678,anaerobe,5768
1680,anaerobe,5769
1682,anaerobe,5770
1684,anaerobe,5771
1686,anaerobe,5772
1688,anaerobe,5773
1690,anaerobe,5774
1692,anaerobe,5775
1694,anaerobe,5776
1695,anaerobe,5777
1696,anaerobe,5778
1697,anaerobe,5779
1698,anaerobe,5780
1699,anaerobe,5781
1700,anaerobe,5782
1702,anaerobe,5783
1703,anaerobe,5784
1704,anaerobe,5785
1705,anaerobe,5786
1706,anaerobe,5787
1707,anaerobe,5789
1708,anaerobe,5790
1709,anaerobe,5791
1710,anaerobe,5792
1711,anaerobe,5793
1712,anaerobe,5794
1713,anaerobe,5795
1714,anaerobe,5796
1715,anaerobe,5797
1716,anaerobe,5798
1717,anaerobe,5799
1718,anaerobe,5800
1719,anaerobe,5801
1720,anaerobe,5802
1721,anaerobe,5803
1722,anaerobe,5804
1723,anaerobe,5805
1724,anaerobe,5806
1725,anaerobe,5807
1726,anaerobe,5808
1728,anaerobe,5857
1729,anaerobe,5858
1730,anaerobe,5859
1731,anaerobe,5860
1732,anaerobe,5861
1733,anaerobe,5862
1734,anaerobe,5863
1735,anaerobe,5864
1736,anaerobe,5865
1737,"obligate anaerobe",5868
1738,anaerobe,5882
1739,anaerobe,5978
1740,anaerobe,5979
1741,anaerobe,5980
1742,anaerobe,5981
1743,anaerobe,5984
1744,anaerobe,5985
1745,anaerobe,5986
1746,anaerobe,5987
1747,anaerobe,5988
1748,anaerobe,5990
1749,anaerobe,5991
1750,anaerobe,5992
