ID_enzymes,enzyme,activity,ec_number,exoenzyme,production,ID_strains
6867,trypsin,-,3.4.21.4,NULL,NULL,133131
6868,"tryptophan deaminase",-,4.1.99.1,NULL,NULL,133131
6869,urease,+,3.5.1.5,NULL,NULL,133131
6870,"valine arylamidase",+,NULL,NULL,NULL,133131
6871,"acid phosphatase",+,3.1.3.2,NULL,NULL,133132
6872,"alkaline phosphatase",+,3.1.3.1,NULL,NULL,133132
6873,alpha-chymotrypsin,+,3.4.21.1,NULL,NULL,133132
6874,alpha-galactosidase,-,3.2.1.22,NULL,NULL,133132
6875,alpha-glucosidase,+,3.2.1.20,NULL,NULL,133132
6876,alpha-mannosidase,+,3.2.1.24,NULL,NULL,133132
6877,beta-galactosidase,+,3.2.1.23,NULL,NULL,133132
6878,beta-glucosidase,+,3.2.1.21,NULL,NULL,133132
6879,beta-glucuronidase,-,3.2.1.31,NULL,NULL,133132
6880,"cystine arylamidase",+,3.4.11.3,NULL,NULL,133132
6881,"esterase (C 4)",+,NULL,NULL,NULL,133132
6882,"esterase lipase (C 8)",+,NULL,NULL,NULL,133132
6883,"leucine arylamidase",+,3.4.11.1,NULL,NULL,133132
6884,"lipase (C 14)",-,NULL,NULL,NULL,133132
6885,N-acetyl-beta-glucosaminidase,+,3.2.1.52,NULL,NULL,133132
6886,naphthol-AS-BI-phosphohydrolase,+,NULL,NULL,NULL,133132
6887,trypsin,+,3.4.21.4,NULL,NULL,133132
6888,"valine arylamidase",+,NULL,NULL,NULL,133132
6889,6-phospho-beta-galactosidase,-,3.2.1.85,NULL,NULL,133133
6890,"acid phosphatase",-,3.1.3.2,NULL,NULL,133133
6891,"alkaline phosphatase",-,3.1.3.1,NULL,NULL,133133
6892,alpha-chymotrypsin,-,3.4.21.1,NULL,NULL,133133
6893,alpha-fucosidase,-,3.2.1.51,NULL,NULL,133133
6894,alpha-galactosidase,-,3.2.1.22,NULL,NULL,133133
6895,alpha-mannosidase,-,3.2.1.24,NULL,NULL,133133
6896,beta-glucosidase,+,3.2.1.21,NULL,NULL,133133
6897,beta-glucuronidase,-,3.2.1.31,NULL,NULL,133133
6898,"cystine arylamidase",-,3.4.11.3,NULL,NULL,133133
6899,"cytochrome oxidase",-,1.9.3.1,NULL,NULL,133133
6900,"leucine arylamidase",-,3.4.11.1,NULL,NULL,133133
6901,"lipase (C 14)",-,NULL,NULL,NULL,133133
6902,N-acetyl-beta-glucosaminidase,-,3.2.1.52,NULL,NULL,133133
6903,naphthol-AS-BI-phosphohydrolase,-,NULL,NULL,NULL,133133
6904,pyrazinamidase,+,3.5.1.B15,NULL,NULL,133133
6905,"pyrrolidonyl arylamidase",-,3.4.19.3,NULL,NULL,133133
6906,trypsin,-,3.4.21.4,NULL,NULL,133133
6907,urease,-,3.5.1.5,NULL,NULL,133133
6908,"valine arylamidase",-,NULL,NULL,NULL,133133
6909,"acid phosphatase",+,3.1.3.2,NULL,NULL,132631
6910,"alkaline phosphatase",+,3.1.3.1,NULL,NULL,132631
6911,alpha-glucosidase,+,3.2.1.20,NULL,NULL,132631
6912,beta-glucuronidase,+,3.2.1.31,NULL,NULL,132631
6913,catalase,-,1.11.1.6,NULL,NULL,132631
6914,"cytochrome oxidase",+,1.9.3.1,NULL,NULL,132631
6915,"esterase (C 4)",+,NULL,NULL,NULL,132631
6916,"esterase lipase (C 8)",+,NULL,NULL,NULL,132631
6917,"leucine arylamidase",+,3.4.11.1,NULL,NULL,132631
6918,"tryptophan deaminase",-,4.1.99.1,NULL,NULL,132631
6919,"acid phosphatase",+,3.1.3.2,NULL,NULL,133135
6920,"alkaline phosphatase",+,3.1.3.1,NULL,NULL,133135
6921,alpha-chymotrypsin,+,3.4.21.1,NULL,NULL,133135
6922,alpha-galactosidase,+,3.2.1.22,NULL,NULL,133135
6923,alpha-glucosidase,+,3.2.1.20,NULL,NULL,133135
6924,beta-galactosidase,+,3.2.1.23,NULL,NULL,133135
6925,beta-glucosidase,+,3.2.1.21,NULL,NULL,133135
6926,"esterase (C 4)",+,NULL,NULL,NULL,133135
6927,"esterase lipase (C 8)",+,NULL,NULL,NULL,133135
6928,"leucine arylamidase",+,3.4.11.1,NULL,NULL,133135
6929,trypsin,+,3.4.21.4,NULL,NULL,133135
6930,catalase,+,1.11.1.6,NULL,NULL,132632
6931,"cytochrome oxidase",-,1.9.3.1,NULL,NULL,132632
6932,"alkaline phosphatase",+,3.1.3.1,NULL,NULL,132633
6933,beta-glucosidase,+,3.2.1.21,NULL,NULL,132633
6934,catalase,+,1.11.1.6,NULL,NULL,132633
6935,chymotrypsin,+,3.4.4.5,NULL,NULL,132633
6936,"cystine arylamidase",+,3.4.11.3,NULL,NULL,132633
6937,"cytochrome oxidase",+,1.9.3.1,NULL,NULL,132633
6938,"esterase (C 4)",+,NULL,NULL,NULL,132633
6939,"esterase lipase (C 8)",+,NULL,NULL,NULL,132633
6940,"lipase (C 14)",+,NULL,NULL,NULL,132633
6941,"tryptophan deaminase",+,4.1.99.1,NULL,NULL,132633
6942,"acid phosphatase",+,3.1.3.2,NULL,NULL,132634
6943,"alkaline phosphatase",+,3.1.3.1,NULL,NULL,132634
6944,alpha-chymotrypsin,-,3.4.21.1,NULL,NULL,132634
6945,alpha-fucosidase,-,3.2.1.51,NULL,NULL,132634
6946,alpha-galactosidase,+,3.2.1.22,NULL,NULL,132634
6947,alpha-glucosidase,+,3.2.1.20,NULL,NULL,132634
6948,alpha-mannosidase,+,3.2.1.24,NULL,NULL,132634
6949,beta-galactosidase,+,3.2.1.23,NULL,NULL,132634
6950,beta-glucosidase,-,3.2.1.21,NULL,NULL,132634
6951,beta-glucuronidase,-,3.2.1.31,NULL,NULL,132634
6952,catalase,+,1.11.1.6,NULL,NULL,132634
6953,"cystine arylamidase",-,3.4.11.3,NULL,NULL,132634
6954,"cytochrome oxidase",+,1.9.3.1,NULL,NULL,132634
6955,"esterase (C 4)",+,NULL,NULL,NULL,132634
6956,"esterase lipase (C 8)",+,NULL,NULL,NULL,132634
6957,"leucine arylamidase",+,3.4.11.1,NULL,NULL,132634
6958,"lipase (C 14)",-,NULL,NULL,NULL,132634
6959,N-acetyl-beta-glucosaminidase,-,3.2.1.52,NULL,NULL,132634
6960,naphthol-AS-BI-phosphohydrolase,+,NULL,NULL,NULL,132634
6961,trypsin,-,3.4.21.4,NULL,NULL,132634
6962,"tryptophan deaminase",-,4.1.99.1,NULL,NULL,132634
6963,"valine arylamidase",+,NULL,NULL,NULL,132634
6964,6-phospho-beta-galactosidase,+,3.2.1.85,NULL,NULL,133136
6965,"acid phosphatase",-,3.1.3.2,NULL,NULL,133136
6966,"alkaline phosphatase",-,3.1.3.1,NULL,NULL,133136
6967,alpha-chymotrypsin,-,3.4.21.1,NULL,NULL,133136
6968,alpha-fucosidase,-,3.2.1.51,NULL,NULL,133136
6969,alpha-galactosidase,-,3.2.1.22,NULL,NULL,133136
6970,alpha-glucosidase,+,3.2.1.20,NULL,NULL,133136
6971,alpha-mannosidase,-,3.2.1.24,NULL,NULL,133136
6972,beta-glucosidase,+,3.2.1.21,NULL,NULL,133136
6973,beta-glucuronidase,-,3.2.1.31,NULL,NULL,133136
6974,catalase,+,1.11.1.6,NULL,NULL,133136
6975,"cystine arylamidase",-,3.4.11.3,NULL,NULL,133136
6976,"cytochrome oxidase",+,1.9.3.1,NULL,NULL,133136
6977,"esterase (C 4)",+,NULL,NULL,NULL,133136
6978,"esterase lipase (C 8)",+,NULL,NULL,NULL,133136
6979,"leucine arylamidase",+,3.4.11.1,NULL,NULL,133136
6980,"lipase (C 14)",-,NULL,NULL,NULL,133136
6981,N-acetyl-beta-glucosaminidase,-,3.2.1.52,NULL,NULL,133136
6982,naphthol-AS-BI-phosphohydrolase,-,NULL,NULL,NULL,133136
6983,trypsin,-,3.4.21.4,NULL,NULL,133136
6984,"valine arylamidase",-,NULL,NULL,NULL,133136
6985,"acid phosphatase",+,3.1.3.2,NULL,NULL,132635
6986,"alkaline phosphatase",-,3.1.3.1,NULL,NULL,132635
6987,alpha-chymotrypsin,-,3.4.21.1,NULL,NULL,132635
6988,alpha-fucosidase,-,3.2.1.51,NULL,NULL,132635
6989,alpha-galactosidase,-,3.2.1.22,NULL,NULL,132635
6990,alpha-glucosidase,-,3.2.1.20,NULL,NULL,132635
6991,alpha-mannosidase,-,3.2.1.24,NULL,NULL,132635
6992,"arginine dihydrolase",-,3.5.3.6,NULL,NULL,132635
6993,beta-galactosidase,-,3.2.1.23,NULL,NULL,132635
6994,beta-glucosidase,-,3.2.1.21,NULL,NULL,132635
6995,beta-glucuronidase,-,3.2.1.31,NULL,NULL,132635
6996,catalase,-,1.11.1.6,NULL,NULL,132635
6997,"cystine arylamidase",-,3.4.11.3,NULL,NULL,132635
6998,"cytochrome oxidase",-,1.9.3.1,NULL,NULL,132635
6999,"esterase (C 4)",+,NULL,NULL,NULL,132635
7000,"esterase lipase (C 8)",+,NULL,NULL,NULL,132635
7001,"leucine arylamidase",+,3.4.11.1,NULL,NULL,132635
7002,"lipase (C 14)",-,NULL,NULL,NULL,132635
7003,N-acetyl-beta-glucosaminidase,-,3.2.1.52,NULL,NULL,132635
7004,naphthol-AS-BI-phosphohydrolase,+,NULL,NULL,NULL,132635
7005,trypsin,-,3.4.21.4,NULL,NULL,132635
7006,urease,-,3.5.1.5,NULL,NULL,132635
7007,"valine arylamidase",+,NULL,NULL,NULL,132635
7008,"acid phosphatase",+,3.1.3.2,NULL,NULL,133133
7009,"alkaline phosphatase",+,3.1.3.1,NULL,NULL,133133
7010,alpha-glucosidase,+,3.2.1.20,NULL,NULL,133133
7011,catalase,+,1.11.1.6,NULL,NULL,133133
7012,"cytochrome oxidase",+,1.9.3.1,NULL,NULL,133133
7013,"esterase (C 4)",+,NULL,NULL,NULL,133133
7014,"esterase lipase (C 8)",+,NULL,NULL,NULL,133133
7015,naphthol-AS-BI-phosphohydrolase,+,NULL,NULL,NULL,133133
7016,"tryptophan deaminase",-,4.1.99.1,NULL,NULL,133133
7017,6-phospho-beta-galactosidase,+,3.2.1.85,NULL,NULL,133139
7018,"acid phosphatase",+,3.1.3.2,NULL,NULL,133139
7019,"alkaline phosphatase",+,3.1.3.1,NULL,NULL,133139
7020,alpha-arabinosidase,-,NULL,NULL,NULL,133139
7021,alpha-fucosidase,-,3.2.1.51,NULL,NULL,133139
7022,alpha-galactosidase,-,3.2.1.22,NULL,NULL,133139
7023,alpha-glucosidase,-,3.2.1.20,NULL,NULL,133139
7024,"arginine dihydrolase",-,3.5.3.6,NULL,NULL,133139
7025,beta-glucosidase,-,3.2.1.21,NULL,NULL,133139
7026,beta-glucuronidase,-,3.2.1.31,NULL,NULL,133139
7027,catalase,+,1.11.1.6,NULL,NULL,133139
7028,chymotrypsin,-,3.4.4.5,NULL,NULL,133139
7029,esterase,+,NULL,NULL,NULL,133139
7030,"esterase lipase (C 8)",+,NULL,NULL,NULL,133139
7031,"glutamate decarboxylase",-,4.1.1.15,NULL,NULL,133139
7032,"glutamyl-glutamate arylamidase",+,NULL,NULL,NULL,133139
7033,"L-arginine arylamidase",+,NULL,NULL,NULL,133139
7034,"leucine arylamidase",-,3.4.11.1,NULL,NULL,133139
7035,"leucyl glycin arylamidase",+,3.4.11.1,NULL,NULL,133139
7036,"lipase (C 14)",-,NULL,NULL,NULL,133139
7037,N-acetyl-beta-glucosaminidase,+,3.2.1.52,NULL,NULL,133139
7038,naphthol-AS-BI-phosphohydrolase,+,NULL,NULL,NULL,133139
7039,"phenylalanine arylamidase",+,NULL,NULL,NULL,133139
7040,"phenylalanine arylamidase",-,NULL,NULL,NULL,133139
7041,proline-arylamidase,-,3.4.11.5,NULL,NULL,133139
7042,"pyroglutamic acid arylamidase",+,NULL,NULL,NULL,133139
7043,trypsin,+,3.4.21.4,NULL,NULL,133139
7044,"tryptophan deaminase",+,4.1.99.1,NULL,NULL,133139
7045,"tyrosine arylamidase",-,NULL,NULL,NULL,133139
7046,urease,-,3.5.1.5,NULL,NULL,133139
7047,"acid phosphatase",+,3.1.3.2,NULL,NULL,133140
7048,"alkaline phosphatase",+,3.1.3.1,NULL,NULL,133140
7049,alpha-chymotrypsin,-,3.4.21.1,NULL,NULL,133140
7050,alpha-fucosidase,-,3.2.1.51,NULL,NULL,133140
7051,alpha-galactosidase,+,3.2.1.22,NULL,NULL,133140
7052,alpha-glucosidase,+,3.2.1.20,NULL,NULL,133140
7053,alpha-mannosidase,-,3.2.1.24,NULL,NULL,133140
7054,beta-galactosidase,-,3.2.1.23,NULL,NULL,133140
7055,beta-glucosidase,+,3.2.1.21,NULL,NULL,133140
7056,beta-glucuronidase,-,3.2.1.31,NULL,NULL,133140
7057,catalase,+,1.11.1.6,NULL,NULL,133140
7058,"cystine arylamidase",+,3.4.11.3,NULL,NULL,133140
7059,"cytochrome oxidase",+,1.9.3.1,NULL,NULL,133140
7060,"esterase (C 4)",+,NULL,NULL,NULL,133140
7061,"esterase lipase (C 8)",+,NULL,NULL,NULL,133140
7062,"leucine arylamidase",+,3.4.11.1,NULL,NULL,133140
7063,"lipase (C 14)",-,NULL,NULL,NULL,133140
7064,N-acetyl-beta-glucosaminidase,+,3.2.1.52,NULL,NULL,133140
7065,naphthol-AS-BI-phosphohydrolase,+,NULL,NULL,NULL,133140
7066,trypsin,+,3.4.21.4,NULL,NULL,133140
7067,"tryptophan deaminase",-,4.1.99.1,NULL,NULL,133140
7068,"valine arylamidase",+,NULL,NULL,NULL,133140
7069,"acid phosphatase",-,3.1.3.2,NULL,NULL,133002
7070,"alkaline phosphatase",+,3.1.3.1,NULL,NULL,133002
7071,alpha-chymotrypsin,-,3.4.21.1,NULL,NULL,133002
7072,alpha-fucosidase,-,3.2.1.51,NULL,NULL,133002
7073,alpha-galactosidase,-,3.2.1.22,NULL,NULL,133002
7074,alpha-glucosidase,+,3.2.1.20,NULL,NULL,133002
7075,alpha-mannosidase,-,3.2.1.24,NULL,NULL,133002
7076,beta-galactosidase,-,3.2.1.23,NULL,NULL,133002
7077,beta-glucosidase,+,3.2.1.21,NULL,NULL,133002
7078,beta-glucuronidase,-,3.2.1.31,NULL,NULL,133002
7079,catalase,+,1.11.1.6,NULL,NULL,133002
7080,"cystine arylamidase",+,3.4.11.3,NULL,NULL,133002
7081,"cytochrome oxidase",+,1.9.3.1,NULL,NULL,133002
7082,"esterase (C 4)",+,NULL,NULL,NULL,133002
7083,"esterase lipase (C 8)",+,NULL,NULL,NULL,133002
7084,"leucine arylamidase",+,3.4.11.1,NULL,NULL,133002
7085,"lipase (C 14)",-,NULL,NULL,NULL,133002
7086,N-acetyl-beta-glucosaminidase,+,3.2.1.52,NULL,NULL,133002
7087,naphthol-AS-BI-phosphohydrolase,-,NULL,NULL,NULL,133002
7088,trypsin,-,3.4.21.4,NULL,NULL,133002
7089,"valine arylamidase",+,NULL,NULL,NULL,133002
7090,"acid phosphatase",+,3.1.3.2,NULL,NULL,132636
7091,"alkaline phosphatase",+,3.1.3.1,NULL,NULL,132636
7092,alpha-chymotrypsin,-,3.4.21.1,NULL,NULL,132636
7093,alpha-fucosidase,-,3.2.1.51,NULL,NULL,132636
7094,alpha-galactosidase,+,3.2.1.22,NULL,NULL,132636
7095,alpha-glucosidase,+,3.2.1.20,NULL,NULL,132636
7096,alpha-mannosidase,+,3.2.1.24,NULL,NULL,132636
7097,beta-galactosidase,+,3.2.1.23,NULL,NULL,132636
7098,beta-glucosidase,+,3.2.1.21,NULL,NULL,132636
7099,beta-glucuronidase,-,3.2.1.31,NULL,NULL,132636
7100,catalase,+,1.11.1.6,NULL,NULL,132636
7101,"cystine arylamidase",+,3.4.11.3,NULL,NULL,132636
7102,"cytochrome oxidase",+,1.9.3.1,NULL,NULL,132636
7103,"esterase (C 4)",+,NULL,NULL,NULL,132636
7104,"esterase lipase (C 8)",+,NULL,NULL,NULL,132636
7105,"leucine arylamidase",+,3.4.11.1,NULL,NULL,132636
7106,"lipase (C 14)",-,NULL,NULL,NULL,132636
7107,N-acetyl-beta-glucosaminidase,+,3.2.1.52,NULL,NULL,132636
7108,naphthol-AS-BI-phosphohydrolase,+,NULL,NULL,NULL,132636
7109,trypsin,+,3.4.21.4,NULL,NULL,132636
7110,"valine arylamidase",+,NULL,NULL,NULL,132636
7111,catalase,+,1.11.1.6,NULL,NULL,133141
7112,"cytochrome oxidase",-,1.9.3.1,NULL,NULL,133141
7113,"acid phosphatase",+,3.1.3.2,NULL,NULL,133142
7114,"alkaline phosphatase",+,3.1.3.1,NULL,NULL,133142
7115,alpha-chymotrypsin,-,3.4.21.1,NULL,NULL,133142
7116,alpha-fucosidase,+,3.2.1.51,NULL,NULL,133142
7117,alpha-galactosidase,+,3.2.1.22,NULL,NULL,133142
7118,alpha-glucosidase,+,3.2.1.20,NULL,NULL,133142
7119,alpha-mannosidase,+,3.2.1.24,NULL,NULL,133142
7120,"arginine dihydrolase",-,3.5.3.6,NULL,NULL,133142
7121,beta-galactosidase,+,3.2.1.23,NULL,NULL,133142
7122,beta-glucosidase,+,3.2.1.21,NULL,NULL,133142
7123,beta-glucuronidase,-,3.2.1.31,NULL,NULL,133142
7124,catalase,+,1.11.1.6,NULL,NULL,133142
7125,"cytochrome oxidase",+,1.9.3.1,NULL,NULL,133142
7126,"esterase (C 4)",+,NULL,NULL,NULL,133142
7127,"leucine arylamidase",+,3.4.11.1,NULL,NULL,133142
7128,"lipase (C 14)",-,NULL,NULL,NULL,133142
7129,N-acetyl-beta-glucosaminidase,+,3.2.1.52,NULL,NULL,133142
7130,naphthol-AS-BI-phosphohydrolase,+,NULL,NULL,NULL,133142
7131,"phenylalanine deaminase",+,4.3.1.5,NULL,NULL,133142
7132,trypsin,+,3.4.21.4,NULL,NULL,133142
7133,urease,-,3.5.1.5,NULL,NULL,133142
7134,"valine arylamidase",-,NULL,NULL,NULL,133142
7135,"acid phosphatase",+,3.1.3.2,NULL,NULL,132637
7136,"alkaline phosphatase",+,3.1.3.1,NULL,NULL,132637
7137,alpha-chymotrypsin,-,3.4.21.1,NULL,NULL,132637
7138,alpha-fucosidase,+,3.2.1.51,NULL,NULL,132637
7139,alpha-galactosidase,+,3.2.1.22,NULL,NULL,132637
7140,alpha-glucosidase,+,3.2.1.20,NULL,NULL,132637
7141,alpha-mannosidase,+,3.2.1.24,NULL,NULL,132637
7142,"arginine dihydrolase",-,3.5.3.6,NULL,NULL,132637
7143,beta-galactosidase,+,3.2.1.23,NULL,NULL,132637
7144,beta-glucosidase,+,3.2.1.21,NULL,NULL,132637
7145,beta-glucuronidase,+,3.2.1.31,NULL,NULL,132637
7146,catalase,+,1.11.1.6,NULL,NULL,132637
7147,"cystine arylamidase",+,3.4.11.3,NULL,NULL,132637
7148,"cytochrome oxidase",-,1.9.3.1,NULL,NULL,132637
7149,"esterase (C 4)",+,NULL,NULL,NULL,132637
7150,"esterase lipase (C 8)",+,NULL,NULL,NULL,132637
7151,"leucine arylamidase",+,3.4.11.1,NULL,NULL,132637
7152,"lipase (C 14)",-,NULL,NULL,NULL,132637
7153,N-acetyl-beta-glucosaminidase,+,3.2.1.52,NULL,NULL,132637
7154,naphthol-AS-BI-phosphohydrolase,+,NULL,NULL,NULL,132637
7155,trypsin,+,3.4.21.4,NULL,NULL,132637
7156,urease,-,3.5.1.5,NULL,NULL,132637
7157,"valine arylamidase",+,NULL,NULL,NULL,132637
7158,"acid phosphatase",+,3.1.3.2,NULL,NULL,133143
7159,"alkaline phosphatase",+,3.1.3.1,NULL,NULL,133143
7160,alpha-chymotrypsin,-,3.4.21.1,NULL,NULL,133143
7161,alpha-fucosidase,-,3.2.1.51,NULL,NULL,133143
7162,alpha-galactosidase,-,3.2.1.22,NULL,NULL,133143
7163,alpha-glucosidase,-,3.2.1.20,NULL,NULL,133143
7164,alpha-mannosidase,-,3.2.1.24,NULL,NULL,133143
7165,beta-galactosidase,-,3.2.1.23,NULL,NULL,133143
7166,beta-glucosidase,-,3.2.1.21,NULL,NULL,133143
7167,beta-glucuronidase,-,3.2.1.31,NULL,NULL,133143
7168,catalase,+,1.11.1.6,NULL,NULL,133143
7169,"cystine arylamidase",-,3.4.11.3,NULL,NULL,133143
7170,"cytochrome oxidase",+,1.9.3.1,NULL,NULL,133143
7171,"esterase (C 4)",+,NULL,NULL,NULL,133143
7172,"esterase lipase (C 8)",+,NULL,NULL,NULL,133143
7173,"leucine arylamidase",+,3.4.11.1,NULL,NULL,133143
7174,"lipase (C 14)",-,NULL,NULL,NULL,133143
7175,N-acetyl-beta-glucosaminidase,-,3.2.1.52,NULL,NULL,133143
7176,naphthol-AS-BI-phosphohydrolase,+,NULL,NULL,NULL,133143
7177,trypsin,-,3.4.21.4,NULL,NULL,133143
7178,urease,-,3.5.1.5,NULL,NULL,133143
7179,"valine arylamidase",-,NULL,NULL,NULL,133143
7180,"acid phosphatase",+,3.1.3.2,NULL,NULL,133144
7181,"alkaline phosphatase",+,3.1.3.1,NULL,NULL,133144
7182,alpha-chymotrypsin,-,3.4.21.1,NULL,NULL,133144
7183,alpha-fucosidase,-,3.2.1.51,NULL,NULL,133144
7184,alpha-galactosidase,+,3.2.1.22,NULL,NULL,133144
7185,alpha-glucosidase,+,3.2.1.20,NULL,NULL,133144
7186,alpha-mannosidase,+,3.2.1.24,NULL,NULL,133144
7187,"arginine dihydrolase",-,3.5.3.6,NULL,NULL,133144
7188,beta-galactosidase,+,3.2.1.23,NULL,NULL,133144
7189,beta-glucosidase,-,3.2.1.21,NULL,NULL,133144
7190,beta-glucuronidase,-,3.2.1.31,NULL,NULL,133144
7191,catalase,-,1.11.1.6,NULL,NULL,133144
7192,"cystine arylamidase",+,3.4.11.3,NULL,NULL,133144
7193,"cytochrome oxidase",+,1.9.3.1,NULL,NULL,133144
7194,"esterase (C 4)",-,NULL,NULL,NULL,133144
7195,"esterase lipase (C 8)",-,NULL,NULL,NULL,133144
7196,"leucine arylamidase",+,3.4.11.1,NULL,NULL,133144
7197,"lipase (C 14)",-,NULL,NULL,NULL,133144
7198,N-acetyl-beta-glucosaminidase,+,3.2.1.52,NULL,NULL,133144
7199,naphthol-AS-BI-phosphohydrolase,+,NULL,NULL,NULL,133144
7200,trypsin,-,3.4.21.4,NULL,NULL,133144
7201,urease,-,3.5.1.5,NULL,NULL,133144
7202,"valine arylamidase",+,NULL,NULL,NULL,133144
7203,alpha-mannosidase,-,3.2.1.24,NULL,NULL,133145
7204,"cystine arylamidase",-,3.4.11.3,NULL,NULL,133145
7205,esterase,+,NULL,NULL,NULL,133145
7206,"esterase lipase (C 8)",+,NULL,NULL,NULL,133145
7207,trypsin,+,3.4.21.4,NULL,NULL,133145
7208,"acid phosphatase",+,3.1.3.2,NULL,NULL,133145
7209,"alkaline phosphatase",+,3.1.3.1,NULL,NULL,133145
7210,alpha-chymotrypsin,-,3.4.21.1,NULL,NULL,133145
7211,alpha-fucosidase,+,3.2.1.51,NULL,NULL,133145
7212,alpha-galactosidase,+,3.2.1.22,NULL,NULL,133145
7213,alpha-glucosidase,+,3.2.1.20,NULL,NULL,133145
7214,alpha-mannosidase,+,3.2.1.24,NULL,NULL,133145
7215,"arginine dihydrolase",-,3.5.3.6,NULL,NULL,133145
7216,beta-galactosidase,+,3.2.1.23,NULL,NULL,133145
7217,beta-glucosidase,+,3.2.1.21,NULL,NULL,133145
7218,beta-glucuronidase,-,3.2.1.31,NULL,NULL,133145
7219,"cystine arylamidase",+,3.4.11.3,NULL,NULL,133145
7220,"esterase (C 4)",+,NULL,NULL,NULL,133145
7221,"esterase lipase (C 8)",-,NULL,NULL,NULL,133145
7222,"leucine arylamidase",+,3.4.11.1,NULL,NULL,133145
7223,"lipase (C 14)",-,NULL,NULL,NULL,133145
7224,N-acetyl-beta-glucosaminidase,+,3.2.1.52,NULL,NULL,133145
7225,naphthol-AS-BI-phosphohydrolase,+,NULL,NULL,NULL,133145
7226,trypsin,-,3.4.21.4,NULL,NULL,133145
7227,"tryptophan deaminase",-,4.1.99.1,NULL,NULL,133145
7228,"valine arylamidase",+,NULL,NULL,NULL,133145
7229,"acid phosphatase",+,3.1.3.2,NULL,NULL,133147
7230,"alkaline phosphatase",+,3.1.3.1,NULL,NULL,133147
7231,alpha-chymotrypsin,+,3.4.21.1,NULL,NULL,133147
7232,alpha-fucosidase,-,3.2.1.51,NULL,NULL,133147
7233,alpha-galactosidase,+,3.2.1.22,NULL,NULL,133147
7234,alpha-glucosidase,+,3.2.1.20,NULL,NULL,133147
7235,alpha-mannosidase,+,3.2.1.24,NULL,NULL,133147
7236,beta-galactosidase,-,3.2.1.23,NULL,NULL,133147
7237,beta-glucosidase,+,3.2.1.21,NULL,NULL,133147
7238,beta-glucuronidase,-,3.2.1.31,NULL,NULL,133147
7239,catalase,+,1.11.1.6,NULL,NULL,133147
7240,"cystine arylamidase",+,3.4.11.3,NULL,NULL,133147
7241,"cytochrome oxidase",+,1.9.3.1,NULL,NULL,133147
7242,"esterase (C 4)",+,NULL,NULL,NULL,133147
7243,"esterase lipase (C 8)",+,NULL,NULL,NULL,133147
7244,"leucine arylamidase",+,3.4.11.1,NULL,NULL,133147
7245,"lipase (C 14)",-,NULL,NULL,NULL,133147
7246,N-acetyl-beta-glucosaminidase,+,3.2.1.52,NULL,NULL,133147
7247,naphthol-AS-BI-phosphohydrolase,+,NULL,NULL,NULL,133147
7248,trypsin,+,3.4.21.4,NULL,NULL,133147
7249,"valine arylamidase",+,NULL,NULL,NULL,133147
7250,"acid phosphatase",+,3.1.3.2,NULL,NULL,133148
7251,"alkaline phosphatase",+,3.1.3.1,NULL,NULL,133148
7252,alpha-chymotrypsin,-,3.4.21.1,NULL,NULL,133148
7253,alpha-fucosidase,-,3.2.1.51,NULL,NULL,133148
7254,alpha-galactosidase,-,3.2.1.22,NULL,NULL,133148
7255,alpha-glucosidase,+,3.2.1.20,NULL,NULL,133148
7256,alpha-mannosidase,+,3.2.1.24,NULL,NULL,133148
7257,beta-galactosidase,+,3.2.1.23,NULL,NULL,133148
7258,beta-glucosidase,+,3.2.1.21,NULL,NULL,133148
7259,beta-glucuronidase,-,3.2.1.31,NULL,NULL,133148
7260,catalase,+,1.11.1.6,NULL,NULL,133148
7261,"cystine arylamidase",+,3.4.11.3,NULL,NULL,133148
7262,"cytochrome oxidase",+,1.9.3.1,NULL,NULL,133148
7263,"esterase (C 4)",+,NULL,NULL,NULL,133148
7264,"esterase lipase (C 8)",+,NULL,NULL,NULL,133148
7265,"leucine arylamidase",+,3.4.11.1,NULL,NULL,133148
7266,"lipase (C 14)",-,NULL,NULL,NULL,133148
7267,N-acetyl-beta-glucosaminidase,+,3.2.1.52,NULL,NULL,133148
7268,naphthol-AS-BI-phosphohydrolase,+,NULL,NULL,NULL,133148
7269,trypsin,-,3.4.21.4,NULL,NULL,133148
7270,"valine arylamidase",+,NULL,NULL,NULL,133148
7271,"acid phosphatase",+,3.1.3.2,NULL,NULL,133003
7272,"alkaline phosphatase",+,3.1.3.1,NULL,NULL,133003
7273,alpha-galactosidase,-,3.2.1.22,NULL,NULL,133003
7274,alpha-glucosidase,-,3.2.1.20,NULL,NULL,133003
7275,alpha-mannosidase,-,3.2.1.24,NULL,NULL,133003
7276,"arginine dihydrolase",-,3.5.3.6,NULL,NULL,133003
7277,beta-D-fucosidase,-,3.2.1.38,NULL,NULL,133003
7278,beta-galactosidase,-,3.2.1.23,NULL,NULL,133003
7279,beta-glucosidase,-,3.2.1.21,NULL,NULL,133003
7280,beta-glucuronidase,+,3.2.1.31,NULL,NULL,133003
7281,beta-glucuronidase,-,3.2.1.31,NULL,NULL,133003
7282,catalase,-,1.11.1.6,NULL,NULL,133003
7283,chymotrypsin,+,3.4.4.5,NULL,NULL,133003
