ID_cell_morphology,cell_len,cell_len_unit,cell_width,cell_shape,motility,flagellum_arrangement,gram_stain,ID_strains
91,NULL,NULL,NULL,rod-shaped,NULL,NULL,NULL,160
92,0.5-0.9,µm,0.9-3.0,rod-shaped,0,NULL,positive,161
94,3.3-6.1,µm,0.9-1.0,rod-shaped,0,NULL,positive,162
95,NULL,NULL,NULL,rod-shaped,0,NULL,positive,167
96,NULL,NULL,NULL,rod-shaped,0,NULL,positive,174
97,NULL,NULL,NULL,rod-shaped,0,NULL,positive,175
98,2.0-4.0,µm,NULL,rod-shaped,0,NULL,positive,177
99,NULL,NULL,NULL,rod-shaped,0,NULL,positive,178
100,NULL,NULL,NULL,rod-shaped,0,NULL,positive,179
101,NULL,NULL,NULL,rod-shaped,0,NULL,positive,180
102,NULL,NULL,NULL,rod-shaped,NULL,NULL,positive,181
103,NULL,NULL,NULL,rod-shaped,0,NULL,positive,182
104,NULL,NULL,NULL,rod-shaped,0,NULL,positive,185
105,NULL,NULL,NULL,rod-shaped,0,NULL,positive,186
106,NULL,NULL,NULL,rod-shaped,0,NULL,positive,187
107,NULL,NULL,NULL,rod-shaped,NULL,NULL,positive,188
108,NULL,NULL,NULL,rod-shaped,0,NULL,positive,189
109,2.5-3.2,µm,0.9-1.2,rod-shaped,0,NULL,negative,194
110,NULL,NULL,NULL,NULL,0,NULL,positive,197
111,NULL,NULL,NULL,NULL,0,NULL,positive,202
112,NULL,NULL,NULL,rod-shaped,0,NULL,positive,203
113,1.0-2.0,µm,0.5,rod-shaped,0,NULL,positive,204
114,2.9,µm,<0.5,rod-shaped,1,lophotrichous,negative,206
115,1.7,µm,<0.5,rod-shaped,1,lophotrichous,variable,208
116,1.7,µm,<0.5,rod-shaped,1,lophotrichous,variable,209
117,0.3-2.5,µm,0.2-0.9,coccus-shaped,0,NULL,NULL,212
118,0.3-2.5,µm,0.2-0.9,coccus-shaped,0,NULL,NULL,214
119,0.3-2.5,µm,0.2-0.9,coccus-shaped,0,NULL,NULL,216
120,0.3-2.5,µm,0.2-0.9,coccus-shaped,0,NULL,NULL,217
121,0.3-2.5,µm,0.2-0.9,coccus-shaped,0,NULL,NULL,218
122,NULL,NULL,NULL,sphere-shaped,0,NULL,positive,222
123,NULL,NULL,NULL,coccus-shaped,NULL,NULL,positive,224
124,NULL,NULL,NULL,coccus-shaped,NULL,NULL,positive,225
125,NULL,NULL,NULL,coccus-shaped,0,NULL,positive,226
126,NULL,NULL,NULL,coccus-shaped,0,NULL,positive,227
127,NULL,NULL,NULL,ovoid-shaped,0,NULL,positive,229
128,NULL,NULL,NULL,coccus-shaped,NULL,NULL,positive,230
129,NULL,NULL,NULL,coccus-shaped,NULL,NULL,variable,234
130,NULL,NULL,NULL,coccus-shaped,0,NULL,positive,235
131,1-2,µm,NULL,rod-shaped,0,NULL,negative,242
132,NULL,NULL,NULL,rod-shaped,1,NULL,negative,258
133,NULL,NULL,NULL,rod-shaped,1,"monotrichous, polar",negative,261
134,1.2-2.2,µm,0.5-1.0,rod-shaped,1,"monotrichous, polar",negative,262
135,1-2,µm,0.4-0.5,rod-shaped,1,"monotrichous, polar",negative,271
136,NULL,NULL,NULL,rod-shaped,1,NULL,negative,279
137,NULL,NULL,NULL,coccus-shaped,NULL,NULL,NULL,280
138,0.5-2.0,µm,0.3-1.0,rod-shaped,1,"monotrichous, polar",negative,280
139,3-3.5,µm,0.6-0.7,rod-shaped,1,"monotrichous, polar",negative,283
140,1.8-2.5,µm,0.8-1,rod-shaped,1,NULL,negative,285
141,2.5,µm,0.7,rod-shaped,1,NULL,negative,286
142,2.0-2.5,µm,0.5-0.7,rod-shaped,1,"monotrichous, polar",negative,288
143,2.4-3.6,µm,0-9,rod-shaped,0,NULL,negative,295
144,1-2,µm,NULL,coccus-shaped,NULL,NULL,negative,322
145,1-2,µm,NULL,coccus-shaped,NULL,NULL,negative,323
146,0.9-1.1,µm,NULL,coccus-shaped,0,NULL,negative,343
147,1.2-2.0,µm,0.3-0.5,rod-shaped,0,NULL,negative,349
148,1.6-2.5,µm,0.7-0.8,rod-shaped,1,NULL,negative,350
149,1.4-1.7,µm,0.3-0.5,rod-shaped,1,NULL,negative,351
150,1-2,µm,NULL,coccus-shaped,NULL,NULL,negative,354
151,1,µm,NULL,rod-shaped,0,NULL,negative,355
152,1,µm,NULL,rod-shaped,1,peritrichous,negative,356
153,1.3-4,µm,0.7-1.2,rod-shaped,1,NULL,negative,357
154,0.7-2.5,µm,0.3-0.6,rod-shaped,0,NULL,negative,360
155,1.0-2.5,µm,0.5-0.8,rod-shaped,0,NULL,negative,361
156,1-1.5,µm,0.5-0.8,rod-shaped,1,"monotrichous, polar",negative,362
157,0.7-1.0,µm,0.3-0.5,rod-shaped,1,NULL,negative,363
158,0.5-0.8,µm,0.3-0.6,rod-shaped,1,NULL,negative,364
159,0.6-0.9,µm,0.5-0.7,rod-shaped,1,amphitrichous,negative,365
160,1-2,µm,0.4-0.5,rod-shaped,1,peritrichous,negative,377
161,NULL,NULL,NULL,rod-shaped,1,peritrichous,negative,378
162,1-1.8,µm,0.5-0.6,rod-shaped,1,peritrichous,negative,379
163,1.0-2.8,µm,0.4-0.7,rod-shaped,0,NULL,negative,382
164,1-2,µm,NULL,rod-shaped,NULL,NULL,negative,385
165,0.8-2.0,µm,0.3-0.7,rod-shaped,1,lophotrichous,negative,394
166,4.8-6.3,µm,0.9-1.1,rod-shaped,1,NULL,positive,414
167,1.2-1.8,µm,0.5-0.6,rod-shaped,1,"monotrichous, polar",negative,437
168,1.0-1.8,µm,0.4-0.6,rod-shaped,1,"monotrichous, polar",negative,438
169,2,µm,0.5-1.0,rod-shaped,0,NULL,negative,440
170,2.0-7.0,µm,0.4,rod-shaped,1,"monotrichous, polar",negative,447
171,0.7-0.9,µm,NULL,rod-shaped,1,"monotrichous, polar",negative,449
172,1.8,µm,0.9,rod-shaped,1,"monotrichous, polar",negative,450
173,NULL,NULL,NULL,rod-shaped,1,NULL,negative,451
174,1-5,µm,0.2-0.4,NULL,NULL,NULL,NULL,451
175,1.6-2.3,µm,0.5-0.7,rod-shaped,1,"monotrichous, polar",negative,459
176,2.1-3.0,µm,0.5-0.7,rod-shaped,1,"monotrichous, polar",negative,460
177,1.1-1.7,µm,0.3-0.5,rod-shaped,0,NULL,negative,465
178,1.5-3.0,µm,0.5,rod-shaped,1,"monotrichous, polar",negative,470
179,NULL,NULL,NULL,pleomorphic-shaped,NULL,NULL,NULL,470
180,2-3,µm,0.3-0.6,rod-shaped,1,"monotrichous, polar",negative,473
181,2.5-3.5,µm,0.3-0.5,rod-shaped,1,NULL,negative,478
182,1.8-2.5,µm,0.3-0.4,rod-shaped,1,NULL,negative,479
183,1.0-1.3,µm,0.4-0.5,rod-shaped,1,NULL,negative,480
184,1.5-3.0,µm,0.6-0.9,rod-shaped,1,"monotrichous, polar",negative,481
185,1.5-3.0,µm,0.6-0.8,rod-shaped,1,"monotrichous, polar",negative,483
186,1.2-4.5,µm,0.5-1.3,rod-shaped,1,polar,negative,491
187,1.6-3.0,µm,0.3-0.5,rod-shaped,1,NULL,negative,492
188,1.7-2.4,µm,0.6-0.8,rod-shaped,1,polar,negative,493
189,>100,µm,0.2-0.3,filament-shaped,0,NULL,negative,501
190,>100,µm,0.3-0.4,filament-shaped,0,NULL,negative,502
191,>100,µm,<0.2,filament-shaped,0,NULL,negative,503
192,>100,µm,0.4-0.5,filament-shaped,0,NULL,negative,504
193,2.0-3.0,µm,0.3-0.5,rod-shaped,0,NULL,negative,512
194,2-4,µm,0.3-0.4,rod-shaped,1,NULL,negative,515
195,2.4-3.9,µm,0.5-0.6,rod-shaped,1,NULL,negative,525
196,1.0,µm,1.5-2.5,rod-shaped,1,polar,negative,526
197,0.7-1.4,µm,0.4-1.0,rod-shaped,0,NULL,negative,528
198,1.3-1.5,µm,0.4-1.1,rod-shaped,0,NULL,negative,531
199,0.4-1.2,µm,0.9,rod-shaped,0,NULL,negative,532
200,1.0-1.5,µm,0.4-1.3,rod-shaped,1,NULL,negative,533
201,0.8-1.2,µm,0.6-0.8,rod-shaped,1,NULL,negative,534
202,3.0-5.0,µm,1.0,rod-shaped,1,NULL,positive,569
203,3.0-8.0,µm,0.8-1.0,rod-shaped,1,NULL,variable,570
204,3.0-8.0,µm,0.8-1.0,rod-shaped,1,NULL,variable,571
205,NULL,NULL,NULL,rod-shaped,1,NULL,positive,572
206,1.8-3.0,µm,0.7-0.9,rod-shaped,1,peritrichous,positive,598
207,3-10,µm,0.9-1.0,rod-shaped,1,peritrichous,positive,599
208,2.0-4.0,µm,0.5-1.0,rod-shaped,1,NULL,positive,1077
209,NULL,NULL,0.6-0.7,NULL,1,peritrichous,positive,1081
210,2.0-4.0,µm,0.5-1.0,rod-shaped,NULL,NULL,positive,1093
211,2.0-4.0,µm,0.8-1.0,NULL,1,NULL,positive,1150
212,3.0-5.0,µm,1.0,rod-shaped,0,NULL,positive,1151
213,NULL,NULL,NULL,rod-shaped,NULL,NULL,positive,1153
214,1.5-6.0,µm,0.6-0.8,rod-shaped,1,peritrichous,negative,1154
215,2-5,µm,1.0,rod-shaped,1,NULL,positive,1201
216,2.5-3.5,µm,0.5-1.5,rod-shaped,0,NULL,positive,1203
217,1.0-4.0,µm,0.5-0.8,coccus-shaped,1,NULL,variable,1208
218,4-5,µm,1,rod-shaped,1,NULL,positive,1209
219,4.0-6.0,µm,0.8-2.0,filament-shaped,1,peritrichous,variable,1210
220,2-5,µm,0.7-0.9,rod-shaped,1,NULL,positive,1212
221,NULL,NULL,NULL,NULL,NULL,NULL,positive,1213
222,0.6-1.2,µm,NULL,pleomorphic-shaped,1,NULL,variable,1213
223,NULL,NULL,NULL,NULL,NULL,NULL,positive,1214
224,0.7-1.2,µm,NULL,rod-shaped,1,NULL,variable,1214
225,0.6-0.9,µm,NULL,NULL,1,NULL,negative,1215
226,0.6-1.2,µm,NULL,NULL,1,NULL,positive,1216
227,NULL,NULL,NULL,NULL,NULL,NULL,positive,1217
228,0.6-1.2,µm,NULL,rod-shaped,1,NULL,variable,1217
229,1.0-3.5,µm,0.6-08,rod-shaped,1,NULL,negative,1219
230,1.2-4.0,µm,0.5-0.8,rod-shaped,1,NULL,negative,1220
231,1.6-3.5,µm,0.6-0.8,rod-shaped,1,NULL,negative,1221
232,1.5-3.5,µm,0.6-0.8,rod-shaped,1,"monotrichous, polar",positive,1224
233,1.2-3.5,µm,0.5-0.7,rod-shaped,1,peritrichous,variable,1225
234,3.3-5.3,µm,0.9-1.2,rod-shaped,0,NULL,positive,1233
235,3.0-5.0,µm,0.5-0.9,rod-shaped,1,peritrichous,positive,1239
236,4.0-6.0,µm,0.8-1.1,rod-shaped,1,peritrichous,variable,1250
237,4-8,µm,0.5-0.8,rod-shaped,1,NULL,positive,1251
238,3-6,µm,0.4-0.8,rod-shaped,1,NULL,variable,1256
239,NULL,NULL,NULL,rod-shaped,NULL,NULL,positive,1263
240,1.5-3.0,µm,0.5-0.7,rod-shaped,NULL,NULL,positive,1280
241,>0.1,µm,NULL,rod-shaped,1,NULL,positive,1323
242,NULL,NULL,NULL,rod-shaped,1,NULL,positive,1327
243,2.0-4.5,µm,0.7-1.4,rod-shaped,1,lophotrichous,positive,1342
244,2.0-4.5,µm,"0.7 -1.1",rod-shaped,1,lophotrichous,positive,1343
245,2.5-4.0,µm,0.8-0.9,rod-shaped,0,NULL,positive,1344
246,2.0-100.0,µm,0.4-0.6,rod-shaped,1,NULL,positive,1346
247,1.0-2.8,µm,0.6-1.2,rod-shaped,1,peritrichous,positive,1347
248,2.2-4.2,µm,0.6-0.9,rod-shaped,1,peritrichous,positive,1348
249,1.6-3.3,µm,0.5-1.0,rod-shaped,0,NULL,positive,1349
250,1.0-2.9,µm,0.5-1.0,rod-shaped,0,NULL,positive,1350
251,1.5-4.0,µm,0.7-1.1,rod-shaped,1,peritrichous,positive,1351
252,2.4-3.4,µm,1.6-1.8,rod-shaped,0,NULL,positive,1352
253,1.0-2.0,µm,0.5-1.0,rod-shaped,1,NULL,positive,1353
254,1.0-4.0,µm,0.5-0.9,rod-shaped,1,"monotrichous, polar",positive,1354
255,1.57,µm,NULL,coccus-shaped,0,NULL,positive,1355
256,1.5-3.0,µm,0.5-0.9,rod-shaped,1,peritrichous,positive,1356
257,3.6-4.5,µm,0.6-0.9,rod-shaped,1,peritrichous,positive,1357
258,3.6-4.5,µm,0.6-0.9,rod-shaped,1,peritrichous,positive,1358
259,2.0-4.0,µm,0.4-0.7,rod-shaped,1,monotrichous,variable,1359
260,1.5-3.0,µm,0.2-0.3,rod-shaped,1,NULL,positive,1360
261,1.2-3.0,µm,0.4-0.6,rod-shaped,1,peritrichous,positive,1361
262,1.0-3.0,µm,0.4-0.6,rod-shaped,1,NULL,positive,1362
263,0.8-2.5,µm,0.2-0.4,rod-shaped,0,NULL,positive,1363
264,1.5-2.5,µm,0.5,rod-shaped,0,NULL,positive,1364
265,2.0-4.0,µm,0.7-1.2,rod-shaped,1,peritrichous,positive,1365
266,0.8-2.5,µm,0.4-0.6,rod-shaped,1,peritrichous,positive,1366
267,2.0-4.0,µm,0.5-1.0,rod-shaped,0,NULL,positive,1367
268,1.5-4.0,µm,0.9,rod-shaped,1,NULL,positive,1368
269,1.0-1.2,µm,NULL,coccus-shaped,1,"monotrichous, polar",positive,1370
