ID_cell_morphology,cell_len,cell_len_unit,cell_width,cell_shape,motility,flagellum_arrangement,gram_stain,ID_strains
2941,2.85,µm,0.65,rod-shaped,0,NULL,negative,4434
2942,0.5,µm,3.5,rod-shaped,0,NULL,positive,17679
2943,2.5,µm,0.5,rod-shaped,1,NULL,positive,1278
2944,NULL,NULL,1.35,coccus-shaped,NULL,NULL,positive,5813
2945,1.6,µm,0.6,rod-shaped,1,NULL,negative,5539
2946,1.7,µm,0.5,rod-shaped,1,NULL,negative,13895
2947,3,µm,1,ovoid-shaped,1,NULL,negative,17351
2948,1.35,µm,0.55,rod-shaped,1,NULL,negative,11931
2949,1.5,µm,0.55,rod-shaped,1,NULL,negative,11932
2950,1.9-2.5,µm,0.8-1.3,rod-shaped,0,NULL,negative,134145
2951,1.1-2.5,µm,0.8-1.1,rod-shaped,0,NULL,negative,7217
2952,1.55,µm,0.75,rod-shaped,1,NULL,negative,1944
2953,1.1-1.3,µm,0.8,rod-shaped,1,NULL,negative,132885
2954,NULL,NULL,NULL,coccus-shaped,1,NULL,negative,11294
2955,3,µm,0.7,rod-shaped,0,NULL,negative,5600
2956,3.5,µm,1,rod-shaped,0,NULL,negative,13672
2957,0.85,µm,0.85,coccus-shaped,0,NULL,positive,1235
2958,10,µm,0.275,rod-shaped,0,NULL,positive,545
2959,0.9-1.6,µm,0.7-1.3,ovoid-shaped,0,NULL,negative,13856
2960,NULL,NULL,NULL,NULL,0,NULL,positive,13252
2961,NULL,NULL,NULL,rod-shaped,NULL,NULL,negative,17150
2962,01-02,µm,0.6,rod-shaped,1,NULL,negative,13876
2963,2.5,µm,0.8,rod-shaped,1,NULL,positive,7592
2964,NULL,NULL,0.9-1.3,coccus-shaped,0,NULL,positive,17686
2965,0.65,µm,0.5,ovoid-shaped,1,NULL,negative,13662
2966,0.6,µm,2.15,rod-shaped,0,NULL,negative,13770
2967,1.3,µm,0.9,rod-shaped,0,NULL,negative,5699
2968,NULL,NULL,NULL,rod-shaped,0,NULL,positive,8522
2969,1.5,µm,0.65,rod-shaped,1,NULL,positive,1236
2970,1.2-1.5,µm,0.5,rod-shaped,1,NULL,negative,10427
2971,1.5,µm,1,NULL,0,NULL,NULL,6156
2972,2.75,µm,0.575,spiral-shaped,NULL,NULL,NULL,3765
2973,4,µm,0.8,rod-shaped,0,NULL,negative,2979
2974,NULL,NULL,NULL,rod-shaped,1,NULL,negative,13093
2975,NULL,NULL,NULL,rod-shaped,1,NULL,negative,133663
2976,NULL,NULL,NULL,rod-shaped,1,NULL,negative,13095
2977,NULL,NULL,NULL,NULL,0,NULL,positive,11215
2978,10,µm,0.25,coccus-shaped,1,NULL,NULL,133660
2979,NULL,NULL,NULL,ovoid-shaped,0,NULL,NULL,8528
2980,NULL,NULL,NULL,rod-shaped,0,NULL,negative,3862
2981,1.5-3.0,µm,0.5,rod-shaped,0,NULL,positive,5372
2982,4,µm,2.15,rod-shaped,0,NULL,negative,13684
2983,3.5,µm,0.65,rod-shaped,1,NULL,negative,134206
2984,3.5,µm,0.65,rod-shaped,1,NULL,negative,134207
2985,7,µm,0.7,rod-shaped,1,NULL,variable,1218
2986,7,µm,0.85,rod-shaped,1,NULL,variable,554
2987,0.9,µm,0.6,rod-shaped,NULL,NULL,negative,18153
2988,NULL,NULL,NULL,rod-shaped,NULL,NULL,positive,13387
2989,NULL,NULL,NULL,rod-shaped,NULL,NULL,positive,10773
2990,03-04,µm,NULL,rod-shaped,NULL,NULL,negative,5536
2991,03-04,µm,NULL,rod-shaped,NULL,NULL,negative,5537
2992,04-06,µm,NULL,rod-shaped,NULL,NULL,negative,5544
2993,NULL,NULL,NULL,coccus-shaped,NULL,NULL,positive,6239
2994,1.6,µm,0.45,rod-shaped,1,NULL,negative,11293
2995,1.5,µm,0.5,rod-shaped,0,NULL,positive,6601
2996,6,µm,0.5,rod-shaped,1,NULL,negative,1324
2997,0.9-3.0,µm,0.3-0.5,rod-shaped,NULL,NULL,negative,17716
2998,2,µm,0.5,rod-shaped,NULL,NULL,positive,434
2999,NULL,NULL,NULL,coccus-shaped,0,NULL,positive,17690
3000,6,µm,0.6,rod-shaped,0,NULL,negative,17701
3001,6,µm,0.6,rod-shaped,0,NULL,negative,17704
3002,6,µm,0.6,rod-shaped,0,NULL,negative,17705
3003,05-27,µm,NULL,rod-shaped,0,NULL,negative,5504
3004,1.6-2.3,µm,0.4-0.5,rod-shaped,1,gliding,negative,5482
3005,3.25,µm,0.8,rod-shaped,1,NULL,negative,11582
3006,1.5-1.8,µm,0.5-0.7,rod-shaped,NULL,NULL,negative,13105
3007,0.45,µm,2.25,rod-shaped,0,NULL,negative,14243
3008,0.6,µm,1.6,rod-shaped,0,NULL,negative,14242
3009,2.5,µm,0.5,rod-shaped,0,NULL,negative,17695
3010,1.8,µm,0.4,rod-shaped,0,NULL,negative,17057
3011,2.5,µm,1,NULL,1,NULL,negative,17313
3012,3.5,µm,0.7,rod-shaped,1,NULL,negative,6218
3013,NULL,NULL,NULL,coccus-shaped,0,NULL,positive,17992
3014,NULL,NULL,NULL,rod-shaped,1,NULL,negative,17463
3015,2.1,µm,1,rod-shaped,1,NULL,negative,7205
3016,NULL,NULL,NULL,rod-shaped,1,NULL,negative,13092
3017,0.6,µm,1.95,rod-shaped,1,NULL,negative,13836
3018,0.7-2,µm,0.3-0.5,rod-shaped,1,NULL,NULL,11870
3019,2.5,µm,1,rod-shaped,0,NULL,negative,13674
3020,3.5,µm,1,rod-shaped,0,NULL,negative,13673
3021,2,µm,1,NULL,1,NULL,negative,17308
3022,1.7,µm,0.9,rod-shaped,0,NULL,negative,1623
3023,NULL,NULL,NULL,rod-shaped,0,NULL,negative,134134
3024,NULL,NULL,NULL,coccus-shaped,0,NULL,negative,8197
3025,NULL,NULL,NULL,coccus-shaped,0,NULL,negative,8198
3026,NULL,NULL,NULL,rod-shaped,0,NULL,negative,10505
3027,2.5,µm,0.7,rod-shaped,1,NULL,variable,134087
3028,2.5,µm,1,rod-shaped,0,NULL,negative,13853
3029,NULL,NULL,NULL,rod-shaped,1,NULL,negative,13756
3030,3.85,µm,0.9,rod-shaped,0,NULL,positive,1254
3031,NULL,NULL,NULL,coccus-shaped,NULL,NULL,positive,14823
3032,NULL,NULL,NULL,coccus-shaped,NULL,NULL,positive,14827
3033,NULL,NULL,NULL,rod-shaped,0,NULL,positive,7610
3034,NULL,NULL,NULL,rod-shaped,0,NULL,positive,7609
3035,2.4,µm,0.95,rod-shaped,1,NULL,negative,3029
3036,1.2,µm,0.4,rod-shaped,1,NULL,positive,1237
3037,1.5,µm,0.5,rod-shaped,NULL,NULL,positive,3065
3038,1.55,µm,1.25,ovoid-shaped,0,NULL,negative,8187
3039,1.55,µm,0.7,ovoid-shaped,0,NULL,negative,6776
3040,NULL,NULL,NULL,ovoid-shaped,0,NULL,NULL,8534
3041,NULL,NULL,NULL,ovoid-shaped,0,NULL,positive,7597
3042,2.5,µm,1.1,rod-shaped,1,NULL,negative,6044
3043,1,µm,2.75,coccus-shaped,0,NULL,positive,1860
3044,NULL,NULL,NULL,rod-shaped,1,NULL,negative,2132
3045,NULL,NULL,NULL,ovoid-shaped,0,NULL,negative,8141
3046,3.45,µm,1.3,rod-shaped,0,NULL,negative,3764
3047,1.75,µm,0.5,rod-shaped,0,NULL,positive,6315
3048,NULL,NULL,NULL,coccus-shaped,0,NULL,positive,134097
3049,NULL,NULL,NULL,NULL,NULL,NULL,positive,7985
3050,NULL,NULL,NULL,rod-shaped,1,NULL,negative,5218
3051,03-04,µm,0.3-0.5,rod-shaped,1,gliding,negative,5722
3052,1.5,µm,0.5,rod-shaped,1,NULL,negative,13666
3053,11,µm,1,rod-shaped,0,NULL,positive,6660
3054,0.5,µm,3,rod-shaped,0,NULL,positive,6624
3055,4,µm,0.6,rod-shaped,1,NULL,negative,11601
3056,NULL,NULL,NULL,coccus-shaped,NULL,NULL,positive,14835
3057,NULL,NULL,NULL,coccus-shaped,0,NULL,positive,2250
3058,6.25,µm,1.6,rod-shaped,1,NULL,negative,7176
3059,2.25,µm,1.25,rod-shaped,1,NULL,negative,7175
3060,NULL,NULL,0.9,rod-shaped,0,NULL,positive,7603
3061,NULL,NULL,0.9,coccus-shaped,0,NULL,positive,7605
3062,NULL,NULL,0.9,coccus-shaped,0,NULL,positive,7608
3063,NULL,NULL,0.9,coccus-shaped,0,NULL,positive,7604
3064,NULL,NULL,NULL,rod-shaped,0,NULL,positive,7612
3065,1.1,µm,0.3,rod-shaped,0,NULL,positive,11112
3066,NULL,NULL,NULL,rod-shaped,0,NULL,positive,7420
3067,NULL,NULL,NULL,rod-shaped,1,NULL,positive,7419
3068,6.6,µm,1.85,rod-shaped,1,NULL,negative,486
3069,3.5,µm,0.75,rod-shaped,1,NULL,variable,11437
3070,NULL,NULL,NULL,rod-shaped,0,NULL,negative,2238
3071,3,µm,0.45,rod-shaped,NULL,NULL,negative,17714
3072,NULL,NULL,NULL,rod-shaped,0,NULL,positive,8572
3073,NULL,NULL,NULL,NULL,0,NULL,positive,16561
3074,1.5,µm,0.5,rod-shaped,1,NULL,negative,13664
3075,2,µm,0.25,rod-shaped,0,NULL,negative,13682
3076,NULL,NULL,NULL,coccus-shaped,NULL,NULL,positive,14670
3077,NULL,NULL,NULL,rod-shaped,0,NULL,positive,6864
3078,NULL,NULL,NULL,rod-shaped,1,NULL,positive,1232
3079,NULL,NULL,NULL,coccus-shaped,1,NULL,positive,14040
3080,NULL,NULL,NULL,NULL,NULL,NULL,positive,8001
3081,NULL,NULL,NULL,NULL,NULL,NULL,positive,8005
3082,1.5,µm,0.6,rod-shaped,1,NULL,negative,17042
3083,2.5,µm,0.8,rod-shaped,1,NULL,negative,11868
3084,6.5,µm,0.75,rod-shaped,0,NULL,negative,14099
3085,0.75,µm,2,rod-shaped,0,NULL,negative,6165
3086,NULL,NULL,NULL,rod-shaped,1,NULL,positive,7623
3087,NULL,NULL,NULL,ovoid-shaped,0,NULL,positive,11071
3088,1-1.5,µm,0.5-0.8,coccus-shaped,NULL,NULL,positive,7517
3089,NULL,NULL,NULL,rod-shaped,0,NULL,negative,3777
3090,2-3.2,µm,0.6-0.8,rod-shaped,1,NULL,negative,11272
3091,NULL,NULL,NULL,NULL,1,NULL,negative,17217
3092,3,µm,1.5,NULL,1,NULL,negative,17217
3093,NULL,NULL,NULL,rod-shaped,0,NULL,negative,5680
3094,02-04,µm,0.6-0.8,rod-shaped,1,NULL,negative,13774
3095,4,µm,1.25,rod-shaped,1,NULL,negative,7178
3096,1-2.5,µm,0.8-1,rod-shaped,0,NULL,positive,7427
3097,NULL,NULL,NULL,rod-shaped,NULL,NULL,positive,11039
3098,NULL,NULL,NULL,rod-shaped,0,NULL,positive,10795
3099,NULL,NULL,0.9,rod-shaped,0,NULL,positive,12585
3100,0.85,µm,0.9,rod-shaped,1,NULL,negative,5166
3101,NULL,NULL,NULL,coccus-shaped,0,NULL,positive,5252
3102,1.2-1.5,µm,0.2-0.4,rod-shaped,NULL,NULL,negative,11890
3103,1.4,µm,1.05,coccus-shaped,0,NULL,negative,383
3104,0.4-1,µm,0.5,rod-shaped,0,NULL,positive,17636
3105,0.6-0.8,µm,0.5,rod-shaped,0,NULL,positive,17634
3106,1-1.2,µm,0.6,rod-shaped,0,NULL,positive,17635
3107,0.4,µm,1.75,rod-shaped,1,NULL,negative,10454
3108,0.4,µm,1.75,rod-shaped,1,NULL,negative,10455
3109,05-06,µm,0.5-1,rod-shaped,0,NULL,positive,6646
3110,2,µm,0.75,rod-shaped,1,NULL,positive,5831
3111,NULL,NULL,NULL,rod-shaped,1,NULL,positive,17629
3112,NULL,NULL,NULL,NULL,0,NULL,negative,23023
3113,0.5,µm,0.25,rod-shaped,0,NULL,negative,14239
3114,NULL,NULL,NULL,rod-shaped,0,NULL,positive,5346
3115,1-1.5,µm,0.8,rod-shaped,1,NULL,negative,23231
3116,NULL,NULL,NULL,rod-shaped,0,NULL,positive,216
3117,NULL,NULL,NULL,rod-shaped,0,NULL,positive,217
3118,2.5,µm,0.5,rod-shaped,1,NULL,positive,1274
3119,1.15,µm,3.5,rod-shaped,1,NULL,negative,7179
3120,NULL,NULL,NULL,coccus-shaped,0,NULL,positive,5347
3121,01-02,µm,0.6-0.8,ovoid-shaped,0,NULL,negative,13747
3122,NULL,NULL,NULL,coccus-shaped,NULL,NULL,positive,5348
3123,NULL,NULL,NULL,ovoid-shaped,NULL,NULL,positive,17375
3124,0.9,µm,1.75,rod-shaped,1,NULL,negative,134159
3125,1.6,µm,0.9,ovoid-shaped,1,NULL,negative,1976
3126,NULL,NULL,NULL,NULL,0,NULL,positive,16463
3127,NULL,NULL,0.8-1,coccus-shaped,1,NULL,positive,11961
3128,2.25,µm,1.05,rod-shaped,1,NULL,negative,13845
3129,NULL,NULL,1.85,coccus-shaped,1,NULL,negative,2472
3130,NULL,NULL,0.6-1.2,coccus-shaped,0,NULL,positive,6397
3131,1.5-3,µm,0.5-0.9,rod-shaped,1,gliding,negative,134165
3132,NULL,NULL,NULL,rod-shaped,1,NULL,negative,134167
3133,NULL,NULL,NULL,ovoid-shaped,0,NULL,positive,5349
3134,NULL,NULL,NULL,ovoid-shaped,0,NULL,positive,5350
3135,1.5-5,µm,1-1.2,rod-shaped,1,NULL,negative,7180
3136,1,µm,0.5,rod-shaped,NULL,NULL,negative,23024
3137,1.66-2.91,µm,0.37-0.49,rod-shaped,0,NULL,positive,7351
3138,2.14-5,µm,0.57-0.71,rod-shaped,NULL,NULL,negative,5088
3139,02-10,µm,0.7-0.9,rod-shaped,1,NULL,positive,23743
3140,01-03,µm,0.3-0.5,rod-shaped,0,NULL,negative,3829
3141,1.8,µm,0.9,rod-shaped,1,NULL,negative,2903
3142,1.5-4,µm,0.8,rod-shaped,0,NULL,negative,17515
3143,03-07,µm,0.5,rod-shaped,1,NULL,positive,1515
3144,1.3-2.8,µm,0.4-0.7,rod-shaped,0,NULL,NULL,17668
3145,02-06,µm,0.8-1,rod-shaped,0,NULL,negative,134188
3146,02-04,µm,0.5-0.7,rod-shaped,1,NULL,positive,2832
3147,02-03,µm,1,rod-shaped,1,NULL,negative,13131
3148,02-03,µm,1,rod-shaped,1,NULL,negative,13130
3149,01-03,µm,0.5-1,rod-shaped,0,NULL,negative,5969
3150,1.5,µm,0.5,rod-shaped,1,NULL,negative,17903
3151,1.25,µm,0.5,rod-shaped,1,NULL,negative,11296
3152,2.5,µm,1.1,rod-shaped,0,NULL,positive,1866
3153,NULL,NULL,NULL,rod-shaped,NULL,NULL,positive,7434
3154,1.05,µm,0.6,ovoid-shaped,0,NULL,negative,134291
3155,1.05,µm,0.6,ovoid-shaped,0,NULL,negative,134292
3156,1.5-4,µm,0.9,rod-shaped,0,NULL,negative,134193
3157,1.05,µm,0.65,coccus-shaped,0,NULL,negative,18092
3158,2.25,µm,2.85,ovoid-shaped,0,NULL,NULL,11946
3159,1.7,µm,1.05,ovoid-shaped,1,NULL,NULL,11945
3160,1.25,µm,3.25,coccus-shaped,0,NULL,positive,7622
3161,2.8,µm,0.9,rod-shaped,0,NULL,negative,5550
3162,1,µm,6.75,rod-shaped,1,gliding,negative,5577
3163,1.5,µm,0.55,rod-shaped,0,NULL,negative,13872
3164,1.2,µm,0.9,rod-shaped,0,NULL,negative,13749
3165,1,µm,0.5,rod-shaped,0,NULL,negative,13748
3166,1.15,µm,0.5,rod-shaped,NULL,NULL,negative,14187
3167,NULL,NULL,NULL,rod-shaped,1,NULL,negative,5219
3168,16,µm,0.45,spiral-shaped,1,NULL,negative,134223
3169,3,µm,0.6,rod-shaped,0,NULL,negative,23185
3170,1.8-2.4,µm,0.6-0.8,rod-shaped,1,NULL,negative,6051
3171,1.6-2,µm,0.5-0.7,rod-shaped,1,NULL,negative,6050
3172,1.3-1.7,µm,0.8-0.9,rod-shaped,1,NULL,negative,6080
3173,1.2-1.6,µm,0.6-0.8,rod-shaped,1,NULL,negative,6049
3174,1.25,µm,0.45,rod-shaped,1,NULL,negative,17449
3175,1.7,µm,0.75,rod-shaped,0,NULL,negative,14249
3176,2.15,µm,0.25,rod-shaped,0,NULL,negative,1626
3177,2,µm,0.7,rod-shaped,0,NULL,negative,5701
3178,1.3,µm,0.8,rod-shaped,0,NULL,negative,5700
3179,3.6,µm,1.1,rod-shaped,0,NULL,negative,5698
3180,NULL,NULL,NULL,NULL,1,NULL,positive,8037
3181,6,µm,0.75,rod-shaped,0,NULL,positive,6667
3182,2,µm,0.5,rod-shaped,1,NULL,negative,520
3183,3.5-5,µm,0.6-0.9,rod-shaped,1,NULL,positive,2847
3184,2,µm,1.25,rod-shaped,0,NULL,negative,5696
3185,5.8-6.3,µm,0.7-0.8,rod-shaped,1,gliding,negative,5568
3186,02-04,µm,0.5-1,rod-shaped,0,NULL,positive,6669
3187,NULL,NULL,0.5,coccus-shaped,1,NULL,negative,2473
3188,4,µm,0.7,NULL,0,NULL,negative,13963
3189,NULL,NULL,0.4,coccus-shaped,1,NULL,negative,2474
3190,NULL,NULL,NULL,rod-shaped,NULL,NULL,positive,17378
3191,1.5,µm,NULL,rod-shaped,1,gliding,negative,17490
3192,4,µm,2.5,rod-shaped,0,NULL,negative,2441
3193,5.5,µm,0.9,spiral-shaped,1,NULL,negative,13962
3194,2.7,µm,1,rod-shaped,0,NULL,negative,7216
3195,8.5,µm,0.75,rod-shaped,0,NULL,positive,134233
3196,3.25,µm,0.5,rod-shaped,1,gliding,negative,14049
3197,0.9,µm,0.4,rod-shaped,0,NULL,negative,134226
3198,1,µm,0.45,rod-shaped,1,NULL,positive,7500
3199,2,µm,6,rod-shaped,0,NULL,positive,12011
3200,5.75,µm,0.35,rod-shaped,1,NULL,positive,1546
3201,2.7,µm,0.5,rod-shaped,0,NULL,positive,6677
3202,2,µm,0.3,rod-shaped,NULL,NULL,negative,134275
3203,NULL,NULL,NULL,NULL,NULL,NULL,negative,13139
3204,NULL,NULL,NULL,NULL,NULL,NULL,negative,13157
3205,NULL,NULL,NULL,NULL,NULL,NULL,negative,13138
3206,1.2,µm,0.7,rod-shaped,1,NULL,negative,6168
3207,1.35,µm,0.55,rod-shaped,0,NULL,positive,11132
3208,0.6,µm,NULL,coccus-shaped,0,NULL,positive,11086
3209,0.95,µm,0.38,rod-shaped,1,NULL,negative,10519
3210,3.5,µm,0.75,rod-shaped,1,NULL,positive,1539
3211,1.2,µm,0.6,rod-shaped,0,NULL,positive,12666
3212,3,µm,0.75,rod-shaped,1,NULL,negative,10525
3213,NULL,NULL,NULL,coccus-shaped,0,NULL,positive,14844
3214,1.75,µm,0.75,rod-shaped,0,NULL,negative,17623
3215,3.5,µm,0.75,rod-shaped,1,NULL,negative,10515
3216,NULL,NULL,NULL,rod-shaped,0,NULL,negative,11373
3217,1.5-1.9,µm,0.8-0.9,ovoid-shaped,1,NULL,negative,13825
3218,0.25,µm,NULL,coccus-shaped,0,NULL,positive,6302
3219,1.7,µm,0.9,rod-shaped,0,NULL,positive,11131
3220,0.85,µm,0.5,rod-shaped,0,NULL,NULL,16427
3221,NULL,NULL,NULL,NULL,0,NULL,positive,13499
3222,4,µm,2.25,rod-shaped,1,NULL,negative,2438
3223,NULL,NULL,NULL,rod-shaped,0,NULL,negative,13656
3224,3,µm,0.9,ovoid-shaped,0,NULL,negative,13656
3225,NULL,NULL,NULL,NULL,NULL,NULL,positive,7841
3226,NULL,NULL,NULL,NULL,NULL,NULL,positive,10818
3227,NULL,NULL,NULL,rod-shaped,1,NULL,negative,17566
3228,NULL,NULL,NULL,rod-shaped,1,NULL,negative,17567
3229,6,µm,0.8,rod-shaped,1,NULL,negative,4301
3230,NULL,NULL,NULL,rod-shaped,NULL,NULL,positive,10615
3231,1.1-2.3,µm,0.4-0.5,NULL,1,gliding,negative,17718
3232,1.35,µm,0.55,rod-shaped,0,NULL,negative,14138
3233,1.4-4,µm,0.3-0.6,rod-shaped,0,NULL,positive,559
3234,01-02,µm,0.4-0.6,ovoid-shaped,0,NULL,positive,7620
3235,1.5,µm,0.65,rod-shaped,0,NULL,negative,133806
3236,16,µm,0.5,rod-shaped,1,gliding,negative,5655
3237,2,µm,0.5,rod-shaped,1,NULL,negative,11616
3238,0.8-1.5,µm,0.4-0.6,rod-shaped,NULL,NULL,negative,14250
3239,2.5,µm,0.3,rod-shaped,1,gliding,negative,5654
3240,NULL,NULL,NULL,rod-shaped,1,NULL,negative,17512
3241,NULL,NULL,NULL,rod-shaped,1,NULL,negative,13998
3242,NULL,NULL,NULL,rod-shaped,0,NULL,positive,1767
3243,1.6,µm,0.9,ovoid-shaped,1,NULL,negative,1977
3244,1.5-2,µm,1.2-1.5,ovoid-shaped,0,NULL,negative,13824
3245,1.95,µm,0.55,rod-shaped,0,NULL,positive,1867
3246,1.9,µm,1,rod-shaped,0,NULL,negative,12562
3247,1.75,µm,0.7,rod-shaped,0,NULL,positive,11125
3248,NULL,NULL,NULL,rod-shaped,0,NULL,positive,10820
3249,NULL,NULL,NULL,NULL,NULL,NULL,positive,17822
3250,NULL,NULL,NULL,NULL,0,NULL,negative,1980
3251,NULL,NULL,NULL,NULL,0,NULL,negative,1979
3252,NULL,NULL,NULL,rod-shaped,0,NULL,negative,5693
3253,20.75,µm,0.45,rod-shaped,0,NULL,negative,14133
3254,20.75,µm,0.65,rod-shaped,0,NULL,negative,14134
3255,2.2,µm,0.73,rod-shaped,1,NULL,negative,14106
3256,2.1,µm,0.915,rod-shaped,1,NULL,negative,14108
3257,2.2,µm,0.83,rod-shaped,1,NULL,negative,14107
3258,2,µm,0.73,rod-shaped,1,NULL,negative,14105
3259,2.73,µm,0.83,rod-shaped,1,NULL,negative,14109
3260,1.5-2.0,µm,1.5-2.0,coccus-shaped,0,NULL,negative,2468
3261,6,µm,0.35,rod-shaped,1,gliding,negative,134276
3262,1.75,µm,0.45,rod-shaped,1,NULL,negative,13161
3263,2.0-3.0,µm,0.6-0.7,rod-shaped,1,NULL,positive,1277
3264,3.25,µm,0.75,rod-shaped,1,NULL,positive,1548
3265,0.8,µm,0.4,ovoid-shaped,1,NULL,negative,11306
3266,1.3,µm,0.59,rod-shaped,1,NULL,positive,7498
3267,5.6,µm,0.5,rod-shaped,1,gliding,negative,5609
3268,0.45,µm,1.95,rod-shaped,1,NULL,negative,11872
3269,2,µm,0.5,rod-shaped,1,NULL,negative,134272
3270,2,µm,0.5,rod-shaped,1,NULL,negative,2992
3271,2,µm,0.5,rod-shaped,1,NULL,negative,134277
3272,2.7,µm,0.4,rod-shaped,1,NULL,negative,134296
3273,4.3,µm,0.75,rod-shaped,0,NULL,positive,134284
3274,2,µm,0.5,rod-shaped,1,NULL,negative,134273
3275,2.5,µm,0.9,ovoid-shaped,0,NULL,positive,6839
3276,1.5,µm,1.05,ovoid-shaped,0,NULL,negative,134337
3277,1.2,µm,0.4,rod-shaped,0,NULL,positive,6287
3278,NULL,NULL,NULL,NULL,0,NULL,positive,12604
3279,08-09,µm,1-1.3,rod-shaped,1,NULL,negative,14013
3280,1.25,µm,3,rod-shaped,1,NULL,negative,2437
3281,3,µm,0.75,rod-shaped,0,NULL,negative,134253
3282,3.5,µm,0.4,rod-shaped,1,gliding,negative,5612
3283,2.5,µm,0.85,rod-shaped,1,NULL,NULL,6191
3284,1-1.5,µm,0.6-1,ovoid-shaped,0,NULL,negative,134339
3285,NULL,NULL,NULL,rod-shaped,1,gliding,negative,3833
3286,14,µm,0.5,rod-shaped,1,gliding,negative,134333
3287,16,µm,0.5,rod-shaped,1,gliding,negative,5653
3288,NULL,NULL,NULL,rod-shaped,NULL,NULL,negative,6773
3289,0.5,µm,2,rod-shaped,NULL,NULL,positive,3076
3290,1.6,µm,0.5,rod-shaped,1,NULL,positive,7433
3291,1.8-3.5,µm,0.2-0.6,rod-shaped,1,NULL,negative,11295
3292,1.4,µm,0.45,rod-shaped,0,NULL,negative,134323
3293,NULL,NULL,2-2.5,coccus-shaped,1,NULL,negative,2494
3294,1.75,µm,0.85,rod-shaped,1,NULL,negative,13823
3295,1.5-1.8,µm,0.5-1,rod-shaped,1,NULL,negative,13750
3296,3.75,µm,5.5,spiral-shaped,1,NULL,negative,4151
3297,1.85,µm,0.7,rod-shaped,0,NULL,negative,5688
3298,NULL,NULL,NULL,coccus-shaped,0,NULL,positive,14843
3299,2,µm,1,rod-shaped,0,NULL,negative,11333
3300,2,µm,1,rod-shaped,0,NULL,negative,11332
3301,1,µm,0.35,coccus-shaped,0,NULL,NULL,8628
3302,0.95,µm,0.55,rod-shaped,0,NULL,positive,10174
3303,0.9-1.7,µm,0.5-0.6,coccus-shaped,0,NULL,negative,17407
3304,1.25,µm,0.7,rod-shaped,0,NULL,positive,7439
3305,NULL,NULL,0.36,rod-shaped,0,NULL,positive,11081
3306,NULL,NULL,0.51,rod-shaped,0,NULL,positive,11082
3307,2.4,µm,0.7,rod-shaped,0,NULL,positive,11065
3308,2,µm,0.5,rod-shaped,1,NULL,negative,521
3309,7,µm,0.9,spiral-shaped,1,NULL,negative,133507
3310,NULL,NULL,2.1,coccus-shaped,0,NULL,NULL,11943
3311,02-04,µm,1,rod-shaped,0,NULL,positive,6858
3312,NULL,NULL,NULL,rod-shaped,0,NULL,positive,10620
3313,NULL,NULL,NULL,rod-shaped,NULL,NULL,negative,24310
3314,NULL,NULL,NULL,rod-shaped,NULL,NULL,negative,11867
3315,NULL,NULL,NULL,rod-shaped,NULL,NULL,NULL,8541
3316,NULL,NULL,NULL,coccus-shaped,NULL,NULL,negative,8174
3317,1,µm,0.55,ovoid-shaped,1,NULL,positive,3075
3318,1.5,µm,0.4,rod-shaped,0,NULL,positive,133476
3319,1.4,µm,1,ovoid-shaped,1,NULL,negative,13670
3320,NULL,NULL,NULL,rod-shaped,1,NULL,positive,7344
3321,02-05,µm,0.9-1.1,rod-shaped,0,NULL,negative,23052
3322,10,µm,2,spiral-shaped,1,NULL,negative,133978
3323,1.5-7,µm,0.9,rod-shaped,1,NULL,positive,1555
3324,1.3,µm,1,ovoid-shaped,1,NULL,negative,13787
3325,10,µm,2,rod-shaped,0,NULL,positive,6682
3326,2.5,µm,0.9,rod-shaped,0,NULL,positive,6681
3327,NULL,NULL,NULL,ovoid-shaped,0,NULL,negative,8144
3328,02-10,µm,0.5,rod-shaped,0,NULL,positive,1547
3329,2,µm,0.85,rod-shaped,0,NULL,negative,133483
3330,NULL,NULL,NULL,coccus-shaped,0,NULL,positive,3229
3331,NULL,NULL,NULL,rod-shaped,1,NULL,negative,13999
3332,NULL,NULL,NULL,rod-shaped,NULL,NULL,negative,133439
3333,NULL,NULL,NULL,rod-shaped,0,NULL,positive,3228
3334,0.7,µm,1,rod-shaped,1,NULL,negative,133420
3335,32,µm,0.5,rod-shaped,0,NULL,positive,14408
3336,1.5-2.2,µm,0.2-0.3,rod-shaped,1,NULL,positive,130420
3337,0.7,µm,0.5,rod-shaped,0,NULL,positive,133477
3338,NULL,NULL,NULL,rod-shaped,1,NULL,negative,133526
3339,0.3,µm,5.25,rod-shaped,0,NULL,negative,5578
3340,0.5,µm,2,rod-shaped,0,NULL,negative,5575
3341,1.5,µm,4,rod-shaped,0,NULL,negative,5576
3342,NULL,NULL,NULL,rod-shaped,NULL,NULL,positive,16447
3343,1.6,µm,0.4,rod-shaped,1,NULL,negative,10431
3344,2,µm,0.4,rod-shaped,0,NULL,positive,22937
3345,2.35,µm,0.45,rod-shaped,1,NULL,negative,17456
3346,NULL,NULL,NULL,NULL,NULL,NULL,positive,16786
3347,0.8-1.2,µm,0.5-0.6,ovoid-shaped,0,NULL,positive,7257
3348,0.8-1.6,µm,0.4-0.6,rod-shaped,0,NULL,positive,7354
3349,NULL,NULL,NULL,coccus-shaped,0,NULL,positive,6840
