ID_kit_api_ID32E,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,cupule_21,cupule_22,cupule_23,cupule_24,cupule_25,cupule_26,cupule_27,cupule_28,cupule_29,cupule_30,cupule_31,cupule_32,ID_strains,ID_reference,manual_annotation,created_ID32E,modify_in_pgsql_ID32E,ID_tbl_api_ID32E,last_change
575,-,+,-,-,-,+,+,-,-,-,+,+,-,-,-,+,-,-,+,+,-,+,-,-,-,+,+,-,-,-,-,-,141171,44091,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
576,+,-,+,-,-,-,-,-,-,+,+,+,+,-,-,-,+,+,+,+,+,+,-,-,+,+,+,+,+,+,-,+,142061,45290,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
577,+,-,+,-,-,-,-,-,+,+,+,+,-,-,-,-,+,+,+,+,+,+,-,-,+,+,+,+,+,+,-,+,142061,45290,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
578,-,+,-,-,-,-,-,+,+,+,+,+,-,+,-,-,+,+,+,+,+,+,-,-,-,+,-,-,-,-,+,+,142087,45318,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
579,-,+,-,-,-,-,-,+,+,+,+,+,-,+,-,-,+,+,+,+,+,-,-,-,-,+,-,-,+,-,+,-,142088,45320,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
580,-,+,-,-,-,-,-,-,-,-,-,+,-,+,-,-,-,+,+,+,-,-,-,-,-,+,-,-,-,-,+,+,142089,45321,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
581,-,+,-,-,-,-,-,+,-,+,-,+,-,+,-,-,+,+,+,+,+,+,-,-,-,+,-,-,-,-,+,-,142091,45323,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
582,-,-,+,+,-,+,-,-,-,+,+,+,+,+,-,-,-,-,+,+,+,+,+,-,+,+,+,+,+,+,-,-,4968,45338,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
583,+,+,-,-,-,+,-,+,+,+,+,+,-,-,-,-,-,+,+,+,+,+,-,+,+,+,+,+,+,-,+,-,135600,45340,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
584,-,-,+,-,-,+,-,-,+,+,+,+,-,-,+,-,+,-,+,+,-,+,-,-,+,+,+,-,-,-,-,-,4433,45377,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
585,-,-,+,-,-,+,-,-,+,+,+,+,-,-,+,-,+,-,+,+,-,+,-,-,+,+,+,-,-,-,+,+,4433,45377,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
586,-,-,-,-,-,+,-,-,+,-,+,-,-,-,-,-,+,-,+,+,-,+,-,-,+,+,+,-,-,+,-,-,142180,45437,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
587,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,+,-,+,+,-,+,-,-,+,-,-,-,-,-,-,-,142184,45441,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
588,+,-,-,-,-,+,-,-,+,-,-,+,-,-,+,-,+,-,+,-,-,+,-,-,+,+,-,-,-,-,-,-,142210,45468,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
589,+,-,+,-,-,+,-,-,+,+,+,-,-,-,+,-,+,-,+,+,-,+,-,-,+,+,-,-,-,-,-,-,142211,45469,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
590,-,-,+,-,-,+,-,-,+,-,+,+,-,-,+,-,+,-,+,+,-,+,-,-,+,+,+,-,-,+,-,-,142213,45471,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
591,-,-,-,-,-,-,-,-,+,-,+,+,+,-,+,-,+,-,-,+,-,+,+,-,-,+,+,-,-,+,-,-,142236,45494,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
592,+,-,+,-,-,+,+,-,+,-,-,-,-,-,+,-,+,-,+,-,-,+,-,-,+,-,-,-,-,-,-,-,142245,45504,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
593,+,-,+,-,-,+,-,-,+,-,-,-,-,-,+,-,+,-,+,-,-,+,-,-,+,-,-,-,-,-,-,-,142245,45504,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
594,+,-,+,-,-,+,-,-,+,-,+,+,-,-,+,-,+,-,+,+,-,+,-,-,+,+,+,-,-,-,-,-,142263,45522,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
595,-,+,+,-,-,+,-,-,+,-,+,+,-,-,+,-,+,-,+,+,-,+,-,-,+,+,+,-,-,+,-,-,142285,45548,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
596,-,-,+,-,-,+,-,-,+,-,+,+,-,-,+,-,-,-,+,+,+,+,-,-,+,-,+,-,-,-,-,-,142296,45560,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
597,-,-,-,+,-,-,-,+,-,+,-,-,-,+,-,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,+,11682,45577,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
598,-,-,-,+,-,-,-,-,+,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,142312,45578,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
599,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,142316,45582,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
600,-,-,-,+,-,-,-,+,+,+,-,-,-,-,-,-,-,+,+,-,-,-,-,+,+,-,-,-,-,-,+,+,142350,45625,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
601,-,-,+,-,-,+,+,-,-,-,-,-,-,-,+,+,+,-,+,-,-,-,-,-,+,+,-,-,-,-,-,-,142381,45658,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
602,-,+,-,-,-,-,-,+,+,+,+,+,-,-,-,+,-,+,+,+,-,-,+,-,-,+,-,-,+,-,-,-,4321,45681,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
603,-,-,+,-,-,+,+,-,+,+,+,+,+,+,-,+,-,-,+,+,+,+,+,-,+,+,+,+,+,-,-,-,5099,45682,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
604,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,11735,45689,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
605,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11730,45691,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
606,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,142406,45692,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
607,-,-,-,+,-,-,-,+,+,+,-,-,-,-,-,-,-,+,+,-,-,-,-,+,+,-,-,-,-,-,+,+,142414,45700,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
608,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,2043,45728,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
609,+,-,+,-,-,-,+,+,+,-,+,+,-,-,+,-,-,-,-,+,-,+,-,-,+,+,+,-,-,-,-,-,142446,45740,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
610,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,+,142451,45748,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
611,+,+,+,-,-,-,+,+,+,+,+,+,-,-,-,-,-,-,-,+,-,+,-,-,+,+,+,+,-,+,-,-,142456,45753,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
612,+,-,+,-,-,-,+,+,+,-,+,+,-,-,-,-,-,-,-,+,-,-,-,-,+,-,+,-,-,-,-,-,142468,45765,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
613,+,+,+,-,-,-,+,+,-,-,+,+,-,-,-,-,-,-,-,+,-,+,-,-,+,+,+,+,-,+,-,-,142473,45770,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
614,+,+,+,-,-,-,+,+,-,-,+,+,-,-,-,-,-,-,-,+,-,+,-,-,+,+,+,+,-,+,-,-,142474,45771,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
615,+,+,+,-,-,-,+,+,+,-,+,+,-,-,-,-,-,-,-,+,-,+,-,-,+,+,+,-,-,+,-,-,142477,45774,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
616,+,+,+,-,-,-,+,+,-,-,+,+,-,-,-,-,-,-,-,+,-,+,-,-,+,+,+,+,-,+,-,-,142480,45777,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
617,+,+,+,-,-,-,+,+,-,-,+,+,-,-,-,-,-,-,-,+,-,+,-,-,+,+,+,+,-,+,-,-,142481,45778,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
618,+,-,+,-,-,-,+,+,+,-,+,-,-,-,-,-,-,-,-,+,-,+,-,-,+,+,+,-,-,-,-,-,142483,45780,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
619,+,+,+,-,-,-,+,+,-,-,+,+,-,-,-,-,-,-,-,+,-,+,-,-,+,+,+,+,-,+,-,-,142487,45784,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
620,+,+,+,-,-,-,+,+,-,-,+,+,-,-,-,-,-,-,-,+,-,+,-,-,+,+,+,+,-,+,-,-,142488,45785,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
621,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,142516,45817,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
622,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,8057,45829,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
623,-,+,-,-,-,-,-,+,+,+,+,+,-,-,-,-,+,+,+,+,+,+,-,-,-,+,-,-,+,-,+,-,142536,45847,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
624,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,+,-,-,+,+,-,-,-,+,+,-,-,+,-,+,-,142537,45848,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
625,+,+,+,-,-,-,-,-,+,-,-,+,-,-,-,-,+,-,+,+,-,-,-,+,+,+,-,+,-,-,-,-,142539,45850,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
626,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,137176,44348,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
627,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,136365,44349,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
628,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,142587,45902,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
629,+,-,-,-,-,-,-,+,-,-,-,+,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,142588,45903,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
630,+,-,-,-,-,-,-,+,-,-,-,+,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,142589,45904,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
631,+,-,-,-,-,-,-,+,-,-,-,+,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,142590,45905,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
632,+,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,+,-,+,+,-,-,-,-,-,+,-,-,-,-,+,-,142591,45906,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
633,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,142592,45907,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
634,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,-,+,142595,45910,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
635,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,+,+,-,-,-,-,-,+,-,-,-,-,-,,142596,45911,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
636,-,-,-,-,-,-,-,+,+,+,-,-,-,-,+,-,-,+,+,-,-,-,-,+,+,-,-,-,-,-,+,+,14118,45917,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
637,+,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,+,+,-,-,-,-,+,-,142603,45922,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
638,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,141383,44356,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
639,-,+,-,-,-,+,-,-,-,+,+,+,-,-,-,-,+,-,+,+,+,+,+,-,+,+,-,-,-,+,+,-,142667,45991,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
640,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17219,45993,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
641,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,141388,44361,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
642,+,-,-,+,-,+,-,-,-,+,+,+,-,-,-,-,+,+,+,+,+,+,+,-,-,+,-,+,+,+,-,-,142677,46007,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
643,-,-,-,-,-,-,-,-,-,+,+,+,+,-,-,+,+,-,+,+,+,+,+,-,+,+,+,-,+,-,-,-,142697,46038,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
644,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,+,+,+,-,-,-,-,+,+,-,-,-,-,-,+,+,142707,46053,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
645,-,+,-,-,-,-,-,+,-,+,-,+,-,-,-,-,+,-,+,+,+,-,-,-,-,+,-,-,-,-,+,-,142725,46071,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
646,+,+,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,+,-,-,-,+,+,+,-,-,-,-,+,-,142737,46086,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
647,+,+,-,-,-,+,+,-,+,+,+,+,-,+,-,-,-,-,+,+,-,+,-,-,+,+,+,-,+,+,-,+,141399,44377,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
648,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,+,142743,46092,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
649,-,-,-,-,-,-,-,+,-,+,+,+,-,-,-,-,+,+,+,+,+,+,-,-,-,+,-,-,+,-,+,-,142755,46106,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
650,+,-,+,-,-,-,-,+,-,+,+,+,+,-,-,-,+,+,+,+,+,+,-,-,+,+,+,+,+,+,-,+,5150,46120,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
651,+,-,-,-,-,-,+,-,+,+,+,-,-,-,-,-,-,-,+,+,+,+,-,-,+,+,-,+,-,-,-,-,5157,46122,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
652,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,142768,46127,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
653,-,+,-,-,-,-,-,-,+,-,+,+,-,-,-,-,+,-,+,+,+,-,-,+,-,+,-,-,-,-,+,+,277,46129,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
654,+,+,+,-,-,-,-,-,+,-,-,+,-,-,-,-,+,-,+,+,-,-,-,-,+,+,-,+,-,-,-,-,142778,46141,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
655,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,142780,46143,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
656,+,-,+,-,-,+,+,-,-,-,-,+,-,-,-,+,-,-,-,+,-,+,-,-,-,+,+,-,-,-,-,-,5246,46149,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
657,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,+,5508,46156,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
658,+,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,+,-,-,+,+,-,-,-,-,+,-,-,-,-,+,-,142840,46212,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
659,+,-,-,-,-,-,-,+,-,+,+,+,-,-,-,-,+,-,-,+,-,-,-,-,-,+,-,-,-,-,+,-,142841,46213,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
660,-,+,-,+,-,-,-,+,-,+,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,142842,46214,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
661,+,-,-,-,-,-,-,+,+,+,-,+,-,-,-,-,+,-,+,+,-,+,-,-,+,+,-,-,-,-,+,-,142844,46216,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
662,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,142847,46219,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
663,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,142847,46219,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
664,-,+,-,-,-,+,-,+,+,+,+,+,-,-,-,-,+,-,+,+,+,+,-,-,-,+,-,-,+,-,+,+,142857,46233,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
665,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,+,-,6871,46272,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
666,-,+,-,-,-,+,-,+,+,+,+,+,-,-,-,-,+,-,+,+,+,+,-,-,-,+,-,-,+,-,+,-,142914,46317,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
667,-,-,+,+,-,+,+,-,+,+,+,+,+,+,-,+,-,-,+,+,+,+,+,-,+,+,+,+,+,+,-,+,5096,46332,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
668,+,-,+,-,-,-,+,+,-,+,+,+,-,-,-,-,-,+,+,+,+,+,-,+,+,+,-,+,-,+,-,+,5163,46333,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
669,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,142927,46339,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
670,-,-,+,-,+,+,+,-,+,+,+,+,+,+,-,-,+,-,+,+,+,+,+,+,+,+,+,+,+,+,-,+,142930,46342,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
671,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,142931,46343,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
672,+,-,-,-,-,-,+,+,+,+,+,-,-,-,-,-,-,+,+,+,+,+,-,-,+,+,+,+,+,+,-,-,141196,44117,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
673,-,+,-,+,-,-,-,+,+,+,-,-,-,-,-,+,-,-,+,+,-,-,+,-,-,-,-,-,-,-,-,-,142944,46356,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
674,+,-,-,-,-,-,-,+,-,+,-,+,-,-,-,-,+,-,+,-,-,-,-,-,+,+,-,-,+,-,+,-,142949,46366,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
675,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,+,-,+,+,-,-,-,-,-,+,-,-,+,-,+,-,142950,46367,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
676,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,+,-,+,+,-,-,-,-,+,+,-,-,+,-,+,-,142951,46368,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
677,-,-,+,-,-,-,+,-,+,+,+,+,+,+,-,+,-,-,+,+,+,+,+,-,+,+,+,+,+,+,-,-,142956,46374,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
678,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,+,+,-,-,-,-,+,+,-,-,-,-,-,+,+,142960,46379,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
679,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,+,-,-,-,-,-,-,138664,65640,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
680,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,141175,44095,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
681,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,141414,44394,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
682,-,+,-,+,-,-,-,-,+,-,-,+,-,-,-,-,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,-,17227,46456,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
683,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,143015,46457,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
684,+,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,+,-,-,+,+,-,-,+,-,+,-,-,-,-,+,-,143019,46461,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
685,+,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,+,-,-,+,+,-,-,-,-,+,-,-,-,-,+,-,143020,46462,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
686,-,-,-,-,-,-,-,+,+,+,-,+,-,-,-,-,+,-,-,+,-,-,-,-,-,+,-,-,+,-,-,-,143021,46463,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
687,-,-,-,-,-,-,-,+,+,+,-,+,-,-,-,-,-,-,+,-,-,+,+,-,-,+,-,-,-,-,-,-,143023,46465,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
688,-,-,-,-,-,-,-,-,+,+,+,+,-,+,+,-,-,-,-,-,+,+,+,-,+,+,+,-,-,-,+,-,143024,46466,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
689,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,143025,46467,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
690,+,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,4355,44397,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
691,+,-,-,-,-,-,-,+,-,+,-,+,-,-,-,-,+,-,+,-,-,-,-,+,-,+,-,-,+,-,+,-,143028,46471,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
692,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,-,+,-,-,-,-,-,-,141199,44122,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
693,+,-,+,-,-,+,-,-,+,-,+,+,-,-,+,-,+,-,+,+,-,+,-,-,+,+,+,-,-,-,-,-,4428,44398,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
694,-,-,-,+,-,-,-,-,-,+,,+,-,+,-,-,+,-,-,+,+,-,-,+,-,+,-,-,-,-,+,-,135806,44399,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
