ID_kit_api_ID32E,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,cupule_21,cupule_22,cupule_23,cupule_24,cupule_25,cupule_26,cupule_27,cupule_28,cupule_29,cupule_30,cupule_31,cupule_32,ID_strains,ID_reference,manual_annotation,created_ID32E,modify_in_pgsql_ID32E,ID_tbl_api_ID32E,last_change
976,+,+,-,-,-,+,-,-,-,-,+,+,-,-,-,+,+,-,+,+,-,+,-,-,+,+,+,-,+,+,-,-,144791,48509,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
977,+,-,-,+,-,+,+,-,-,+,+,+,-,+,-,-,+,+,+,+,+,+,-,-,-,+,-,+,+,+,-,-,144798,48516,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
978,+,-,-,+,-,+,+,-,-,+,+,+,-,-,-,-,+,-,+,+,+,+,+,-,-,+,-,-,+,+,-,-,144801,48519,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
979,-,-,-,+,-,-,+,-,-,-,+,-,-,-,-,-,-,-,+,+,-,+,+,-,-,+,-,+,+,+,-,-,144802,48520,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
980,+,-,-,+,-,+,+,-,-,+,+,+,-,-,+,-,-,-,-,+,-,+,+,-,-,+,-,+,+,+,-,-,144803,48521,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
981,+,-,-,+,-,+,+,-,-,+,+,+,-,-,+,-,-,-,+,+,-,+,+,-,-,+,-,+,+,+,-,-,144804,48522,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
982,+,-,-,+,-,+,+,-,-,+,+,+,-,+,-,-,+,+,+,+,-,+,-,-,-,+,-,-,+,+,-,-,144805,48523,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
983,-,-,-,+,-,+,+,-,-,+,+,+,-,-,+,-,-,-,-,+,-,+,+,-,-,+,-,-,+,+,-,-,144806,48524,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
984,+,-,-,+,-,+,+,-,-,+,+,+,-,+,-,-,+,+,+,+,+,+,+,-,-,+,-,+,+,+,-,-,144807,48525,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
985,+,-,-,+,-,+,+,-,-,+,+,+,-,+,-,-,+,+,+,+,+,+,-,-,+,+,-,+,+,+,-,-,144808,48526,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
