ID_kit_api_coryne,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,cupule_21,ID_strains,ID_reference,manual_annotation,created_COR,modify_in_pgsql_COR,ID_tbl_api_COR,last_change
39,-,-,-,-,-,+,-,-,-,-,-,,-,-,-,-,-,-,-,-,,6289,18350,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
40,-,+,-,-,-,+,+,-,+,-,+,,+/-,-,-,-,-,-,-,-,,7623,18351,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
41,-,-,+,+/-,-,+,+,+,+,+,-,,-,-,-,-,-,-,-,-,,3906,18352,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
42,-,+,-,+,-,+,+,-,+,-,-,,-,-,-,-,-,-,-,-,,7325,18353,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
43,-,+,+,-,-,+,+,+,+,+,+,,-,-,-,-,-,-,-,-,,7580,18354,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
44,+,-,-,+,-,+,+,+,+,-,-,,+,+,+,+,+,+,+,+,,14039,18355,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
45,-,-,-,+,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,,11056,18356,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
46,-,-,-,+,-,+,+,+,+,+,-,,-,-,-,-,-,-,+,-,,12625,18357,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
47,-,-,-,-,-,+,-,-,+,-,-,,-,-,-,-,-,-,-,-,,12612,18358,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
48,-,-,+,+,+,+,+,+,+,-,-,,-,+,+,-,-,-,+,-,,12614,18360,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
49,-,-,+,-,-,-,+,-,-,+,-,,+,-,-,-,+,-,-,-,,7647,18361,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
50,-,-,-,-,-,+,+,-,+,+,+,,-,-,-,-,-,-,-,-,,7402,18362,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
51,-,-,-,+,-,+,+,+,+,+/-,+,,-,-,-,-,-,-,+,-,,6270,18363,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
52,-,-,+,+,-,+,+,-,-,-,-,,-,-,-,-,-,-,-,-,,7405,18365,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
53,+,-,-,-,-,+,+,-,+,+,-,,+,-,-,-,-,-,-,-,,7406,18366,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
54,-,-,+,-,-,+,+,-,+,+,+,,-,-,-,-,-,-,-,-,,7407,18367,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
55,-,-,-,-,-,+,+,-,+,+,+,,-,-,-,-,-,-,-,-,,7409,18368,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
56,-,-,-,+/-,-,-,+,-,-,-,-,,+,-,-,-,-,-,+,-,,7763,18369,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
57,+,+,+,-,+,+,+,+,-,+,+,,-,-,-,+,+,-,+,-,,7582,18370,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
58,-,-,-,-,+,+,+,-,+,+,+,,-,-,-,-,-,-,-,-,,7581,18371,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
59,-,-,-,+,-,+,+,-,+,-,-,,-,-,-,-,-,-,+,-,,6295,18372,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
60,-,-,-,-,-,+,+,-,+,+,+,,-,-,-,-,-,-,-,-,,7410,18373,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
61,-,-,-,+,-,+/-,+/-,-,+,-,-,,-,-,-,-,-,-,+,-,,6297,18374,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
62,+,-,-,-,+,+,+,-,+,-,-,,+,-,-,-,-,-,-,-,,7411,18375,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
63,-,-,-,-,-,+,+,-,+,+,-,,-,-,-,-,-,-,-,-,,7413,18376,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
