ID_kit_api_coryne,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,cupule_21,ID_strains,ID_reference,manual_annotation,created_COR,modify_in_pgsql_COR,ID_tbl_api_COR,last_change
1043,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,145853,49751,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1044,-,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,+,145872,49770,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1045,+,+,+,+,-,-,+,-,+,-,+,-,+,-,-,-,+,-,+,-,+,145980,49889,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1046,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,145981,49890,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1047,-,+,-,+,-,+,+,+,+,-,+,-,+,-,-,-,+,-,+,-,+,135641,49907,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1048,-,+,-,+,-,+,+,+,+,-,-,-,+,-,+,+,+,-,+,-,+,145992,49908,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1049,-,-,+,+,-,+,+,+,+,-,-,-,+,+,-,-,+,+,+,-,+,2258,49935,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1050,+,+,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,+,146024,49956,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1051,-,+,-,+,-,+,+,+,+,-,-,-,+,-,-,-,+,-,-,-,+,146117,50056,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1052,-,+,-,+,-,+,+,-,+,-,+,-,-,-,-,-,-,-,-,-,+,146168,50116,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1053,-,+,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,146169,50117,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1054,-,+,-,+,-,+,+,+,-,-,-,-,+,+,-,-,+,+,+,-,-,146176,50126,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1055,-,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,146186,50140,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1056,-,+,+,+,-,+,+,+,-,-,-,-,+,+,-,-,+,+,+,-,-,146212,50179,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1057,-,+,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,146226,50195,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1058,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,146234,50214,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1059,-,+,-,-,-,+,+,-,+,-,-,-,+,+,+,-,+,+,+,-,-,146246,50227,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1060,-,+,-,+,-,+,+,+,+,-,+,-,-,-,-,-,-,-,-,-,+,146255,50236,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1061,-,+,+,-,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,146260,50242,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1062,+,+,-,+,-,-,-,-,+,-,-,-,-,+,-,-,+,-,+,-,+,146332,50332,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1063,-,-,-,+,-,+,-,+,+,-,-,-,+,+,-,-,+,-,+,-,+,146333,50333,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1064,-,+,-,+,-,-,-,-,-,-,-,-,+,-,-,+,+,-,+,-,+,146340,50340,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1065,-,+,-,+,-,+,-,-,+,-,-,-,+,-,+,-,+,-,+,-,+,146342,50342,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1066,-,-,-,-,-,-,+,-,+,-,-,-,+,-,-,-,+,-,+,-,-,146360,50361,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1067,+,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,+,-,-,-,+,146449,50456,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1068,+,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,+,-,-,+,+,146449,50456,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1069,-,-,+,+,-,-,-,+,+,-,-,-,+,-,-,-,+,+,-,-,-,146452,50464,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1070,-,+,+,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,+,146466,50480,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1071,-,+,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,+,146470,50492,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1072,-,+,-,+,-,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,146482,50504,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1073,-,-,+,+,-,-,-,+,-,-,-,-,+,-,-,-,+,+,-,-,-,146489,50511,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1074,-,-,+,+,-,+,+,+,+,-,-,-,+,-,+,+,+,+,+,-,+,146494,50516,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1075,-,-,+,+,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,+,146498,50521,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1076,-,-,+,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,5371,50543,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1077,-,-,+,+,-,-,-,-,-,-,-,-,+,+,-,-,+,-,+,-,+,146516,50548,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1078,+,+,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,+,-,+,146522,50554,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1079,-,+,-,+,-,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,+,146531,50563,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1080,-,-,-,+,-,-,-,-,+,-,-,-,+,+,-,+,-,-,+,-,+,146541,50573,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1081,-,-,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,146542,50574,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1082,-,+,-,+,-,-,-,-,-,-,-,-,+,+,-,-,+,-,-,-,+,146552,50585,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1083,-,-,+,+,-,-,-,-,-,-,-,-,+,-,-,+,+,-,-,-,-,146572,50610,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1084,-,-,-,+,-,-,+,-,-,-,+,-,+,-,-,-,+,+,+,-,+,146573,50611,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1085,+,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,146579,50620,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1086,+,-,-,-,+,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,146581,50622,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1087,-,+,-,+,-,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,+,146583,50624,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1088,-,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,+,-,-,-,+,146588,50629,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1089,-,+,-,+,-,-,+,+,+,-,-,-,+,-,-,+,+,-,+,+,-,146598,50639,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1090,+,-,-,+,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,146599,50640,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1091,-,+,-,+,-,+,+,+,+,-,-,-,+,-,-,+,+,+,+,+,+,146622,50667,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1092,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,+,146632,50679,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1093,-,+,-,-,-,-,-,-,+,+,-,-,+,-,-,-,+,-,+,-,-,146636,50683,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1094,-,+,-,+,-,-,+,+,+,-,+,-,+,-,-,-,+,-,+,-,+,146652,50700,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1095,-,-,-,-,-,+,+,-,+,-,-,-,+,+,+,-,+,-,+,-,-,146657,50705,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1096,-,-,-,-,-,-,-,-,+,-,-,-,+,-,-,+,+,+,+,-,-,146658,50706,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1097,-,+,+,+,-,-,-,-,+,-,-,-,+,+,-,-,+,-,+,-,+,146669,50717,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1098,-,-,-,+,-,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,146692,50741,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1099,-,+,-,+,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,146717,50769,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1100,+,+,+,-,-,-,+,-,+,+,-,-,+,+,-,-,+,-,+,-,+,146727,50779,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1101,-,-,+,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,146728,50780,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1102,-,+,-,+,+,+,+,-,-,-,-,-,+,-,-,-,+,+,-,-,+,146736,50788,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1103,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,146738,50790,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1104,+,+,+,-,-,-,+,-,+,+,-,-,+,+,-,-,+,-,+,-,+,146750,50802,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1105,-,+,-,+,-,+,+,+,+,-,+,-,-,-,-,-,-,-,-,-,+,146752,50804,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1106,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,3168,50832,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1107,+,+,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,+,-,+,146796,50853,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1108,-,+,-,+,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,146817,50875,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1109,-,-,+,+,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,+,146865,50953,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1110,-,-,+,+,-,+,+,+,+,-,-,-,+,-,-,-,+,+,+,-,+,146874,50962,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1111,+,+,-,-,-,-,-,-,-,+,-,-,+,+,-,-,+,-,+,-,+,146883,50972,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1112,-,-,-,+,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,146887,50978,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1113,-,+,-,-,-,+,+,+,+,-,-,-,+,+,+,-,+,-,+,-,-,168,65612,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1114,-,-,-,-,-,-,+,-,-,-,-,-,+,+,+,-,+,-,+,-,-,135524,50990,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1115,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,146933,51031,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1116,+,-,+,+,-,-,+,-,+,-,-,-,+,-,-,+,+,-,+,-,+,146936,51034,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1117,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,146941,51039,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1118,-,-,+,+,-,+,+,+,-,-,+,-,-,-,-,-,-,-,-,-,+,146954,51052,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1119,-,+,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,+,146962,51060,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1120,+,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,+,146965,51064,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1121,-,+,-,+,-,+,+,+,+,-,-,-,+,-,+,+,+,-,+,-,-,146972,51071,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1122,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,146987,51086,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1123,-,+,-,+,-,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,+,146994,51093,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1124,-,-,-,-,-,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,147006,51106,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1125,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,147007,51107,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1126,-,+,-,+,-,+,+,-,+,-,+,-,,+,-,+,-,-,+,-,+,751,44628,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1127,+,+,-,+,-,+,+,-,+,-,-,-,+,+,-,-,+,-,+,+,+,147055,51157,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1128,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,147058,51167,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1129,-,+,-,+,-,+,+,+,+,-,+,-,-,-,-,-,-,-,-,-,+,147061,51170,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1130,+,-,-,-,-,+,+,-,+,-,-,-,+,+,-,-,+,-,-,-,-,138197,51187,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1131,+,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,147083,51204,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1132,-,+,-,+,-,-,+,-,+,-,-,-,-,-,-,-,-,-,+,-,+,147135,51260,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1133,+,+,-,-,+,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,147136,51261,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1134,-,+,-,+,-,+,+,-,+,+,+,-,+,-,-,-,+,-,-,-,+,147138,51263,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1135,-,-,-,-,-,+,+,-,+,-,+,-,-,-,-,-,-,-,-,-,+,147139,51264,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1136,-,-,-,+,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,147144,51273,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1137,-,+,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,147186,51323,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1138,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,147207,51352,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1139,-,-,-,+,-,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,+,147222,51370,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1140,+,-,+,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,+,-,+,147229,51380,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1141,-,-,-,+,-,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,+,147230,51381,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1142,-,+,-,+,-,-,-,-,-,+,-,-,+,+,-,-,-,-,-,-,+,3179,51403,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1143,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,+,-,+,-,-,135484,51405,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1144,+,-,-,+,-,-,+,+,+,-,+,-,-,-,-,-,-,-,-,-,+,147265,51418,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1145,+,-,-,-,-,-,+,-,-,-,-,-,+,+,-,-,+,-,-,-,+,147297,51454,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1146,-,+,+,+,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,+,147307,51464,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1147,-,+,-,+,-,-,-,-,-,-,-,-,+,+,-,-,+,-,-,-,+,147310,51467,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1148,-,+,-,+,-,-,+,-,+,+,-,-,-,-,-,-,-,-,+,-,+,147318,51475,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1149,-,+,-,+,-,-,-,-,-,-,-,-,+,+,-,-,+,-,-,-,+,147335,51492,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1150,-,+,-,-,+,-,-,-,+,+,-,-,+,-,-,-,+,-,+,-,+,147351,51510,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1151,-,+,+,-,+,+,-,-,-,+,-,-,+,-,+,-,+,+,+,-,+,147352,51511,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1152,+,+,-,-,+,-,-,-,+,+,-,-,+,-,-,-,+,-,+,-,+,147353,51512,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1153,+,+,+,-,+,+,-,-,+,+,-,-,+,+,-,-,+,+,+,-,+,147354,51513,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1154,-,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,147355,51515,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1155,-,+,-,+,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,-,+,147356,51516,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1156,+,-,-,+,-,-,+,-,-,-,-,-,+,+,-,-,+,-,+,-,+,12662,51542,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1157,-,+,+,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,147377,51547,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1158,-,+,-,-,-,+,+,-,+,-,+,-,+,+,-,+,+,+,+,+,-,147417,51589,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1159,-,-,+,+,-,+,+,+,+,-,+,-,+,+,-,-,+,+,+,-,+,147422,51594,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1160,-,+,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,147460,51633,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1161,+,+,-,-,+,+,+,+,+,-,+,-,+,-,-,-,+,-,+,-,+,147461,51634,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1162,-,-,+,+,-,+,+,-,+,-,+,-,-,-,-,-,-,-,-,-,+,147469,51642,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1163,+,-,-,-,-,-,+,-,-,-,-,-,+,+,-,-,+,-,-,-,+,3151,51645,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1164,-,+,-,+,-,-,-,-,-,-,-,-,+,+,-,-,+,-,-,-,+,147471,51647,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1165,+,+,-,+,-,-,-,-,-,-,-,-,+,+,-,-,+,-,+,-,+,147477,51658,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1166,-,+,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,147528,51709,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1167,-,+,-,+,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,+,134417,51741,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1168,+,+,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,+,-,+,147563,51751,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1169,-,+,-,+,-,+,+,-,+,-,-,-,+,-,+,+,+,+,+,+,-,147596,51787,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1170,+,+,+,+,-,+,+,-,+,-,+,-,+,-,-,+,+,+,+,+,+,12624,51806,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1171,-,+,-,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-,+,-,+,147616,51810,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1172,+,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,+,-,+,-,+,147649,51848,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1173,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,147652,51851,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1174,+,+,+,-,-,-,+,-,+,-,+,-,+,-,-,-,+,-,+,-,+,147679,51880,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1175,-,-,+,-,-,+,-,+,+,-,-,-,+,+,-,+,+,+,-,-,-,147713,51914,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1176,-,-,+,-,-,+,+,+,+,-,+,-,+,+,-,-,+,-,+,-,+,147733,51937,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1177,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,147735,51940,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1178,-,+,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,+,147739,51944,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1179,-,+,-,+,-,-,-,-,-,-,-,-,+,-,-,-,+,-,+,-,+,147755,51963,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1180,-,+,-,+,-,+,+,+,+,-,+,-,-,-,-,-,+,-,+,-,+,147756,51964,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1181,-,+,+,+,-,+,+,-,-,-,+,-,+,-,-,-,+,+,+,-,+,147772,51980,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1182,+,+,-,+,-,-,+,-,+,+,-,-,+,-,-,-,+,-,+,-,+,147781,51989,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1183,-,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,+,147783,51991,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1184,-,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,+,147784,51992,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1185,-,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,+,147785,51993,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1186,-,+,-,+,-,-,-,-,-,-,-,-,+,+,-,-,+,-,-,-,+,147863,52084,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1187,-,-,+,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,+,147907,52131,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1188,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,+,-,+,-,+,147926,52155,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1189,-,,+,-,-,+,+,+,+,-,+,-,+,+,-,-,+,-,+,-,+,147957,52187,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1190,-,+,-,+,-,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,+,147984,52214,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
