ID_kit_api_20A,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,cupule_21,cupule_22,cupule_23,cupule_24,ID_strains,ID_reference,manual_annotation,created_20A,modify_in_pgsql_20A,ID_tbl_api_20A,last_change
658,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,,,,,1603,1474,1,2010-12-15,2016-01-18 08:02:53,17,2019-11-20 06:22:40
657,-,-,+,+,+,+,+,+,-,+,-,+/-,-,+,+,-,+,-,-,-,,,,,17155,1154,1,2014-01-14,2016-01-18 08:02:53,16,2019-11-20 06:22:40
656,-,-,+,-,+,+,+,-,+,+,-,+,-,+,+,+,+,-,+,+,-,,,,1600,1004,1,1982-02-01,2016-01-18 08:02:53,15,2019-11-20 06:22:40
655,+,-,+,-,+,+,+,-,+,+,-,+,-,+,+,-,+,-,+,+,,,,,1600,1004,1,2012-01-18,2016-01-18 08:02:53,14,2019-11-20 06:22:40
654,-,-,+,-,+,+,+,-,+,-,-,+,-,+/-,+,-,+,-,-,-,,,,,1585,979,1,2014-10-07,2016-01-18 08:02:53,13,2019-11-20 06:22:40
653,-,-,+,-,+,+,+,-,+,-,-,+,-,+/-,+,-,+,-,-,-,+,,,,1585,979,1,2013-02-06,2016-01-18 08:02:53,12,2019-11-20 06:22:40
652,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17156,978,1,2009-08-19,2016-01-18 08:02:53,11,2019-11-20 06:22:40
651,+,-,+,-,+,+,+,-,+,+,-,+,-,+,+,+,+,-,+,+,,,,,1599,714,1,2009-09-22,2016-01-18 08:02:53,10,2019-11-20 06:22:40
650,+,-,+,+,+,+,+,+,+,+,-,+,+/-,+,+,+,+,+/-,+,+,,,,,1599,714,1,2014-06-18,2016-01-18 08:02:53,9,2019-11-20 06:22:40
649,+,-,+,-,+,+,+,-,+,+,-,+,-,+,+,+,+,-,+,+,,,,,1599,714,1,2010-11-24,2016-01-18 08:02:53,8,2019-11-20 06:22:40
648,+,-,+,-,+,+,+,-,+,+,+,+,-,+,+,+,+,-,+,+,,,,,1599,714,1,1981-04-23,2016-01-18 08:02:53,7,2019-11-20 06:22:40
647,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,17173,955,1,1986-02-14,2016-01-18 08:02:53,6,2019-11-20 06:22:40
646,-,-,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,-,-,-,,,,17674,916,1,2014-10-21,2016-01-18 08:02:53,5,2019-11-20 06:22:40
645,+/-,-,+/-,+/-,-,-,-,-,-,-,+,+,-,-,+/-,+/-,-,-,-,+/-,,+,+,-,2582,627,1,2000-03-15,2016-01-18 08:02:53,4,2019-11-20 06:22:40
644,-,-,+,-,+,-,+,-,-,-,+,-,+,-,+,-,-,-,-,-,,+,+,-,2582,627,1,2000-03-15,2016-01-18 08:02:53,3,2019-11-20 06:22:40
643,+/-,-,+,+,-,-,-,+/-,+/-,-,-,+,-,-,+,+/-,-,+/-,-,+,,+,+,-,2582,627,1,2000-03-15,2016-01-18 08:02:53,2,2019-11-20 06:22:40
642,-,-,+,+,-,-,-,+,-,-,+,+,-,-,+,+,-,+,+/-,+,,,,,2582,627,1,2013-11-13,2016-01-18 08:02:53,1,2019-11-20 06:22:40
821,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,131521,22748,1,2018-11-08,2018-11-21 13:10:03,423,2019-11-20 06:22:41
822,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,131521,22748,1,2014-04-25,2018-11-21 13:25:03,424,2019-11-20 06:22:41
823,-,-,+,-,-,-,+,-,-,-,+,+,-,-,-,-,-,-,-,+,-,,,-,2710,452,1,2018-11-29,2018-11-29 12:05:03,425,2019-11-20 06:22:41
824,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,+,-,131520,22747,1,2014-04-25,2018-12-14 15:05:04,426,2019-11-20 06:22:41
825,-,-,+,-,+,+,+,+,+,-,-,+,+,+,+,+/-,-,-,-,-,,,,,2544,313,1,2018-12-13,2018-12-18 09:50:05,427,2019-11-20 06:22:41
826,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,,,,,2745,2221,1,2018-12-14,2018-12-18 16:20:05,428,2019-11-20 06:22:41
827,-,-,+,-,+,+,+,-,-,-,+,+,-,-,+,-,-,-,-,+,,,,,2639,4488,1,2018-12-05,2018-12-19 11:45:03,429,2019-11-20 06:22:41
828,-,-,+,-,-,-,+,-,-,-,+,+,+/-,-,-,-,-,-,-,+,,,,,2711,768,1,2018-12-19,2018-12-19 12:05:04,430,2019-11-20 06:22:41
829,-,-,+,+,+,+,+,+,+,+,-,+,+/-,+,+,+,+,+,+,+,,,,-,131167,22459,1,2019-02-12,2019-03-01 15:35:12,432,2019-11-20 06:22:41
830,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,,,,,130922,22214,1,2019-03-19,2019-03-21 14:10:03,433,2019-11-20 06:22:41
831,-,-,+,+,-,-,-,+,+/-,-,+,+,-,-,+,+,-,+,-,+,,,,,22963,18803,1,2019-01-11,2019-04-29 13:05:03,434,2019-11-20 06:22:41
832,-,-,+,+,-,-,-,+,+/-,-,+,+,-,-,+,+,-,+,-,+,,,,,22963,18803,1,2019-03-19,2019-04-29 13:05:03,435,2019-11-20 06:22:41
833,-,-,+,+,-,-,-,+,+,-,+,+,-,-,+,+,-,+/-,-,+/-,,,,,23853,20942,1,2019-01-10,2019-04-29 13:30:04,436,2019-11-20 06:22:41
834,-,-,+,-,+,+,+,-,-,-,+,+,-,-,+,-,-,-,-,+,,,,,2631,428,1,2019-04-26,2019-05-02 08:00:03,437,2019-11-20 06:22:41
835,-,-,+,+,+,+,+,+,+,-,-,+,+,-,+,-,-,-,-,-,,,,,12657,6122,1,2019-04-12,2019-05-27 08:35:03,438,2019-11-20 06:22:41
836,-,-,+,+,-,-,-,+,+,-,+,+,-,-,+,+,-,+,-,+,,,,,22963,18803,1,2019-07-03,2019-07-18 13:15:03,439,2019-11-20 06:22:41
837,-,-,+,+,-,-,-,+,+,-,+,+,-,+,+,+,-,+/-,-,+,,,,,23853,20942,1,2019-07-03,2019-07-19 07:50:03,440,2019-11-20 06:22:41
838,-,-,-,-,-,-,-,-,-,-,+/-,+,-,-,-,-,-,-,-,-,-,,,-,131515,22742,1,2015-12-22,2019-08-30 09:55:09,441,2019-11-20 06:22:41
839,-,-,+,+,-,-,+,-,+,-,-,+,-,-,-,-,-,-,+,-,,,,,132967,24755,1,2019-08-23,2019-09-03 07:05:08,442,2019-11-20 06:22:41
840,+,-,+,-,-,-,+,-,-,-,+,+,+/-,-,+,-,-,+/-,-,-,,,,,2557,333,1,2019-01-17,2019-10-23 12:10:09,443,2019-11-20 06:22:41
841,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,+,-,131522,22749,1,2014-04-25,2019-11-05 11:20:09,444,2019-11-20 06:22:41
842,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,+,,131522,22749,1,2019-10-11,2019-11-08 12:15:08,445,2019-11-20 06:22:41
