ID_pigmentation,pigment_name,pigment_color,pigment_production,ID_strains,ID_reference,manual_annotation,last_change
97,,orange-red,1,133133,24904,1,2017-08-25 13:47:50
98,,brown-black,1,133139,24905,1,2017-08-25 13:47:50
99,Flexirubin-type,,1,132637,24911,1,2017-08-25 13:47:50
100,Carotenoid,,1,133143,24912,1,2017-08-25 13:47:50
101,no pigments,,0,133147,24915,1,2017-08-25 13:47:50
102,Flexirubin pigmentation,yellow,1,133149,24918,1,2017-08-25 13:47:50
103,no pigments,,0,133150,24919,1,2017-08-25 13:47:50
104,no pigments,,0,133156,24930,1,2017-08-25 13:47:50
105,Carotenoid pigments,,1,133159,24934,1,2017-08-25 13:47:50
106,no pigements,,0,132649,24959,1,2017-08-25 13:47:50
107,Carotenoid pigments,,1,133168,24943,1,2017-08-25 13:47:50
108,Carotenoid pigments,,1,133169,24944,1,2017-08-25 13:47:50
109,Carotenoid pigments,,1,133171,24946,1,2017-08-25 13:47:50
110,,yellow,1,133176,24953,1,2017-08-25 13:47:50
111,,pink,1,133180,24958,1,2017-08-25 13:47:50
112,,pale-yellowish,1,132661,24973,1,2017-08-25 13:47:50
113,Carotenoid,beta-carotene,1,133186,24969,1,2017-08-25 13:47:50
114,,bright orange,1,132667,24981,1,2017-08-25 13:47:50
115,Flexirubin-type,,1,133006,24984,1,2017-08-25 13:47:50
116,,yellow,1,133188,24984,1,2017-08-25 13:47:50
117,Flexirubin-type,,1,133188,24984,1,2017-08-25 13:47:50
118,Flexirubin-type,,1,133190,24985,1,2017-08-25 13:47:50
119,,red,1,133007,24987,1,2017-08-25 13:47:50
120,,red,1,133192,24988,1,2017-08-25 13:47:50
121,,light-pink,1,133008,24993,1,2017-08-25 13:47:50
122,Carotenoid,,1,133196,24994,1,2017-08-25 13:47:50
123,Flexirubin-type,,1,133199,24997,1,2017-08-25 13:47:50
124,no Flexirubin pigments,,0,133202,25001,1,2017-08-25 13:47:50
125,no pigments,,0,133203,25002,1,2017-08-25 13:47:50
126,,beige,1,133214,25016,1,2017-08-25 13:47:50
127,no diffusible pigments,,0,133225,25037,1,2017-08-25 13:47:50
128,no bacteriochlorophyll a as a photosynthetic pigment but  Carotenoid-like pigments,,1,133228,25040,1,2017-08-25 13:47:50
129,fluorescent pigment on King B medium,,1,133231,25018,1,2017-08-25 13:47:50
130,no Diffusible pigments,,0,133232,25115,1,2017-08-25 13:47:50
131,,light brown,1,133233,25139,1,2017-08-25 13:47:50
132,no Melanin pigments,,0,133235,25122,1,2017-08-25 13:47:50
133,,white,1,133237,25101,1,2017-08-25 13:47:50
134,no Diffusible pigment,,0,133016,25106,1,2017-08-25 13:47:50
135,,brown,1,133238,25100,1,2017-08-25 13:47:50
136,,red,1,131724,25097,1,2017-08-25 13:47:50
137,,pink,1,133244,25131,1,2017-08-25 13:47:50
138,,red,1,133245,25083,1,2017-08-25 13:47:50
139,Carotenoid pigments,,1,133250,25107,1,2017-08-25 13:47:50
140,no Flexirubin-type pigments,,0,133250,25107,1,2017-08-25 13:47:50
141,no Flexirubin-type pigments,,0,133252,25109,1,2017-08-25 13:47:50
142,no Flexirubin-type pigments,,0,133256,25059,1,2017-08-25 13:47:50
143,no Flexirubin-type pigments,,0,133258,25064,1,2017-08-25 13:47:50
144,no Flexirubin-type pigments,,0,133261,25054,1,2017-08-25 13:47:50
145,,pink,1,133262,25046,1,2017-08-25 13:47:50
146,Carotenoid,,1,133270,25138,1,2017-08-25 13:47:50
147,Carotenoid pigments,,1,133297,25068,1,2017-08-25 13:47:50
148,Carotenoid pigments,,1,133300,25055,1,2017-08-25 13:47:50
149,Flexirubin-type,,0,133300,25055,1,2017-08-25 13:47:50
150,,brown diffusible,0,133302,25051,1,2017-08-25 13:47:50
151,,yellow to brown,1,133305,25164,1,2017-08-25 13:47:50
152,Melanin pigments,brown,1,133306,25163,1,2017-08-25 13:47:50
153,,black diffusible,1,133307,25152,1,2017-08-25 13:47:50
154,,light yellow,1,133307,25152,1,2017-08-25 13:47:50
155,,pink,1,133308,25151,1,2017-08-25 13:47:50
156,Flexirubin-type,,0,133309,25146,1,2017-08-25 13:47:50
157,Carotenoid pigments,,0,133309,25146,1,2017-08-25 13:47:50
158,Flexirubin-type,,0,133310,25147,1,2017-08-25 13:47:50
159,Flexirubin-type,,0,133311,25148,1,2017-08-25 13:47:50
160,Flexirubin,orange,1,133315,25161,1,2017-08-25 13:47:50
161,Flexirubin-type,,0,133317,25159,1,2017-08-25 13:47:50
162,Flexirubin-type,,0,133319,25165,1,2017-08-25 13:47:50
163,Flexirubin-type,,0,133322,25157,1,2017-08-25 13:47:50
164,melanin-like pigments,,0,133327,25188,1,2017-08-25 13:47:50
165,Flexirubin-type,,0,133329,25178,1,2017-08-25 13:47:50
166,Flexirubin-type,,0,133330,25183,1,2017-08-25 13:47:50
167,arotenoid,,1,133330,25183,1,2017-08-25 13:47:50
168,Flexirubin-type,,0,133332,25182,1,2017-08-25 13:47:50
169,Flexirubin-type,,1,133333,25186,1,2017-08-25 13:47:50
170,Carotenoid,,1,133333,25186,1,2017-08-25 13:47:50
171,Flexirubin-type,,0,133334,25212,1,2017-08-25 13:47:50
172,Flexirubin,,0,133335,25172,1,2017-08-25 13:47:50
173,Flexirubin-type,,0,133348,25207,1,2017-08-25 13:47:50
174,Carotenoid,,1,133348,25207,1,2017-08-25 13:47:50
175,,yellow,1,133078,25198,1,2017-08-25 13:47:50
176,,bright yellow,1,133356,25233,1,2017-08-25 13:47:50
177,,yellow soluble,1,133356,25233,1,2017-08-25 13:47:50
178,Flexirubin-type,,0,133359,25232,1,2017-08-25 13:47:50
179,Flexirubin-type,bright yellow,1,133360,25223,1,2017-08-25 13:47:50
180,Flexirubin,,1,133361,25244,1,2017-08-25 13:47:50
181,Carotenoids,,1,133362,25226,1,2017-08-25 13:47:50
182,Flexirubin-type,,0,133362,25226,1,2017-08-25 13:47:50
183,,pink,1,133364,25224,1,2017-08-25 13:47:50
184,Flexirubin-type,,1,133365,25219,1,2017-08-25 13:47:50
185,Flexirubin-type,,1,133366,25222,1,2017-08-25 13:47:50
186,Congo red,,0,133366,25222,1,2017-08-25 13:47:50
187,Flexirubin-type,,0,133367,25217,1,2017-08-25 13:47:50
188,,yellowish-orange,1,133368,25221,1,2017-08-25 13:47:50
189,Flexirubin-type,,0,133368,25221,1,2017-08-25 13:47:50
190,Flexirubin-type,,0,133370,25238,1,2017-08-25 13:47:50
191,Carotenoid,,1,133373,25225,1,2017-08-25 13:47:50
192,brown diffusible pigments,brown,0,133380,25251,1,2017-08-25 13:47:50
193,Flexirubin-type,yellow,1,133388,25286,1,2017-08-25 13:47:50
194,Flexirubin-type,yellow,1,133389,25281,1,2017-08-25 13:47:50
195,Flexirubin-type,yellow,1,133391,25277,1,2017-08-25 13:47:50
196,Flexirubin-type,,0,133392,25287,1,2017-08-25 13:47:50
197,Flexirubin-type,,0,133393,25268,1,2017-08-25 13:47:50
198,Flexirubin-type,,0,133394,25271,1,2017-08-25 13:47:50
199,,brown diffusible,0,133395,25263,1,2017-08-25 13:47:50
200,Flexirubin-type,,0,133395,25263,1,2017-08-25 13:47:50
201,Flexirubin-type,,0,133396,25254,1,2017-08-25 13:47:50
202,Flexirubin-type,,1,133397,25249,1,2017-08-25 13:47:50
203,fluorescent pigment,,1,133410,25275,1,2017-08-25 13:47:50
204,,yellowish-brown,1,133101,25298,1,2017-08-25 13:47:50
205,diffusible pigment,,0,133105,25306,1,2017-08-25 13:47:50
206,melanin,,0,133105,25306,1,2017-08-25 13:47:50
207,diffusible pigment,,0,133107,25293,1,2017-08-25 13:47:50
208,diffusible pigment,,1,133108,25309,1,2017-08-25 13:47:50
209,Melanin,,0,133108,25309,1,2017-08-25 13:47:50
210,diffusible pigment,,0,133109,25301,1,2017-08-25 13:47:50
211,Carotenoid pigments,absorption at 479-483 nm,1,133118,25291,1,2017-08-25 13:47:50
212,Flexirubin-type,,0,133119,25297,1,2017-08-25 13:47:50
213,,,0,13655,29963,1,2017-12-04 12:32:22
214,,,0,133948,30929,1,2017-12-04 12:32:22
215,,,0,13166,32415,1,2017-12-04 12:32:22
216,,,0,11866,29213,1,2017-12-04 12:32:22
217,,,0,11335,29130,1,2017-12-04 12:32:22
218,,,0,11334,29130,1,2017-12-04 12:32:22
219,,,0,8174,29101,1,2017-12-04 12:32:22
220,,,0,1304,29858,1,2017-12-04 12:32:22
221,,,0,5699,32348,1,2017-12-04 12:32:22
222,,,0,5700,32348,1,2017-12-04 12:32:22
223,,,0,134117,31414,1,2017-12-04 12:32:22
224,,,0,6329,31447,1,2017-12-04 12:32:22
225,,,0,11033,29966,1,2017-12-04 12:32:22
226,,,0,13386,29897,1,2017-12-04 12:32:22
227,,,0,5876,31916,1,2017-12-04 12:32:22
228,,,0,18132,29095,1,2017-12-04 12:32:22
229,,,0,1297,29227,1,2017-12-04 12:32:22
230,,,0,133494,29189,1,2017-12-04 12:32:22
231,,,0,8187,31230,1,2017-12-04 12:32:22
232,,,0,133957,30948,1,2017-12-04 12:32:22
233,,,0,1218,30118,1,2017-12-04 12:32:22
234,,,0,17008,29127,1,2017-12-04 12:32:22
235,,,0,24433,29659,1,2017-12-04 12:32:22
236,,,0,16479,29705,1,2017-12-04 12:32:22
237,,,0,1860,31255,1,2017-12-04 12:32:22
238,,,0,11635,32545,1,2017-12-04 12:32:22
239,,,0,133463,29069,1,2017-12-04 12:32:22
240,,,0,11693,32050,1,2017-12-04 12:32:22
241,,,0,10780,31274,1,2017-12-04 12:32:22
242,,,0,1548,32212,1,2017-12-04 12:32:22
243,,,0,17858,31494,1,2017-12-04 12:32:22
244,,,0,5590,31523,1,2017-12-04 12:32:22
245,,,0,134154,31561,1,2017-12-04 12:32:22
246,,,0,134229,31985,1,2017-12-04 12:32:22
247,,,0,134230,31985,1,2017-12-04 12:32:22
248,,,0,11645,29359,1,2017-12-04 12:32:22
249,,,0,24736,32449,1,2017-12-04 12:32:22
250,,,0,2101,29852,1,2017-12-04 12:32:22
251,,,0,14670,31368,1,2017-12-04 12:32:22
252,,,0,17623,32329,1,2017-12-04 12:32:22
253,,,0,133636,29871,1,2017-12-04 12:32:22
254,,,0,133995,31021,1,2017-12-04 12:32:22
255,,,0,11563,30009,1,2017-12-04 12:32:22
256,,,0,14101,31756,1,2017-12-04 12:32:22
257,,,0,133623,29820,1,2017-12-04 12:32:22
258,,,0,133624,29820,1,2017-12-04 12:32:22
259,,,0,134304,32331,1,2017-12-04 12:32:22
260,,,0,2459,32078,1,2017-12-04 12:32:22
261,,,0,13093,30011,1,2017-12-04 12:32:22
262,,,0,133663,30011,1,2017-12-04 12:32:22
263,,,0,13095,30011,1,2017-12-04 12:32:22
264,,,0,5166,31489,1,2017-12-04 12:32:22
265,,,0,134277,32233,1,2017-12-04 12:32:22
266,,,0,133764,30433,1,2017-12-04 12:32:22
267,,,0,133458,29061,1,2017-12-04 12:32:22
268,,,0,133605,29716,1,2017-12-04 12:32:22
269,,,0,133579,29638,1,2017-12-04 12:32:22
270,,,0,8033,30340,1,2017-12-04 12:32:22
271,,,0,133527,29337,1,2017-12-04 12:32:22
272,,,0,11369,29246,1,2017-12-04 12:32:22
273,,,0,24022,30818,1,2017-12-04 12:32:22
274,,,0,14187,31824,1,2017-12-04 12:32:22
275,,,0,13139,31953,1,2017-12-04 12:32:22
276,,,0,13157,31953,1,2017-12-04 12:32:22
277,,,0,17932,31455,1,2017-12-04 12:32:22
278,,,0,134137,31442,1,2017-12-04 12:32:22
279,,,0,1095,31442,1,2017-12-04 12:32:22
280,,,0,17410,31365,1,2017-12-04 12:32:22
281,,,0,17693,28940,1,2017-12-04 12:32:22
282,,,0,5579,29321,1,2017-12-04 12:32:22
283,,,0,8031,29617,1,2017-12-04 12:32:22
284,,,0,133514,29250,1,2017-12-04 12:32:22
285,,,0,133515,29250,1,2017-12-04 12:32:22
286,,,0,13436,29615,1,2017-12-04 12:32:22
287,,,0,132145,30610,1,2017-12-04 12:32:22
288,,,0,134073,31175,1,2017-12-04 12:32:22
289,,,0,11308,30085,1,2017-12-04 12:32:22
290,,,0,133684,30154,1,2017-12-04 12:32:22
291,,,0,133685,30154,1,2017-12-04 12:32:22
292,,,0,134134,31433,1,2017-12-04 12:32:22
293,,,0,5615,29396,1,2017-12-04 12:32:22
294,,,0,13176,29181,1,2017-12-04 12:32:22
295,,,0,5350,31631,1,2017-12-04 12:32:22
296,,,0,8572,32657,1,2017-12-04 12:32:22
297,,,0,134272,32220,1,2017-12-04 12:32:22
298,,,0,134093,31238,1,2017-12-04 12:32:22
299,,,0,5575,29215,1,2017-12-04 12:32:22
300,,,0,425,30160,1,2017-12-04 12:32:22
301,,,0,134218,31915,1,2017-12-04 12:32:22
302,,,0,17879,32309,1,2017-12-04 12:32:22
303,,,0,17083,29249,1,2017-12-04 12:32:22
304,,,0,16748,30013,1,2017-12-04 12:32:22
305,,,0,133882,30757,1,2017-12-04 12:32:22
306,,,0,16786,28910,1,2017-12-04 12:32:22
307,,,0,11237,29393,1,2017-12-04 12:32:22
308,,,0,8592,30499,1,2017-12-04 12:32:22
309,,,0,23868,30860,1,2017-12-04 12:32:22
310,,,0,10778,31216,1,2017-12-04 12:32:22
311,,,0,10786,31219,1,2017-12-04 12:32:22
312,,,0,10787,31219,1,2017-12-04 12:32:22
313,,,0,7205,31286,1,2017-12-04 12:32:22
314,,,0,11217,31248,1,2017-12-04 12:32:22
315,,,0,6048,31490,1,2017-12-04 12:32:22
316,,,0,11251,29162,1,2017-12-04 12:32:22
317,,,0,5850,29103,1,2017-12-04 12:32:22
318,,,0,11266,30221,1,2017-12-04 12:32:22
319,,,0,13275,30153,1,2017-12-04 12:32:22
320,,,0,24534,30655,1,2017-12-04 12:32:22
321,,,0,24729,30906,1,2017-12-04 12:32:22
322,,,0,2992,32233,1,2017-12-04 12:32:22
323,,,0,5706,29291,1,2017-12-04 12:32:22
324,,,0,5705,29291,1,2017-12-04 12:32:22
325,,,0,11039,31444,1,2017-12-04 12:32:22
326,,,0,133779,30472,1,2017-12-04 12:32:22
327,,,0,131179,29536,1,2017-12-04 12:32:22
328,,,0,13387,30010,1,2017-12-04 12:32:22
329,,,0,11306,32228,1,2017-12-04 12:32:22
330,,,0,428,31943,1,2017-12-04 12:32:22
331,,,0,133512,29245,1,2017-12-04 12:32:22
332,,,0,14248,31827,1,2017-12-04 12:32:22
333,,,0,133480,29140,1,2017-12-04 12:32:22
334,,,0,13851,29071,1,2017-12-04 12:32:22
335,,,0,134215,31904,1,2017-12-04 12:32:22
336,,,0,133478,29124,1,2017-12-04 12:32:22
337,,,0,133529,29346,1,2017-12-04 12:32:22
338,,,0,133538,29404,1,2017-12-04 12:32:22
339,,,0,133879,30751,1,2017-12-04 12:32:22
340,,,0,133777,30472,1,2017-12-04 12:32:22
341,,,0,133778,30472,1,2017-12-04 12:32:22
342,,,0,11215,30001,1,2017-12-04 12:32:22
343,,,0,6776,31230,1,2017-12-04 12:32:22
344,,,0,14040,31400,1,2017-12-04 12:32:22
345,,,0,5613,32476,1,2017-12-04 12:32:22
346,,,0,17444,31832,1,2017-12-04 12:32:22
347,,,0,134227,31963,1,2017-12-04 12:32:22
348,,,0,130765,29211,1,2017-12-04 12:32:22
349,,,0,11136,32618,1,2017-12-04 12:32:22
350,,,0,134085,31195,1,2017-12-04 12:32:22
351,,,0,13267,28874,1,2017-12-04 12:32:22
352,,,0,13510,28934,1,2017-12-04 12:32:22
353,,,0,133471,29082,1,2017-12-04 12:32:22
354,,,0,11263,29062,1,2017-12-04 12:32:22
355,,,0,133500,29205,1,2017-12-04 12:32:22
356,,,0,11265,29953,1,2017-12-04 12:32:22
357,,,0,16500,30409,1,2017-12-04 12:32:22
358,,,0,16501,30409,1,2017-12-04 12:32:22
359,,,0,16499,30409,1,2017-12-04 12:32:22
360,,,0,133848,30668,1,2017-12-04 12:32:22
361,,,0,24495,31107,1,2017-12-04 12:32:22
362,,,0,6236,32249,1,2017-12-04 12:32:22
363,,,0,5645,32408,1,2017-12-04 12:32:22
364,,,0,134161,31617,1,2017-12-04 12:32:22
365,,,0,13125,31271,1,2017-12-04 12:32:22
366,,,0,134177,31713,1,2017-12-04 12:32:22
367,,,0,134178,31713,1,2017-12-04 12:32:22
368,,,0,23237,32006,1,2017-12-04 12:32:22
369,,,0,133616,29793,1,2017-12-04 12:32:22
370,,,0,2098,29010,1,2017-12-04 12:32:22
371,,,0,16914,31611,1,2017-12-04 12:32:22
372,,,0,453,31245,1,2017-12-04 12:32:22
373,,,0,17048,29933,1,2017-12-04 12:32:22
374,,,0,430,31943,1,2017-12-04 12:32:22
375,,,0,133479,29128,1,2017-12-04 12:32:22
376,,,0,11081,32517,1,2017-12-04 12:32:22
377,,,0,7219,30743,1,2017-12-04 12:32:22
378,,,0,8203,31679,1,2017-12-04 12:32:22
379,,,0,8202,31679,1,2017-12-04 12:32:22
380,,,0,8175,29594,1,2017-12-04 12:32:22
381,,,0,8005,32250,1,2017-12-04 12:32:22
382,,,0,1976,31924,1,2017-12-04 12:32:22
383,,,0,1977,31924,1,2017-12-04 12:32:22
384,,,0,4151,28922,1,2017-12-04 12:32:22
385,,,0,7236,30115,1,2017-12-04 12:32:22
386,,,0,11894,31815,1,2017-12-04 12:32:22
387,,,0,5845,32166,1,2017-12-04 12:32:22
388,,,0,7509,31841,1,2017-12-04 12:32:22
389,,,0,13473,29555,1,2017-12-04 12:32:22
390,,,0,11895,29149,1,2017-12-04 12:32:22
391,,,0,133517,29262,1,2017-12-04 12:32:22
392,,,0,5847,31211,1,2017-12-04 12:32:22
393,,,0,13512,29199,1,2017-12-04 12:32:22
394,,,0,5846,31211,1,2017-12-04 12:32:22
395,,,0,13400,29165,1,2017-12-04 12:32:22
396,,,0,16999,29310,1,2017-12-04 12:32:22
397,,,0,8045,29317,1,2017-12-04 12:32:22
398,,,0,7760,29287,1,2017-12-04 12:32:22
399,,,0,13472,29370,1,2017-12-04 12:32:22
400,,,0,17666,29457,1,2017-12-04 12:32:22
401,,,0,24668,30820,1,2017-12-04 12:32:22
402,,,0,133626,29828,1,2017-12-04 12:32:22
403,,,0,16503,30422,1,2017-12-04 12:32:22
404,,,0,23163,30657,1,2017-12-04 12:32:22
405,,,0,22942,30831,1,2017-12-04 12:32:22
406,,,0,16556,30837,1,2017-12-04 12:32:22
407,,,0,11192,30666,1,2017-12-04 12:32:22
408,,,0,13397,31973,1,2017-12-04 12:32:22
409,,,0,17015,29849,1,2017-12-04 12:32:22
410,,,0,23200,30312,1,2017-12-04 12:32:22
411,,,0,5843,31187,1,2017-12-04 12:32:22
412,,,0,11616,32205,1,2017-12-04 12:32:22
413,,,0,10520,31878,1,2017-12-04 12:32:22
414,,,0,1490,29253,1,2017-12-04 12:32:22
415,,,0,131172,29006,1,2017-12-04 12:32:22
416,,,0,5822,30889,1,2017-12-04 12:32:22
417,,,0,7424,29943,1,2017-12-04 12:32:22
418,,,0,1276,31930,1,2017-12-04 12:32:22
419,,,0,134370,32639,1,2017-12-04 12:32:22
420,,,0,134336,32508,1,2017-12-04 12:32:22
421,,,0,13795,29915,1,2017-12-04 12:32:22
422,,,0,13667,32231,1,2017-12-04 12:32:22
423,,,0,5730,32407,1,2017-12-04 12:32:22
424,,,0,12702,29639,1,2017-12-04 12:32:22
425,,,0,133680,30130,1,2017-12-04 12:32:22
426,,,0,133657,29979,1,2017-12-04 12:32:22
427,,,0,17651,31982,1,2017-12-04 12:32:22
428,,,0,134246,32104,1,2017-12-04 12:32:22
429,,,0,134248,32104,1,2017-12-04 12:32:22
430,,,0,13842,32634,1,2017-12-04 12:32:22
431,,,0,13769,31463,1,2017-12-04 12:32:22
432,,,0,1226,29923,1,2017-12-04 12:32:22
433,,,0,133951,30933,1,2017-12-04 12:32:22
434,,,0,486,31403,1,2017-12-04 12:32:22
435,,,0,134208,31850,1,2017-12-04 12:32:22
436,,,0,11274,31328,1,2017-12-04 12:32:22
437,,,0,132051,31393,1,2017-12-04 12:32:22
438,,,0,134133,31431,1,2017-12-04 12:32:22
439,,,0,134140,31476,1,2017-12-04 12:32:22
440,,,0,134141,31485,1,2017-12-04 12:32:22
441,,,0,23235,31863,1,2017-12-04 12:32:22
442,,,0,130499,32185,1,2017-12-04 12:32:22
443,,,0,23234,31863,1,2017-12-04 12:32:22
444,,,0,23225,30106,1,2017-12-04 12:32:22
445,,,0,13798,31909,1,2017-12-04 12:32:22
446,,,0,14437,28987,1,2017-12-04 12:32:22
447,,,0,133419,28884,1,2017-12-04 12:32:22
448,,,0,133427,28905,1,2017-12-04 12:32:22
449,,,0,133431,28920,1,2017-12-04 12:32:22
450,,,0,5728,29159,1,2017-12-04 12:32:22
451,,,0,13852,29071,1,2017-12-04 12:32:22
452,,,0,133466,29079,1,2017-12-04 12:32:22
453,,,0,133467,29079,1,2017-12-04 12:32:22
454,,,0,23243,30630,1,2017-12-04 12:32:22
455,,,0,5727,29507,1,2017-12-04 12:32:22
456,,,0,133567,29568,1,2017-12-04 12:32:22
457,,,0,24522,30524,1,2017-12-04 12:32:22
458,,,0,133917,30871,1,2017-12-04 12:32:22
459,,,0,133988,31012,1,2017-12-04 12:32:22
460,,,0,133923,30882,1,2017-12-04 12:32:22
461,,,0,134055,31147,1,2017-12-04 12:32:22
