ID_kit_api_rID32A,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,cupule_21,cupule_22,cupule_23,cupule_24,cupule_25,cupule_26,cupule_27,cupule_28,cupule_29,ID_strains,ID_reference,manual_annotation,created_rID32A,modify_in_pgsql_rID32A,ID_tbl_api_rID32A,last_change
6003,-,-,+,+,-,+,+,+,-,+,-,+,-,+,-,-,+,-,-,+,-,-,-,-,+,-,-,-,-,131518,22745,1,2018-02-27 00:00:00,2018-03-06 10:20:03,1021.0,2019-11-20 06:22:51
6002,-,-,+,+,-,+,+/-,+,-,+,+,-,+,+,-,-,+,+,-,+,-,+,-,-,+,+,-,-,-,1627,16058,1,2018-02-27 00:00:00,2018-03-06 09:15:03,1019.0,2019-11-20 06:22:51
6001,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,11843,1257,1,2018-01-24 00:00:00,2018-01-30 12:15:03,1018.0,2019-11-20 06:22:51
6000,-,-,+,+,-,+,+,+/-,-,+/-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,158143,64725,1,2018-01-18 00:00:00,2018-01-29 07:15:03,1016.0,2019-11-20 06:22:51
5999,-,+,+,+,+,+,+,-,-,+,+,+,-,+,+,-,+,-,-,-,-,-,+,-,-,-,-,-,-,2631,428,1,2018-01-18 00:00:00,2018-01-19 09:00:04,1015.0,2019-11-20 06:22:51
5998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,-,-,-,-,-,-,140257,42864,1,2016-01-06 00:00:00,2018-01-16 12:35:04,1014.0,2019-11-20 06:22:51
5997,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,132463,24252,1,2017-12-12 00:00:00,2017-12-15 10:10:05,1013.0,2019-11-20 06:22:51
5996,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+/-,-,-,-,-,-,-,-,-,-,-,-,-,2672,942,1,2017-12-12 00:00:00,2017-12-15 08:20:05,1012.0,2019-11-20 06:22:51
5995,-,+,-,+,+/-,-,-,-,-,+,-,-,-,-,-,+,+,-,-,+,-,-,+/-,-,+,+/-,-,+/-,-,12506,9020,1,2017-12-14 00:00:00,2017-12-15 07:50:05,1011.0,2019-11-20 06:22:51
5994,-,-,+,+,-,+,+,-,-,+,+,+,+,-,-,-,+,-,-,+,-,-,-,-,+,-,-,+,-,139989,42597,1,2017-11-21 00:00:00,2017-12-06 08:15:03,1010.0,2019-11-20 06:22:51
