ID_kit_api_rID32A,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,cupule_21,cupule_22,cupule_23,cupule_24,cupule_25,cupule_26,cupule_27,cupule_28,cupule_29,ID_strains,ID_reference,manual_annotation,created_rID32A,modify_in_pgsql_rID32A,ID_tbl_api_rID32A,last_change
5643,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+/-,-,-,-,-,-,-,-,-,-,-,-,3056,6297,1,2007-11-14 00:00:00,2016-02-05 15:47:31,568.0,2019-11-20 06:22:51
5642,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3074,6296,1,2006-12-04 00:00:00,2016-02-05 15:47:31,567.0,2019-11-20 06:22:51
5641,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,+,+,-,+/-,+,-,+,-,+/-,3064,6186,1,2009-11-09 00:00:00,2016-02-05 15:47:31,566.0,2019-11-20 06:22:51
5640,-,+/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,+,-,-,-,-,-,-,-,3064,6186,1,2005-09-16 00:00:00,2016-02-05 15:47:31,565.0,2019-11-20 06:22:51
5639,-,+/-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,23017,18807,1,2015-02-23 00:00:00,2016-02-05 15:47:31,564.0,2019-11-20 06:22:51
5638,-,-,-,-,-,-,-,-,-,-,+/-,-,-,-,-,-,-,+,+,-,-,+/-,-,-,-,-,-,-,-,3043,6041,1,2014-03-13 00:00:00,2016-02-05 15:47:31,563.0,2019-11-20 06:22:51
5637,-,+/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+/-,+/-,+,-,+/-,-,+/-,+/-,-,-,3043,6041,1,2011-02-03 00:00:00,2016-02-05 15:47:31,562.0,2019-11-20 06:22:51
5636,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,+,-,-,+,-,-,-,-,-,-,-,3043,6041,1,2008-03-12 00:00:00,2016-02-05 15:47:31,561.0,2019-11-20 06:22:51
5635,+,-,-,-,-,-,-,-,+,-,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,146,6115,1,2011-02-16 00:00:00,2016-02-05 15:47:31,560.0,2019-11-20 06:22:51
5634,-,-,+,+,-,+,+/-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5442,6068,1,2014-11-18 00:00:00,2016-02-05 15:47:31,559.0,2019-11-20 06:22:51
5633,-,-,+,+,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5442,6068,1,2010-05-05 00:00:00,2016-02-05 15:47:31,558.0,2019-11-20 06:22:51
5632,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3055,6014,1,2012-08-03 00:00:00,2016-02-05 15:47:31,557.0,2019-11-20 06:22:51
5631,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+/-,+/-,+/-,+,-,+,+,+/-,+/-,-,+/-,3042,6012,1,2010-06-03 00:00:00,2016-02-05 15:47:31,556.0,2019-11-20 06:22:51
5630,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+/-,+,-,+,+,-,+,-,-,-,-,-,183,5918,1,2007-11-26 00:00:00,2016-02-05 15:47:31,555.0,2019-11-20 06:22:51
5629,-,-,+,+,-,+,+,+,-,+,+,+,-,-,+,-,-,+,+,+,+,+,+/-,+,+,+/-,-,-,+,178,5819,1,2015-11-13 00:00:00,2016-02-05 15:47:31,554.0,2019-11-20 06:22:51
5628,-,-,+,+,-,+,+,+/-,-,+,+,+,-,-,+/-,-,-,+/-,+/-,-,+,+,-,+,+/-,-,-,-,-,175,5803,1,2014-10-24 00:00:00,2016-02-05 15:47:31,553.0,2019-11-20 06:22:50
5627,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,+,+,-,+,+,-,+,+,-,-,-,+/-,174,5887,1,2014-10-24 00:00:00,2016-02-05 15:47:31,552.0,2019-11-20 06:22:50
5626,-,-,+/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6339,5469,1,2015-07-07 00:00:00,2016-02-05 15:47:31,551.0,2019-11-20 06:22:50
5625,-,-,+/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,6339,5469,1,2013-10-18 00:00:00,2016-02-05 15:47:31,550.0,2019-11-20 06:22:50
5624,-,-,+/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6339,5469,1,2008-08-17 00:00:00,2016-02-05 15:47:31,549.0,2019-11-20 06:22:50
5623,-,+/-,+,+,-,+,+,+,-,+/-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,6366,5410,1,2015-03-12 00:00:00,2016-02-05 15:47:31,548.0,2019-11-20 06:22:50
5622,-,-,+,+,-,+,+,+,-,+/-,-,-,-,-,-,-,-,+/-,-,-,-,-,-,-,-,-,-,-,-,6366,5410,1,2014-02-14 00:00:00,2016-02-05 15:47:31,547.0,2019-11-20 06:22:50
5621,-,-,+,+,-,+,+,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,6366,5410,1,2012-07-26 00:00:00,2016-02-05 15:47:31,546.0,2019-11-20 06:22:50
5620,-,-,+,+,-,+,+,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,6366,5410,1,2011-02-10 00:00:00,2016-02-05 15:47:31,545.0,2019-11-20 06:22:50
5619,-,-,+,+,-,+,+,+,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,+,+,-,-,6366,5410,1,2008-10-31 00:00:00,2016-02-05 15:47:31,544.0,2019-11-20 06:22:50
5618,-,-,+,+,-,+,+,+,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,6366,5410,1,2007-07-11 00:00:00,2016-02-05 15:47:31,543.0,2019-11-20 06:22:50
5617,+,-,+,+,-,+,+,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18074,5286,1,2014-04-17 00:00:00,2016-02-05 15:47:31,542.0,2019-11-20 06:22:50
5616,+,+,+,+,-,+,+,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18074,5286,1,2010-07-29 00:00:00,2016-02-05 15:47:31,541.0,2019-11-20 06:22:50
5615,-,-,-,+,-,+/-,+,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,6355,5171,1,2013-03-01 00:00:00,2016-02-05 15:47:31,540.0,2019-11-20 06:22:50
5614,-,-,-,+,-,+/-,+,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,6355,5171,1,2010-07-23 00:00:00,2016-02-05 15:47:31,539.0,2019-11-20 06:22:50
5613,-,-,-,+,-,-,+,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,6355,5171,1,2009-10-27 00:00:00,2016-02-05 15:47:31,538.0,2019-11-20 06:22:50
5612,-,-,-,+,-,+,+,-,-,-,+,+,-,-,+,-,+,+,+,-,-,+/-,-,-,-,+/-,-,-,-,12656,5046,1,2011-12-09 00:00:00,2016-02-05 15:47:31,537.0,2019-11-20 06:22:50
5611,-,-,-,-,+,+,-,-,-,-,+,-,-,-,-,-,-,+,-,-,+,+,-,+,+,+,+,-,+,6580,4998,1,2009-09-07 00:00:00,2016-02-05 15:47:31,536.0,2019-11-20 06:22:50
5610,-,+,-,-,-,-,-,-,-,+,+,-,-,-,-,-,+,+,-,-,-,+,-,-,-,+,+,-,-,3047,4990,1,2010-05-05 00:00:00,2016-02-05 15:47:31,535.0,2019-11-20 06:22:50
5609,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,+/-,+,-,-,-,+/-,-,-,-,+/-,+/-,-,-,3046,4989,1,2013-06-24 00:00:00,2016-02-05 15:47:31,534.0,2019-11-20 06:22:50
5608,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,+,+,-,-,-,+,-,-,-,+,+,-,-,3046,4989,1,2010-05-27 00:00:00,2016-02-05 15:47:31,533.0,2019-11-20 06:22:50
5607,-,-,-,+,-,+/-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,+,-,5373,4586,1,2014-11-13 00:00:00,2016-02-05 15:47:31,532.0,2019-11-20 06:22:50
5606,-,+,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,+,+,-,+/-,+/-,-,+,+/-,+/-,+,-,+,2275,4445,1,2009-08-10 00:00:00,2016-02-05 15:47:31,531.0,2019-11-20 06:22:50
5605,-,-,+,+,-,+,+,+,-,+/-,-,-,-,+/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18072,3960,1,2009-03-06 00:00:00,2016-02-05 15:47:31,530.0,2019-11-20 06:22:50
5604,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18073,3952,1,2013-12-03 00:00:00,2016-02-05 15:47:31,529.0,2019-11-20 06:22:50
5603,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18073,3952,1,2006-08-19 00:00:00,2016-02-05 15:47:31,528.0,2019-11-20 06:22:50
5602,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-,-,+/-,-,-,-,-,-,-,17974,3784,1,2015-10-26 00:00:00,2016-02-05 15:47:31,527.0,2019-11-20 06:22:50
5601,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+/-,-,-,+/-,-,-,17999,3780,1,2010-05-06 00:00:00,2016-02-05 15:47:31,526.0,2019-11-20 06:22:50
5600,-,-,+/-,+,-,+/-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,199,3774,1,2008-01-01 00:00:00,2016-02-05 15:47:31,525.0,2019-11-20 06:22:50
5599,-,-,+,+,-,-,-,-,-,+,+,-,-,+,-,-,-,-,+,-,-,-,+,-,-,-,-,-,-,219,3744,1,2006-02-03 00:00:00,2016-02-05 15:47:31,524.0,2019-11-20 06:22:50
5598,-,-,-,-,-,-,-,-,-,-,+/-,+/-,-,+,-,-,-,+,+,-,+/-,+/-,-,+,+,+,+,-,+,2274,3743,1,2007-01-19 00:00:00,2016-02-05 15:47:31,523.0,2019-11-20 06:22:50
5597,-,-,+,+,-,+,+,-,-,-,-,-,-,+,-,-,-,+,+,-,+,+,-,+,+/-,+/-,+/-,-,+/-,168,3502,1,2014-11-20 00:00:00,2016-02-05 15:47:31,522.0,2019-11-20 06:22:50
5596,-,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-,-,+/-,+,+/-,+,+/-,-,+,+/-,+/-,+/-,-,+/-,169,3501,1,2009-11-06 00:00:00,2016-02-05 15:47:31,521.0,2019-11-20 06:22:50
5595,-,-,-,-,-,+,-,-,-,+,-,-,-,+,-,-,-,+,+,-,-,-,-,-,+,+,-,-,+,214,3488,1,2005-12-13 00:00:00,2016-02-05 15:47:31,520.0,2019-11-20 06:22:50
5594,-,-,+,+,-,+,+,-,-,-,-,+,-,-,-,-,+,+,+,+,+,+,-,+/-,+,+,+/-,-,+,166,3308,1,2012-10-02 00:00:00,2016-02-05 15:47:31,519.0,2019-11-20 06:22:50
5593,-,-,+,+,-,+,-,-,-,-,-,+,-,-,+,-,-,+/-,+,+/-,+/-,+/-,-,-,+,+,-,-,+/-,167,3307,1,2007-11-19 00:00:00,2016-02-05 15:47:31,518.0,2019-11-20 06:22:50
5592,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-,-,-,+,-,-,-,-,+,-,-,17972,3162,1,2011-04-12 00:00:00,2016-02-05 15:47:31,517.0,2019-11-20 06:22:50
5591,+,-,-,+,+,-,-,-,-,-,+,-,-,-,-,-,-,+,-,+/-,-,+,+/-,-,+,+,+,-,+,17971,3161,1,2012-09-25 00:00:00,2016-02-05 15:47:31,516.0,2019-11-20 06:22:50
5590,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,17970,3159,1,2012-10-10 00:00:00,2016-02-05 15:47:31,515.0,2019-11-20 06:22:50
5589,-,+,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,3041,2980,1,2012-04-19 00:00:00,2016-02-05 15:47:31,514.0,2019-11-20 06:22:50
5588,-,-,-,+/-,-,+/-,-,-,-,-,-,+/-,-,-,-,-,-,+,+,+/-,+,+,-,+,+,+/-,+,-,+,162,2851,1,2011-06-17 00:00:00,2016-02-05 15:47:31,513.0,2019-11-20 06:22:50
5587,-,+,-,-,-,+/-,+,-,-,+,+,-,-,-,-,-,-,+,-,+/-,+,+,+,+,+,+,+,-,+,14683,2816,1,2015-09-21 00:00:00,2016-02-05 15:47:31,512.0,2019-11-20 06:22:50
5586,-,-,-,+,-,+,-,-,-,-,-,-,+,+,-,-,-,+,+,+/-,+,+,-,+,+/-,+/-,+,-,+/-,1757,1884,1,2014-08-19 00:00:00,2016-02-05 15:47:31,511.0,2019-11-20 06:22:50
5585,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,1757,1884,1,2014-08-18 00:00:00,2016-02-05 15:47:31,510.0,2019-11-20 06:22:50
5584,-,-,-,+,-,+,-,-,-,-,+,+/-,-,-,-,-,-,+,+,-,+,+,-,+,+/-,+/-,+,-,+,1757,1884,1,2011-04-13 00:00:00,2016-02-05 15:47:31,509.0,2019-11-20 06:22:50
5583,-,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,+,-,+,+,-,+,+/-,+/-,+,-,+/-,1757,1884,1,2009-12-14 00:00:00,2016-02-05 15:47:31,508.0,2019-11-20 06:22:50
5582,-,-,-,+,-,+,-,-,-,-,+/-,+/-,-,-,-,-,-,+,+,-,+,+,-,+,-,-,-,-,-,1757,1884,1,2008-01-29 00:00:00,2016-02-05 15:47:31,507.0,2019-11-20 06:22:50
5581,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12663,1870,1,2006-12-06 00:00:00,2016-02-05 15:47:31,506.0,2019-11-20 06:22:50
5580,-,-,-,+,-,+/-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,+,+,-,+,+/-,+,+,-,+,12643,1869,1,2015-06-08 00:00:00,2016-02-05 15:47:31,505.0,2019-11-20 06:22:50
5579,-,-,-,+,-,+/-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,+,+,-,+,+,+,+,-,+,12643,1869,1,2013-04-04 00:00:00,2016-02-05 15:47:31,504.0,2019-11-20 06:22:50
5578,-,-,-,+,-,+,-,-,-,-,+/-,-,-,-,-,-,-,+/-,+,-,+,+,-,+,-,-,+,-,+,12643,1869,1,2009-09-28 00:00:00,2016-02-05 15:47:31,503.0,2019-11-20 06:22:50
5577,-,-,-,+,-,+,-,-,-,-,+/-,-,-,-,-,-,-,+/-,+,-,+,+,-,+,-,+/-,+,-,+,12643,1869,1,2007-02-13 00:00:00,2016-02-05 15:47:31,502.0,2019-11-20 06:22:50
5576,-,-,-,+/-,-,+,+/-,+,-,+/-,+,-,-,-,-,-,-,-,+,+/-,-,-,-,-,+/-,+/-,-,-,+/-,12641,1868,1,2012-12-11 00:00:00,2016-02-05 15:47:31,501.0,2019-11-20 06:22:50
5575,-,-,+/-,+,-,+,+/-,+,-,-,+,+,-,-,-,-,+,+,+,-,-,+/-,-,-,+/-,+/-,-,-,-,12633,1867,1,2015-10-16 00:00:00,2016-02-05 15:47:31,500.0,2019-11-20 06:22:50
5574,-,-,+/-,+,-,+,+/-,+,-,-,+,+,-,-,-,-,+,+/-,+,-,-,+/-,-,+/-,+/-,+/-,+/-,-,+/-,12633,1867,1,2010-12-06 00:00:00,2016-02-05 15:47:31,499.0,2019-11-20 06:22:50
5573,-,-,+,+,-,+,+,+,-,-,+,+,-,+/-,-,-,+,+,+,-,-,+/-,-,+/-,+,+,-,-,-,12633,1867,1,2010-09-03 00:00:00,2016-02-05 15:47:31,498.0,2019-11-20 06:22:50
5572,-,-,+,+,-,+,+,+,-,-,+,+,-,+,-,-,+,+,+,,+/-,+/-,-,+/-,+/-,+/-,+/-,-,+/-,12633,1867,1,2008-08-04 00:00:00,2016-02-05 15:47:31,497.0,2019-11-20 06:22:50
5571,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5437,1563,1,2013-12-05 00:00:00,2016-02-05 15:47:31,496.0,2019-11-20 06:22:50
5570,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+/-,-,-,-,-,-,-,-,5437,1563,1,2006-10-24 00:00:00,2016-02-05 15:47:31,495.0,2019-11-20 06:22:50
5569,-,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6354,1562,1,2012-08-03 00:00:00,2016-02-05 15:47:31,494.0,2019-11-20 06:22:50
5568,-,+,-,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5424,1561,1,2013-03-04 00:00:00,2016-02-05 15:47:31,493.0,2019-11-20 06:22:50
5567,-,-,-,+/-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+/-,-,-,-,-,-,-,5417,1559,1,2011-01-18 00:00:00,2016-02-05 15:47:31,492.0,2019-11-20 06:22:50
5566,-,-,-,+,-,-,+/-,-,-,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,5417,1559,1,2005-12-07 00:00:00,2016-02-05 15:47:31,491.0,2019-11-20 06:22:50
5565,-,-,-,+,-,+/-,+/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5448,1558,1,2014-03-15 00:00:00,2016-02-05 15:47:31,490.0,2019-11-20 06:22:50
3710,-,-,-,+,,+,-,-,-,+,+,-,-,-,-,-,-,+,+,+,+,+,+,+,+,+,+,+,+,152878,57898,1,2019-11-19 10:18:46,2019-11-19 09:18:46,,2019-11-19 09:18:46
5564,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+/-,-,-,-,-,-,-,5423,1541,1,2011-11-03 00:00:00,2016-02-05 15:47:31,489.0,2019-11-20 06:22:50
5563,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5423,1541,1,2007-05-30 00:00:00,2016-02-05 15:47:31,488.0,2019-11-20 06:22:50
5562,-,+,-,+,-,+/-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,3044,1537,1,2013-02-21 00:00:00,2016-02-05 15:47:31,487.0,2019-11-20 06:22:50
5561,-,+,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,3044,1537,1,2008-10-28 00:00:00,2016-02-05 15:47:31,486.0,2019-11-20 06:22:50
5560,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,5420,1446,1,2009-08-25 00:00:00,2016-02-05 15:47:31,485.0,2019-11-20 06:22:50
3709,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,,,,147105,51228,1,2019-11-19 10:18:46,2019-11-19 09:18:46,,2019-11-19 09:18:46
5559,-,-,+,-,-,+,+/-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,5426,1420,1,2014-11-11 00:00:00,2016-02-05 15:47:31,484.0,2019-11-20 06:22:50
5558,-,-,+,+,-,+/-,+,+,-,+/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18069,1401,1,2012-05-11 00:00:00,2016-02-05 15:47:31,483.0,2019-11-20 06:22:50
5557,-,+,+,+,-,+,+,+,-,+/-,-,-,-,+/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18069,1401,1,2007-09-10 00:00:00,2016-02-05 15:47:31,482.0,2019-11-20 06:22:50
5556,-,-,-,+,-,-,+,-,+/-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,5425,1364,1,2014-12-05 00:00:00,2016-02-05 15:47:31,480.0,2019-11-20 06:22:50
5555,-,-,-,+,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5425,1364,1,2008-03-12 00:00:00,2016-02-05 15:47:31,479.0,2019-11-20 06:22:50
5554,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5428,1360,1,2014-04-10 00:00:00,2016-02-05 15:47:31,478.0,2019-11-20 06:22:50
5553,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5428,1360,1,2010-11-05 00:00:00,2016-02-05 15:47:31,477.0,2019-11-20 06:22:50
5552,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5428,1360,1,2007-07-27 00:00:00,2016-02-05 15:47:31,476.0,2019-11-20 06:22:50
5551,-,-,,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5428,1360,1,2004-09-21 00:00:00,2016-02-05 15:47:31,475.0,2019-11-20 06:22:50
5550,-,+/-,-,+,+,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,,-,-,-,5427,1356,1,2012-08-07 00:00:00,2016-02-05 15:47:31,474.0,2019-11-20 06:22:50
5549,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17988,1325,1,2011-07-11 00:00:00,2016-02-05 15:47:31,473.0,2019-11-20 06:22:50
5548,-,+/-,,-,-,+,-,-,+,-,+,-,-,-,-,-,-,+/-,-,-,-,-,-,+/-,-,-,+/-,-,-,17969,1259,1,2004-06-14 00:00:00,2016-02-05 15:47:31,472.0,2019-11-20 06:22:50
5547,-,-,+,+,-,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18068,1258,1,2012-07-10 00:00:00,2016-02-05 15:47:31,471.0,2019-11-20 06:22:50
5546,-,-,+,+,-,+,+,+,-,-,-,+/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18068,1258,1,2008-03-12 00:00:00,2016-02-05 15:47:31,470.0,2019-11-20 06:22:50
5545,-,-,+,+,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18068,1258,1,2004-07-08 00:00:00,2016-02-05 15:47:31,469.0,2019-11-20 06:22:50
5544,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,11843,1257,1,2014-04-10 00:00:00,2016-02-05 15:47:31,468.0,2019-11-20 06:22:50
5543,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,11843,1257,1,2010-06-18 00:00:00,2016-02-05 15:47:31,467.0,2019-11-20 06:22:50
5542,-,+,-,+/-,-,-,-,-,-,+,+,-,-,-,+,+,-,-,+,-,-,-,-,-,+,+,-,-,+,12636,919,1,2015-02-12 00:00:00,2016-02-05 15:47:31,466.0,2019-11-20 06:22:50
5541,-,+,-,+,-,-,-,-,-,+,+,-,-,-,-,+,-,+/-,+,-,-,-,-,-,+,+,-,-,+,12636,919,1,2013-08-16 00:00:00,2016-02-05 15:47:31,465.0,2019-11-20 06:22:50
5540,-,-,-,+,-,-,-,-,-,+/-,+,-,-,-,+,+,-,-,+,-,-,-,-,-,+,+,-,-,+,12636,919,1,2011-03-11 00:00:00,2016-02-05 15:47:31,464.0,2019-11-20 06:22:50
5539,-,+,-,+,-,-,-,-,-,+,+,-,-,-,+,+,-,+,+,-,-,-,-,-,+,+,-,-,+,12636,919,1,2010-04-14 00:00:00,2016-02-05 15:47:31,463.0,2019-11-20 06:22:50
5538,-,+,-,+,-,-,-,-,-,+,+,-,-,-,+/-,+,-,-,+,-,-,-,-,-,+,+,-,-,+,12636,919,1,2009-05-29 00:00:00,2016-02-05 15:47:31,462.0,2019-11-20 06:22:50
5537,-,+,-,+,-,-,-,-,-,+/-,+,-,-,-,+,+,-,+/-,+,-,-,-,-,-,+,+,-,-,+,12636,919,1,2005-09-27 00:00:00,2016-02-05 15:47:31,461.0,2019-11-20 06:22:50
5536,-,-,-,-,-,-,-,-,-,+/-,-,-,-,-,-,-,-,+,-,-,-,+/-,-,+/-,+,+/-,-,-,-,16635,643,1,2013-12-02 00:00:00,2016-02-05 15:47:31,460.0,2019-11-20 06:22:50
5535,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,+,+,+,-,+,+,+,-,+,-,132553,24342,1,2016-01-26 00:00:00,2016-01-25 23:00:00,458.0,2019-11-20 06:22:50
5534,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,132554,24343,1,2016-01-26 00:00:00,2016-01-25 23:00:00,457.0,2019-11-20 06:22:50
5533,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,+,+,+,+,+,+,+,-,+,-,18066,8839,1,2016-01-26 00:00:00,2016-01-25 23:00:00,455.0,2019-11-20 06:22:50
5532,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17827,5221,1,2016-01-18 00:00:00,2016-01-17 23:00:00,454.0,2019-11-20 06:22:50
5531,-,-,-,+,-,+,-,-,-,+,+,-,+,+,-,+,+,-,-,+,-,-,-,-,+,+/-,-,+/-,-,130976,22268,1,2013-02-26 00:00:00,2016-01-18 08:02:53,453.0,2019-11-20 06:22:50
5530,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,+,+/-,+,+,-,+,+,+,+/-,+,158332,65008,1,2012-10-11 00:00:00,2016-01-18 08:02:53,451.0,2019-11-20 06:22:50
5529,-,-,+,+,-,+,+,+,-,+,+,+,+,+/-,-,+/-,+,-,-,+,-,-,-,-,+,-,-,+,-,130975,22267,1,2012-09-04 00:00:00,2016-01-18 08:02:53,447.0,2019-11-20 06:22:50
5528,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,158152,64738,1,2009-06-03 00:00:00,2016-01-18 08:02:53,439.0,2019-11-20 06:22:50
5527,-,-,-,-,-,+,-,-,-,-,-,-,-,+/-,,-,-,-,+,-,-,-,-,-,-,-,-,-,-,131529,22756,1,2015-01-16 00:00:00,2016-01-18 08:02:53,437.0,2019-11-20 06:22:50
