ID_enzymes,enzyme,activity,ec_number,exoenzyme,production,ID_strains,ID_reference,manual_annotation,last_change
76,beta-glucosidase,-,3.2.1.21,,,790,22903,1,2016-05-19 11:19:30
77,cystine arylamidase,-,3.4.11.3,,,790,22903,1,2016-05-19 11:19:30
78,gelatinase,-,,,,790,22903,1,2016-05-19 11:19:30
79,N-acetyl-beta-glucosaminidase,-,3.2.1.52,,,790,22903,1,2016-05-19 11:19:30
80,trypsin,-,3.4.21.4,,,790,22903,1,2016-05-19 11:19:30
81,valine arylamidase,-,,,,790,22903,1,2016-05-19 11:19:30
82,gelatinase,+,,,,790,22904,1,2016-05-19 11:19:30
83,lysine decarboxylase,-,4.1.1.18,,,374,22905,1,2016-05-19 11:19:30
84,urease,-,3.5.1.5,,,374,22905,1,2016-05-19 11:19:30
85,acid phosphatase,-,3.1.3.2,,,374,22906,1,2016-05-19 11:19:30
86,alkaline phosphatase,-,3.1.3.1,,,374,22906,1,2016-05-19 11:19:30
87,alpha-galactosidase,-,3.2.1.22,,,374,22906,1,2016-05-19 11:19:30
88,arginine dihydrolase,+,3.5.3.6,,,374,22906,1,2016-05-19 11:19:30
89,cystine arylamidase,-,3.4.11.3,,,374,22906,1,2016-05-19 11:19:30
90,esterase Lipase (C 8),+/-,,,,374,22906,1,2016-05-19 11:19:30
91,leucine arylamidase,+/-,3.4.11.1,,,374,22906,1,2016-05-19 11:19:30
92,naphthol-AS-BI-phosphohydrolase,+/-,,,,374,22906,1,2016-05-19 11:19:30
93,acid phosphatase,-,3.1.3.2,,,2626,22908,1,2016-05-19 11:19:30
94,alkaline phosphatase,-,3.1.3.1,,,2626,22908,1,2016-05-19 11:19:30
95,alpha-galactosidase,-,3.2.1.22,,,2626,22908,1,2016-05-19 11:19:30
96,beta-galactosidase,-,3.2.1.23,,,2626,22908,1,2016-05-19 11:19:30
97,beta-glucosidase,-,3.2.1.21,,,2626,22908,1,2016-05-19 11:19:30
98,glutamate decarboxylase,-,4.1.1.15,,,2626,22908,1,2016-05-19 11:19:30
99,acid phosphatase,-,3.1.3.2,,,3166,22911,1,2016-05-19 11:19:30
100,alkaline phosphatase,-,3.1.3.1,,,3166,22911,1,2016-05-19 11:19:30
101,cystine arylamidase,-,3.4.11.3,,,3166,22911,1,2016-05-19 11:19:30
