ID_kit_api_20STR,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,cupule_21,ID_strains,ID_reference,manual_annotation,created_20STR,modify_in_pgsql_20STR,ID_tbl_api_20STR,last_change
526,+,+,+,+,+/-,-,+,-,-,+,+,+,+,+/-,+,+,-,-,+/-,-,,5303,18027,1,2011-12-07 00:00:00,2016-01-18 08:02:53,43.0,2019-11-20 06:22:46
525,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,10513,17651,1,2010-12-21 00:00:00,2016-01-18 08:02:53,42.0,2019-11-20 06:22:46
524,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+/-,-,-,-,-,-,,11745,17548,1,2011-01-06 00:00:00,2016-01-18 08:02:53,41.0,2019-11-20 06:22:46
523,+,-,+,-,-,-,+,-,-,-,+,-,+,-,-,+,-,-,-,-,,5356,17315,1,2010-10-13 00:00:00,2016-01-18 08:02:53,40.0,2019-11-20 06:22:46
522,+,-,+,-,-,-,+,-,-,-,+/-,+,+/-,-,-,+/-,-,-,-,-,,5355,17314,1,2010-10-13 00:00:00,2016-01-18 08:02:53,39.0,2019-11-20 06:22:46
521,+,-,+,-,-,-,+,-,-,-,+,-,+,-,+/-,+,-,-,-,-,,5354,17313,1,2010-10-13 00:00:00,2016-01-18 08:02:53,38.0,2019-11-20 06:22:46
520,+,-,+,-,-,-,+,-,-,-,+,-,+,-,-,+,-,-,-,-,,5353,17312,1,2010-10-13 00:00:00,2016-01-18 08:02:53,37.0,2019-11-20 06:22:46
519,-,-,+,-,+,-,+,-,+,-,-,+,-,-,+,+,-,+,+,+,+,14845,17306,1,2010-07-20 00:00:00,2016-01-18 08:02:53,36.0,2019-11-20 06:22:46
518,+,+,+,+,-,-,+,-,+,+,+,+,+,-,+,+,-,-,+,-,-,5362,17327,1,2010-06-08 00:00:00,2016-01-18 08:02:53,35.0,2019-11-20 06:22:46
517,+,-,+,-,-,+,-,+,+,+,+,-,-,-,-,+,-,-,+,+/-,+,14801,16731,1,2009-12-11 00:00:00,2016-01-18 08:02:53,34.0,2019-11-20 06:22:46
516,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,+,23298,19213,1,2009-02-10 00:00:00,2016-01-18 08:02:53,33.0,2019-11-20 06:22:46
515,-,+,-,+/-,+/-,-,+,+,+,+,+,-,-,-,+,-,-,-,+,-,+,14720,9025,1,2010-04-13 00:00:00,2016-01-18 08:02:53,32.0,2019-11-20 06:22:46
514,-,-,-,-,-,+,-,+,+,+,+,-,-,-,+,+,-,-,+,-,-,14799,8882,1,2013-02-20 00:00:00,2016-01-18 08:02:53,31.0,2019-11-20 06:22:46
513,+,+,+,+,+,-,+,-,+,+,+,+,+,-,+,+,+,+,+,-,-,5310,8976,1,2010-07-20 00:00:00,2016-01-18 08:02:53,30.0,2019-11-20 06:22:46
512,+,-,-,-,-,-,+,-,+,-,-,-,-,-,+,-,-,-,-,-,,14786,8965,1,2013-07-03 00:00:00,2016-01-18 08:02:53,29.0,2019-11-20 06:22:46
511,+,-,-,-,-,-,+,-,+,-,-,-,-,-,+,-,-,-,-,-,,14786,8965,1,2011-01-25 00:00:00,2016-01-18 08:02:53,28.0,2019-11-20 06:22:46
510,+,-,-,-,-,-,-,+,+,+/-,-,-,-,-,-,+/-,-,-,-,-,,14722,8925,1,2010-09-14 00:00:00,2016-01-18 08:02:53,27.0,2019-11-20 06:22:46
509,+,-,+,-,-,-,-,+,+,+,-,-,-,-,+,+,-,-,+,-,,14732,8923,1,2010-04-13 00:00:00,2016-01-18 08:02:53,26.0,2019-11-20 06:22:46
508,+,+,+,+,-,+,-,+,+,+,+,-,+,+,+,+,+,-,-,-,,14787,8919,1,2014-11-13 00:00:00,2016-01-18 08:02:53,25.0,2019-11-20 06:22:46
507,+,+,+,+,-,-,-,+,+,+,+,-,+,+,+,+,+,-,-,-,,14787,8919,1,2012-09-11 00:00:00,2016-01-18 08:02:53,24.0,2019-11-20 06:22:46
506,+,+,+,+,-,+,-,+,+,+,+,-,+,+,+,+,+,-,-,-,-,14787,8919,1,2013-09-18 00:00:00,2016-01-18 08:02:53,23.0,2019-11-20 06:22:46
505,-,-,-,-,-,-,+,-,+,-,-,-,-,-,+,-,-,+,-,-,-,14785,8848,1,2010-05-27 00:00:00,2016-01-18 08:02:53,22.0,2019-11-20 06:22:46
504,+,-,-,-,-,-,+,-,+,-,-,-,-,-,+,-,-,-,-,-,,14784,8668,1,2013-10-22 00:00:00,2016-01-18 08:02:53,21.0,2019-11-20 06:22:46
503,+,-,-,-,-,-,+,-,+,-,-,-,-,-,+,-,-,-,-,-,,14784,8668,1,2010-09-30 00:00:00,2016-01-18 08:02:53,20.0,2019-11-20 06:22:46
502,-,-,+,-,-,-,-,-,+,-,-,-,-,-,+,+,-,+,+/-,-,-,14766,8498,1,2010-08-03 00:00:00,2016-01-18 08:02:53,19.0,2019-11-20 06:22:46
501,-,-,+,-,+/-,-,-,-,+,-,-,-,-,-,+,+,-,+/-,+/-,-,,14766,8498,1,2014-07-23 00:00:00,2016-01-18 08:02:53,18.0,2019-11-20 06:22:46
500,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,,1890,15442,1,2007-12-18 00:00:00,2016-01-18 08:02:53,17.0,2019-11-20 06:22:46
499,-,-,+,-,+,-,+,-,+,-,-,-,+,-,+,+,+,-,+,+,,14842,7827,1,2007-02-15 00:00:00,2016-01-18 08:02:53,16.0,2019-11-20 06:22:46
498,+,-,+,-,-,-,-,-,+,-,-,-,-,-,-,+,-,+,+,+,,14840,15411,1,2007-02-15 00:00:00,2016-01-18 08:02:53,15.0,2019-11-20 06:22:46
497,-,-,+/-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,,14831,7651,1,2014-03-19 00:00:00,2016-01-18 08:02:53,14.0,2019-11-20 06:22:46
496,+,-,-,-,-,-,+,+,+,-,-,-,-,-,+,-,-,-,+,-,-,14831,7651,1,2006-11-03 00:00:00,2016-01-18 08:02:53,13.0,2019-11-20 06:22:46
495,+,+,-,+,-,-,+,-,+,+,-,-,-,-,+,-,-,-,-,-,-,14835,7627,1,2006-11-03 00:00:00,2016-01-18 08:02:53,12.0,2019-11-20 06:22:46
494,-,-,+,+,+,-,+,-,+,-,-,+,-,-,+,+,+,+,+,-,,5346,7131,1,2014-10-23 00:00:00,2016-01-18 08:02:53,11.0,2019-11-20 06:22:46
493,-,-,+,-,-,-,+,-,+,-,-,-,-,-,+,+,-,-,+,+,-,14809,5359,1,2010-04-13 00:00:00,2016-01-18 08:02:53,10.0,2019-11-20 06:22:46
492,-,-,-,-,+,-,-,-,+,-,+,-,-,-,+,-,-,+,+,-,,14734,4776,1,2014-06-18 00:00:00,2016-01-18 08:02:53,9.0,2019-11-20 06:22:46
491,-,-,+,-,-,-,-,-,+,-,+,-,-,-,+,-,-,+,+,-,,14734,4776,1,2012-10-23 00:00:00,2016-01-18 08:02:53,8.0,2019-11-20 06:22:46
490,-,-,-,-,-,-,-,-,+,-,+,-,-,-,+,-,-,+,+,-,,14734,4776,1,2006-12-13 00:00:00,2016-01-18 08:02:53,7.0,2019-11-20 06:22:46
489,+,-,+,-,+,-,-,-,+,-,-,-,+,+,+,+,+,+,-,-,-,14735,2510,1,2009-05-14 00:00:00,2016-01-18 08:02:53,5.0,2019-11-20 06:22:46
488,-,-,-,-,-,+,-,+,+,+,-,-,-,-,-,+,-,-,-,-,+,14800,2460,1,2007-02-28 00:00:00,2016-01-18 08:02:53,4.0,2019-11-20 06:22:46
487,-,-,-,-,-,+,-,+,+,+,-,-,-,-,-,+,-,-,+/-,-,+,14800,2460,1,2007-12-11 00:00:00,2016-01-18 08:02:53,3.0,2019-11-20 06:22:46
486,-,-,-,-,-,+/-,-,+,+,-,+,-,-,-,-,+,-,-,+,-,+,14800,2460,1,2007-12-11 00:00:00,2016-01-18 08:02:53,2.0,2019-11-20 06:22:46
485,+,+,+,+,-,-,-,-,+,+,+,-,+,+,+/-,+,-,-,+,-,,5279,1124,1,2012-07-18 00:00:00,2016-01-18 08:02:53,1.0,2019-11-20 06:22:46
213,-,-,-,-,-,+,-,+,+,+,+,-,-,-,+,+,-,-,+,-,-,142324,45590,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
214,-,-,+,-,+,+,-,-,+,-,-,-,-,-,+,+,+,-,+,+,-,142331,45597,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
215,+,+,+,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,+,131740,65601,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
216,+,-,+,-,+,+,+,-,+,-,-,-,-,-,+,+,-,+,-,-,-,143472,47007,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
217,+,-,-,+,+,+,-,+,+,+,-,-,-,-,+,-,-,+,-,-,+,143692,47257,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
218,-,+,-,+,-,-,-,-,-,-,-,-,+,-,+,+,-,-,+,-,+,141213,44138,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
219,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,143930,47518,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
220,+,-,+,-,-,-,-,+,+,+,-,-,-,-,+,+,-,-,-,-,-,136369,65629,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
221,-,-,+,-,-,+,-,+,+,+,-,-,-,-,-,-,-,-,+,+,+,144099,47708,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
222,+,-,-,+,-,-,-,+,+,+,-,-,-,-,-,+,-,-,-,-,+,144133,47742,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
223,-,-,-,+,-,-,+,-,-,-,+,-,-,-,-,+,-,-,-,-,+,144175,47790,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
224,-,-,-,-,+,-,-,+,+,-,-,-,-,-,+,+,-,+,+,-,-,144224,47848,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
225,-,-,-,-,-,+,-,+,+,+,+,-,-,-,-,+,-,-,+,-,+,144264,47911,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
226,-,-,-,-,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,+,138268,47913,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
227,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,144313,47967,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
228,+,-,+,-,-,-,+,-,+,-,-,-,-,-,+,-,-,-,+,-,+,135476,48004,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
229,+,-,+,-,-,-,+,-,+,-,-,-,-,-,+,+,-,-,-,-,+,144344,48007,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
230,-,-,-,-,-,-,-,-,+,+,-,-,-,-,+,+,-,-,-,-,-,144541,48222,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
231,-,-,-,-,+,-,-,-,+,+,-,-,-,+,+,+,+,+,+,-,-,144542,48223,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
232,-,-,-,-,-,-,-,-,+,+,-,-,-,-,+,+,-,-,-,-,-,144543,48224,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
233,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,144572,48256,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
234,-,-,-,-,-,-,+,+,+,-,-,-,-,-,+,-,-,-,-,-,-,144584,48269,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
235,+,-,+,+,-,-,-,-,-,+,+,-,-,-,-,+,-,-,+,-,-,144593,48278,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
236,+,-,-,-,-,-,-,+,+,+,-,-,-,-,+,+,-,-,-,-,-,144594,48279,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
237,-,-,-,-,-,-,+,+,+,-,-,-,-,-,+,-,-,-,-,-,-,144595,48280,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
238,+,-,+,-,-,-,+,-,+,-,-,-,-,-,+,+,+,+,-,-,-,144606,48293,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
239,+,-,+,-,+,-,-,-,+,-,-,-,+,+,+,+,+,+,-,-,-,144615,48309,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
240,+,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,144643,48345,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
241,-,-,-,-,-,+,-,+,+,+,+,-,-,-,+,+,-,-,+,+,,144673,48375,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
242,-,-,-,+,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,144688,48393,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
243,+,-,-,-,+,-,+,-,+,+,+,-,-,-,-,-,-,-,-,-,-,144710,48422,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
244,+,-,-,-,-,-,-,+,+,+,-,-,-,-,+,+,-,-,-,-,,144796,48514,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
245,-,-,+,-,+,-,-,-,-,-,+,-,+,-,-,+,-,+,+,-,-,144846,48568,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
246,-,-,-,+,-,-,-,-,+,-,+,-,-,-,-,-,-,-,+,-,-,144875,48604,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
247,-,-,-,-,-,+,-,+,+,+,+,-,-,-,-,-,-,-,+,+,+,145000,48752,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
248,-,-,-,-,-,+,-,+,+,+,+,-,-,-,+,+,-,-,+,-,+,145030,48790,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
249,-,-,-,+,-,+,-,+,+,+,+,-,-,-,-,+,-,-,+,-,+,145034,48794,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
250,-,-,+,-,+,-,+,+,+,+,+,-,-,-,-,+,-,-,+,-,+,145039,48801,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
251,-,+,+,-,-,-,-,+,+,+,-,-,-,-,+,+,-,-,+,-,-,145047,48809,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
252,+,+,+,+,-,+,+,+,+,+,+,-,+,+,+,+,+,-,+,+,-,145088,48856,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
253,-,-,-,+,-,+,-,+,+,+,+,-,-,-,+,+,-,-,+,+,+,145099,48875,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
254,-,-,-,-,-,+,-,+,+,+,+,-,-,-,+,+,-,-,+,+,+,145104,48882,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
255,-,-,-,-,-,-,-,+,+,-,-,-,-,-,+,+,-,-,+,-,+,145113,48891,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
256,-,-,-,-,-,-,-,+,+,-,+,-,-,-,+,-,-,+,+,-,+,145139,48920,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
257,-,-,+,-,+,-,-,+,+,-,-,-,-,+,+,-,-,+,-,-,+,145141,48922,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
258,+,-,-,-,-,-,-,+,+,-,-,-,-,-,-,+,+,-,-,-,-,145147,48928,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
259,+,-,-,-,-,-,-,+,+,-,-,-,-,-,+,+,-,-,-,-,-,145148,48929,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
260,-,-,-,-,-,+,-,+,+,+,+,-,-,-,-,+,-,-,+,+,+,145296,49106,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
261,-,-,-,-,-,+,-,+,+,+,+,-,-,-,+,+,-,-,+,+,+,145297,49107,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
262,+,+,+,+,-,-,+,+,+,+,+,-,+,+,+,+,-,-,+,-,,145308,49118,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
263,+,-,-,-,-,-,-,+,+,+,-,-,-,-,+,+,-,-,+,-,-,138149,49145,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
264,+,+,+,-,-,-,-,-,+,-,+,+,-,-,-,-,-,-,-,-,,145336,49151,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
265,+,+,-,-,-,+,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,145441,49273,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
266,+,-,+,+,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,145444,49276,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
267,-,+,-,+,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,,145468,49305,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
268,+,-,+,+,-,-,-,-,+,+,+,-,-,-,+,+,-,-,+,-,-,145494,49332,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
269,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,,135481,49352,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
270,+,-,+,-,+,-,-,-,+,-,-,-,+,+,+,+,-,+,-,-,,145519,49358,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
271,+,+,-,-,+,+,-,+,+,+,+,-,-,-,-,-,-,-,+,-,+,145713,49592,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
272,+,+,-,-,-,+,-,-,+,-,+,-,+,+,-,-,-,-,-,-,+,145776,49660,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
273,-,+,-,-,-,+,-,-,+,-,-,-,+,+,-,-,-,-,-,-,-,145777,49661,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
274,-,-,-,+,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,145800,49685,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
275,+,-,+,-,+,-,+,+,+,-,-,-,-,+,+,+,-,+,-,-,,146026,49958,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
276,+,+,+,+,-,-,+,-,+,-,-,-,-,-,-,+,-,-,-,-,+,146035,49968,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
277,-,-,+,-,-,-,-,-,+,+,-,-,-,-,+,-,-,-,-,-,+,146128,50068,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
278,-,-,+,-,-,-,-,+,+,-,-,-,-,-,+,-,-,+,-,-,+,146131,50071,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
279,+,-,-,-,-,-,+,+,+,-,-,-,-,-,+,+,-,-,-,-,+,146136,50076,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
280,+,-,+,-,-,-,+,-,+,+,-,+,-,-,-,+,-,-,-,-,-,146202,50167,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
281,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,,146219,50188,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
282,+,+,-,-,-,+,-,+,+,+,+,-,-,-,-,+,-,-,-,-,+,146220,50189,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
283,-,-,+,+,-,-,+,-,+,+,-,-,-,-,+,+,+,+,+,-,+,146287,50284,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
284,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,146329,50329,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
285,+,+,+,+,-,-,-,+,+,-,-,-,+,-,+,+,+,-,-,-,+,137568,50460,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
286,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-,+,+,-,+,146543,50575,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
287,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,146572,50610,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
288,-,-,+,-,-,-,-,-,+,+,-,-,-,-,+,+,-,+,+,-,+,141568,44620,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
289,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,-,-,-,+,-,-,146590,50631,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
290,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-,+,+,-,+,146600,50641,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
291,+,+,-,+,-,-,-,-,+,-,-,-,+,+,-,+,-,-,-,-,-,138272,50753,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
292,-,-,-,-,-,-,-,+,+,-,-,-,-,-,+,+,-,-,-,-,-,146801,50858,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
293,-,-,-,-,-,-,-,+,+,-,-,-,-,-,+,-,-,-,+,-,+,146856,50942,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
294,-,-,-,-,-,+,-,+,+,+,+,-,-,-,-,+,-,-,+,-,+,146885,50976,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
295,-,+,+,-,-,-,-,-,+,-,+,-,+,+,-,-,-,-,-,-,-,146942,51040,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
296,+,-,+,-,+,-,+,+,+,-,-,-,-,-,+,-,-,+,+,-,-,147109,51234,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
297,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,147218,51366,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
298,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,135484,51405,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
299,-,-,+,-,-,-,-,+,+,+,-,-,-,-,-,+,-,-,-,-,+,147340,51498,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
300,+,-,-,-,-,-,+,+,+,-,-,-,-,-,+,+,-,-,-,-,-,147411,51581,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
301,+,-,+,-,-,-,+,+,+,-,-,-,-,-,+,+,+,+,+,-,+,136105,51729,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
302,+,+,+,+,+,-,+,-,+,+,+,+,+,-,+,+,-,-,+,-,-,147578,51766,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
303,-,-,+,-,+,-,-,+,+,+,-,-,-,+,+,-,-,+,-,-,-,147996,52226,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
304,+,-,+,-,-,-,-,-,+,-,-,-,+,-,+,+,+,+,+,+,,148112,52357,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
305,+,-,+,-,-,-,-,-,+,-,-,+,-,-,+,-,+,+,+,+,-,148113,52358,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
306,-,-,-,-,-,-,-,+,+,-,-,-,-,-,+,+,-,-,+,-,+,148166,52414,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
307,-,-,-,+,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,+,148252,52519,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
308,+,-,+,+,-,-,+,-,+,+,+,+,+,-,+,+,-,-,+,-,-,5297,52567,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
309,+,+,+,+,-,-,+,-,+,+,+,+,+,-,+,+,-,-,+,-,,5297,52567,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
310,+,-,+,-,+,-,-,-,+,-,-,-,+,+,+,+,+,+,-,-,-,14735,52570,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
311,-,-,-,-,-,-,-,+,+,-,-,-,-,-,+,+,-,+,+,-,+,148330,52613,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
312,+,+,+,-,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-,-,148331,52616,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
313,-,-,+,-,+,-,-,+,+,+,-,-,-,-,+,+,-,+,-,-,+,148357,52643,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
314,-,-,-,-,-,-,-,+,+,-,-,-,-,-,+,-,-,-,+,-,+,148358,52644,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
315,-,-,+,-,+,-,+,+,+,-,-,-,-,-,-,+,+,+,-,-,-,148443,52739,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
316,-,-,-,-,-,-,-,+,+,-,-,-,-,-,+,-,-,-,+,-,-,148465,52765,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
317,+,-,+,-,+,-,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,148546,52866,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
318,+,-,-,-,+,-,-,-,+,-,-,-,-,-,+,-,-,+,+,-,+,148567,52887,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
