ID_kit_api_20STR,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,cupule_21,ID_strains,ID_reference,manual_annotation,created_20STR,modify_in_pgsql_20STR,ID_tbl_api_20STR,last_change
391,+,+,-,-,-,+,-,+,+,+,+,-,-,-,-,+,-,-,+,-,-,152650,57621,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
392,+,-,-,-,+,-,-,-,+,-,-,-,-,-,+,-,-,+,-,-,-,152752,57746,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
393,+,-,+,+,+,-,+,-,+,+,+,+,+,-,+,+,-,+,+,-,+,152783,57782,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
394,+,-,+,+,-,-,+,-,+,+,+,-,+,-,+,+,-,-,+,-,-,152790,57789,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
395,-,-,-,-,-,-,+,+,+,-,-,-,-,-,+,-,-,+,-,-,+,152841,57857,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
396,-,-,+,+,-,+,-,+,+,+,+,-,+,-,-,+,-,-,+,+,+,152843,57860,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
397,+,+,+,+,-,-,-,-,+,+,+,-,+,+,+,+,-,-,+,-,-,152849,57866,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
398,+,+,+,+,-,-,-,-,+,+,+,-,+,+,+,+,-,-,+,-,-,152850,57867,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
399,+,+,+,+,-,-,+,-,+,+,+,-,+,+,+,+,-,-,+,-,-,152851,57868,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
400,+,+,+,+,+,-,+,-,+,+,+,+,+,-,+,+,-,-,-,-,-,152852,57869,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
401,+,-,-,-,-,-,+,-,+,-,-,-,-,-,-,+,-,-,-,-,-,152869,57888,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
402,+,-,-,-,+,-,+,-,+,-,-,-,+,+,-,+,-,-,-,-,+,152870,57889,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
403,+,-,+,-,-,+,+,-,+,-,-,-,-,-,+,+,-,+,-,-,-,152871,57890,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
404,+,-,+,+,-,-,-,-,+,-,-,-,-,-,+,-,-,-,+,-,-,152879,57902,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
405,+,+,+,+,+,-,+,-,+,+,+,+,+,+,+,+,-,+,+,-,+,152885,57908,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
406,-,+,+,+,+,-,+,+,+,+,-,-,-,-,+,+,-,+,+,-,-,2250,58055,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
407,+,-,-,-,-,-,-,+,+,-,-,-,-,-,+,-,-,-,+,+,-,153101,58190,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
408,-,+,-,+,-,+,-,+,+,-,-,-,-,-,+,+,-,-,-,-,+,153167,58260,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
409,+,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,153244,58369,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
410,-,-,-,-,-,-,-,+,+,-,-,-,-,-,+,-,-,-,-,-,-,153258,58395,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
411,+,+,+,+,+,-,+,-,+,+,+,+,+,-,+,+,-,+,+,-,+,153335,58486,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
412,-,-,-,+,-,+,-,+,+,+,-,-,-,-,+,+,-,-,+,+,+,153336,58487,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
413,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,153348,58501,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
414,-,+,-,-,-,+,-,+,+,+,+,-,-,+,+,-,-,-,+,+,+,153349,58502,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
415,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,+,153369,58526,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
416,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,+,-,-,-,-,-,153414,58587,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
417,-,-,-,-,-,-,-,+,+,-,-,-,-,-,+,-,-,-,+,-,+,153473,58668,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
418,-,-,-,-,-,-,-,+,+,-,-,-,-,-,+,-,-,-,-,-,+,153534,58741,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
419,-,-,-,-,-,-,-,+,+,-,-,-,-,-,+,-,+,-,-,-,+,153756,59028,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
420,-,-,-,-,-,-,-,+,+,-,-,-,-,-,+,+,-,-,+,-,-,153757,59029,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
421,-,-,-,-,-,-,-,+,+,-,-,-,-,-,+,-,-,-,-,-,+,153774,59054,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
422,+,+,+,+,-,-,-,-,+,-,+,+,+,+,+,+,-,+,-,-,+,153901,59249,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
423,+,+,+,+,-,-,+,+,+,-,-,-,+,-,+,+,-,-,-,-,+,153922,59272,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
424,+,-,+,+,-,-,+,-,+,+,+,-,-,-,+,+,-,-,+,-,-,153938,59288,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
425,-,-,-,-,+,-,-,+,+,+,-,-,-,-,+,+,-,+,+,-,-,154062,59459,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
426,-,-,-,-,-,-,-,+,+,-,-,-,-,+,+,+,-,+,+,-,-,154097,59521,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
427,-,+,+,-,+,-,+,-,+,-,-,+,-,-,+,-,-,+,+,-,-,154127,59565,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
428,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,154280,59747,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
429,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,154281,59748,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
430,-,+,+,-,+,+,+,+,+,-,-,-,-,-,+,+,-,+,+,-,-,154287,59757,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
431,-,+,-,+,-,-,-,-,-,-,-,+,+,-,-,+,-,-,-,-,+,154317,59790,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
432,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,154339,59816,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
433,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,154340,59817,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
434,-,+,-,+,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,154487,60020,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
435,+,-,+,+,-,-,+,-,+,+,+,+,+,-,+,+,-,+,+,-,-,154499,60080,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
