ID_nutrition_type,nutrition_type,ID_strains,ID_reference,manual_annotation,last_change
1119,chemoorganoheterotroph,1402,23027,1,2017-01-20 09:59:21
1120,chemoorganotroph,1403,23029,1,2017-01-20 09:59:21
1121,chemoorganotroph,1419,23042,1,2017-01-20 09:59:21
1122,chemoorganotroph,1437,23044,1,2017-01-20 09:59:21
1123,chemoorganotroph,1438,23042,1,2017-01-20 09:59:21
1124,chemoorganotroph,1446,23044,1,2017-01-20 09:59:21
1125,chemoorganotroph,1450,23036,1,2017-01-20 09:59:21
1126,chemoorganotroph,1452,23042,1,2017-01-20 09:59:21
1127,chemoorganotroph,1459,23041,1,2017-01-20 09:59:21
1128,chemoorganotroph,1460,23041,1,2017-01-20 09:59:21
1129,heterotroph,1485,23053,1,2017-01-20 09:59:21
1130,chemoorganotroph,1653,23363,1,2017-01-20 09:59:21
1131,chemoorganotroph,1773,23157,1,2017-01-20 09:59:21
1132,chemolithoheterotroph,1786,23322,1,2017-01-20 09:59:21
1133,photoheterotroph,1801,23326,1,2017-01-20 09:59:21
1134,photoautotroph,1801,23326,1,2017-01-20 09:59:21
1135,chemoorganotroph,1878,23334,1,2017-01-20 09:59:21
1136,chemolithoautotroph,2055,23161,1,2017-01-20 09:59:21
1137,chemolithoautotroph,2061,23162,1,2017-01-20 09:59:21
1138,chemoorganotroph,2076,23163,1,2017-01-20 09:59:21
1139,chemoorganotroph,2079,23164,1,2017-01-20 09:59:21
1140,chemoorganotroph,2080,23165,1,2017-01-20 09:59:21
