ID_kit_api_20NE,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,cupule_21,ID_strains,ID_reference,manual_annotation,created_20NE,modify_in_pgsql_20NE,ID_tbl_api_20NE,last_change
10540,+,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,158277,64937,1,2017-08-10 00:00:00,2017-08-10 15:25:03,2170.0,2019-11-20 06:22:46
10539,-,-,+,+,-,-,-,-,+,-,-,-,-,-,+,+,-,+,+,-,-,13126,7159,1,2017-07-27 00:00:00,2017-07-27 09:50:03,2168.0,2019-11-20 06:22:46
10538,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,+,-,-,-,+,157911,64484,1,2017-07-26 00:00:00,2017-07-26 08:30:03,2167.0,2019-11-20 06:22:46
10537,+,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,+,+,-,+,140105,42712,1,2017-07-12 00:00:00,2017-07-12 13:35:03,2164.0,2019-11-20 06:22:46
10536,-,-,-,-,-,+,+/-,-,-,-,-,-,-,+,-,-,-,+,-,+/-,+,132911,24699,1,2017-06-27 00:00:00,2017-07-04 09:40:03,2163.0,2019-11-20 06:22:46
10535,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,13777,8030,1,2017-06-27 00:00:00,2017-07-03 10:05:03,2161.0,2019-11-20 06:22:46
10534,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,+/-,+/-,+,+,+,376,5042,1,2017-06-28 00:00:00,2017-06-30 15:05:03,2160.0,2019-11-20 06:22:46
10533,+,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,132998,24786,1,2017-06-22 00:00:00,2017-06-22 11:30:04,2159.0,2019-11-20 06:22:46
10532,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,+,+,+,-,132687,24477,1,2017-05-04 00:00:00,2017-06-21 10:05:03,2158.0,2019-11-20 06:22:46
10531,-,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-,-,+,+/-,-,+,132947,24735,1,2017-03-28 00:00:00,2017-06-19 08:40:03,2157.0,2019-11-20 06:22:46
10530,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,+,+,132905,24693,1,2017-04-05 00:00:00,2017-06-19 08:10:03,2156.0,2019-11-20 06:22:46
10529,+,-,-,-,+/-,+,-,-,+,+,+,+,+,-,+,+,+,+,+,+,+,132920,24708,1,2017-05-04 00:00:00,2017-06-13 10:35:03,2155.0,2019-11-20 06:22:46
