ID_kit_api_50CHac,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,cupule_21,cupule_22,cupule_23,cupule_24,cupule_25,cupule_26,cupule_27,cupule_28,cupule_29,cupule_30,cupule_31,cupule_32,cupule_33,cupule_34,cupule_35,cupule_36,cupule_37,cupule_38,cupule_39,cupule_40,cupule_41,cupule_42,cupule_43,cupule_44,cupule_45,cupule_46,cupule_47,cupule_48,cupule_49,cupule_50,ID_strains,ID_reference,manual_annotation,created_50CHac,modify_in_pgsql_50CHac,ID_tbl_api_50CHac,last_change
4370,-,-,-,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,-,+,+,+,+,+,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,6384,8722,1,2013-06-19 00:00:00,2016-02-05 15:47:31,452.0,2019-11-20 06:22:47
4368,-,-,-,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,-,+,+,+,+,+,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,6384,8722,1,2011-07-13 00:00:00,2016-02-05 15:47:31,450.0,2019-11-20 06:22:47
4367,-,-,-,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,-,+/-,-,+,+,+,-,-,-,-,+/-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,6384,8722,1,2007-10-24 00:00:00,2016-02-05 15:47:31,449.0,2019-11-20 06:22:47
4680,-,-,-,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,-,+,+,+,+,+,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,6384,8722,1,2018-01-29 00:00:00,2018-01-29 07:00:03,827.0,2019-11-20 06:22:47
4366,-,-,-,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,-,+,+,+,+,+,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,6384,8722,1,2006-05-05 00:00:00,2016-02-05 15:47:31,448.0,2019-11-20 06:22:47
4365,-,+,-,-,+,+,+,-,-,-,+,+,+,+,-,-,-,-,+,+,-,-,+,+,+,+,+,+,+,+,+,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,6492,8592,1,2015-07-24 00:00:00,2016-02-05 15:47:31,447.0,2019-11-20 06:22:47
4364,-,+,-,-,+,+,+,-,-,-,+,+,+,+,-,-,-,-,+,+,-,-,+,+,+,+,+,+,+,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6492,8592,1,2010-02-24 00:00:00,2016-02-05 15:47:31,446.0,2019-11-20 06:22:47
4363,-,+,-,-,+,+,+,-,-,-,+,+,+,+,-,+/-,-,-,+,+,-,-,+,+,+,+,+,+,+,+,+,+,+,-,-,-,-,-,-,+,+/-,-,-,-,-,+/-,-,+,-,-,6492,8592,1,2007-02-26 00:00:00,2016-02-05 15:47:31,445.0,2019-11-20 06:22:47
4362,-,+,-,-,+,+,+,-,-,-,+,+,+,+,-,+/-,-,-,+,+,-,-,+,+,+,+,+,+,+,+,+,+,+,-,-,-,-,-,-,+,+/-,-,-,-,-,+/-,-,+,-,-,6492,8592,1,2005-08-23 00:00:00,2016-02-05 15:47:31,444.0,2019-11-20 06:22:47
4361,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,+/-,+,-,-,+,+,+,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,6532,8696,1,2007-11-15 00:00:00,2016-02-05 15:47:31,443.0,2019-11-20 06:22:47
4360,-,-,-,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,+,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,6383,8695,1,2012-01-23 00:00:00,2016-02-05 15:47:31,442.0,2019-11-20 06:22:47
4359,-,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,+,-,+,+,+,+,+,+,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,6382,8694,1,2009-12-16 00:00:00,2016-02-05 15:47:31,441.0,2019-11-20 06:22:47
4358,-,-,-,-,+,+,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,+,+,-,-,-,-,-,+,-,+,+,+,-,-,+/-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,6851,8693,1,2010-11-08 00:00:00,2016-02-05 15:47:31,440.0,2019-11-20 06:22:47
4357,-,-,-,-,+,+,+,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,+,-,-,+,+,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,6381,8690,1,2012-05-14 00:00:00,2016-02-05 15:47:31,439.0,2019-11-20 06:22:47
4356,-,-,-,-,+,+,+,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,+,-,+,+,+,+,-,-,-,-,+,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,6381,8690,1,2010-04-26 00:00:00,2016-02-05 15:47:31,438.0,2019-11-20 06:22:47
4355,-,-,-,-,+,+,+,-,-,-,+,+,+,+,-,+,-,-,-,-,-,-,+,-,+,+,+,+,-,-,-,-,+,-,-,-,-,-,-,+,-,-,+,-,-,-,-,+/-,-,-,6381,8690,1,2006-06-06 00:00:00,2016-02-05 15:47:31,437.0,2019-11-20 06:22:47
4354,-,-,-,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6434,8667,1,2010-02-11 00:00:00,2016-02-05 15:47:31,436.0,2019-11-20 06:22:47
4353,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6812,8666,1,2010-02-18 00:00:00,2016-02-05 15:47:31,435.0,2019-11-20 06:22:47
4352,-,-,-,-,+,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,+,+,+,+,+,+,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6410,8660,1,2012-07-03 00:00:00,2016-02-05 15:47:31,434.0,2019-11-20 06:22:47
4351,-,-,-,-,+,+,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,+,+,+,+,+,+,+,-,-,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,+,+,-,6410,8660,1,2006-06-07 00:00:00,2016-02-05 15:47:31,433.0,2019-11-20 06:22:47
4350,-,-,-,-,-,+,-,-,-,-,+,+,+,+,+,+,-,-,+,+,-,+,+,+,+,+,+,+,+,+,-,-,+,-,+,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,6431,8658,1,2004-06-28 00:00:00,2016-02-05 15:47:31,432.0,2019-11-20 06:22:47
4349,-,-,-,-,+,+,-,-,-,-,+,+,+,+,-,-,-,-,+,+,+,-,+,+,+,+,+,+,+,+,+,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,+,-,-,6500,8657,1,2005-08-17 00:00:00,2016-02-05 15:47:31,431.0,2019-11-20 06:22:47
4348,-,-,-,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,+,+,+,+,+,+,+,+,-,+,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,6466,8654,1,2013-12-02 00:00:00,2016-02-05 15:47:31,430.0,2019-11-20 06:22:47
4347,-,-,-,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,+,+,+,+,+,+,+,+,-,+,+,-,-,-,+,-,-,+,-,-,+,-,-,-,-,-,-,-,6466,8654,1,2008-10-07 00:00:00,2016-02-05 15:47:31,429.0,2019-11-20 06:22:47
4346,-,-,-,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,+,+,+,+,+,+,+,+,-,+,+,-,-,-,+,-,-,+,-,-,+,-,-,-,-,-,-,-,6466,8654,1,2007-07-18 00:00:00,2016-02-05 15:47:31,428.0,2019-11-20 06:22:47
4344,-,-,-,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,+,+,+,+,+,+,+,+,-,+,+,-,-,-,+,-,-,+,-,-,+,-,-,-,-,-,-,-,6466,8654,1,2005-03-11 00:00:00,2016-02-05 15:47:31,426.0,2019-11-20 06:22:47
4679,-,-,-,-,+,+,-,-,-,-,+,+,+,+,-,-,-,-,+,+,+,-,+,+,+,+,+,+,+,+/-,+,+,+,-,+,+,-,-,-,+,+,-,-,-,-,-,-,-,-,-,6629,8604,1,2018-01-24 00:00:00,2018-01-24 09:00:04,826.0,2019-11-20 06:22:47
4343,-,-,-,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,+,-,-,+,+,-,+,+,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6405,8653,1,2015-04-20 00:00:00,2016-02-05 15:47:31,425.0,2019-11-20 06:22:47
4342,-,-,-,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,+,+,-,+,+,+,+,+,-,+,+,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,6405,8653,1,2007-05-22 00:00:00,2016-02-05 15:47:31,424.0,2019-11-20 06:22:47
4341,-,-,-,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,+,+,-,+,+,-,+,+,-,+,+,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,6405,8653,1,2006-02-08 00:00:00,2016-02-05 15:47:31,423.0,2019-11-20 06:22:47
4340,-,-,-,-,+,+,+,-,-,-,+,+,+,+,-,-,-,-,+,-,-,+,+,+,+,+,+,+,+,+,+,+,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,6842,8652,1,2015-04-16 00:00:00,2016-02-05 15:47:31,422.0,2019-11-20 06:22:47
4339,-,-,-,-,+,+,+,-,-,-,-,+,+,+,-,-,-,-,-,-,-,+,+,-,-,+,-,-,+,-,+,+,+,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,6824,8651,1,2013-01-28 00:00:00,2016-02-05 15:47:31,421.0,2019-11-20 06:22:47
4338,-,-,-,-,+,+,+,-,-,-,-,+,+,+,-,-,-,-,+,-,-,+,+,-,+,+,+,-,+,+,+,+,+,-,-,+,-,-,-,-,+,-,-,-,-,-,-,+,-,+,6824,8651,1,2009-01-21 00:00:00,2016-02-05 15:47:31,420.0,2019-11-20 06:22:47
4337,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,1692,8650,1,2012-09-20 00:00:00,2016-02-05 15:47:31,419.0,2019-11-20 06:22:47
4336,-,-,-,-,+,+,+,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,+,-,+/-,+,+/-,+,-,-,-,-,+,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,6380,8649,1,2015-07-24 00:00:00,2016-02-05 15:47:31,418.0,2019-11-20 06:22:47
4335,-,-,-,-,+,+,+,-,-,-,+,+,+,+,-,+/-,-,-,-,-,-,-,+,-,+,+,+,+,-,-,-,-,+,-,-,-,-,-,-,+/-,-,-,+,-,-,-,-,-,-,-,6380,8649,1,2010-04-27 00:00:00,2016-02-05 15:47:31,417.0,2019-11-20 06:22:47
4334,-,-,-,-,+,+,+,-,-,-,+,+,+,+/-,-,-,-,-,-,+/-,-,+,+/-,+,+,+,-,-,+,+,+,+,-,+/-,-,+,-,-,-,+,+,-,-,-,-,-,+,-,-,+,1698,8641,1,2006-10-16 00:00:00,2016-02-05 15:47:31,416.0,2019-11-20 06:22:47
4333,-,-,-,-,+,+,+,-,-,-,+,+,+,-,-,-,-,-,-,-,-,+,-,-,-,+,-,-,+,+,+,+,-,-,+,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,1709,8612,1,2014-10-13 00:00:00,2016-02-05 15:47:31,415.0,2019-11-20 06:22:47
4332,-,-,-,-,+,+,+,-,-,-,+,+,+,+,+,-,-,-,-,-,+/-,+,-,-,-,-,-,-,+,+,+,+,+,+,+,+,+/-,-,-,-,+/-,-,-,-,-,-,-,-,-,+/-,1709,8612,1,2011-03-10 00:00:00,2016-02-05 15:47:31,414.0,2019-11-20 06:22:47
4331,-,-,-,-,+,+,+,-,-,-,+,+,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,+,+,+,-,-,+,+,-,-,-,-,+/-,-,-,-,-,-,-,-,-,-,1709,8612,1,2009-03-26 00:00:00,2016-02-05 15:47:31,413.0,2019-11-20 06:22:47
4330,-,-,-,-,+,+,+,-,-,-,+,+,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,+,+,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1709,8612,1,2007-02-06 00:00:00,2016-02-05 15:47:31,412.0,2019-11-20 06:22:47
4329,-,-,-,+,-,+,+,-,-,-,+,+,+,+,-,-,-,+,-,-,-,+,+,-,-,+,-,+/-,+,+,+,+,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,1745,8611,1,2011-12-13 00:00:00,2016-02-05 15:47:31,411.0,2019-11-20 06:22:47
4328,-,-,-,-,+,-,-,-,-,-,+/-,+,+,-,-,-,-,-,-,-,-,-,-,-,+/-,+,+/-,-,-,-,+,+/-,-,-,-,+,-,-,-,+/-,-,-,-,-,-,-,-,-,-,-,1700,8610,1,2009-04-19 00:00:00,2016-02-05 15:47:31,410.0,2019-11-20 06:22:47
4327,-,-,-,-,+,+,+,-,-,-,+,+,+,-,-,-,-,-,-,-,-,+,-,+,+,+,+,+,+,+,+,+,-,-,-,+,-,-,-,+,+,-,-,-,-,-,-,+,-,+,1700,8610,1,2006-11-10 00:00:00,2016-02-05 15:47:31,409.0,2019-11-20 06:22:47
4326,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+/-,-,-,-,-,-,-,-,-,-,-,1690,8484,1,2009-04-19 00:00:00,2016-02-05 15:47:31,408.0,2019-11-20 06:22:47
4325,-,-,-,-,+,+,+,-,-,-,+,+,+,-,-,-,-,-,-,-,-,+,-,+,+,+,+,+,+,-,+,+,-,-,-,+,-,-,-,+,+,-,-,-,-,-,-,-,-,-,1707,8483,1,2014-01-21 00:00:00,2016-02-05 15:47:31,407.0,2019-11-20 06:22:47
4324,-,-,-,-,+,+,+,-,-,-,+,+,+,-,-,-,-,-,-,-,-,+,-,+,+,+,+,+,-,-,-,+,-,-,-,+,-,-,-,+,+,-,-,-,-,-,-,-,-,+/-,1707,8483,1,2006-11-10 00:00:00,2016-02-05 15:47:31,406.0,2019-11-20 06:22:47
4323,-,-,-,+,-,+,-,-,-,-,+,+,+,+,-,-,-,-,+,+,-,+,+,+,+,+,+,+,+,+,+,+,-,-,-,+,-,+,-,-,+,-,-,-,+,-,-,-,-,-,1695,8482,1,2015-05-21 00:00:00,2016-02-05 15:47:31,405.0,2019-11-20 06:22:47
4322,-,-,-,-,-,+,-,-,-,-,+,+,+,-,-,-,-,-,+,+,-,+,+,+,+,+,+,+,+,+,+,+,-,-,-,+,-,+,-,-,+,-,-,-,+,-,-,-,-,-,1695,8482,1,2011-03-17 00:00:00,2016-02-05 15:47:31,404.0,2019-11-20 06:22:47
4321,-,-,-,+,-,+,-,-,-,-,+,+,+,+,-,-,-,-,+,+,-,+,+,+,+,+,+,+,+,+,+,+,-,-,-,+,+/-,+,+/-,+,+,-,-,-,+,-,-,-,-,-,1695,8482,1,2011-03-16 00:00:00,2016-02-05 15:47:31,403.0,2019-11-20 06:22:47
4320,-,-,-,+,-,+,-,-,-,-,+,+,+,+,-,-,-,-,+,+,-,+,+,+,+,+,+,+,+,+,+,+,-,-,-,+,+,+,+/-,+,+,-,-,-,+,-,-,-,-,-,1695,8482,1,2008-01-22 00:00:00,2016-02-05 15:47:31,402.0,2019-11-20 06:22:47
4319,-,-,-,+,-,+,-,-,-,-,+,+,+,+,-,-,-,-,+,+,-,+,+,+,+,+,+,+,+,+,+,+,-,-,-,+,+,+,+,+,+,-,-,-,+,-,-,-,-,-,1695,8482,1,2006-09-12 00:00:00,2016-02-05 15:47:31,401.0,2019-11-20 06:22:47
4318,-,-,-,-,-,+,-,-,-,-,+,+,+,+/-,-,-,-,-,+,+,-,+,+,-,-,+,+,+,+,+,+,+,-,-,-,+,-,+,-,-,+,-,-,-,+/-,-,-,-,-,-,1695,8482,1,2004-10-31 00:00:00,2016-02-05 15:47:31,400.0,2019-11-20 06:22:47
4317,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,+,-,-,+,+,+,-,+,-,+,+,-,-,-,+,+,+,-,-,+,-,-,-,-,-,-,-,-,-,1722,8481,1,2013-09-18 00:00:00,2016-02-05 15:47:31,399.0,2019-11-20 06:22:47
4316,-,-,-,-,+,,+,-,-,-,+,+,+,+,-,-,-,-,-,-,-,+,+,-,-,+,-,-,+,+,+,+,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,1746,8480,1,2009-08-12 00:00:00,2016-02-05 15:47:31,398.0,2019-11-20 06:22:47
4315,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,+,+,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,1721,8479,1,2010-10-22 00:00:00,2016-02-05 15:47:31,397.0,2019-11-20 06:22:47
4314,-,-,-,-,+,+,-,-,-,-,+,+,+,+,-,-,-,-,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-,+,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,6499,8475,1,2015-02-13 00:00:00,2016-02-05 15:47:31,396.0,2019-11-20 06:22:47
4313,-,-,-,-,+,+,-,-,-,-,+,+,+,+,-,-,-,-,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6499,8475,1,2012-03-02 00:00:00,2016-02-05 15:47:31,395.0,2019-11-20 06:22:47
4312,-,-,-,-,+,+,-,-,-,-,+,+,+,+,-,-,-,-,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-,+,+,-,-,-,+,+,-,-,-,-,-,-,-,-,-,6499,8475,1,2010-09-20 00:00:00,2016-02-05 15:47:31,394.0,2019-11-20 06:22:47
4311,-,-,-,-,+,+,-,-,-,-,+,+,+,+,-,+,-,-,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-,+,+,-,-,-,+,-,-,-,-,-,-,-,+,-,-,6499,8475,1,2007-11-07 00:00:00,2016-02-05 15:47:31,393.0,2019-11-20 06:22:47
4310,-,-,-,-,+,+,-,-,-,-,+,+,,+,+,-,+,-,-,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-,+,+,-,-,-,+,-,-,-,-,-,-,-,+,-,-,6499,8475,1,2006-05-31 00:00:00,2016-02-05 15:47:31,392.0,2019-11-20 06:22:47
4309,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6461,8474,1,2012-09-20 00:00:00,2016-02-05 15:47:31,391.0,2019-11-20 06:22:47
4308,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,6461,8474,1,2008-11-19 00:00:00,2016-02-05 15:47:31,390.0,2019-11-20 06:22:47
4307,-,-,-,-,-,-,-,-,-,-,+/-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+/-,-,-,+,+,-,+/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6818,8473,1,2008-03-12 00:00:00,2016-02-05 15:47:31,389.0,2019-11-20 06:22:47
4306,-,+,-,-,-,+,+,-,-,-,+,+,+,+,-,-,-,-,+,+,-,+,+,+,+,+,+,+,+,+,+,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,6491,8471,1,2014-06-12 00:00:00,2016-02-05 15:47:31,388.0,2019-11-20 06:22:47
4305,-,-,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,6597,8470,1,2005-05-11 00:00:00,2016-02-05 15:47:31,387.0,2019-11-20 06:22:47
4304,-,-,-,-,+,-,-,-,-,-,+/-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+/-,-,-,-,-,+/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,6597,8470,1,2005-03-17 00:00:00,2016-02-05 15:47:31,386.0,2019-11-20 06:22:47
4303,-,-,-,-,+,+,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,+,-,-,+,-,-,+,-,+,+,-,-,-,-,-,-,-,+/-,-,-,-,-,-,-,-,+,-,-,6597,8470,1,2005-03-15 00:00:00,2016-02-05 15:47:31,385.0,2019-11-20 06:22:47
4302,-,-,-,-,-,+,+,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,+,+,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6844,8469,1,2015-06-24 00:00:00,2016-02-05 15:47:31,384.0,2019-11-20 06:22:47
4301,-,-,-,-,-,-,+,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,+,+,-,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+/-,+/-,-,6844,8469,1,2008-05-14 00:00:00,2016-02-05 15:47:31,383.0,2019-11-20 06:22:47
4300,-,-,-,-,+,+,+,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,+,-,+,+,-,+,+,+,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,6833,8467,1,2011-05-10 00:00:00,2016-02-05 15:47:31,382.0,2019-11-20 06:22:47
4299,-,-,-,-,+,+,+,-,-,-,+,+,+,+,-,-,-,-,-,-,-,+,+/-,-,-,+,-,+,+,+,+,+,+,-,-,+,-,-,-,+,+,-,-,-,-,-,-,-,-,+,6833,8467,1,2008-04-22 00:00:00,2016-02-05 15:47:31,381.0,2019-11-20 06:22:47
4298,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,+,-,-,+,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,6836,8464,1,2007-03-20 00:00:00,2016-02-05 15:47:31,380.0,2019-11-20 06:22:47
4297,-,-,-,-,+,-,-,-,-,-,-,+,+,+,-,-,-,-,+/-,-,-,-,+,-,-,+,-,-,+,-,-,+,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,6829,8463,1,2009-05-29 00:00:00,2016-02-05 15:47:31,379.0,2019-11-20 06:22:47
4296,-,-,-,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6821,8462,1,2012-05-11 00:00:00,2016-02-05 15:47:31,378.0,2019-11-20 06:22:47
4295,-,-,-,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,+,+,-,+,+,+,+,+,+,-,+,+,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,6455,8460,1,2009-01-07 00:00:00,2016-02-05 15:47:31,377.0,2019-11-20 06:22:47
4294,-,-,-,-,+,+,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,+,+,+,+,+,+,+,-,-,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,6409,8457,1,2014-02-21 00:00:00,2016-02-05 15:47:31,376.0,2019-11-20 06:22:47
4293,-,-,-,-,-,+,-,-,-,-,+,+,+,+,-,+,-,-,+,-,-,-,+,+,+,+,+,+,-,-,-,+,+,-,+,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,6564,8608,1,2012-04-05 00:00:00,2016-02-05 15:47:31,375.0,2019-11-20 06:22:47
4292,-,-,-,+,-,+,-,-,-,-,+,+,+,+,-,+,-,+/-,+,-,-,-,+,+,+,+,+,+,+,+,-,+,+,-,+,-,-,-,-,+,-,-,+,-,+,+,-,+,+,-,6564,8608,1,2006-06-20 00:00:00,2016-02-05 15:47:31,374.0,2019-11-20 06:22:47
4291,-,-,-,-,-,+,+,-,-,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6473,8606,1,2014-04-29 00:00:00,2016-02-05 15:47:31,373.0,2019-11-20 06:22:47
4290,-,-,-,-,-,+,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6473,8606,1,2010-02-03 00:00:00,2016-02-05 15:47:31,372.0,2019-11-20 06:22:47
4289,-,-,-,-,-,+,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,6473,8606,1,2006-03-31 00:00:00,2016-02-05 15:47:31,371.0,2019-11-20 06:22:47
4288,-,-,-,-,+,+,-,-,-,-,+,+,+,+,-,-,-,-,+,+,-,-,+,+,+,+,+,+,+,-,+,+,+,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,6629,8604,1,2015-03-23 00:00:00,2016-02-05 15:47:31,370.0,2019-11-20 06:22:47
4287,-,-,-,-,+,+,-,-,-,-,+,+,+,+,-,-,-,-,+,+,-,-,+,+,+,+,+,+,+,-,+,+,+,-,+,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,6629,8604,1,2012-02-29 00:00:00,2016-02-05 15:47:31,369.0,2019-11-20 06:22:47
4286,-,-,-,-,+,+,-,-,-,-,+,+,+,+,-,-,-,-,+,+,-,-,+,+,+,+,+,+,+,-,+,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,+,-,-,6629,8604,1,2012-02-28 00:00:00,2016-02-05 15:47:31,368.0,2019-11-20 06:22:47
4285,-,-,-,-,+,+,-,-,-,-,+,+,+,+,-,-,-,-,+,+,+,-,+,+,+,+,+,+,+,+,+,+,+,-,+,+,-,-,-,+,+,-,-,-,-,+/-,-,+/-,-,-,6629,8604,1,2011-02-14 00:00:00,2016-02-05 15:47:31,367.0,2019-11-20 06:22:47
4284,-,-,-,-,+,+,-,-,-,-,+,+,+,+,-,-,-,-,+,+,+,-,+,+,+,+,+,+,+,+,+,+,+,-,+,+,-,-,-,+,+,-,-,-,-,-,-,-,-,-,6629,8604,1,2011-02-14 00:00:00,2016-02-05 15:47:31,366.0,2019-11-20 06:22:47
