ID_kit_api_50CHac,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,cupule_21,cupule_22,cupule_23,cupule_24,cupule_25,cupule_26,cupule_27,cupule_28,cupule_29,cupule_30,cupule_31,cupule_32,cupule_33,cupule_34,cupule_35,cupule_36,cupule_37,cupule_38,cupule_39,cupule_40,cupule_41,cupule_42,cupule_43,cupule_44,cupule_45,cupule_46,cupule_47,cupule_48,cupule_49,cupule_50,ID_strains,ID_reference,manual_annotation,created_50CHac,modify_in_pgsql_50CHac,ID_tbl_api_50CHac,last_change
4659,-,-,-,-,-,+,-,-,-,-,+,+,+,+,+,-,-,-,+,+,-,-,+,+,+,+,+,+,+,+,-,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,130964,22256,1,2017-02-24 00:00:00,2017-02-24 07:25:05,775.0,2019-11-20 06:22:47
4658,-,-,-,-,-,+,-,-,-,-,-,+,+,+,+,+,-,-,+,+,-,+,+,+,+,+,+,+,-,+,-,-,+,-,+,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,6427,8433,1,2017-02-22 00:00:00,2017-02-22 09:30:05,774.0,2019-11-20 06:22:47
4657,-,-,-,-,-,+,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,+,+,+,+,+,+,+,-,-,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,2253,8971,1,2017-02-15 00:00:00,2017-02-15 08:45:05,773.0,2019-11-20 06:22:47
4656,-,-,-,-,-,+,-,-,+,-,+,+,+,+,+,-,-,-,+,+,-,-,+,+/-,+,+,+,+,+,-,-,-,+,-,-,-,-,-,-,+,+,-,+,-,-,-,-,-,-,-,6555,8591,1,2017-01-24 00:00:00,2017-01-24 11:35:05,770.0,2019-11-20 06:22:47
4655,-,-,-,-,+,-,+,-,-,+,+,+,+,+,+,+,-,-,+,+,-,-,+,-,+,+,+,-,+,-,+/-,+,+,-,+,-,-,-,-,-,+,-,-,-,+,-,-,-,-,-,6668,7578,1,2017-01-24 00:00:00,2017-01-24 11:25:04,769.0,2019-11-20 06:22:47
4654,-,-,-,-,-,+,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6458,8455,1,2016-12-21 00:00:00,2016-12-21 07:50:05,768.0,2019-11-20 06:22:47
4653,-,-,-,+,+,-,-,-,-,-,+,+,+,+,-,-,-,-,+,+,-,-,+,+,+,+,+,+,+,+,+,+,+,-,+,+,-,-,-,+,+,-,-,-,-,-,-,+/-,-,-,6497,4581,1,2016-12-02 00:00:00,2016-12-02 08:30:05,767.0,2019-11-20 06:22:47
4652,-,-,-,-,-,+,-,-,-,-,-,+,+,+,-,-,-,-,+,-,-,-,+,+/-,-,+,+,+,+,-,-,-,+,-,-,-,-,-,-,+/-,-,-,-,-,-,-,-,-,-,-,6395,5550,1,2016-12-02 00:00:00,2016-12-02 08:20:04,766.0,2019-11-20 06:22:47
4651,-,+,-,-,+,-,+,-,-,-,+,+,+,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24368,21111,1,2016-11-18 00:00:00,2016-11-18 12:30:05,765.0,2019-11-20 06:22:47
4650,-,-,-,-,+,-,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,+,-,+,+,-,-,-,+,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,24670,20533,1,2016-10-17 00:00:00,2016-10-17 13:40:05,764.0,2019-11-20 06:22:47
4649,-,+,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,5194,6939,1,2016-10-05 00:00:00,2016-10-05 07:10:04,763.0,2019-11-20 06:22:47
4648,-,-,-,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,+,+,+,+,+,+,+,+,-,+,+,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,6465,8505,1,2016-09-28 00:00:00,2016-09-28 06:05:05,762.0,2019-11-20 06:22:47
4647,-,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,+,+,-,+,+,+,+,+,-,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,6404,8506,1,2016-09-15 00:00:00,2016-09-15 06:10:05,761.0,2019-11-20 06:22:47
4646,-,-,-,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,+,+,-,-,+,-,+,+,+,-,+,+,+,+,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,6664,8904,1,2016-09-12 00:00:00,2016-09-12 05:50:05,760.0,2019-11-20 06:22:47
4645,-,+,-,-,+,-,+,-,-,-,+,+,-,+,-,-,-,-,-,-,-,+,+,-,-,+,+,+,+,+,+,+,+,-,-,+,+,-,-,+,-,-,-,-,-,-,-,-,-,-,131977,23769,1,2016-09-09 00:00:00,2016-09-09 09:25:05,759.0,2019-11-20 06:22:47
4644,-,+,+,+,+,+,+,-,+,-,+,+,+,+,-,+,-,+,+,+,-,+,+,+,+,+,+,+,+,+,+,+,+,-,+,+,-,-,-,+,+,+,-,+,+,+,+,-,-,+,5132,1775,1,2016-07-07 00:00:00,2016-07-07 13:50:04,755.0,2019-11-20 06:22:47
4643,-,-,-,-,-,+/-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,-,+,+,+,+,+,+,-,-,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,6475,8907,1,2016-05-18 00:00:00,2016-05-17 22:00:00,753.0,2019-11-20 06:22:47
4642,-,-,-,-,-,+/-,-,-,-,-,+,+,+,+,-,-,-,-,+,-,-,-,+,+,+,+,+,+,+,+,+,+,+,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,6407,8858,1,2016-05-18 00:00:00,2016-05-17 22:00:00,752.0,2019-11-20 06:22:47
4641,-,-,-,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,+,-,+,+,+,+,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,6533,8725,1,2016-05-18 00:00:00,2016-05-17 22:00:00,751.0,2019-11-20 06:22:47
4640,+/-,-,-,-,-,-,-,-,-,-,+,+,+,+,-,+/-,-,-,+,-,-,-,+,-,-,+,+,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6437,8417,1,2016-05-18 00:00:00,2016-05-17 22:00:00,750.0,2019-11-20 06:22:47
