ID_risk_assessment,biosafety_level,biosafety_level_comment,pathogenicity_human,pathogenicity_animal,pathogenicity_plant,ID_strains,ID_reference,FK_tbl_strains_micro,manual_annotation,last_change
131,2,German classification,,,,14038,18429,,1,2016-03-22 14:24:55
132,1,German classification,,,,12621,18430,,1,2016-03-22 14:24:55
134,1,German classification,,,,3909,18431,,1,2016-03-22 14:24:55
135,1,German classification,,,,3910,18432,,1,2016-03-22 14:24:55
136,1,Risk group (German classification),,,,6248,18433,,1,2016-03-22 14:24:55
137,1,German classification,,,,1770,18434,,1,2016-03-22 14:24:55
141,1,German classification,,,,3921,18435,,1,2016-03-22 14:24:55
142,1,hazard group,,,,11109,18436,,1,2016-03-22 14:24:55
143,1,Hazard group,,,,7643,18437,,1,2016-03-22 14:24:55
144,1,German classification,,,,3080,18438,,1,2016-03-22 14:24:55
145,2,German classification,,,,10843,18439,,1,2016-03-22 14:24:55
146,1,German classification,,,,18103,18440,,1,2016-03-22 14:24:55
147,1,German classification,,,,7373,18441,,1,2016-03-22 14:24:55
148,1,German classification,,,,7377,18442,,1,2016-03-22 14:24:55
149,1,German classification,,,,7307,18443,,1,2016-03-22 14:24:55
150,2,German classification,,,,3108,18444,,1,2016-03-22 14:24:55
151,2,German classification,,,,3084,18445,,1,2016-03-22 14:24:55
152,1,,,,,7317,18446,,1,2016-03-22 14:24:55
153,1,,,,,7531,18447,,1,2016-03-22 14:24:55
154,1,German classification,,,,7369,18450,,1,2016-03-22 14:24:55
155,2,German classification,,,,3102,18451,,1,2016-03-22 14:24:55
156,1,,,,,11099,18452,,1,2016-03-22 14:24:55
157,1,,,,,7568,18453,,1,2016-03-22 14:24:55
158,2,German classification,,,,3105,18454,,1,2016-03-22 14:24:55
159,1,,,,,1834,18455,,1,2016-03-22 14:24:55
160,2,German classification,,,,3123,18456,,1,2016-03-22 14:24:55
161,2,German classification,,,,3131,18458,,1,2016-03-22 14:24:55
162,1,,,,,2385,18460,,1,2016-03-22 14:24:55
163,1,German classification,,,,14889,18461,,1,2016-03-22 14:24:55
164,1,German classification,,,,15257,18462,,1,2016-03-22 14:24:55
165,1,German classification,,,,15092,18463,,1,2016-03-22 14:24:55
166,1,German classification,,,,15420,18464,,1,2016-03-22 14:24:55
167,1,German classification,,,,15068,18465,,1,2016-03-22 14:24:55
168,1,German classification,,,,16173,18466,,1,2016-03-22 14:24:55
169,1,German classification,,,,15052,18467,,1,2016-03-22 14:24:55
170,1,German classification,,,,14880,18468,,1,2016-03-22 14:24:55
171,1,German classification,,,,13298,18469,,1,2016-03-22 14:24:55
172,1,German classification,,,,14940,18470,,1,2016-03-22 14:24:55
173,1,German classification,,,,15205,18471,,1,2016-03-22 14:24:55
174,1,German classification,,,,15233,18472,,1,2016-03-22 14:24:55
175,1,German classification,,,,15454,18473,,1,2016-03-22 14:24:55
176,1,German classification,,,,14974,18474,,1,2016-03-22 14:24:55
177,1,German classification,,,,15054,18475,,1,2016-03-22 14:24:55
178,1,German classification,,,,15216,18476,,1,2016-03-22 14:24:55
179,1,German classification,,,,15217,18477,,1,2016-03-22 14:24:55
180,1,German classification,,,,15043,18478,,1,2016-03-22 14:24:55
181,1,German classification,,,,15269,18479,,1,2016-03-22 14:24:55
182,1,German classification,,,,15283,18480,,1,2016-03-22 14:24:55
183,1,German classification,,,,13356,18481,,1,2016-03-22 14:24:55
184,1,German classification,,,,13315,18482,,1,2016-03-22 14:24:55
185,1,German classification,,,,10998,18483,,1,2016-03-22 14:24:55
186,1,German classification,,,,15221,18484,,1,2016-03-22 14:24:55
187,1,German classification,,,,10721,18485,,1,2016-03-22 14:24:55
188,1,German classification,,,,10836,18486,,1,2016-03-22 14:24:55
189,1,German classification,,,,7994,18487,,1,2016-03-22 14:24:55
190,1,,,,,11102,18488,,1,2016-03-22 14:24:55
191,1,German classification,,,,11180,18489,,1,2016-03-22 14:24:55
192,2,German classification,,,,16950,18490,,1,2016-03-22 14:24:55
193,1,,,,,10655,18491,,1,2016-03-22 14:24:55
194,2,German classification,,,,10717,18492,,1,2016-03-22 14:24:55
195,1,German classification,,,,10763,18493,,1,2016-03-22 14:24:55
196,1,German classification,,,,17006,18494,,1,2016-03-22 14:24:55
197,1,German classification,,,,16546,18495,,1,2016-03-22 14:24:55
198,1,German classification,,,,13362,18496,,1,2016-03-22 14:24:55
199,2,German classification,,,,10669,18497,,1,2016-03-22 14:24:55
200,1,,,,,6273,18498,,1,2016-03-22 14:24:55
201,1,German classification,,,,6275,18499,,1,2016-03-22 14:24:55
202,1,German classification,,,,7252,18500,,1,2016-03-22 14:24:55
203,1,German classification,,,,12610,18502,,1,2016-03-22 14:24:55
204,1,,,,,12613,18503,,1,2016-03-22 14:24:55
