ID_kit_api_rID32STR,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,cupule_21,cupule_22,cupule_23,cupule_24,cupule_25,cupule_26,cupule_27,cupule_28,cupule_29,cupule_30,cupule_31,cupule_32,ID_strains,ID_reference,manual_annotation,created_rID32STR,modify_in_pgsql_rID32STR,ID_tbl_api_rID32STR,last_change
2867,-,-,+,-,+,-,-,-,-,+,-,+,+,+,-,-,-,+,+,-,-,-,-,-,-,+,+,-,-,-,-,-,144265,47912,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2868,-,-,-,-,-,+,-,+,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,138268,47913,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2869,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,+,144271,47921,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2870,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,+,-,-,-,-,-,-,144313,47967,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2871,-,+,+,-,+,-,-,-,-,+,-,+,+,-,-,-,-,+,+,-,-,-,-,-,-,-,+,-,-,-,-,-,1683,47992,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2872,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,144335,47996,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2873,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,144336,47997,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2874,+,+,+,-,-,+,-,-,-,+,+,-,+,-,-,-,+,+,-,-,+,+,-,-,-,+,-,-,-,-,+,+,144337,47998,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2875,-,+,+,-,-,+,-,-,-,+,+,-,+,-,-,-,+,+,+,-,-,-,-,-,+,+,-,-,-,-,-,-,144338,47999,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2876,-,+,+,-,-,-,-,-,-,+,-,-,+,-,-,-,+,+,+,-,-,-,-,-,-,+,-,-,-,-,-,+,135476,48004,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2877,-,+,+,-,-,-,-,-,-,+,-,-,+,-,-,-,+,+,+,-,-,-,-,-,-,+,-,-,-,-,-,+,138150,48005,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2878,-,+,+,-,-,-,-,-,-,+,-,-,+,-,-,-,+,+,+,-,-,-,-,-,-,+,-,-,-,-,-,+,144343,48006,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2879,-,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,+,+,+,-,-,-,-,-,-,+,-,-,-,-,-,+,144344,48007,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2880,-,-,+,-,-,-,-,-,-,+,+,-,+,-,-,-,+,+,+,-,-,-,-,-,-,+,-,-,-,-,-,+,144345,48008,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2881,-,-,+,-,-,-,-,-,-,+,+,-,+,-,-,-,+,+,+,-,-,-,-,-,-,+,-,-,-,-,-,+,144346,48009,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2882,-,-,+,-,-,+,-,-,-,+,-,-,+,-,-,-,-,+,+,-,+,+,-,-,+,+,-,-,-,-,-,-,144360,48029,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2883,-,-,+,-,+,-,-,-,-,+,-,+,+,+,-,-,-,-,+,-,-,-,-,-,-,+,+,-,-,-,-,-,144363,48033,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2884,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,144367,48037,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2885,+,-,-,-,-,-,-,-,-,-,+,-,+,-,-,-,+,+,-,+,-,-,-,-,-,+,-,-,-,-,-,+,144371,48041,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2886,-,+,-,-,-,-,-,-,-,-,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,+,-,-,+,-,-,-,144383,48053,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2887,-,-,+,-,+,+,-,-,-,+,-,-,+,-,-,-,-,+,-,-,-,+,-,-,+,+,-,-,-,-,-,-,136742,48082,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2888,-,+,-,-,-,-,-,-,-,+,+,-,-,-,+,+,+,-,-,-,+,+,+,-,-,+,-,-,+,-,+,-,144412,48087,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2889,-,+,-,-,-,-,-,-,-,-,+,-,+,-,-,+,+,-,-,-,+,-,-,-,-,+,-,-,+,-,+,-,144413,48088,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2890,-,+,-,-,-,-,-,-,-,+,+,-,-,-,+,+,+,-,-,-,+,+,+,-,-,+,-,-,+,-,+,-,144414,48089,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2891,-,+,-,-,-,-,-,-,-,-,+,-,-,-,+,+,-,-,-,-,+,+,+,-,-,+,-,-,+,-,+,-,144416,48091,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2892,-,+,-,-,-,+,-,-,-,+,+,-,-,-,+,+,+,-,-,-,+,+,-,-,-,+,-,-,+,-,+,-,144417,48092,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2893,-,+,-,-,-,-,-,-,-,+,+,-,-,-,+,+,+,-,-,-,+,-,-,-,-,+,-,-,+,-,+,-,144418,48093,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2894,-,+,-,-,-,+,-,-,-,+,+,-,-,-,-,+,+,-,+,-,+,+,-,-,-,+,-,-,+,-,+,-,144419,48094,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2895,-,+,-,-,-,-,-,-,-,+,+,-,-,-,+,+,+,-,-,-,+,+,+,-,-,+,-,-,+,-,+,-,144420,48095,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2896,-,+,-,-,-,-,+,+,-,-,+,-,-,-,+,+,-,-,-,-,+,-,-,-,-,+,-,-,+,-,+,-,144421,48096,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2897,-,+,-,-,-,-,-,-,-,+,+,-,-,-,+,+,+,-,-,-,+,+,-,-,-,+,-,-,+,+,+,-,144422,48097,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2898,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-,-,+,-,-,-,-,+,-,-,+,+,+,-,144423,48098,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2899,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,+,+,-,-,-,+,+,-,-,-,+,-,-,+,+,+,-,144424,48099,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2900,-,+,-,-,-,-,+,+,-,+,+,-,-,-,+,+,+,-,-,-,+,-,-,-,-,+,-,-,+,-,+,-,144425,48100,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2901,-,+,-,-,-,-,+,+,-,+,+,-,-,-,+,+,+,-,-,-,+,-,-,-,-,+,-,-,+,-,+,-,144426,48101,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2902,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,+,-,+,-,-,-,-,-,+,-,+,-,144427,48102,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2903,-,+,-,-,-,+,-,-,-,-,+,-,-,-,+,+,+,-,-,-,+,+,-,-,-,+,-,-,+,-,+,-,144428,48103,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2904,-,+,-,-,+,-,-,+,-,-,+,+,+,-,-,-,+,+,-,-,-,-,-,-,-,+,+,-,-,-,-,-,144493,48172,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2905,-,-,+,-,+,-,-,-,-,+,-,+,+,+,-,-,-,+,+,-,-,-,-,-,-,+,+,-,-,-,-,-,144494,48173,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2906,-,+,+,-,+,-,-,-,-,+,+,+,+,-,-,-,-,+,-,+,+,+,-,-,+,+,-,-,-,+,-,-,141523,44567,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2907,+,-,-,+,+,+,+,-,-,-,+,-,+,-,-,-,-,+,-,-,-,-,+,-,+,+,-,-,+,-,-,-,144527,48208,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2908,-,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,+,-,-,-,+,-,-,+,+,-,-,-,-,-,-,144541,48222,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2909,-,-,-,-,+,-,-,-,+,+,+,+,+,-,-,-,-,+,-,-,-,+,-,-,+,+,-,-,-,-,-,-,144542,48223,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2910,+,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,+,+,-,-,-,-,-,-,144543,48224,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2911,-,-,+,-,+,-,-,-,-,+,-,+,+,-,-,-,-,+,+,-,+,+,-,-,+,+,-,-,-,-,-,-,144544,48225,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2912,-,+,-,-,+,-,-,-,-,+,+,+,+,-,-,-,+,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,144548,48229,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2913,-,+,-,+,+,-,-,-,-,+,+,+,+,-,-,-,+,+,+,-,-,-,-,-,-,+,+,-,+,-,+,-,144549,48230,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2914,-,+,-,-,+,-,-,-,-,+,-,+,+,-,-,-,+,+,-,-,-,-,-,-,-,+,-,-,+,-,-,-,144550,48231,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2915,-,+,-,+,+,-,-,-,-,+,+,+,+,-,-,-,+,+,+,-,-,-,-,-,-,+,+,-,+,-,-,-,144551,48232,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2916,-,+,-,-,+,-,-,-,-,-,+,+,+,-,-,-,+,+,-,-,-,-,-,-,-,+,-,-,+,-,-,-,144552,48233,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2917,-,+,-,-,+,-,-,+,-,+,+,+,+,-,-,-,+,+,-,-,-,-,-,+,+,+,+,-,+,-,-,-,144553,48234,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2918,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,144561,48242,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2919,-,-,+,-,+,-,+,-,-,+,-,+,+,-,-,-,-,+,+,-,-,-,-,-,-,+,+,-,-,-,-,-,144562,48243,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2920,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,144568,48249,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2921,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,144569,48250,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2922,+,-,-,-,+,-,-,-,-,+,+,-,+,-,-,-,-,+,-,-,-,+,-,-,+,+,-,-,-,-,-,-,144571,48254,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2923,-,-,-,+,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,144573,48257,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2924,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,144579,48264,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2925,-,-,+,-,-,+,-,-,-,+,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,144584,48269,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2926,-,-,+,-,+,-,-,-,-,+,-,+,+,+,-,-,-,+,+,-,-,-,-,-,-,+,+,-,-,-,-,-,144585,48270,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2927,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-,-,+,+,+,+,-,-,-,-,-,+,-,-,-,-,-,-,144586,48271,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2928,+,+,-,-,-,-,+,-,-,-,+,-,-,-,-,+,+,-,-,+,+,-,-,-,-,+,-,-,+,-,+,-,144593,48278,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2929,+,+,+,-,-,+,-,-,-,+,+,-,+,-,-,-,+,+,-,-,+,-,-,-,-,+,-,-,-,-,-,-,144594,48279,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2930,-,-,+,-,-,+,-,-,-,+,-,-,+,-,-,-,+,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,144595,48280,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2931,-,+,+,-,-,-,-,-,-,+,+,+,+,-,-,-,+,+,+,-,-,-,-,-,+,+,-,-,+,-,-,-,144606,48293,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2932,-,+,+,-,+,+,-,-,-,+,-,+,+,-,-,+,-,+,+,-,+,+,-,-,-,+,-,-,-,-,+,-,1584,48299,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2933,-,+,-,-,+,-,-,+,+,+,+,+,+,-,-,-,+,+,-,-,-,-,-,-,-,+,+,-,+,+,-,-,144615,48309,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2934,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,144642,48344,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2935,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-,+,-,-,-,-,+,-,-,-,-,-,-,144643,48345,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2936,-,-,+,-,+,-,+,+,-,-,+,-,+,-,-,-,-,+,+,-,-,-,+,-,-,+,-,+,-,-,-,-,144652,48354,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2937,+,-,-,+,-,+,+,-,-,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,+,+,-,-,+,-,-,-,144673,48375,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2938,-,+,-,-,+,-,-,+,+,+,+,+,+,-,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,144684,48386,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2939,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,+,-,-,-,-,-,+,-,-,-,+,-,-,144688,48393,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2940,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,+,-,-,144688,48393,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2941,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,144706,48417,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2942,-,+,+,-,-,-,-,-,-,+,+,+,+,-,-,-,+,+,+,-,-,-,-,-,+,+,-,-,+,-,-,-,141531,44575,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2943,+,-,-,-,-,+,-,-,-,+,+,-,+,-,-,-,+,+,-,-,-,-,-,-,-,+,-,-,+,-,-,-,144796,48514,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2944,-,-,+,-,-,+,+,-,-,-,-,-,-,+,-,-,-,+,+,-,-,-,+,-,-,+,-,-,-,-,-,-,144838,48558,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2945,-,+,+,-,+,-,+,+,+,+,+,+,+,-,-,-,-,-,+,+,+,-,+,+,+,+,+,-,+,-,+,-,144846,48568,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2946,-,+,-,-,+,-,+,+,-,-,+,+,+,-,-,-,-,+,+,+,-,-,-,+,+,+,+,-,+,-,-,-,144846,48568,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2947,-,-,-,-,-,-,+,-,-,-,+,-,+,+,-,-,-,+,-,+,-,-,+,-,-,+,-,-,-,-,-,-,144849,48571,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2948,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,144855,48578,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2949,-,-,+,-,-,+,+,-,-,-,-,-,-,+,-,+,-,+,+,-,-,-,+,+,+,+,-,-,-,-,-,-,144867,48596,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2950,-,-,-,-,-,+,+,-,-,-,+,-,-,-,-,+,-,+,-,-,-,-,+,+,+,+,-,-,-,-,-,-,144868,48597,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2951,+,-,+,-,-,-,-,-,-,+,-,-,+,-,-,-,-,+,-,-,-,+,-,-,-,+,-,-,-,+,-,-,144870,48599,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2952,-,-,+,-,+,-,+,+,-,-,+,+,+,-,-,-,-,+,+,-,-,-,+,-,-,-,-,+,-,-,-,-,144871,48600,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2953,-,+,-,+,+,-,-,-,-,+,+,-,+,-,-,-,+,+,-,-,-,-,-,-,-,+,-,-,+,-,-,-,144872,48601,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2954,-,+,+,-,+,+,-,-,-,-,-,+,+,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,144874,48603,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2955,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-,+,-,-,-,-,-,-,144875,48604,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2956,-,+,+,-,-,-,-,-,-,+,-,+,+,-,-,-,+,+,+,-,-,-,-,-,+,+,-,-,+,-,-,+,144880,48609,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2957,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,+,+,+,+,-,-,-,-,-,-,132734,48627,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2958,-,-,-,-,-,+,-,-,-,+,-,-,+,-,-,-,+,-,-,-,-,-,+,-,-,+,-,-,-,-,-,+,144916,48648,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2959,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,+,+,-,-,-,-,-,-,144919,48652,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2960,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,-,-,144928,48662,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2961,-,-,+,-,+,-,-,-,-,+,-,+,+,-,-,-,-,+,+,-,-,-,-,-,-,+,+,-,-,-,-,-,144930,48664,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2962,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,6414,48683,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2963,-,-,+,-,+,-,-,-,-,-,-,+,+,+,-,-,-,+,+,-,-,-,-,-,-,+,+,-,-,-,-,-,144941,48684,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2964,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,144944,48687,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2965,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,144951,48694,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2966,-,-,-,-,+,-,-,-,-,+,+,-,+,-,-,-,-,-,+,+,-,-,-,-,+,+,-,-,-,-,-,-,144952,48695,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2967,-,+,+,-,+,-,-,-,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,144956,48699,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2968,-,+,+,-,+,-,-,+,-,+,+,+,+,-,-,-,-,+,+,+,-,+,+,-,-,+,-,-,-,-,-,-,144959,48711,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2969,-,+,+,-,-,-,-,-,-,+,-,-,+,-,-,-,+,+,+,-,-,-,-,-,+,+,-,-,-,-,-,+,144960,48712,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2970,-,+,+,-,-,+,-,-,-,+,+,-,+,-,-,-,-,+,-,-,-,+,-,-,-,+,-,-,+,-,+,-,144962,48714,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2971,-,+,+,-,-,+,-,-,-,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-,+,-,+,-,144963,48715,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2972,-,+,-,-,-,-,+,+,-,-,+,-,+,-,-,-,+,+,+,+,+,-,+,-,-,-,-,+,-,+,-,-,144967,48719,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2973,+,-,-,+,-,+,-,-,+,+,-,-,+,-,-,+,-,+,-,-,-,-,-,+,+,+,-,-,+,-,-,-,144997,48749,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2974,+,-,-,+,-,+,-,-,+,+,-,-,+,-,-,+,-,+,-,-,-,-,-,+,+,+,-,-,+,-,-,-,144998,48750,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2975,+,-,-,+,-,+,-,-,+,+,-,-,+,-,-,+,-,+,-,-,-,-,-,+,+,+,-,-,-,-,-,-,144999,48751,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2976,+,-,-,+,-,+,-,-,-,-,-,-,+,-,-,+,-,+,-,-,-,-,-,+,+,+,-,-,+,-,-,-,145000,48752,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2977,+,-,-,+,-,+,-,-,-,-,-,-,+,-,-,+,-,+,-,-,-,-,-,+,+,+,-,-,+,-,-,-,135518,48753,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2978,+,-,-,+,-,+,-,-,+,-,-,-,+,-,-,-,-,+,-,-,-,-,-,+,+,+,-,-,+,-,-,-,138145,48754,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2979,-,+,+,-,+,-,+,-,-,-,-,+,+,+,-,-,-,-,+,-,-,-,-,-,-,+,+,-,-,-,-,-,145014,48768,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2980,+,-,-,+,-,+,+,-,-,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,+,+,-,-,-,+,-,-,136372,48777,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2981,+,-,-,+,-,+,+,-,-,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,+,+,-,-,-,-,-,-,145019,48778,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2982,+,-,-,+,-,+,+,-,-,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,+,+,-,-,-,+,-,-,145020,48779,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2983,+,-,-,+,-,+,+,-,-,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,+,+,-,-,-,-,-,-,145021,48780,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2984,+,-,-,+,-,+,+,-,-,+,+,-,+,-,-,-,-,+,+,+,+,+,-,-,+,+,-,-,-,-,-,-,145022,48781,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
2985,+,-,-,+,-,+,+,-,+,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,+,+,-,-,-,-,-,-,139297,48782,1,2019-11-19 10:22:57,2019-11-19 09:22:57,,2019-11-19 09:22:57
