ID_kit_api_zym,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,ID_strains,ID_reference,manual_annotation,created_zym,modify_in_pgsql_zym,ID_tbl_api_zym,last_change
57,,-,+,+,+,+,-,-,-,-,+,+,+,+,-,+,-,+,+,+,10174,18347,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
58,,+,+,+,-,+,+,+,+,-,+,+,-,-,-,+,+,-,-,-,11136,18348,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
59,,+,+,+,+,+,+,+,-,-,+,+,-,+,-,+,+,-,-,-,11146,18349,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
60,,-,-,+,-,+,-,-,-,-,+,-,+,+,+,-,-,-,+,-,6289,18350,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
61,,-,+,+,-,+,+,-,+,-,+,+,-,+,+,+,+,-,+,-,7623,18351,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
62,,-,+,+,-,+,+,-,+,-,+,-,+,+,-,+,+,+,+,+,3906,18352,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
63,,+,-,+,-,+,+,+,+,-,+,-,+,+,-,+,+,-,-,-,7325,18353,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
64,,+,-,+,+,+,+,+,+,+,+,-,+,+,-,+,+,+,+,-,7580,18354,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
65,,+,+,+,-,+,+,-,-,-,+,+,+,+,-,+,+,+,-,-,14039,18355,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
66,,+,+,+,+,+,+,+,+,+,+,+,-,-,-,-,-,-,-,-,11056,18356,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
67,,+,+,+,-,+,+,+,+,+,+,+,+,+,-,+,+,+,+,+,12625,18357,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
68,,-,-,-,-,+,-,-,-,-,+,-,+,+,-,+,+,-,+,-,12612,18358,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
69,,+,+,+,+,+,+,+,+,-,+,+,-,-,-,+,+,-,-,-,11108,18359,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
70,,+,-,+,-,+,+,+,+,+,+,+,+,+,-,+,+,+,+,+,12614,18360,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
71,,-,+,+,+,+,+,+,+,-,-,-,-,-,-,+,-,-,-,-,7647,18361,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
72,,-,+,+,-,+,+,+,+,-,-,-,-,-,+,-,+,+,+,+,7402,18362,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
73,,+,-,+,-,+,+,-,+,-,+,-,-,+,-,+,+,+,+,-,6270,18363,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
74,,+,-,+,-,+,+,+,+,+,+,+,+,+,+,+,+,-,-,-,7404,18364,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
75,,+,-,+,-,+,+,+,+,+,+,+,+,+,+,+,+,-,-,-,7405,18365,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
76,,-,+,+,-,+,-,-,-,-,-,-,+,+,-,+,+,-,-,-,7406,18366,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
77,,-,+,+,-,+,-,-,+,+,-,-,+,+,-,+,+,-,-,-,7407,18367,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
78,,-,+,+,-,+,-,-,-,-,+,-,+,+,-,+,+,-,+,+,7409,18368,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
79,,+,+,+,-,+,+,-,+,-,-,+,-,-,+,+,+,-,-,-,7763,18369,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
80,,+,+,+,-,+,+,+,+,-,+,+,-,-,-,+,+,-,+,-,7582,18370,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
81,,-,-,+,-,+,-,-,+,-,+,-,+,+,-,+,+,-,+,-,7581,18371,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
82,,+,-,+,-,+,+,+,+,+,+,+,+,+,+,+,+,-,-,-,6295,18372,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
83,,-,+,+,-,+,-,-,-,-,-,-,+,+,-,+,+,-,+,-,7410,18373,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
84,,+,-,+,-,+,-,-,+,-,+,+,-,+,-,+,+,-,-,-,6297,18374,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
85,,+,+,+,-,+,-,-,+,-,+,-,+,+,+,+,+,-,-,-,7411,18375,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
86,,-,+,+,-,+,-,-,-,-,-,-,+,+,-,+,+,-,-,-,7413,18376,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
87,,-,-,-,+,+,-,+,+,-,-,-,-,-,-,+,-,-,-,-,6260,18377,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
88,,-,-,+,-,+,-,-,-,-,-,-,+,+,+,+,+,-,+,-,7320,18378,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
89,,-,+,+,-,+,+,-,-,-,-,-,-,-,-,+,-,-,-,-,7253,18379,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
90,,+,+,+,+,+,-,-,+,-,+,+,-,-,-,+,+,-,-,-,7517,18380,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
91,,+,+,+,-,+,-,-,-,-,+,+,+,+,+,+,+,-,-,-,1771,18381,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
92,,+,+,+,-,+,-,-,+,-,+,-,-,-,-,+,-,-,-,-,7631,18382,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
93,,+,+,+,-,-,-,-,-,-,+,-,+,+,+,+,+,-,-,-,18108,18383,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
94,,+,+,+,+,+,-,-,+,-,+,-,+,+,-,-,+,-,+,+,7589,18384,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
95,,-,-,-,-,+,+,-,+,-,+,-,+,-,-,+,+,-,+,-,7249,18385,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
96,,+,+,+,-,+,+,+,-,-,+,+,-,+,+,+,+,-,-,-,7267,18386,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
97,,+,+,+,-,-,-,-,-,-,+,+,-,+,-,+,-,-,-,-,7268,18387,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
98,,-,+,-,-,+,+,+,+,-,+,+,-,+,-,+,+,-,-,-,7269,18388,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
99,,+,-,+,+,+,+,+,+,-,+,+,+,+,-,+,+,-,+,-,7591,18389,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
100,,-,+,+,-,+,+,+,+,-,-,-,+,+,-,+,+,-,-,-,7470,18390,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
101,,+,+,+,-,+,+,-,-,-,-,-,+,+,-,+,+,-,+,-,7494,18391,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
102,,+,+,+,-,+,+,-,-,-,+,+,-,-,-,-,-,-,-,-,7787,18392,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
103,,-,+,+,-,+,-,-,+,-,+,-,+,+,-,+,+,+,-,-,12588,18393,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
104,,-,-,-,-,+,+,-,-,-,-,+,-,+,-,-,+,-,-,-,6239,18394,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
105,,-,+,+,-,+,+,+,+,-,-,-,-,-,-,+,+,+,+,-,7270,18395,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
106,,+,+,+,-,+,+,+,+,-,+,-,-,-,-,+,-,-,+,-,7610,18396,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
107,,-,+,+,-,+,+,+,+,-,-,-,+,+,-,+,+,-,+,-,7609,18397,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
108,,-,+,+,-,+,-,-,-,-,-,-,+,+,+,+,+,+,-,-,12611,18398,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
109,,-,+,+,-,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-,7272,18399,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
110,,+,+,+,-,+,+,-,+,-,+,+,-,-,-,+,+,-,-,-,11114,18400,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
111,,-,-,+,-,+,+,-,+,-,+,+,+,+,+,+,+,+,-,-,7788,18401,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
112,,+,+,+,-,+,-,-,+,-,+,+,-,+,+,+,-,-,+,-,7605,18402,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
113,,+,+,+,-,+,+,-,-,-,+,+,-,-,-,-,-,+,+,-,7608,18403,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
114,,+,+,+,+,+,+,+,-,-,+,+,-,-,-,+,+,-,-,-,5831,18404,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
115,,+,+,+,+,+,-,-,+,+,+,-,-,-,-,+,-,-,-,-,11058,18405,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
116,,-,+,+,+,+,+,-,+,-,+,+,+,+,-,+,+,+,+,+,11074,18406,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
117,,-,-,-,-,+,-,-,+,-,-,+,-,-,+,-,+,-,-,-,12620,18407,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
118,,+,+,+,-,+,+,-,-,-,+,-,-,-,-,-,-,-,-,-,11061,18408,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
119,,+,+,+,-,+,-,-,+,-,+,+,-,-,-,+,-,-,-,-,11120,18409,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
120,,-,+,+,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,7256,18410,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
121,,-,+,+,+,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,17628,18411,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
122,,-,+,+,+,+,+,+,-,-,+,+,-,-,-,-,-,-,-,-,7356,18412,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
123,,-,+,+,-,+,+,-,-,-,+,-,-,-,+,+,+,-,-,-,7471,18413,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
124,,-,-,-,-,-,-,-,-,-,-,-,+,+,-,+,+,+,-,-,7435,18414,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
125,,+,+,+,+,+,+,-,-,-,+,+,-,-,-,+,-,-,-,-,7673,18415,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
126,,+,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-,-,-,7637,18416,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
127,,+,+,+,-,+,+,+,+,+,+,+,+,+,-,+,+,+,-,-,2356,18417,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
128,,+,-,+,-,+,+,+,+,-,-,+,+,+,-,+,+,+,-,-,2350,18418,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
129,,+,+,+,-,+,+,+,+,+,+,+,+,+,-,+,+,+,+,+,7523,18419,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
130,,+,-,+,-,+,+,+,+,-,+,+,+,+,-,+,+,+,+,-,7519,18420,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
131,,+,+,-,-,+,+,-,-,-,-,+,-,-,-,+,-,-,+,-,7521,18421,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
132,,+,+,+,-,+,+,+,-,-,+,,+,-,-,-,-,-,-,-,7520,18422,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
133,,+,+,+,-,+,+,+,+,-,+,+,-,-,-,+,+,+,-,-,7375,18423,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
134,,-,+,+,-,+,+,-,-,-,-,-,-,+,-,+,+,-,+,-,7376,18424,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
135,,+,+,+,+,+,+,-,-,-,-,+,-,-,-,-,+,-,-,-,3083,18425,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
136,,+,+,+,+,+,+,+,-,-,+,+,-,+,-,+,+,+,-,+,7265,18426,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
137,,+,-,+,-,+,+,+,+,-,+,+,-,-,-,+,-,-,-,-,7566,18427,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
138,,+,+,+,-,+,+,+,+,-,+,+,+,+,+,+,+,+,+,+,12583,18428,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
142,,+,+,+,-,+,-,-,-,+,+,+,+,+,-,+,+,+,+,-,14038,18429,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
143,,+,-,+,-,+,-,-,+,+,+,-,+,+,-,+,+,+,-,-,12621,18430,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
144,,+,+,+,-,+,+,-,-,-,+,-,+,+,+,+,+,+,+,+,3909,18431,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
145,,-,+,+,-,+,+,-,-,-,-,-,+,+,-,+,+,+,+,+,3910,18432,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
146,,-,-,+,-,+,-,-,-,-,+,+,-,-,-,+,+,+,-,-,6248,18433,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
147,,+,-,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-,1770,18434,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
148,,+,-,+,+,+,+,+,+,+,+,-,-,-,-,+,-,-,+,-,3921,18435,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
149,,+,+,+,+,+,+,+,+,-,+,+,-,-,+,+,+,-,-,-,11109,18436,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
150,,+,-,-,-,+,-,-,+,-,+,-,-,+,-,+,-,-,-,-,7643,18437,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
151,,+,-,+,-,+,+,+,-,-,+,+,-,-,-,-,-,-,-,-,3080,18438,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
152,,-,+,+,-,-,-,-,-,-,-,-,-,+,-,+,+,-,-,-,18103,18440,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
153,,-,+,+,-,+,+,+,+,-,+,+,+,+,-,-,-,-,-,-,7373,18441,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
154,,-,+,+,-,+,+,-,-,-,-,+,-,+,-,+,+,+,-,-,7377,18442,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
155,,+,+,+,-,+,-,-,-,-,+,+,-,-,+,-,-,-,-,-,7307,18443,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
156,,-,-,+,-,+,-,-,+,-,-,-,-,-,+,-,-,-,-,-,3108,18444,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
157,,-,-,+,-,-,-,-,+,-,+,+,-,-,+,-,-,-,-,-,3084,18445,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
158,,+,+,+,-,+,+,+,+,-,+,+,+,+,-,+,+,+,+,+,7317,18446,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
159,,-,+,+,-,+,+,+,-,-,-,,-,+,-,+,-,-,-,-,7531,18447,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
160,,+,+,+,-,+,+,-,-,-,+,+,-,+,-,+,+,+,-,-,2378,18449,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
161,,-,+,+,-,+,+,+,+,+,+,-,-,+,-,+,+,-,+,+,7369,18450,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
162,,-,+,+,-,+,+,+,+,+,+,-,-,-,-,+,+,-,-,-,3102,18451,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
163,,+,-,-,+,+,+,+,+,-,-,,,,,,,,,,11099,18452,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
164,,+,+,+,-,+,+,+,-,-,+,+,-,-,-,+,+,-,+,-,7568,18453,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
165,,+,-,+,-,+,-,+,+,-,+,-,-,-,-,-,-,-,-,-,3105,18454,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
