ID_kit_api_STA,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,cupule_21,ID_strains,ID_reference,manual_annotation,created_STA,modify_in_pgsql_STA,ID_tbl_api_STA,last_change
150,,-,+,+,+,+,-,+,+,+,-,-,+,+,-,-,-,-,-,-,-,153893,59240,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
151,,-,+,+,+,+,-,-,-,-,-,-,-,+,-,-,+,-,-,+,+,153906,59254,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
152,,-,+,+,+,+,+,+,+,-,-,+,+,+,-,-,-,-,-,-,+,153912,59260,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
153,,-,+,+,+,+,+,+,+,-,-,+,+,-,-,+,+,-,+,-,+,153954,59304,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
154,,-,+,+,+,-,+,+,-,-,-,+,+,-,-,-,+,-,+,+,+,153957,59308,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
155,,-,+,+,+,+,+,+,-,-,-,+,+,+,-,-,+,-,-,-,+,153987,59341,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
156,,-,+,+,+,+,+,+,+,-,-,+,+,+,-,-,+,-,+,-,-,153990,59348,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
157,,-,+,+,+,+,+,+,+,-,-,+,+,+,-,-,+,-,+,+,+,153992,59350,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
158,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7611,59383,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
159,,-,+,+,+,-,+,+,-,-,-,+,+,-,-,-,-,-,+,-,+,154049,59435,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
160,,-,+,+,+,-,+,+,+,-,-,+,+,-,-,-,-,-,+,-,+,154050,59436,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
161,,-,+,+,+,-,+,+,-,-,-,+,+,-,-,-,-,-,+,-,+,154051,59437,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
162,,-,+,+,+,-,-,+,-,-,-,+,+,+,-,-,+,-,+,+,+,154053,59439,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
163,,-,+,+,+,-,-,-,-,-,-,+,+,+,-,-,-,-,+,+,+,154054,59440,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
164,,-,+,+,+,+,-,+,-,-,-,+,-,+,-,-,+,+,-,-,-,154137,59578,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
165,,-,+,+,+,+,-,+,-,-,-,-,-,+,-,-,+,-,+,-,-,154149,59596,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
166,,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,154255,59713,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
167,,-,+,+,+,+,-,+,-,-,-,+,-,+,-,-,+,-,-,-,-,154276,59743,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
168,,-,+,-,-,+,+,+,-,-,-,+,+,-,-,-,+,-,+,-,+,154328,59801,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
169,,-,+,+,+,+,+,+,-,-,-,+,+,-,+,-,+,-,-,-,+,154329,59802,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
170,,-,+,+,+,-,-,-,+,-,-,+,-,+,-,-,+,-,-,-,-,154330,59803,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
171,,-,+,+,-,+,-,+,-,-,-,+,+,-,-,-,+,-,-,-,-,154353,59834,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
172,,-,+,+,+,+,-,-,-,-,-,+,+,+,-,-,+,-,-,+,-,154372,59856,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
173,,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,154424,59926,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
174,,-,+,+,+,+,+,-,-,-,-,+,+,+,-,-,-,-,-,+,+,154425,59927,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
175,,-,+,+,+,-,-,+,-,-,-,+,+,+,-,-,+,-,+,+,-,154455,59981,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
176,,-,+,+,-,+,+,+,-,-,-,+,+,+,-,-,+,-,-,-,-,154488,60021,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
177,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,154539,60124,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
178,,-,+,+,-,+,+,+,+,-,-,-,+,+,-,-,+,-,+,+,-,154564,60175,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
179,,-,+,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,154624,60258,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
180,,-,+,+,+,+,-,+,+,-,-,-,-,-,-,-,-,-,-,-,+,154633,60283,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
181,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,154645,60298,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
182,,-,+,+,-,+,-,+,-,-,-,+,-,-,-,-,+,-,-,-,-,154692,60357,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
183,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,154723,60420,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
184,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,154724,60421,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
185,,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,154731,60428,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
186,,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,154803,60514,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
187,,-,+,+,+,+,-,+,-,-,-,+,-,+,-,-,+,-,-,-,-,154842,60560,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
188,,-,+,+,+,+,-,+,-,-,-,+,-,+,-,-,+,-,-,-,-,154851,60570,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
189,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,154856,60587,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
190,,-,+,+,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,+,154867,60599,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
191,,-,+,-,-,+,-,+,-,-,-,-,-,+,-,-,+,-,-,-,-,154892,60644,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
192,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,154894,60646,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
193,,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,154895,60647,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
194,,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,154903,60676,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
195,,-,+,+,+,+,-,+,-,-,-,+,-,+,-,-,+,-,-,-,-,154915,60693,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
196,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,154916,60694,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
197,,-,+,+,-,-,+,+,-,-,-,+,+,+,-,+,+,-,+,-,-,154955,60766,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
198,,-,+,+,+,+,-,+,-,-,-,-,-,+,-,-,+,-,-,-,-,154961,60772,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
199,,-,+,+,+,+,-,-,-,-,-,+,+,+,-,-,+,-,-,+,-,154967,60778,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
200,,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,154985,60805,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
201,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,155040,60891,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
202,,-,+,+,+,+,-,+,-,-,-,+,-,+,-,-,+,-,-,-,-,155072,60936,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
203,,-,+,+,+,-,-,-,-,-,-,+,+,+,-,-,+,-,+,+,+,155208,61128,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
204,,-,+,+,+,-,-,-,-,-,-,+,+,+,-,-,+,-,+,+,+,155209,61129,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
205,,-,+,+,-,-,-,-,-,-,-,-,+,+,-,-,+,-,-,-,-,155270,61216,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
206,,-,+,+,-,-,+,+,-,-,-,+,+,-,-,+,+,-,+,-,-,14675,61266,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
207,,-,+,+,+,+,+,+,-,-,-,+,+,-,-,+,+,+,+,-,-,155473,61483,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
208,,-,+,+,-,+,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,155502,61517,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
209,,-,+,+,-,+,+,+,+,-,-,+,-,+,-,-,+,-,-,+,-,155583,61640,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
210,,-,+,+,+,+,+,+,-,-,-,+,+,+,-,-,+,-,+,-,+,155620,61690,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
211,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,155706,61815,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
212,,-,+,+,+,+,+,+,-,-,-,+,+,-,-,-,+,-,+,-,+,155903,62034,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
213,,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,155938,62079,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
214,,-,+,+,+,+,+,+,-,-,-,-,-,+,-,-,+,-,+,-,-,155987,62157,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
215,,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,156294,62533,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
216,,-,+,+,+,+,+,-,-,-,-,+,-,+,-,-,+,-,-,-,+,156333,62572,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
217,,-,+,+,-,+,+,+,+,-,-,+,+,+,-,-,+,-,+,+,-,141756,44893,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
218,,-,+,+,-,+,+,+,-,-,-,-,-,+,-,-,+,-,+,-,+,141758,44897,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
219,,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,156917,63370,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
220,,-,+,+,+,+,+,-,+,-,-,+,+,-,-,-,+,-,+,+,+,156921,63374,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
221,,-,+,+,+,+,+,+,-,-,-,+,+,+,-,-,+,-,+,+,+,156970,63434,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
222,,-,+,-,-,+,-,+,-,-,-,-,-,+,-,-,+,-,-,-,-,132215,63799,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
223,,-,+,+,+,+,+,+,+,-,-,+,+,+,-,-,+,-,+,+,+,141825,44981,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
