ID_kit_api_STA,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,cupule_21,ID_strains,ID_reference,manual_annotation,created_STA,modify_in_pgsql_STA,ID_tbl_api_STA,last_change
39,,-,+,+,-,+,-,+,-,-,+,+,-,+,-,-,+,+,+,+,-,147676,51876,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
40,,-,+,+,+,+,-,+,-,-,-,+,-,+,-,-,+,-,-,-,-,147679,51880,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
41,,-,+,+,-,+,+,+,+,+,-,-,+,+,-,-,+,-,+,-,+,147999,52232,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
42,,-,+,+,+,+,-,+,+,-,-,-,+,+,-,-,-,-,-,-,-,14520,52550,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
43,,-,+,+,+,-,-,-,-,-,-,+,-,+,-,-,-,-,-,+,-,14504,52568,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
44,,-,+,+,+,+,+,+,-,-,-,+,+,+,-,+,+,-,+,-,+,14598,52571,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
45,,-,+,+,-,+,-,-,-,-,-,+,+,+,-,-,+,-,-,-,+,148342,52628,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
46,,-,+,+,-,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,14418,52714,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
47,,-,+,+,+,+,+,+,+,-,-,+,+,+,-,-,+,-,+,+,+,148511,52826,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
48,,-,+,+,+,+,+,+,-,-,-,+,+,+,-,-,+,-,+,-,-,148756,53084,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
49,,-,+,+,+,+,-,+,-,-,-,+,+,+,-,-,+,-,+,+,+,148960,53294,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
50,,-,+,+,-,+,-,-,-,-,-,+,+,-,-,-,+,-,-,-,-,148965,53299,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
51,,-,+,+,-,+,+,+,-,-,-,+,+,+,-,-,+,-,-,-,+,148996,53333,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
52,,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,+,149119,53470,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
53,,-,+,+,-,-,-,+,-,-,-,+,+,+,-,+,+,-,+,-,-,149161,53518,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
54,,-,+,+,+,-,+,+,+,-,-,+,+,+,-,-,+,-,+,+,+,14576,44678,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
55,,-,+,+,+,+,+,-,-,-,-,+,+,+,-,-,+,-,-,+,+,141614,44679,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
56,,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,149193,53552,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
57,,-,+,+,+,-,+,-,-,-,-,+,+,+,-,-,+,-,+,+,+,149194,53554,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
58,,-,+,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,149539,53960,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
59,,-,+,+,-,+,+,+,+,-,-,+,+,+,-,-,+,-,+,+,-,149596,54029,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
60,,-,+,+,+,+,-,+,-,-,-,+,-,+,-,-,+,-,-,-,-,149661,54095,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
61,,-,+,+,+,+,-,+,-,-,-,+,-,+,-,-,+,-,-,-,-,149665,54099,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
62,,-,+,+,+,-,+,+,-,-,+,+,+,+,-,-,-,-,-,+,+,149748,54192,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
63,,-,+,+,-,+,+,+,+,-,-,+,-,+,-,-,+,-,+,+,-,149760,54204,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
64,,-,+,+,-,-,-,+,+,-,-,-,+,-,-,-,-,-,-,-,-,138232,54215,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
65,,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,14422,54217,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
66,,-,+,+,-,+,-,-,+,-,-,-,+,+,-,-,+,-,-,-,-,149771,54218,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
67,,-,+,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,+,149773,54221,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
68,,-,+,+,+,+,-,-,-,-,-,+,-,+,-,-,+,-,-,+,-,149829,54286,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
69,,-,+,+,+,+,+,+,+,-,-,-,+,+,-,-,-,-,+,-,+,150008,54499,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
70,,-,+,+,+,+,+,-,-,-,-,-,-,+,-,-,+,-,-,+,-,150092,54595,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
71,,-,+,+,+,+,+,+,+,-,-,-,+,+,-,-,+,-,+,-,+,150096,54599,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
72,,-,+,+,+,+,+,+,-,-,-,+,+,+,-,-,+,-,+,+,+,150209,54727,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
73,,-,+,+,+,-,-,-,-,-,-,+,+,+,-,-,+,-,-,+,-,150268,54796,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
74,,-,+,-,-,+,-,+,+,-,-,+,-,+,-,-,+,-,-,+,-,150430,54987,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
