ID_met_production,metabolite_prod,production,excreted,chebi_ID,FK_metabolites,ID_strains,ID_reference,manual_annotation,api_import,last_change
10404,hydrogen sulfide,1.0,,16136.0,16643,53,23244,1,,2017-02-10 09:00:50
10405,2-dehydro-D-gluconate,1.0,,16808.0,16644,53,23244,1,,2017-02-10 09:00:50
10406,indole,0.0,,35581.0,16645,58,23245,1,,2017-02-10 09:00:50
10407,hydrogen sulfide,0.0,,16136.0,16646,58,23245,1,,2017-02-10 09:00:50
10408,ammonium,0.0,,28938.0,16647,58,23245,1,,2017-02-10 09:00:50
10409,"2,5-didehydro-D-gluconate",0.0,,11449.0,16648,58,23245,1,,2017-02-10 09:00:50
10410,dihydroxyacetone,1.0,,16016.0,16649,58,23245,1,,2017-02-10 09:00:50
10411,D-gluconate,1.0,,18391.0,16650,58,23245,1,,2017-02-10 09:00:50
10412,acetate,1.0,,30089.0,50284,58,23245,1,,2017-02-10 09:00:50
10413,5-dehydro-D-gluconate,1.0,,17426.0,16651,58,23245,1,,2017-02-10 09:00:50
10414,2-dehydro-D-gluconate,1.0,,16808.0,16652,58,23245,1,,2017-02-10 09:00:50
10415,dihydroxyacetone,0.0,,16016.0,16653,63,23247,1,,2017-02-10 09:00:50
10416,cellulose,0.0,,62968.0,16654,63,23247,1,,2017-02-10 09:00:50
10417,acetate,1.0,,30089.0,50322,63,23247,1,,2017-02-10 09:00:50
10418,5-dehydro-D-gluconate,1.0,,17426.0,16655,63,23247,1,,2017-02-10 09:00:50
10419,2-dehydro-D-gluconate,1.0,,16808.0,16656,63,23247,1,,2017-02-10 09:00:50
10420,D-glucose,0.0,,17634.0,50427,71,23250,1,,2017-02-10 09:00:50
10421,citrate,0.0,,16947.0,50426,71,23250,1,,2017-02-10 09:00:50
10422,acetoin,0.0,,15688.0,23774,71,23250,1,,2017-02-10 09:00:50
10423,indole,0.0,,35581.0,23776,72,22959,1,,2017-02-10 09:00:50
10424,hydrogen sulfide,0.0,,16136.0,16657,72,22959,1,,2017-02-10 09:00:50
10425,acetoin,0.0,,15688.0,23775,72,22959,1,,2017-02-10 09:00:50
10426,melanin,0.0,,89634.0,16658,73,22960,1,,2017-02-10 09:00:50
10427,indole,0.0,,35581.0,16659,73,22960,1,,2017-02-10 09:00:50
10428,hydrogen sulfide,0.0,,16136.0,16660,73,22960,1,,2017-02-10 09:00:50
10429,acetoin,0.0,,15688.0,23778,73,22960,1,,2017-02-10 09:00:50
10430,indole,0.0,,35581.0,16661,76,22961,1,,2017-02-10 09:00:50
10431,dihydroxyacetone,0.0,,16016.0,16662,80,22963,1,,2017-02-10 09:00:50
10432,bacteriochlorophyll alpha,0.0,,30033.0,16663,81,22964,1,,2017-02-10 09:00:50
10433,beta-hydroxybutyrate,1.0,,8295.0,16664,81,22964,1,,2017-02-10 09:00:50
10434,bacteriochlorophyll alpha,0.0,,30033.0,16665,82,22964,1,,2017-02-10 09:00:50
10435,beta-hydroxybutyrate,1.0,,8295.0,16666,82,22964,1,,2017-02-10 09:00:50
10436,propionate,1.0,,17272.0,16667,99,22965,1,,2017-02-10 09:00:50
10437,butyrate,1.0,,17968.0,16668,99,22965,1,,2017-02-10 09:00:50
10438,acetate,1.0,,30089.0,16669,99,22965,1,,2017-02-10 09:00:50
10439,hydrogen sulfide,0.0,,16136.0,16670,103,22966,1,,2017-02-10 09:00:50
10440,indole,0.0,,35581.0,16671,105,22967,1,,2017-02-10 09:00:50
10441,cytochrome,0.0,,4056.0,16672,105,22967,1,,2017-02-10 09:00:50
10442,indole,0.0,,35581.0,16673,135,22970,1,,2017-02-10 09:00:50
10443,exopolysaccharide,1.0,,72813.0,16674,137,22971,1,,2017-02-10 09:00:50
10444,exopolysaccharide,1.0,,72813.0,16675,138,22971,1,,2017-02-10 09:00:50
10445,indole,0.0,,35581.0,32903,140,22887,1,,2017-02-10 09:00:50
10446,indole,0.0,,35581.0,26803,144,23353,1,,2017-02-10 09:00:50
10447,succinate,1.0,,30031.0,51592,162,23355,1,,2017-02-10 09:00:50
10448,lactate,1.0,,24996.0,51588,162,23355,1,,2017-02-10 09:00:50
10449,formate,1.0,,15740.0,51587,162,23355,1,,2017-02-10 09:00:50
10450,acetate,1.0,,30089.0,51586,162,23355,1,,2017-02-10 09:00:50
10451,indole,0.0,,35581.0,23779,185,23119,1,,2017-02-10 09:00:50
10452,indole,0.0,,35581.0,26778,187,23121,1,,2017-02-10 09:00:50
10453,acetoin,0.0,,15688.0,24901,187,23121,1,,2017-02-10 09:00:50
10454,indole,0.0,,35581.0,26777,188,23122,1,,2017-02-10 09:00:50
10455,acetoin,0.0,,15688.0,23780,188,23122,1,,2017-02-10 09:00:50
10456,indole,0.0,,35581.0,26776,189,23123,1,,2017-02-10 09:00:50
10457,acetoin,0.0,,15688.0,23781,189,23123,1,,2017-02-10 09:00:50
10458,indole,0.0,,35581.0,16676,294,23264,1,,2017-02-10 09:00:50
10459,hydrogen sulfide,0.0,,16136.0,16677,294,23264,1,,2017-02-10 09:00:50
10460,toluene,1.0,,17578.0,16678,294,23264,1,,2017-02-10 09:00:50
10461,formate,1.0,,15740.0,16679,294,23264,1,,2017-02-10 09:00:50
10462,ethanol,1.0,,16236.0,16680,294,23264,1,,2017-02-10 09:00:50
10463,acetate,1.0,,30089.0,51964,294,23264,1,,2017-02-10 09:00:50
10464,acetoin,0.0,,15688.0,16681,197,22976,1,,2017-02-10 09:00:50
10465,acetoin,0.0,,15688.0,16682,199,22976,1,,2017-02-10 09:00:50
10466,acetoin,0.0,,15688.0,24899,202,22972,1,,2017-02-10 09:00:50
10467,acetoin,0.0,,15688.0,16683,203,22973,1,,2017-02-10 09:00:50
10468,indole,0.0,,35581.0,26764,206,22975,1,,2017-02-10 09:00:50
10469,elemental sulfur,0.0,,33403.0,16684,206,22975,1,,2017-02-10 09:00:50
10470,indole,0.0,,35581.0,26762,208,22975,1,,2017-02-10 09:00:50
10471,elemental sulfur,0.0,,33403.0,16685,208,22975,1,,2017-02-10 09:00:50
10472,indole,0.0,,35581.0,26761,209,22975,1,,2017-02-10 09:00:50
10473,elemental sulfur,0.0,,33403.0,16686,209,22975,1,,2017-02-10 09:00:50
10474,acetoin,0.0,,15688.0,16687,212,22976,1,,2017-02-10 09:00:50
10475,acetoin,0.0,,15688.0,16688,214,22976,1,,2017-02-10 09:00:50
10476,acetoin,0.0,,15688.0,16689,216,22976,1,,2017-02-10 09:00:50
10477,acetoin,0.0,,15688.0,16690,217,22976,1,,2017-02-10 09:00:50
10478,acetoin,1.0,,15688.0,16691,218,22976,1,,2017-02-10 09:00:50
10479,acetoin,1.0,,15688.0,24896,223,22982,1,,2017-02-10 09:00:50
10480,acetoin,0.0,,15688.0,16692,224,22977,1,,2017-02-10 09:00:50
10481,nitrite,0.0,,16301.0,16693,225,22978,1,,2017-02-10 09:00:50
10482,acetoin,0.0,,15688.0,16694,225,22978,1,,2017-02-10 09:00:50
10483,acetoin,0.0,,15688.0,28674,226,22979,1,,2017-02-10 09:00:50
10484,acetoin,0.0,,15688.0,16695,227,22980,1,,2017-02-10 09:00:50
10485,dextran,0.0,,52071.0,16696,229,23251,1,,2017-02-10 09:00:50
10486,acetoin,0.0,,15688.0,28673,229,23251,1,,2017-02-10 09:00:50
10487,acetoin,0.0,,15688.0,24895,230,23252,1,,2017-02-10 09:00:50
10488,hydrogen sulfide,1.0,,16136.0,16697,234,23374,1,,2017-02-10 09:00:50
10489,acetoin,0.0,,15688.0,23782,235,23253,1,,2017-02-10 09:00:50
10490,hydrogen sulfide,0.0,,16136.0,22275,242,23254,1,,2017-02-10 09:00:50
10491,acetoin,0.0,,15688.0,37556,242,23254,1,,2017-02-10 09:00:50
10492,indole,1.0,,35581.0,37557,242,23254,1,,2017-02-10 09:00:50
10493,hydrogen sulfide,0.0,,16136.0,22260,258,23255,1,,2017-02-10 09:00:50
10494,acetoin,0.0,,15688.0,37528,258,23255,1,,2017-02-10 09:00:50
10495,indole,1.0,,35581.0,37529,258,23255,1,,2017-02-10 09:00:50
10496,acetoin,0.0,,15688.0,37522,261,23256,1,,2017-02-10 09:00:50
10497,hydrogen sulfide,0.0,,16136.0,22256,262,23257,1,,2017-02-10 09:00:50
10498,acetoin,0.0,,15688.0,37520,262,23257,1,,2017-02-10 09:00:50
10499,indole,0.0,,35581.0,37513,271,23258,1,,2017-02-10 09:00:50
10500,hydrogen sulfide,0.0,,16136.0,22252,271,23258,1,,2017-02-10 09:00:50
10501,indole,0.0,,35581.0,37498,279,23259,1,,2017-02-10 09:00:50
10502,acetoin,1.0,,15688.0,37497,279,23259,1,,2017-02-10 09:00:50
10503,hydrogen sulfide,0.0,,16136.0,22243,280,23260,1,,2017-02-10 09:00:50
10504,acetoin,0.0,,15688.0,37495,280,23260,1,,2017-02-10 09:00:50
10505,indole,1.0,,35581.0,37496,280,23260,1,,2017-02-10 09:00:50
10506,hydrogen sulfide,0.0,,16136.0,16698,283,23261,1,,2017-02-10 09:00:50
10507,acetoin,0.0,,15688.0,23783,283,23261,1,,2017-02-10 09:00:50
10508,indole,1.0,,35581.0,23784,283,23261,1,,2017-02-10 09:00:50
10509,hydrogen sulfide,0.0,,16136.0,16699,285,23262,1,,2017-02-10 09:00:50
10510,acetoin,0.0,,15688.0,23785,285,23262,1,,2017-02-10 09:00:50
10511,indole,1.0,,35581.0,23786,285,23262,1,,2017-02-10 09:00:50
10512,hydrogen sulfide,0.0,,16136.0,16700,286,23262,1,,2017-02-10 09:00:50
10513,acetoin,0.0,,15688.0,23787,286,23262,1,,2017-02-10 09:00:50
