"Dataset","Number of the triple","Time"
"colony_morphology_triples","10000","2.9477221965789795"
"colony_morphology_triples","20000","3.3630471229553223"
"colony_morphology_triples","30000","3.845290422439575"
"colony_morphology_triples","40000","4.562762260437012"
"colony_morphology_triples","50000","4.782742500305176"
"colony_morphology_triples","60000","5.0841450691223145"
"colony_morphology_triples","70000","5.38176417350769"
"colony_morphology_triples","80000","5.650220632553101"
"colony_morphology_triples","90000","5.889413595199585"
